日期,省级,,面积,人口,确诊,疑似,治愈,死亡,现存确诊
2020-02-19,日本,,-1,-1,84,0,12,1,71
2020-02-19,韩国,,-1,-1,51,0,16,0,35
2020-02-19,安徽,,13.352554087613001,5949.999999999999,986,0,413,6,567
2020-02-19,湖北,,17.5587617759675,5723.77,61682,0,9336,1921,50425
2020-02-19,四川,,45.723819751963006,8041.829999999999,514,0,188,3,323
2020-02-19,甘肃,,43.62062148879054,2557.53,91,0,65,2,24
2020-02-19,河北,,19.945148081317488,7185.43,306,0,152,4,150
2020-02-19,山西,,15.996141343367011,3571.23,131,0,63,0,68
2020-02-19,天津,,1.2601887440589987,1293.82,130,0,54,3,73
2020-02-19,新加坡,,-1,-1,84,0,34,0,50
2020-02-19,钻石公主号邮轮,,-1,-1,621,0,0,0,621
2020-02-19,河南,,16.141830600971495,9402.369999999997,1262,0,573,19,670
2020-02-19,江苏,,10.25282570820451,7866.000000000001,631,0,318,0,313
2020-02-19,香港,,0.2318597904440132,739.0,63,0,5,2,56
2020-02-19,山东,,16.907928425625506,9579.3,544,0,231,3,310
2020-02-19,福建,,12.243843456180494,3689.41,293,0,112,0,181
2020-02-19,浙江,,11.981979841601506,5442.700000000002,1174,0,604,0,570
2020-02-19,湖南,,19.36597052422902,6568.3600000000015,1008,0,561,4,443
2020-02-19,黑龙江,,54.46378289411001,3831.219999999999,470,0,120,12,338
2020-02-19,内蒙古,,129.59443898197404,2470.640000000001,75,0,10,0,65
2020-02-19,贵州,,15.98774554200051,3474.6600000000008,146,0,70,2,74
2020-02-19,广东,,17.623086185395504,10430.29,1331,0,606,5,720
2020-02-19,陕西,,20.356404281047496,3732.72,242,0,102,0,140
2020-02-19,马来西亚,,-1,-1,22,0,15,0,7
2020-02-19,尼泊尔,,-1,-1,1,0,1,0,0
2020-02-19,斯里兰卡,,-1,-1,1,0,1,0,0
2020-02-19,西班牙,,-1,-1,2,0,2,0,0
2020-02-19,海南,,3.4339868098500084,867.21,163,0,84,4,75
2020-02-19,广西,,21.184350467812,4602.669999999999,244,0,86,2,156
2020-02-19,台湾,,3.186529964356004,2274.0,23,0,2,1,20
2020-02-19,新疆,,174.73873049803748,2219.3499999999995,76,0,20,1,55
2020-02-19,吉林,,21.318763727273996,2746.23,90,0,37,1,52
2020-02-19,云南,,34.276847991411515,4596.5999999999985,173,0,60,1,112
2020-02-19,泰国,,-1,-1,35,0,15,0,20
2020-02-19,上海,,0.8780426080414991,2301.91,333,0,186,2,145
2020-02-19,青海,,69.29584200680502,562.66,18,0,16,0,2
2020-02-19,北京,,1.7347041510244987,1961.2,393,0,147,4,242
2020-02-19,宁夏,,5.231898559560495,630.14,71,0,42,0,29
2020-02-19,辽宁,,17.002514162973,4374.619999999999,121,0,55,1,65
2020-02-19,江西,,15.266293405413506,4456.749999999999,934,0,362,1,571
2020-02-19,法国,,-1,-1,12,0,4,1,7
2020-02-19,澳大利亚,,-1,-1,15,0,10,0,5
2020-02-19,阿联酋,,-1,-1,9,0,4,0,5
2020-02-19,英国,,-1,-1,9,0,8,0,1
2020-02-19,印度,,-1,-1,3,0,3,0,0
2020-02-19,比利时,,-1,-1,1,0,1,0,0
2020-02-19,重庆,,7.708797246292492,2884.62,555,0,254,5,296
2020-02-19,俄罗斯,,-1,-1,2,0,2,0,0
2020-02-19,加拿大,,-1,-1,8,0,2,0,6
2020-02-19,德国,,-1,-1,16,0,1,0,15
