日期,温度,湿度,aqi,更新日期
2020-01-05,0℃,93%,208,2020-01-05 14:05:00
2020-01-05,0℃,94%,204,2020-01-05 15:03:00
2020-01-05,0℃,95%,207,2020-01-05 15:50:00
2020-01-05,0℃,95%,196,2020-01-05 16:43:00
2020-01-05,0℃,96%,182,2020-01-05 18:03:00
2020-01-05,0℃,96%,162,2020-01-05 18:59:00
2020-01-05,0℃,96%,159,2020-01-05 20:10:00
2020-01-05,0℃,96%,138,2020-01-05 21:02:00
2020-01-05,0℃,97%,137,2020-01-05 22:05:00
2020-01-05,0℃,97%,127,2020-01-05 23:02:00
2020-01-06,0℃,97%,114,2020-01-06 00:58:00
2020-01-06,0℃,97%,118,2020-01-06 01:54:00
2020-01-06,0℃,97%,124,2020-01-06 02:59:00
2020-01-06,-2℃,96%,117,2020-01-06 04:04:00
2020-01-06,-2℃,97%,119,2020-01-06 05:12:00
2020-01-06,-3℃,97%,113,2020-01-06 06:09:00
2020-01-06,-3℃,97%,110,2020-01-06 07:03:00
2020-01-06,-4℃,97%,118,2020-01-06 07:58:00
2020-01-06,-4℃,97%,119,2020-01-06 09:07:00
2020-01-06,-4℃,97%,119,2020-01-06 10:07:00
2020-01-06,-3℃,97%,137,2020-01-06 10:30:00
2020-01-06,0℃,96%,135,2020-01-06 11:57:00
2020-01-06,0℃,82%,119,2020-01-06 12:52:00
2020-01-06,1℃,75%,133,2020-01-06 14:09:00
2020-01-06,1℃,69%,124,2020-01-06 15:04:00
2020-01-06,1℃,74%,115,2020-01-06 15:45:00
2020-01-06,0℃,83%,119,2020-01-06 16:47:00
2020-01-06,0℃,87%,127,2020-01-06 17:51:00
2020-01-06,0℃,89%,139,2020-01-06 19:05:00
2020-01-06,0℃,90%,142,2020-01-06 19:55:00
2020-01-06,0℃,90%,150,2020-01-06 21:06:00
2020-01-06,0℃,89%,168,2020-01-06 22:07:00
2020-01-06,0℃,89%,137,2020-01-06 22:58:00
2020-01-07,0℃,90%,169,2020-01-07 01:10:00
2020-01-07,0℃,91%,175,2020-01-07 02:03:00
2020-01-07,0℃,89%,206,2020-01-07 02:56:00
2020-01-07,0℃,89%,209,2020-01-07 04:08:00
2020-01-07,0℃,90%,205,2020-01-07 05:03:00
2020-01-07,0℃,92%,206,2020-01-07 06:00:00
2020-01-07,0℃,91%,204,2020-01-07 07:00:00
2020-01-07,0℃,90%,186,2020-01-07 07:47:00
2020-01-07,0℃,85%,169,2020-01-07 09:04:00
2020-01-07,0℃,86%,150,2020-01-07 10:05:00
2020-01-07,1℃,81%,130,2020-01-07 11:05:00
2020-01-07,2℃,77%,135,2020-01-07 12:00:00
2020-01-07,3℃,70%,100,2020-01-07 13:08:00
2020-01-07,3℃,70%,87,2020-01-07 13:50:00
2020-01-07,2℃,71%,67,2020-01-07 14:55:00
2020-01-07,2℃,73%,65,2020-01-07 15:51:00
2020-01-07,1℃,78%,78,2020-01-07 17:02:00
2020-01-07,0℃,82%,77,2020-01-07 18:02:00
2020-01-07,0℃,78%,73,2020-01-07 19:01:00
2020-01-07,0℃,87%,79,2020-01-07 20:08:00
2020-01-07,-1℃,89%,80,2020-01-07 21:09:00
2020-01-07,-1℃,90%,88,2020-01-07 21:51:00
2020-01-07,-1℃,92%,80,2020-01-07 22:56:00
2020-01-08,-2℃,93%,82,2020-01-08 00:00:00
2020-01-08,-3℃,93%,80,2020-01-08 00:55:00
2020-01-08,-2℃,95%,82,2020-01-08 01:57:00
2020-01-08,-2℃,92%,84,2020-01-08 03:00:00
