日期,温度,湿度,aqi,更新日期
2020-01-05,-1℃,71%,148,2020-01-05 13:03:00
2020-01-05,-1℃,73%,140,2020-01-05 13:48:00
2020-01-05,-1℃,75%,145,2020-01-05 14:42:00
2020-01-05,0℃,73%,138,2020-01-05 15:57:00
2020-01-05,-1℃,78%,142,2020-01-05 16:57:00
2020-01-05,-1℃,81%,137,2020-01-05 18:03:00
2020-01-05,-1℃,81%,153,2020-01-05 19:06:00
2020-01-05,-1℃,83%,176,2020-01-05 19:42:00
2020-01-05,-1℃,75%,186,2020-01-05 21:02:00
2020-01-05,-1℃,74%,152,2020-01-05 21:52:00
2020-01-05,-2℃,77%,152,2020-01-05 23:03:00
2020-01-06,-2℃,75%,166,2020-01-06 00:58:00
2020-01-06,-2℃,77%,163,2020-01-06 01:37:00
2020-01-06,-3℃,81%,165,2020-01-06 02:59:00
2020-01-06,-2℃,74%,160,2020-01-06 04:02:00
2020-01-06,-2℃,70%,152,2020-01-06 04:56:00
2020-01-06,-2℃,69%,153,2020-01-06 06:09:00
2020-01-06,-2℃,68%,135,2020-01-06 07:03:00
2020-01-06,-2℃,67%,134,2020-01-06 07:58:00
2020-01-06,-2℃,65%,143,2020-01-06 09:07:00
2020-01-06,-1℃,63%,137,2020-01-06 10:07:00
2020-01-06,-1℃,62%,129,2020-01-06 10:30:00
2020-01-06,-1℃,65%,129,2020-01-06 11:54:00
2020-01-06,-1℃,67%,137,2020-01-06 12:52:00
2020-01-06,-1℃,64%,124,2020-01-06 13:59:00
2020-01-06,-1℃,59%,130,2020-01-06 15:04:00
2020-01-06,-1℃,59%,138,2020-01-06 15:45:00
2020-01-06,-2℃,65%,143,2020-01-06 16:59:00
2020-01-06,-2℃,72%,165,2020-01-06 18:09:00
2020-01-06,-3℃,75%,202,2020-01-06 19:05:00
2020-01-06,-2℃,73%,236,2020-01-06 19:55:00
2020-01-06,-2℃,73%,232,2020-01-06 20:56:00
2020-01-06,-3℃,62%,232,2020-01-06 22:07:00
2020-01-06,-3℃,50%,229,2020-01-06 22:58:00
2020-01-07,-4℃,52%,185,2020-01-07 00:00:00
2020-01-07,-5℃,56%,114,2020-01-07 01:10:00
2020-01-07,-6℃,59%,82,2020-01-07 02:03:00
2020-01-07,-7℃,65%,35,2020-01-07 02:56:00
2020-01-07,-7℃,66%,33,2020-01-07 04:08:00
2020-01-07,-8℃,70%,52,2020-01-07 05:03:00
