日期,温度,湿度,aqi,更新日期
2020-01-01,8℃,100%,53,2020-01-01 01:05:00
2020-01-01,8℃,100%,41,2020-01-01 02:08:00
2020-01-01,8℃,100%,35,2020-01-01 03:00:00
2020-01-01,8℃,100%,28,2020-01-01 03:57:00
2020-01-01,9℃,100%,28,2020-01-01 05:10:00
2020-01-01,9℃,100%,25,2020-01-01 06:06:00
2020-01-01,9℃,100%,29,2020-01-01 07:07:00
2020-01-01,9℃,100%,36,2020-01-01 08:00:00
2020-01-01,10℃,100%,43,2020-01-01 08:47:00
2020-01-01,11℃,98%,46,2020-01-01 10:10:00
2020-01-01,12℃,93%,48,2020-01-01 11:05:00
2020-01-01,13℃,81%,53,2020-01-01 11:58:00
2020-01-01,14℃,76%,52,2020-01-01 12:49:00
2020-01-01,16℃,70%,49,2020-01-01 14:09:00
2020-01-01,16℃,70%,45,2020-01-01 14:45:00
2020-01-01,17℃,64%,46,2020-01-01 15:52:00
2020-01-01,17℃,67%,47,2020-01-01 17:04:00
2020-01-01,16℃,69%,46,2020-01-01 18:10:00
2020-01-01,15℃,72%,47,2020-01-01 19:10:00
2020-01-01,15℃,76%,51,2020-01-01 19:56:00
2020-01-01,14℃,79%,51,2020-01-01 21:06:00
2020-01-01,14℃,82%,53,2020-01-01 22:11:00
2020-01-01,14℃,84%,54,2020-01-01 22:51:00
2020-01-02,13℃,86%,53,2020-01-02 00:07:00
2020-01-02,13℃,87%,53,2020-01-02 01:03:00
2020-01-02,13℃,88%,52,2020-01-02 01:58:00
2020-01-02,10℃,92%,51,2020-01-02 02:54:00
2020-01-02,9℃,93%,50,2020-01-02 04:10:00
2020-01-02,8℃,93%,49,2020-01-02 05:08:00
2020-01-02,8℃,94%,54,2020-01-02 05:50:00
2020-01-02,7℃,94%,58,2020-01-02 07:08:00
2020-01-02,7℃,94%,60,2020-01-02 07:51:00
2020-01-02,9℃,90%,62,2020-01-02 09:10:00
2020-01-02,10℃,86%,65,2020-01-02 10:10:00
2020-01-02,12℃,80%,73,2020-01-02 11:01:00
2020-01-02,15℃,71%,73,2020-01-02 12:04:00
2020-01-02,17℃,67%,73,2020-01-02 12:56:00
2020-01-02,18℃,63%,66,2020-01-02 13:50:00
2020-01-02,19℃,60%,54,2020-01-02 15:10:00
2020-01-02,16℃,62%,45,2020-01-02 16:04:00
2020-01-02,11℃,78%,47,2020-01-02 17:04:00
2020-01-02,9℃,86%,52,2020-01-02 18:08:00
2020-01-02,8℃,92%,65,2020-01-02 19:02:00
2020-01-02,7℃,94%,92,2020-01-02 20:08:00
2020-01-02,7℃,95%,93,2020-01-02 21:05:00
2020-01-02,7℃,97%,87,2020-01-02 22:10:00
2020-01-02,7℃,97%,78,2020-01-02 22:56:00
2020-01-03,7℃,98%,70,2020-01-03 00:08:00
2020-01-03,6℃,100%,70,2020-01-03 01:07:00
2020-01-03,6℃,100%,73,2020-01-03 02:06:00
2020-01-03,6℃,100%,67,2020-01-03 03:00:00
2020-01-03,6℃,100%,58,2020-01-03 03:59:00
2020-01-03,6℃,100%,52,2020-01-03 05:01:00
2020-01-03,6℃,100%,45,2020-01-03 06:08:00
2020-01-03,6℃,100%,42,2020-01-03 07:04:00
2020-01-03,6℃,100%,40,2020-01-03 08:08:00
2020-01-03,6℃,100%,39,2020-01-03 09:01:00
2020-01-03,6℃,100%,35,2020-01-03 09:50:00
2020-01-03,6℃,98%,34,2020-01-03 10:54:00
2020-01-03,7℃,95%,38,2020-01-03 12:10:00
2020-01-03,7℃,93%,41,2020-01-03 12:47:00
2020-01-03,7℃,92%,46,2020-01-03 14:01:00
2020-01-03,7℃,90%,50,2020-01-03 15:06:00
2020-01-03,7℃,92%,51,2020-01-03 15:52:00
2020-01-03,7℃,94%,51,2020-01-03 17:05:00
2020-01-03,7℃,96%,51,2020-01-03 18:00:00
2020-01-03,7℃,96%,53,2020-01-03 18:53:00
2020-01-03,7℃,97%,52,2020-01-03 19:53:00
2020-01-03,7℃,98%,48,2020-01-03 21:08:00
2020-01-03,7℃,98%,46,2020-01-03 21:52:00
2020-01-03,6℃,100%,45,2020-01-03 22:46:00
2020-01-04,6℃,100%,47,2020-01-04 00:01:00
2020-01-04,6℃,100%,43,2020-01-04 01:07:00
2020-01-04,6℃,100%,35,2020-01-04 02:07:00
2020-01-04,6℃,100%,25,2020-01-04 03:01:00
2020-01-04,6℃,100%,22,2020-01-04 04:07:00
2020-01-04,6℃,100%,18,2020-01-04 04:50:00
2020-01-04,6℃,100%,16,2020-01-04 06:01:00
2020-01-04,6℃,100%,15,2020-01-04 07:00:00
2020-01-04,6℃,100%,18,2020-01-04 08:02:00
2020-01-04,6℃,100%,15,2020-01-04 09:09:00
2020-01-04,6℃,100%,16,2020-01-04 10:05:00
2020-01-04,6℃,100%,16,2020-01-04 11:09:00
2020-01-04,6℃,100%,23,2020-01-04 12:06:00
2020-01-04,7℃,100%,35,2020-01-04 12:36:00
2020-01-04,7℃,100%,41,2020-01-04 14:05:00
2020-01-04,8℃,100%,54,2020-01-04 14:50:00
2020-01-04,8℃,100%,67,2020-01-04 16:10:00
2020-01-04,8℃,100%,68,2020-01-04 17:02:00
2020-01-04,8℃,100%,77,2020-01-04 17:56:00
2020-01-04,8℃,100%,78,2020-01-04 18:51:00
2020-01-04,10℃,100%,78,2020-01-04 19:54:00
2020-01-04,11℃,100%,88,2020-01-04 21:03:00
2020-01-04,11℃,100%,84,2020-01-04 22:04:00
2020-01-04,11℃,100%,69,2020-01-04 22:56:00
2020-01-05,11℃,100%,32,2020-01-05 00:49:00
2020-01-05,11℃,100%,20,2020-01-05 01:55:00
2020-01-05,11℃,100%,22,2020-01-05 03:02:00
2020-01-05,11℃,99%,19,2020-01-05 04:03:00
2020-01-05,11℃,99%,15,2020-01-05 05:03:00
2020-01-05,12℃,98%,14,2020-01-05 06:08:00
2020-01-05,12℃,96%,15,2020-01-05 06:59:00
2020-01-05,13℃,95%,20,2020-01-05 07:56:00
2020-01-05,13℃,93%,19,2020-01-05 09:08:00
2020-01-05,13℃,91%,22,2020-01-05 09:57:00
2020-01-05,15℃,84%,23,2020-01-05 11:04:00
2020-01-05,16℃,77%,24,2020-01-05 11:47:00
2020-01-05,17℃,70%,29,2020-01-05 13:03:00
2020-01-05,18℃,66%,30,2020-01-05 13:48:00
2020-01-05,18℃,65%,29,2020-01-05 15:05:00
2020-01-05,17℃,68%,25,2020-01-05 15:49:00
2020-01-05,16℃,73%,26,2020-01-05 16:57:00
2020-01-05,15℃,77%,32,2020-01-05 18:03:00
2020-01-05,15℃,78%,32,2020-01-05 18:59:00
2020-01-05,15℃,82%,31,2020-01-05 20:06:00
2020-01-05,14℃,85%,30,2020-01-05 21:02:00
2020-01-05,14℃,82%,29,2020-01-05 21:52:00
2020-01-05,14℃,84%,28,2020-01-05 23:02:00
2020-01-06,14℃,86%,24,2020-01-06 00:10:00
2020-01-06,14℃,93%,23,2020-01-06 01:07:00
2020-01-06,14℃,95%,26,2020-01-06 01:28:00
2020-01-06,13℃,100%,26,2020-01-06 03:07:00
2020-01-06,13℃,100%,27,2020-01-06 04:02:00
2020-01-06,13℃,100%,22,2020-01-06 04:56:00
2020-01-06,13℃,99%,22,2020-01-06 06:09:00
2020-01-06,13℃,99%,22,2020-01-06 07:03:00
2020-01-06,13℃,98%,20,2020-01-06 07:58:00
2020-01-06,14℃,94%,19,2020-01-06 09:07:00
2020-01-06,14℃,85%,20,2020-01-06 10:09:00
2020-01-06,15℃,77%,20,2020-01-06 10:43:00
2020-01-06,15℃,80%,19,2020-01-06 11:54:00
2020-01-06,15℃,85%,20,2020-01-06 12:55:00
2020-01-06,15℃,82%,25,2020-01-06 13:59:00
2020-01-06,15℃,87%,20,2020-01-06 15:04:00
2020-01-06,15℃,83%,27,2020-01-06 15:45:00
2020-01-06,15℃,84%,27,2020-01-06 16:42:00
2020-01-06,14℃,92%,34,2020-01-06 17:51:00
2020-01-06,15℃,73%,30,2020-01-06 19:05:00
2020-01-06,13℃,72%,29,2020-01-06 19:55:00
2020-01-06,13℃,88%,27,2020-01-06 21:03:00
2020-01-06,13℃,94%,19,2020-01-06 22:07:00
2020-01-06,9℃,85%,21,2020-01-06 22:58:00
2020-01-07,7℃,87%,29,2020-01-07 00:00:00
2020-01-07,7℃,85%,40,2020-01-07 01:10:00
2020-01-07,6℃,82%,26,2020-01-07 02:03:00
2020-01-07,6℃,84%,21,2020-01-07 02:56:00
2020-01-07,6℃,85%,21,2020-01-07 03:45:00
2020-01-07,5℃,84%,21,2020-01-07 05:03:00
2020-01-07,5℃,85%,22,2020-01-07 05:59:00
2020-01-07,4℃,85%,26,2020-01-07 07:00:00
2020-01-07,4℃,85%,27,2020-01-07 07:50:00
2020-01-07,6℃,80%,35,2020-01-07 09:04:00
2020-01-07,7℃,75%,48,2020-01-07 10:09:00
2020-01-07,9℃,64%,54,2020-01-07 11:16:00
2020-01-07,10℃,63%,54,2020-01-07 12:05:00
2020-01-07,12℃,57%,53,2020-01-07 12:55:00
2020-01-07,13℃,59%,60,2020-01-07 13:50:00
2020-01-07,14℃,55%,59,2020-01-07 14:56:00
2020-01-07,15℃,50%,57,2020-01-07 15:51:00
2020-01-07,16℃,50%,53,2020-01-07 17:05:00
2020-01-07,15℃,56%,54,2020-01-07 18:02:00
2020-01-07,14℃,59%,53,2020-01-07 19:01:00
2020-01-07,13℃,65%,56,2020-01-07 20:03:00
2020-01-07,13℃,73%,65,2020-01-07 21:09:00
2020-01-07,12℃,76%,69,2020-01-07 22:07:00
2020-01-07,12℃,82%,70,2020-01-07 23:03:00
2020-01-08,12℃,85%,71,2020-01-08 00:00:00
2020-01-08,12℃,87%,71,2020-01-08 01:10:00
2020-01-08,12℃,87%,65,2020-01-08 01:56:00
2020-01-08,12℃,87%,65,2020-01-08 03:04:00
2020-01-08,12℃,86%,63,2020-01-08 04:02:00
2020-01-08,12℃,89%,66,2020-01-08 05:12:00
2020-01-08,13℃,88%,62,2020-01-08 05:58:00
2020-01-08,12℃,90%,56,2020-01-08 07:03:00
2020-01-08,12℃,91%,46,2020-01-08 07:59:00
2020-01-08,13℃,91%,44,2020-01-08 09:01:00
2020-01-08,14℃,88%,48,2020-01-08 09:53:00
2020-01-08,14℃,88%,52,2020-01-08 11:00:00
2020-01-08,15℃,82%,49,2020-01-08 12:08:00
2020-01-08,16℃,81%,45,2020-01-08 13:00:00
2020-01-08,18℃,69%,46,2020-01-08 13:58:00
2020-01-08,18℃,67%,46,2020-01-08 14:53:00
2020-01-08,18℃,67%,42,2020-01-08 16:04:00
2020-01-08,18℃,68%,44,2020-01-08 16:55:00
2020-01-08,17℃,71%,45,2020-01-08 18:03:00
2020-01-08,17℃,74%,41,2020-01-08 18:56:00
2020-01-08,16℃,78%,44,2020-01-08 19:58:00
2020-01-08,16℃,80%,44,2020-01-08 20:50:00
2020-01-08,15℃,82%,43,2020-01-08 22:03:00
2020-01-08,13℃,79%,45,2020-01-08 23:04:00
2020-01-09,10℃,85%,46,2020-01-09 00:04:00
2020-01-09,9℃,88%,51,2020-01-09 00:45:00
2020-01-09,8℃,90%,47,2020-01-09 01:57:00
2020-01-09,7℃,91%,53,2020-01-09 02:55:00
2020-01-09,7℃,94%,54,2020-01-09 04:05:00
2020-01-09,6℃,96%,58,2020-01-09 05:01:00
2020-01-09,5℃,96%,62,2020-01-09 06:02:00
2020-01-09,5℃,96%,54,2020-01-09 07:01:00
2020-01-09,5℃,96%,50,2020-01-09 07:58:00
2020-01-09,4℃,95%,49,2020-01-09 08:59:00
2020-01-09,4℃,94%,49,2020-01-09 09:56:00
2020-01-09,4℃,94%,48,2020-01-09 11:08:00
2020-01-09,5℃,90%,46,2020-01-09 11:58:00
2020-01-09,6℃,86%,43,2020-01-09 12:58:00
2020-01-09,6℃,85%,40,2020-01-09 14:02:00
2020-01-09,6℃,83%,43,2020-01-09 15:00:00
2020-01-09,6℃,87%,43,2020-01-09 15:57:00
2020-01-09,5℃,91%,41,2020-01-09 16:55:00
2020-01-09,4℃,97%,41,2020-01-09 18:05:00
2020-01-09,4℃,99%,45,2020-01-09 19:05:00
2020-01-09,4℃,99%,47,2020-01-09 19:41:00
2020-01-09,4℃,99%,47,2020-01-09 21:04:00
2020-01-09,4℃,100%,44,2020-01-09 22:10:00
2020-01-09,3℃,100%,36,2020-01-09 23:00:00
2020-01-10,3℃,100%,30,2020-01-10 00:57:00
2020-01-10,3℃,100%,22,2020-01-10 01:57:00
2020-01-10,3℃,100%,15,2020-01-10 02:59:00
2020-01-10,3℃,100%,13,2020-01-10 04:07:00
2020-01-10,3℃,100%,15,2020-01-10 04:56:00
2020-01-10,2℃,100%,13,2020-01-10 06:02:00
2020-01-10,2℃,100%,14,2020-01-10 06:58:00
2020-01-10,2℃,100%,13,2020-01-10 08:02:00
