SgnQuarter	Status	GDP	GDP_Primary	GDP_Secondary	GDP_Tertiary	GDPYoY	GDP_PrimaryYoY	GDP_SecondaryYoY	GDP_TertiaryYoY
2009-03	R	73283.60	4485.10	32061.10	36737.50	6.2000	3.8000	5.5000	7.1000
2009-06	R	156897.80	11947.10	70871.00	74079.80	7.1000	3.8000	6.8000	7.9000
2009-09	R	245821.30	21867.40	111589.00	112364.90	8.3000	3.9000	8.4000	9.0000
2010-03	R	86684.30	4994.00	38762.20	42928.10	12.2000	3.9000	15.4000	10.1000
2010-06	R	185744.20	13513.30	85486.50	86744.30	11.4000	3.7000	14.0000	9.9000
2010-09	R	290694.80	25145.40	133677.50	131871.80	10.9000	4.0000	13.1000	9.8000
2011-03	R	103456.90	5784.60	46403.60	51268.60	10.2000	3.2000	11.3000	9.9000
2011-06	R	221921.90	15800.90	102373.10	103747.80	10.1000	2.9000	11.1000	10.1000
2011-09	R	347201.20	29662.70	160061.90	157476.60	9.8000	3.5000	11.0000	9.9000
2012-03	R	116147.90	6725.80	51321.70	58100.30	8.1000	3.7000	9.5000	7.3000
2012-06	R	246913.70	17652.80	111639.50	117621.50	7.6000	4.3000	8.7000	7.6000
2012-09	R	383636.60	32496.40	172779.20	178361.00	7.5000	4.2000	8.3000	7.8000
2003-12	R	137422.00	16970.20	62697.40	57754.40	10.0000	2.4000	12.7000	9.5000
2004-12	R	161840.20	20904.30	74286.90	66648.90	10.1000	6.1000	11.1000	10.1000
2005-12	R	187318.90	21806.70	88084.40	77427.80	11.4000	5.1000	12.1000	12.3000
2006-12	R	219438.50	23317.00	104361.80	91759.70	12.7000	4.8000	13.4000	14.1000
2007-12	R	270092.30	27674.10	126633.60	115784.60	14.2000	3.5000	15.0000	16.1000
2008-12	R	319244.60	32464.10	149956.60	136823.90	9.7000	5.2000	9.8000	10.5000
2009-12	R	348517.70	33583.80	160171.70	154762.20	9.4000	4.0000	10.1000	9.5000
2010-12	R	412119.30	38430.80	191629.80	182058.60	10.6000	4.3000	12.7000	9.7000
2011-12	R	487940.20	44781.40	227038.80	216120.00	9.5000	4.2000	10.7000	9.5000
2012-12	R	538580.00	49084.50	244643.30	244852.20	8.1000	4.5000	8.4000	8.0000
2013-03	R	128083.50	7213.80	54709.10	66160.70	7.9000	3.0000	7.8000	8.4000
2013-06	R	271115.30	18917.20	118561.20	133637.00	7.7000	2.8000	7.7000	8.3000
1992-03	R	5234.80	651.80	2382.80	2200.20	13.6000	8.8000	18.3000	9.7000
1992-06	R	11771.50	1992.70	5161.60	4617.20	13.8000	7.0000	19.3000	10.8000
1992-09	R	18894.10	3663.20	8279.80	6951.10	14.1000	5.3000	20.0000	12.4000
1993-03	R	6803.10	733.70	3285.30	2784.10	15.4000	5.0000	21.1000	12.0000
1993-06	R	15219.30	2244.60	7199.60	5775.10	14.3000	4.4000	20.5000	11.2000
1993-09	R	24524.60	4211.60	11575.90	8737.10	13.8000	4.3000	19.8000	11.5000
1994-03	R	9337.80	985.70	4543.60	3808.50	14.2000	5.1000	18.2000	11.8000
1994-06	R	20904.70	3028.60	9973.70	7902.40	13.7000	4.4000	18.5000	11.3000
1994-09	R	33669.20	5778.30	15912.90	11978.00	13.5000	4.1000	18.5000	11.4000
1995-03	R	12065.90	1349.30	5871.50	4845.20	12.0000	5.4000	14.4000	10.6000
1995-06	R	26793.80	4014.60	12873.10	9906.10	11.4000	5.6000	14.2000	9.8000
1995-09	R	42829.10	7488.70	20422.30	14918.10	11.0000	5.2000	14.0000	9.6000
1996-03	R	14572.60	1643.50	7136.00	5793.10	10.9000	5.2000	12.9000	9.6000
1996-06	R	31858.80	4847.80	15316.60	11694.30	10.1000	5.0000	11.8000	9.6000
1996-09	R	50316.70	8707.10	24111.30	17498.30	9.8000	4.9000	11.7000	9.2000
1997-03	R	16622.60	1759.10	8004.70	6858.80	10.1000	4.8000	10.2000	11.5000
1997-06	R	35921.00	5091.80	17165.70	13663.50	10.0000	4.6000	10.7000	11.2000
1997-09	R	56259.60	9035.10	26837.10	20387.50	9.5000	3.8000	10.3000	11.2000
1998-03	R	17976.70	1863.20	8327.90	7785.60	7.2000	3.6000	7.5000	7.9000
1998-06	R	38404.60	5218.20	17736.90	15449.50	7.0000	2.5000	7.6000	7.9000
1998-09	R	60011.40	9213.30	27728.40	23069.70	7.3000	2.7000	8.1000	8.1000
1999-03	R	19274.50	1886.70	8711.40	8676.40	8.8000	3.7000	9.5000	9.2000
1999-06	R	40958.20	5237.50	18632.80	17087.90	8.3000	3.0000	9.1000	8.8000
1999-09	R	63823.40	9210.60	29117.50	25495.30	8.0000	3.0000	8.7000	9.1000
2000-03	R	21215.50	1917.40	9474.90	9823.20	8.6000	2.5000	8.8000	9.8000
2000-06	R	45344.30	5284.00	20519.90	19540.40	8.8000	1.7000	9.5000	10.4000
2000-09	R	70836.20	9328.10	32318.50	29189.50	8.8000	2.1000	9.7000	10.3000
2001-03	R	23950.30	2027.10	10553.40	11369.80	9.4000	3.5000	9.1000	10.8000
2001-06	R	50746.10	5478.00	22767.50	22500.60	8.9000	2.0000	9.4000	10.3000
2001-09	R	78832.30	9829.20	35455.10	33548.00	8.6000	2.6000	8.8000	10.3000
2002-03	R	26132.90	2162.00	11216.20	12754.70	8.8000	2.7000	8.7000	10.0000
2002-06	R	55378.50	5774.20	24398.30	25206.10	8.8000	2.1000	9.3000	9.8000
2002-09	R	86349.90	10394.30	38297.90	37657.80	9.1000	2.9000	9.7000	10.2000
2013-09	R	421835.10	35115.10	184015.70	202704.30	7.8000	3.3000	7.9000	8.4000
1992-12	R	27194.50	5800.30	11725.30	9668.90	14.2000	4.7000	21.2000	12.6000
1993-12	R	35673.20	6887.60	16473.10	12312.60	13.9000	4.6000	19.9000	12.2000
1994-12	R	48637.50	9471.80	22453.10	16712.50	13.0000	3.9000	18.3000	11.4000
1995-12	R	61339.90	12020.50	28677.50	20641.90	11.0000	4.9000	13.9000	10.1000
1996-12	R	71813.60	13878.30	33828.10	24107.20	9.9000	5.0000	12.1000	9.2000
1997-12	R	79715.00	14265.20	37546.00	27903.80	9.2000	3.4000	10.5000	10.4000
1998-12	R	85195.50	14618.70	39018.50	31558.30	7.8000	3.4000	8.9000	8.4000
1999-12	R	90564.40	14549.00	41080.90	34934.50	7.7000	2.7000	8.2000	9.2000
2000-12	R	100280.10	14717.40	45664.80	39897.90	8.5000	2.3000	9.4000	9.7000
2001-12	R	110863.10	15502.50	49660.70	45700.00	8.3000	2.6000	8.4000	10.2000
2002-12	R	121717.40	16190.20	54105.50	51421.70	9.1000	2.7000	9.8000	10.5000
2013-12	R	592963.20	53028.10	261956.10	277979.10	7.8000	3.8000	8.0000	8.3000
2014-03	R	138738.00	7490.50	57854.30	73393.10	7.4000	3.2000	7.6000	7.6000
2014-06	R	293939.00	19940.30	125852.10	148146.60	7.4000	3.7000	7.7000	7.6000
2014-09	R	457405.90	37197.90	195496.30	224711.70	7.3000	4.1000	7.6000	7.6000
2014-12	R	641280.60	55626.30	277571.80	308082.50	7.3000	4.1000	7.4000	7.8000
2015-03	R	147961.80	7770.00	58930.60	81261.20	7.0000	3.1000	6.4000	7.8000
2015-06	R	314178.20	21110.00	127997.70	165070.60	7.0000	3.5000	6.3000	8.1000
2015-09	R	487773.50	39195.00	197799.20	250779.40	6.9000	3.8000	6.2000	8.2000
2015-12	R	685992.90	57774.60	282040.30	346178.00	6.9000	3.9000	6.2000	8.2000
2016-03	R	158526.40	8803.00	59509.50	90213.90	6.7000	2.9000	5.9000	7.6000
2016-06	R	340636.80	22096.70	134250.40	184289.60	6.7000	3.1000	6.1000	7.5000
2016-09	R	529971.20	40665.70	209415.30	279890.20	6.7000	3.5000	6.1000	7.6000
2016-12	R	740060.80	60139.20	296547.70	383373.90	6.7000	3.3000	6.1000	7.8000
2017-03	R	180682.70	8654.00	70004.50	102024.20	6.9000	3.0000	6.4000	7.7000
2017-06	R	381490.00	21987.00	152987.40	206515.60	6.9000	3.5000	6.4000	7.7000
2017-09	R	593288.10	41228.70	238108.50	313950.80	6.9000	3.7000	6.3000	7.8000
2017-12	R	820754.30	62099.50	332742.70	425912.10	6.9000	3.9000	6.1000	8.0000
2018-03	R	198783.10	8904.00	77451.30	112427.80	6.8000	3.2000	6.3000	7.5000
2018-06	R	418961.10	22087.00	169298.50	227575.60	6.8000	3.2000	6.1000	7.6000
2018-09	R	650898.80	42172.60	262953.10	345773.20	6.7000	3.4000	5.8000	7.7000
2018-12	R	900309.50	64734.00	366000.90	469574.60	6.4000	3.5000	5.8000	7.6000
2019-03	R	218062.80	8769.40	81806.50	127486.90	6.4000	2.7000	6.1000	7.0000
2019-06	R	460636.70	23207.00	179122.10	258307.50	6.3000	3.0000	5.8000	7.0000
2019-09	R	712845.40	43005.00	276912.50	392927.90	6.2000	2.9000	5.6000	7.0000
2019-12	P	990865.10	70466.70	386165.30	534233.10	6.1000	3.1000	5.7000	6.9000
