SgnQuarter	Status	GDP	GDP_Primary	GDP_Secondary	GDP_Tertiary	GDPYoY	GDP_PrimaryYoY	GDP_SecondaryYoY	GDP_TertiaryYoY
统计期间	数据性质	国内生产总值	国内生产总值-第一产业	国内生产总值-第二产业	国内生产总值-第三产业	同比增速(%)	同比增速-第一产业(%)	同比增速-第二产业(%)	同比增速-第三产业(%)
没有单位	没有单位	亿元	亿元	亿元	亿元	没有单位	没有单位	没有单位	没有单位
2003-03	R	29631.10	2240.70	13021.80	14368.60	11.0000	2.8000	13.2000	10.4000
2003-06	R	62194.10	5921.20	28102.10	28170.80	10.0000	2.1000	12.2000	9.6000
2003-09	R	97162.50	10850.00	44251.60	42060.80	10.0000	2.6000	12.5000	9.3000
2004-03	R	34290.60	2637.50	15132.20	16521.00	10.5000	4.2000	12.3000	9.8000
2004-06	R	73003.70	7176.40	33034.10	32793.20	11.0000	4.6000	12.1000	11.2000
2004-09	R	114439.50	13388.20	52210.30	48841.10	10.6000	5.8000	11.5000	10.8000
2005-03	R	40130.90	2910.10	17956.10	19264.70	11.0000	4.8000	11.1000	11.9000
2005-06	R	84879.10	7649.90	39149.50	38079.70	11.0000	4.9000	11.5000	11.7000
2005-09	R	132429.30	14022.80	61677.40	56729.10	10.9000	4.9000	11.4000	11.9000
2006-03	R	46678.30	3043.00	21165.40	22469.90	12.5000	4.4000	13.1000	13.1000
2006-06	R	99238.70	8116.60	46446.90	44675.20	13.1000	4.8000	14.2000	13.6000
2006-09	R	154706.50	14887.90	73075.60	66743.00	12.8000	4.7000	13.7000	13.7000
2007-03	R	56686.60	3523.00	25669.10	27494.60	13.8000	4.1000	14.8000	14.1000
2007-06	R	121335.50	9435.10	56429.90	55470.50	14.3000	3.9000	15.5000	15.0000
2007-09	R	190125.00	17626.40	88707.70	83791.00	14.3000	4.0000	15.2000	15.6000
2008-03	R	68778.40	4446.00	31209.00	33123.40	11.5000	2.8000	12.8000	11.5000
2008-06	R	147316.00	11800.80	68982.70	66532.40	11.2000	3.5000	12.2000	11.5000
2008-09	R	228935.40	21469.60	107396.40	100069.40	10.6000	4.4000	11.1000	11.3000
