,Hebei,Tianjin,Henan,Shandong,Shanxi,Jiangsu,Anhui,Sichuan,Inner Mongolia,Guangdong,Hubei,Heilongjiang,Liaoning,Shanghai,Shaanxi,Zhejiang,Hunan,Hainan,Gansu,Jiangxi,Jilin,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.6793923405600001,0.4412478045600001,0.3589178364000001,0.28271158488000003,0.14152589568,0.12689701704,0.12179391984000001,0.11771144207999999,0.10376297640000001,0.09219595607999999,0.08573203296000001,0.08471141352000001,0.08301038112,0.07586604504000001,0.07280418672000001,0.07178356727999999,0.05987634048000001,0.058855721039999996,0.051030972,0.049670146080000005,0.049670146080000005,0.03878353872,0.036742299840000006,0.030958789680000005,0.02007218232,0.02007218232,0.018371149920000003,0.012587639760000002,0.00612371664,0.0013608259200000002,
Tianjin,0.6520284864,,0.16707586175999994,0.24577250688,0.06757198848,0.06159763584000001,0.06221567232000001,0.03440403072,0.05953751424000001,0.028841702400000002,0.04161445632,0.05809542912000001,0.066953952,0.02142526464,0.02801765376,0.029459738880000003,0.020601216,0.01318477824,0.0216312768,0.015038887680000002,0.038524273920000005,0.017305021440000002,0.017717045759999998,0.01215471744,0.00638637696,0.008652510720000001,0.00453226752,0.0051503040000000005,0.0020601216,0.00041202432,0.24803864064
Hebei,,0.5542496604,0.2510896158,0.433085778,0.1169081262,0.07735462739999999,0.0683424378,0.041305869,0.14845078979999998,0.031292325,0.0428079006,0.0405548532,0.1161571104,0.013768623,0.0408051918,0.0352977426,0.0235318284,0.0085115124,0.016272009,0.017523702,0.0245331828,0.016272009,0.0132679458,0.0107645598,0.0095128668,0.008761851,0.0010013544,0.0032544018,0.0022530474,0.0002503386,0.3319489836
Shanxi,0.14320577088000006,0.034511300640000006,0.33366299544000005,0.11788673256,,0.05354089632000001,0.036607781520000014,0.047412721440000014,0.16046142119999998,0.026286644879999998,0.039026797920000016,0.009676065600000002,0.011772546480000002,0.015804240480000002,0.3688193671200001,0.029189464560000006,0.018545792400000004,0.012095082000000002,0.015642972720000002,0.01064367216,0.0070957814400000015,0.017739453600000003,0.016126776000000002,0.009030994560000005,0.007418316960000002,0.007257049200000002,0.00338662296,0.007740852480000002,0.003225355200000001,0.00032253552000000013,0.046283847120000006
Inner Mongolia,0.123581052,0.025943652000000005,0.047005434000000006,0.06081415200000001,0.165565134,0.024130386000000004,0.013669236,0.014087681999999999,,0.016598358,0.011716488,0.057745548000000015,0.143248014,0.011437524,0.22930840800000005,0.015621984000000004,0.006834618000000001,0.011995452000000002,0.06388275600000001,0.004742388000000001,0.08494453800000001,0.0064161719999999995,0.0069741000000000004,0.00488187,0.0032080859999999998,0.003626532000000001,0.004184460000000001,0.17309716200000005,0.0027896400000000003,0.00013948200000000002,0.054816426000000015
Liaoning,0.13473412991999995,0.03891028751999999,0.04191083208,0.07394890464,0.015099514560000001,0.03978141336,0.02235889656,0.02003589432,0.14964006096000002,0.028359985679999998,0.012582928799999999,0.05972051592,,0.01655139096,0.013550846399999998,0.02826319392,0.013550846399999998,0.01316367936,0.00609788088,0.007840132560000001,0.13705713215999998,0.008130507839999999,0.01084067712,0.00803371608,0.00619467264,0.0077433408,0.00300054456,0.00183904344,0.00203262696,0.00029037528,0.04520175192
Jilin,0.029603394,0.0148739004,0.028736953200000005,0.046210176000000006,0.011335933800000005,0.024260342400000003,0.016534578600000002,0.0118413576,0.09386442000000003,0.0254155968,0.0127800018,0.1131427278,0.13920815520000002,0.0145128834,0.0123467814,0.018772884000000004,0.0103972896,0.015884748000000004,0.0051986448,0.007581357000000001,,0.006209492400000001,0.0083755944,0.005054238,0.0037545767999999998,0.0051264414,0.003249153000000001,0.0027437292000000004,0.0012274578000000002,0.00043322040000000003,0.032130513000000006
Heilongjiang,0.02640507012,0.01772648064,0.021296396880000002,0.048994022879999995,0.0058472766,0.02474321256,0.013664162160000002,0.01083284928,0.06271973532000001,0.035822262960000004,0.01027889676,,0.06019617384,0.01797268176,0.00849393864,0.0218503494,0.006155028000000001,0.03902287752,0.0024620112,0.004677821279999999,0.11509902359999999,0.004677821279999999,0.00904789116,0.006770530800000001,0.0025235614800000004,0.005539525200000001,0.0012310056,0.0009848044800000002,0.0010463547600000002,0.00018465084,0.028066927680000003
Shanghai,0.0248166666,0.028576767599999997,0.32938484760000003,0.19176515100000002,0.0308328282,3.402891405,0.6294409074,0.1323555552,0.014288383799999999,0.2083095954,0.1293474744,0.025568686800000004,0.0240646464,,0.060161615999999994,1.4423747436,0.09249848460000001,0.0443691918,0.03760101,0.17597272679999998,0.0203045454,0.07670606040000001,0.11280303,0.0646737372,0.057153535199999994,0.0353449494,0.015040403999999999,0.007520201999999999,0.0060161616,0.0007520202,0.08272222200000001
Jiangsu,0.09488489040000002,0.045333892080000014,1.11542460048,0.97942292424,0.13178457000000002,,2.4258903645600003,0.24037505568000003,0.027411190560000003,0.21190958856,0.2762204587200001,0.056930934240000015,0.04744244520000001,2.0695448872799997,0.16973852616,1.29570589224,0.16446714335999998,0.027411190560000003,0.10331910287999999,0.23088656664,0.042171062400000014,0.12545891064,0.11913325127999999,0.12335035752000001,0.19504116360000004,0.07063652952,0.02530263744,0.013705595280000002,0.015814148400000002,0.007379935920000001,0.07063652952
