,Hebei,Tianjin,Henan,Shandong,Shanxi,Jiangsu,Anhui,Sichuan,Inner Mongolia,Guangdong,Hubei,Heilongjiang,Liaoning,Shanghai,Shaanxi,Zhejiang,Hunan,Hainan,Gansu,Jiangxi,Jilin,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.05426134596,0.02234290716,1.19268566316,0.23619644711999999,0.05000555411999999,1.36398128472,1.46718423684,0.3447191390400001,0.014895271440000003,0.22768486344,0.56814821064,0.04362186635999999,0.0319184388,1.06607585592,0.12341796336,,0.54048556368,0.026598699,0.053197398,1.19374961112,0.0319184388,0.30960885636,0.3032251686,0.2553475104,0.93201841296,0.09681926436,0.01170342756,0.00638368776,0.00425579184,0.00106394796,0.048941606160000005
Anhui,0.03599833104,0.016964730719999998,0.6409358020800001,0.20150789904,0.030205496160000005,1.5810301483200002,,0.045928905120000016,0.00910302624,0.08772007104000001,0.14813106335999998,0.014068313280000005,0.01282699152,0.28384890912000005,0.04510135728,0.5180449478400001,0.06289363584,0.01117189584,0.018619826400000004,0.13613161968,0.011585669760000002,0.03434323536,0.052135513920000015,0.02689530480000001,0.03392946144,0.020688696000000003,0.00786170448,0.0049652870399999995,0.00372396528,0.0008275478400000001,0.03434323536
Fujian,0.01842466824,0.0097706574,0.1828508742,0.058344782760000005,0.022612092840000004,0.09631076580000003,0.09966070548,0.16526369088,0.006979041,0.37770569892,0.14069746655999998,0.01312059708,0.010608142320000001,0.07649028936,0.035174366639999996,0.29395720692,0.15325974035999998,0.01702886004,0.02400790104,0.4078551560400001,0.008933172480000001,0.13371842556,,0.076769451,0.24761637468,0.06727795524,0.007816525920000001,0.005024909520000001,0.00334993968,0.00111664656,0.022612092840000004
Jiangxi,0.0229357656,0.008725563,0.114678828,0.0550956978,0.0159553152,0.1151774316,0.1523233998,0.04961105820000001,0.008725563,0.4273032852000001,0.210660021,0.011218581000000002,0.011966486399999999,0.0837654048,0.029916216,0.3632327226,0.34677880380000004,0.020193445800000005,0.023683671,,0.0079776576,0.036398062800000006,0.191962386,0.032658535800000006,0.07254682380000001,0.0406361934,0.006481846800000001,0.004238130600000001,0.0054846396000000006,0.0009972072,0.0177004278
Shandong,0.3826609743600001,0.14693460264,0.8040838377600001,,0.13701877056000006,0.94335620652,0.27629113932000005,0.12439862064,0.057241394279999996,0.11313062964,0.11808854568000003,0.123947901,0.0923975262,0.1307086956,0.12755365812000002,0.22716269856000004,0.07121370312000001,0.022085262360000003,0.044621244360000006,0.061748590680000014,0.07256586204000001,0.054086356800000006,0.057241394279999996,0.052283478240000014,0.045522683640000006,0.03831116940000001,0.020282383800000005,0.0157751874,0.01036655172,0.0009014392800000002,0.12710293847999998
Henan,0.12693059316,0.03662143164,,0.58452071472,0.26666091,0.29012707008,0.5404327776,0.08924251787999997,0.0195551334,0.16675195572,0.36301438548,0.013510819440000002,0.017777394,0.09635347548,0.23928372324,0.18915147215999997,0.09102025728,0.026666091,0.0337770486,0.05368772988,0.01031088852,0.04231019772,0.055821017160000014,0.026310543119999998,0.028088282519999997,0.03235485708,0.02168842068,0.008888697,0.00995534064,0.00213328728,0.06684300144
Hubei,0.02499735168,0.01015517412,0.45828478079999996,0.07290894239999997,0.02655968616,0.12394520207999997,0.15362955720000002,0.08462645099999999,0.01093634136,0.22601772144,,0.00937400688,0.01015517412,0.06561804816000001,0.08905306536,0.11613352968,0.41714330615999995,0.01900840284,0.02187268272,0.20648854044,0.009113617799999998,0.19060480656,0.06561804816000001,0.03827719476,0.0507758706,0.04582847808,0.01093634136,0.004947392520000001,0.00442661436,0.0013019454,0.03072591144
Hunan,0.0241253154,0.00965012616,0.12857373972,0.05137273044,0.0184487706,0.07294360067999997,0.055346311799999985,0.06726705588,0.00908247168,0.72006970788,0.43737777683999995,0.01248839856,0.013056053039999998,0.049669767000000004,0.03661371396,0.09735274332,,0.026679760559999998,0.014475189240000002,0.31164230952,0.01106926236,0.09593360712,0.05733310248,0.055630139039999985,0.21343808448,0.19470548664,0.009366298919999998,0.005960372039999999,0.00482506308,0.0034059268799999987,0.02611210608
Guangdong,0.03782637144,0.025217580960000003,0.72099356472,0.12264914376000002,0.036680117760000006,0.20861816976000006,0.16391427624000002,0.59490565992,0.02063256624,,0.9135641829600001,0.04126513248,0.02751008832,0.18569309616000004,0.12723415848,0.22695822864,2.2810448232,0.15932926152000002,0.038972625120000014,1.02818955096,0.024071327280000002,0.3954575196,0.4458926815200001,0.35763114816,0.7909150392000001,2.22717090024,0.016047551519999998,0.00917002944,0.006877522079999999,0.0011462536800000002,0.08138401128
Guangxi,0.02232264096,0.00795404448,0.07825753440000001,0.04721110272,0.0166778352,0.05157299807999999,0.03797414784,0.0808233552,0.006671134079999999,0.97655139648,0.07543513152,0.012572521920000001,0.01077644736,0.03027668544,0.02925035712,0.04900717728,0.30943798848000004,0.033868834560000005,0.01359885024,0.070560072,0.007440880319999998,0.0602967888,0.04952034144,0.18242985888,0.26992434816,,0.0035921491200000006,0.0030789849600000004,0.0030789849600000004,0.00051316416,0.019500238080000003
Hainan,0.01528510176,0.0107182116,0.053311452480000014,0.0284265612,0.021529625040000003,0.030010992480000005,0.020970414000000003,0.06841015056000001,0.011557028160000002,0.18416683584000004,0.0340186716,0.02423247840000001,0.01099781712,0.038865167280000015,0.020131597440000003,0.03140902008,0.05470948008000001,,0.009692991360000002,0.030197396160000008,0.015751110960000002,0.03905157096000001,0.0181743588,0.020690808480000003,0.03672152496,0.054057067199999996,0.007083339840000002,0.0025164496800000003,0.003448468080000001,0.00027960552,0.033832267920000006
Chongqing,0.01602018,0.0071814600000000015,0.06104241,0.03452625,0.01988712,0.055242000000000006,0.03121173,1.3677919200000002,0.00856251,0.10634085,0.17898408000000005,0.00635283,0.00662904,0.03618351,0.054965790000000014,0.05607063,0.09225414,0.03065931,0.02347785,0.02872584,0.0060766200000000005,,0.03259278,0.09639729,0.3082503600000001,0.03452625,0.01822986,0.007733880000000001,0.00662904,0.0038669400000000006,0.020439540000000003
Sichuan,0.0312072264,0.013374525600000001,0.1051386318,0.0598138506,0.034922372399999985,0.07987563899999997,0.045324781200000004,,0.0126314964,0.17684094960000002,0.09064956240000001,0.016718157,0.015603613199999996,0.066872628,0.1868718438,0.081733212,0.0657580842,0.0549841608,0.1081107486,0.0375229746,0.011145438,1.3597434359999998,0.0438387228,0.5152907501999999,0.28978138800000003,0.0460678104,0.0338078286,0.010773923400000001,0.0319502556,0.032321770199999995,0.048668412599999995
Guizhou,0.0039157668,0.0023138622,0.034351954199999986,0.016908992999999997,0.0046277244,0.029012272199999994,0.015307088399999997,0.313261344,0.0023138622,0.12103279199999999,0.041293540799999987,0.0021358727999999994,0.0016019046,0.01779894,0.0183329082,0.054464756399999995,0.20148400079999998,0.008543491199999998,0.005161692599999999,0.029012272199999994,0.0023138622,0.2926145736,0.029012272199999994,0.363098376,,0.1559187144,0.0014239151999999998,0.000889947,0.000889947,0.0005339681999999999,0.008009523000000001
Yunnan,0.0124203456,0.007643289599999999,0.050445711359999985,0.031719651839999995,0.01299359232,0.040318352639999985,0.023503115519999996,0.5306353804799999,0.00611463168,0.10681497215999998,0.0458597376,0.009745194240000001,0.00802545408,0.029808829439999997,0.03420372096,0.058280083199999985,0.07509532031999999,0.014522250239999996,0.0114649344,0.031337487359999985,0.00515922048,0.13012700543999994,0.03420372096,,0.43681400064,0.12534994943999994,0.00515922048,0.00305731584,0.00343948032,0.004777056,0.018917141759999995
Tibet,0.00115106184,0.00044763515999999995,0.010125081,0.0026858109600000003,0.0017052768,0.00257923116,0.00302686632,0.09415259531999999,0.00038368728,0.0025579152,0.003367921680000001,0.00044763515999999995,0.0003197394,0.0010231660800000002,0.009485602200000002,0.001598697,0.0030055503600000004,0.00014921172000000006,0.010594032120000001,0.0006394788,0.00034105536,0.0126829962,0.00076737456,0.01200088548,0.00206764812,0.00044763515999999995,0.00151343316,0.00057553092,0.031185249480000007,,0.0018331725600000002
Shaanxi,0.04128000084,0.0134343198,0.30923361576,0.09379597824,0.32706462204000003,0.08964355212000001,0.062286391799999986,0.23839811136,0.21959006364000005,0.06546177648,0.12017609712,0.01270153872,0.01294579908,0.03395219004,,0.05153893595999999,0.03810461616000001,0.015388402680000001,0.32193515448000004,0.0232047342,0.008060591879999999,0.056179882800000004,0.02467029636,0.02100639096,0.02222769276,0.016121183759999998,0.03395219004,0.10063526832,0.02467029636,0.00415242612,0.03712757472
Gansu,0.008905859279999996,0.005647618079999998,0.05289211547999999,0.023350728599999992,0.012272708519999995,0.030518859239999988,0.014770693439999996,0.09427177871999998,0.04724449739999999,0.021395783879999998,0.021721608,0.002606592959999999,0.00184633668,0.012381316559999996,0.29780324567999994,0.018789190919999997,0.009991939679999996,0.0055390100399999994,,0.006516482399999998,0.0023893768799999994,0.015639557759999995,0.009231683399999998,0.007602562799999997,0.0057562261199999975,0.004018497479999999,0.04985109035999998,0.13141572839999996,0.15444063287999996,0.0038012813999999994,0.011729668319999996
Qinghai,0.0027530085600000003,0.00127378008,0.02679047136,0.00940953672,0.0036980712,0.00920408832,0.004602044160000001,0.036035649360000005,0.0028762776,0.00501294096,0.0098615232,0.0006163452,0.0008217936,0.0032049950400000003,0.03217321944,0.0051772996800000005,0.0036980712,0.00254756016,0.19809334728000005,0.00127378008,0.00036980712,0.00530056872,0.00242429112,0.0022599324,0.0005752555200000001,0.0006163452,0.0108887652,0.0090397296,,0.01631260296,0.0032460847200000004
Ningxia,0.0047085138,0.0021603769200000005,0.019498786560000002,0.011300433120000002,0.008309142,0.010358730360000002,0.0069796792800000005,0.0119097702,0.13128444360000002,0.00675810216,0.00631494792,0.0016064341199999999,0.0014956455600000002,0.004043782440000001,0.10198086948,0.0069796792800000005,0.0035452339200000007,0.00182801124,0.17471355912000006,0.0029358968400000005,0.00132946272,0.005428639440000001,0.0028805025600000004,0.00210498264,0.0016618284000000005,0.0016618284000000005,0.005373245160000001,,0.007478227800000002,0.00022157712000000005,0.006259553639999999
Xinjiang,0.006617842560000003,0.0041361516,0.07131907116000001,0.02198069136,0.008095039560000001,0.02428511868000001,0.01229027904,0.05826064967999999,0.01075399416,0.014535618480000003,0.0124084548,0.0030134818800000005,0.0031316576400000004,0.01010402748,0.050992840440000006,0.01530376092,0.01128578508,0.00744507288,0.15652379412,0.0035452728,0.0023635151999999997,0.020326230719999998,0.006558754680000001,0.006026963760000001,0.00395888796,0.00289530612,,0.00992676384,0.01441744272,0.0005908787999999999,0.016721870040000003
Taiwan,,,3.2367600000000005e-05,9.710280000000002e-05,,6.473520000000001e-05,,,,9.710280000000002e-05,,,3.2367600000000005e-05,0.00035633519999999996,,0.00035633519999999996,,,,,,,0.0003887028000000001,,,,,,,,
Hong Kong,6.35364e-05,,,,,6.35364e-05,,6.35364e-05,,0.0150323688,3.09096e-05,,,0.000712638,,3.09096e-05,,9.61632e-05,6.35364e-05,3.09096e-05,,3.09096e-05,0.00032283359999999995,,6.35364e-05,0.00016141679999999998,,,,,0.0002266704
Macau,0.00025837056,0.00029066688,0.00035525952000000006,0.00038755584000000004,0.00019377792000000002,0.00213155712,3.229632e-05,0.00100118592,3.229632e-05,0.1467060336,0.0007428153599999999,6.459264e-05,6.459264e-05,0.0029389651200000004,0.00025837056,0.0014533344000000005,0.00054903744,0.0003229632,6.459264e-05,0.00012918528,0.00022607424000000006,0.00022607424000000006,0.00090429696,0.0001614816,0.00019377792000000002,0.0008397043199999998,3.229632e-05,,3.229632e-05,,0.0007751116800000001
