,Hebei,Henan,Shandong,Tianjin,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Sichuan,Anhui,Guangdong,Heilongjiang,Shanghai,Hubei,Shaanxi,Zhejiang,Hunan,Jilin,Jiangxi,Fujian,Gansu,Hainan,Chongqing,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.7256435838,0.8634348251999999,0.7557829253999999,0.7169394564,0.4783295754,0.349591221,0.344042154,0.3407127138,0.3096379386,0.3063084984,0.2929907376,0.2818926036,0.2685748428,0.2619159624,0.2519276418,0.194217345,0.17535051720000006,0.1709112636,0.1342874214,0.1176402204,0.11653040699999999,0.1154205936,0.1132009668,0.08878507199999999,0.0743574978,0.0743574978,0.05549067,0.0432827226,0.025525708199999997,0.006658880399999999,
Tianjin,1.6888581388799997,0.27208242467999993,0.4022310798,,0.16601639472000002,0.13014865511999998,0.09786768947999998,0.10555363367999998,0.08352059363999997,0.11631395556,0.0666115164,0.13988418443999998,0.04816525031999999,0.07122308291999999,0.07327266803999999,0.05533879824,0.04765285404,0.08044621596,0.03638013587999999,0.04150409868,0.07839663084,0.02869419168,0.031768569359999985,0.034842947039999995,0.03996690984,0.032280965639999985,0.024082625159999992,0.013834699559999998,0.009223133039999998,0.00204958512,1.09242886896
Hebei,,0.7600655185199999,1.1576984227200002,1.597050189,0.6244792167600001,0.35852147100000004,0.33375089664,0.23206117031999998,0.1434085884,0.18382373604,0.10299344076,0.19946830932000004,0.06127457868,0.17078659164,0.17730516384000006,0.10038601188,0.08995629636000001,0.11472687072,0.07561543752000001,0.05345229204,0.06127457868,0.06257829312,0.05997086424000001,0.04954114872,0.036504004320000005,0.0456300054,0.01694828772,0.02085943104,0.00782228664,0.00130371444,6.11572443804
Shanxi,0.6049574877599999,0.51799911156,0.18585221579999997,0.07263582012,,0.038875509360000005,0.23393508264000004,0.10537309116,0.08764040267999999,0.07570493928000001,0.04740084036,0.025234979759999998,0.03819348288,0.07809203196,0.5517594223200001,0.0477418536,0.03955753584,0.01568660904,0.027281059200000003,0.034101324,0.03512436372,0.0358063902,0.03512436372,0.028304098920000006,0.01739167524,0.019437754680000002,0.008184317759999999,0.02011978116,0.00886634424,0.0006820264800000001,0.36386112708000007
Inner Mongolia,0.34616603232000004,0.08117214444,0.10707142787999999,0.057167930520000014,0.27194247612,0.35879982912,,0.040112304839999995,0.03032111232,0.027478508039999995,0.026846818200000004,0.29784175956000003,0.02116160964,0.02432005884,0.36543257244000005,0.0221091444,0.0173714706,0.21351116592,0.0110545722,0.018319005359999998,0.10422882359999999,0.02400421392,0.014213021400000003,0.01200210696,0.008843657760000002,0.008843657760000002,0.006316898400000001,0.22172313384,0.006316898400000001,,0.4074399468
Liaoning,0.35014946004,0.1559724822,0.22712397408000004,0.09673798896,0.06344049276000001,,0.38134395648,0.11496398688,0.070099992,0.08622299016000001,0.07220299176,0.3960649548,0.07605849132,0.050121494280000005,0.05117299416,0.06484249260000001,0.037503495719999995,0.56675843532,0.027338996880000004,0.03610149588,0.03469949604,0.03575099592,0.026287497000000003,0.026988496919999997,0.04135899528,0.02874099672,0.01962799776,0.00736049916,0.00560799936,0.00140199984,0.34243846092
Jilin,0.0941195376,0.07123137732000001,0.1048149396,0.03721999896,0.031872297960000004,0.5195826291600001,0.20428217820000005,0.05326310196000001,0.03294183816,0.03893126328,0.04256769996,0.41712067799999997,0.0342252864,0.029305401480000007,0.02973321756,0.04085643564,0.02652459696,,0.01989344772,0.023957700480000003,0.01647091908,0.029091493440000005,0.01625701104,0.0139040226,0.022674252239999998,0.019037815559999997,0.01240666632,0.008342413560000001,0.005347701000000001,0.00128344824,0.13625942148000006
Heilongjiang,0.09097827336000001,0.059360263560000015,0.12198432168000002,0.052832674440000005,0.022846561920000005,0.30904054740000003,0.2356051698,0.05140476432,0.0346778172,0.03834958608,0.058748302079999995,,0.040185470519999995,0.028354215239999998,0.02529440784,0.037533637439999996,0.022030613280000003,0.44652789324,0.01795087008,0.018562831560000003,0.014483088359999998,0.04712103396000001,0.014279101200000002,0.01550302416,0.01999074168,0.016114985640000003,0.007139550600000001,0.00346778172,0.00244784592,0.0010199358,0.18012066228
Shanghai,0.10714667039999999,0.6039175967999999,0.30293285903999995,0.04967709264,0.08474327567999998,0.09545794271999998,0.02824775856,3.0205620446399997,0.30488098032,1.1299103424,0.26689261536,0.06623612352000001,,0.28832194944,0.12370570127999997,1.5526526601599997,0.17630497584000002,0.0584436384,0.32825843568,0.19870837056,0.07987297247999997,0.04675491072,0.14610909599999994,0.10617260976,0.11299103423999997,0.07402860864000001,0.0292218192,0.01558497024,0.007792485119999999,0.00292218192,0.26981479728
Jiangsu,0.26837691768000005,1.5572487816,1.1927863008,0.07454914380000001,0.21205089791999998,0.124248573,0.04472948628000001,,0.49036770144,3.58332884532,0.28825668936,0.0993988584,3.72911383764,0.55166366412,0.30316651812,1.54233895284,0.30316651812,0.07123584851999999,0.41416191,0.21702084084000003,0.17560464984000002,0.041416191,0.20376765972,0.20045436444,0.31310640396,0.11265203952,0.041416191,0.02816300988,0.02319306696,0.01159653348,0.29322663228
Zhejiang,0.15653123639999994,2.1847288280400003,0.3510772016400001,0.038014728840000005,0.08721026028000001,0.08497409976,0.029070086760000006,1.7218436004,0.93695125788,3.4660488060000003,0.32871559644000004,0.08050177872,1.7799837739200002,1.58543780868,0.24374149668,,1.41772576968,0.05814017352000001,3.03670598616,0.5814017352,0.09839106287999999,0.04248704988,0.7446414531600001,0.5992910193600001,2.17802034648,0.24821381772,0.0223616052,0.013416963119999998,0.006708481559999999,,0.17218436004
Anhui,0.09323595072,0.8303039395199999,0.25324900127999994,0.028348768800000007,0.04346811216,0.028348768800000007,0.01322942544,2.4316943904,0.07559671679999999,,0.11654493840000002,0.0251989056,0.5846146099199999,0.26017870032,0.06740707248000001,0.6583214088,0.094495896,0.018899179199999998,0.20096127216,0.08693622431999999,0.02582887824,0.02078909712,0.051027783840000014,0.04220816688,0.04472805744,0.03086865936,0.01007956224,0.0062997264,0.005669753760000001,0.00188991792,0.13355419968
Fujian,0.05561477172,0.32342959476000005,0.09017152308,0.021597969600000003,0.038336396040000005,0.029157258960000005,0.011338934040000002,0.13498731000000005,0.4654362448800001,0.23163822396000006,0.5010728947199999,0.02483766504,0.14146670088000002,0.35204690448000003,0.06965345196000003,0.3752647218000001,0.3390881227200001,0.0188982234,0.8930760429600001,,0.03509670060000001,0.022677868080000003,0.34448761512000003,0.14632624404000005,0.47893497588,0.121488579,0.0107989848,0.005939441640000001,0.0026997462000000003,0.0010798984800000002,0.07505294436000001
Jiangxi,0.05088792599999999,0.14675421239999994,0.06664676759999999,0.00820773,0.0223250256,0.016087150799999998,0.0105058944,0.13329353519999998,0.07583942519999999,0.19534397399999998,0.5131472796000001,0.0170720784,0.13132368,0.3279808908,0.037427248799999986,0.35884195560000004,0.47867481359999997,0.011819131200000001,,0.2633039784,0.029876137200000003,0.026264736,0.051872853600000005,0.0505596168,0.0912699576,0.070586478,0.007551111599999999,0.0055812564,0.0052529472,0.0009849275999999998,0.0636919848
Shandong,1.09380038688,1.1257780593600002,,0.29681839584,0.21482436384000006,0.27304012656000004,0.09265325616,1.2627080928,0.21400442352,0.4345683696,0.17628716879999998,0.28123952976000005,0.24106245408,0.21072466224,0.19186603487999998,0.25910114112000004,0.12463092864,0.15824848176,0.10741218192000003,0.10905206256000002,0.07543450944,0.051656240160000005,0.08199403200000001,0.09347319648,0.07871427072,0.06641516592000002,0.03771725472,0.027877970880000002,0.01475892576,0.0016398806400000005,0.7764834830400001
Henan,0.49089997836000004,,0.78324094044,0.08602068132000001,0.41005347336,0.059503027679999994,0.04268695464,0.48572580204,0.14940434124000002,0.80781827796,0.3136844394,0.03815955036,0.19273806792,0.64224463572,0.36930683484,0.25547495579999996,0.16622041427999998,0.028457969760000007,0.10024966619999999,0.113185107,0.05756271156000001,0.064677204,0.07696587276000001,0.0614433438,0.05432885136,0.06726429216,0.04333372668,0.01875638916,0.01875638916,0.00258708816,0.44756625168
Hubei,0.11151474767999996,0.7061038855199999,0.13213091951999995,0.02389601736,0.07262515079999997,0.03467265264,0.02249036928,0.20475607032,0.19116813888,0.25863924671999994,0.36593705016,0.0281129616,0.11432604383999995,,0.16586647343999994,0.1803915036,0.6447239193599998,0.0210847212,0.33876118727999993,0.11713733999999998,0.05388317639999999,0.03654685008,0.33688698984,0.07731064439999999,0.11994863615999997,0.11760588935999995,0.028581510959999994,0.012182283359999995,0.00890243784,0.00374839488,0.13915915991999994
Hunan,0.078296058,0.19385349300000004,0.078767721,0.019338183000000002,0.038204703000000007,0.031129757999999997,0.023111487000000003,0.112255794,0.13678227,0.10376586000000003,1.081523259,0.024054813000000005,0.071692776,0.71692776,0.071692776,0.13348062900000002,,0.024998139000000003,0.432514971,0.110840805,0.030186432000000006,0.055184571,0.16979868000000006,0.096690915,0.35940720600000003,0.35421891299999997,0.023111487000000003,0.012263238,0.008961597,0.003773304,0.101879208
Guangdong,0.15189988319999995,1.7117948375999998,0.2220075216,0.0379749708,0.07887109319999999,0.09055569959999997,0.029211516,0.2979574632,2.1528887292,0.5053592267999999,,0.08471339639999999,0.22784982480000002,2.4888211631999995,0.350538192,0.3476170403999999,5.740062893999999,0.058423031999999986,2.9094669936,0.7916320835999998,0.09055569959999997,0.2424555828,1.1304856691999998,0.7419725063999999,1.504393074,5.436263127599998,0.03505381919999999,0.014605757999999996,0.008763454799999997,,0.2716670988
Guangxi,0.05993849664,0.11510915832,0.07015528584,0.01226014704,0.0238391748,0.02281749588,0.008513991,0.05653290024,0.14916512231999998,0.051083946,1.1875314646799997,0.01668742236,0.03439652364,0.12294203004000001,0.04325107428,0.06402521231999997,0.42638066928,0.014303504879999996,0.10080565344,0.08139375396000001,0.015665743439999998,0.0527867442,0.08922662568,0.20229242616,0.30718479528000003,,0.00544895424,0.004767834960000001,0.0051083946,,0.04733778996
Hainan,0.05056388064,0.06450804360000001,0.03466492848,0.01863565704,0.02423938608,0.023718108959999998,0.015117036479999997,0.034795247759999995,0.10673149032,0.035446844160000004,0.23783268600000002,0.02111172336,0.03505588632,0.058383037440000014,0.03284045856,0.03701067552,0.08092827288,0.0182446992,0.04678462152,0.028930880160000002,0.010686180959999998,,0.04860909144,0.02358778968,0.04404791663999999,0.07910380296,0.008992030319999999,0.00560372904,0.0035186205600000004,0.00013031928,0.06724474847999999
Chongqing,0.04388190228,0.08906722739999998,0.0521369136,0.01259975412,0.03302004528,0.01694449692,0.01129633128,0.0673435134,2.11241394936,0.0456197994,0.1433765124,0.009992908439999998,0.053874810719999985,0.2850151276799999,0.09775671300000001,0.06647456484,0.13512150107999998,0.010427382719999998,0.04648874796,0.048661119360000005,0.036495839520000004,0.04431637656,,0.14424546096,0.54222390144,0.060826399199999985,0.02519950824,0.009992908439999998,0.01129633128,0.007820537039999999,0.0673435134
Sichuan,0.0944208576,0.17585884727999998,0.08733929328,0.02183482332,0.06314394852,0.04071899484,0.02478547512,0.10976424695999999,,0.07140577356000001,0.28562309424000004,0.02537560548,0.08969981471999999,0.17762923835999994,0.32634208907999995,0.10445307372000001,0.12038659344000001,0.02183482332,0.07494655571999999,0.07553668607999998,0.15343389359999998,0.07317616463999999,1.9910998346400002,0.7353024285599999,0.5293469329199999,0.09501098796,0.05842290563999999,0.021244692960000002,0.04071899484,0.04544003772,0.14635232927999994
Guizhou,0.028173144600000005,0.07159293216000001,0.029498939640000006,0.006297526440000001,0.0116007066,0.008286219000000001,0.004971731400000001,0.04242544128000001,0.5757264961200002,0.034470671040000005,0.17069611140000004,0.007623321480000001,0.026847349560000008,0.09877173048,0.040105299960000014,0.07689611232,0.3751999963200001,0.005634628920000002,0.06628975200000001,0.07059858588000001,0.008949116520000001,0.035796466080000006,0.5767208424000001,0.6506339158800001,,0.24096324852000006,0.002651590080000001,0.0016572438000000006,0.00099434628,,0.033807773520000015
Yunnan,0.048120036119999994,0.09781262244,0.05095062648000001,0.014781971879999996,0.023588252999999997,0.01698354216,0.00912079116,0.056926317239999996,0.85578181884,0.03962826504,0.14373108828,0.015096481919999996,0.04308787548,0.10504635336000001,0.05157964655999999,0.07548240960000001,0.15442442964000005,0.010693341359999999,0.06667612848,0.06416004816000001,0.017927072279999998,0.017612562240000004,0.22550369868,,0.6783981562800001,0.17486758224,0.008806281120000002,0.0062902007999999995,0.00503216064,0.006604710840000001,0.051894156600000005
Tibet,0.0035927647199999993,0.014371058879999997,0.0036557956799999993,0.00050424768,0.0023951764799999995,0.0012291037199999998,0.00040970123999999985,0.003151548,0.1353589866,0.00419155884,0.00277336224,0.0007878869999999999,0.0011975882399999998,0.006271580519999999,0.0162304722,0.0017963823599999997,0.005861879279999999,0.0008194024799999997,0.0012291037199999998,0.0007878869999999999,0.017522606879999996,0.0007248560399999999,0.01588380192,0.017428060439999997,0.00280487772,0.0006303095999999999,0.0011030417999999998,0.0005672786399999999,0.04793504508,,0.0035297337599999997
Shaanxi,0.178026579,0.5156010288,0.1694632752,0.0274927122,0.4826999142000001,0.040563018000000006,0.2956593312,0.153238068,0.4488973992000001,0.1270974564,0.1189848528,0.026140611600000002,0.0689571306,0.22535010000000003,,0.0851823378,0.07842183479999999,0.0216336096,0.0581403258,0.0635487282,0.5647273506,0.038309517,0.11177364960000001,0.052731923399999985,0.043717919400000006,0.0369574164,0.054084024,0.1726181766,0.0491263218,0.0076619033999999996,0.17712517860000002
Gansu,0.048061674000000006,0.1032281172,0.04179276,0.015672284999999998,0.0307176786,0.0127467918,0.0760628232,0.090899253,0.1652903658,0.029254931999999994,0.032807316600000004,0.006477877799999999,0.0269563302,0.0451361808,0.5869793141999999,0.033434208,0.0246577284,0.0056420226,0.0200605248,0.0223591266,,0.0165081402,0.0361507374,0.016717104,0.0129557556,0.011493008999999998,0.0796152078,0.2129341122,0.2164864968,0.0087764796,0.0560022984
Qinghai,0.0163348164,0.045004086,0.02140194312,0.00246689064,0.01046761704,0.00240021792,0.00560050848,0.02113525224,0.06273902952,0.01393459848,0.010600962479999998,0.0023335451999999994,0.00393369048,0.014267962080000002,0.05820528456,0.0076673628,0.007934053679999999,0.00186683616,0.0058671993599999995,0.00560050848,0.25762339008,0.006067217519999999,0.010134253440000001,0.0058671993599999995,0.00280025424,0.0029335996799999997,0.013467889439999998,0.01046761704,,0.02173530672,0.014667998400000002
