,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Heilongjiang,Anhui,Hainan,Hunan,Jilin,Fujian,Jiangxi,Yunnan,Chongqing,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.09118461924,0.22445444735999998,0.025506187200000002,0.36218785824,0.3220156134,1.34672668416,0.042722863560000005,0.05802657587999999,0.01976729508,,0.13645810152,0.07843152564,1.0119579771599998,0.19193405868000002,0.030607424639999995,0.7046084214,0.0414475542,0.17280441827999998,0.02423087784,0.35326069272,0.5037471971999999,0.09756116604,0.08863400051999999,0.05483830248,0.023593223160000003,0.18747047592,0.00828951084,0.01084012956,0.006376546800000001,0.00127530936,0.14219699364
Anhui,0.07227167975999997,0.22812285311999994,0.023598915839999998,0.5073766905599999,0.13126896935999996,1.91347875936,0.029990288879999993,0.019665763200000002,0.009832881600000001,0.7512321542399999,0.04572289944,0.04670618759999999,0.41248938312,0.15830939375999994,0.012291101999999998,,0.020157407279999998,0.05850564551999999,0.008849593440000001,0.06538866264,0.1622425464,0.025565492159999998,0.0294986448,0.023107271759999992,0.01376603424,0.01917411912,0.0044247967200000005,0.0044247967200000005,0.00344150856,0.00098328816,0.10668676536
Fujian,0.029132032320000008,0.057621446279999995,0.0096392754,0.07240166856000001,0.4596863335200001,0.11438606808,0.017350695720000003,0.022491642600000004,0.007497214199999999,0.34401502872,0.07047381348,0.02977465068,0.08975236428000002,0.06726072168000001,0.013494985559999999,0.06726072168000001,0.02334846708,0.07518634812000001,0.008139832559999999,,0.25340583996000005,0.045840109680000005,0.04948161372,0.044983285200000014,0.010924512120000002,0.07004540124,0.005997771360000001,0.00385571016,0.00192785508,0.0008568244800000001,0.06876016452
Jiangxi,0.0253439442,0.0440184294,0.006936237359999999,0.058958017559999985,0.59704996968,0.13899152556,0.011471469479999998,0.01227180456,0.005602345559999999,0.44471952612,0.03521474352,0.01920804192,0.12111737544,0.18701163036,0.005602345559999999,0.13232206655999998,0.022942938959999996,0.32733704771999994,0.00506878884,0.25530689052,,0.027211392719999998,0.02561072256,0.04695299136,0.006669459,0.03414763008,0.00240100524,0.00213422688,0.0016006701599999998,0.00053355672,0.05975835264000001
Shandong,0.9878051152799999,,0.2045208366,0.8070941671199999,0.17643737844,1.1416536252,0.17765839836,0.17033227884000002,0.07875578484,0.30647599992,0.09646057368,0.14285933063999998,0.19047910752,0.10867077287999999,0.09340802388,0.28571866127999995,0.04090416732,0.07753476492,0.06776660556,0.07448221512,0.0793662948,0.047619776880000006,0.052503856560000006,0.03907263744,0.031136007960000007,0.033578047800000003,0.018315298799999997,0.01953631872,0.00976815936,0.00122101992,0.5311436652
Henan,0.4413792902400001,0.7613208921600001,0.07706622528000001,,0.32928296255999995,0.54471809232,0.38766646656,0.05254515360000001,0.04261995791999999,0.41685821856,0.11151249264,0.33804048816000004,0.17923735728,0.4729063824000001,0.019850391360000004,0.56982299904,0.05488049376,0.1342820592,0.01693121616,0.08523991583999999,0.09224593632,0.05079364848,0.06071884416,0.0467068032,0.05079364848,0.044371463039999996,0.01868272128,0.032110927200000014,0.01693121616,0.00467068032,0.37482209568
Hubei,0.05768483687999999,0.08266177656000001,0.013975192439999996,0.40111775748000006,0.37197799452,0.1828668798,0.029734452,0.01843536024,0.009812369159999999,0.20130224004,0.09158211216,0.10674668268,0.07463347451999999,,0.0089203356,0.14956429355999998,0.02765304036,0.41003809308,0.00773095752,0.07047065124,0.208141164,0.04519636704,0.16324214148000002,0.05292732456,0.014867226,0.04043885472,0.00356813424,0.007136268479999998,0.00356813424,0.0014867226,0.10942278336
Hunan,0.044402113439999995,0.05836729428,0.00966820212,0.10455981552000002,1.20351212316,0.11207952828,0.02005256736000001,0.01826215956,0.01038436524,0.17295339348000002,0.071616312,0.03616623756,0.06517084392000001,0.3903089004000001,0.01217477304,0.05836729428,0.04046321628,,0.00823587588,0.07448096448,0.34447446072,0.07018398576,0.0913107978,0.24456970548,0.01217477304,0.2041064892,0.00465506028,0.006803549640000001,0.002506570920000001,0.0007161631200000001,0.08128451412000001
Guangdong,0.08652425184000001,0.13237471008,0.02440427616,0.26622846720000004,,0.2440427616,0.04289236416,0.053985216960000006,0.02292522912,0.31207892544,0.29063274336,0.10279376928,0.15308136864,0.34092034272000005,0.04363188768,0.11314709855999999,0.23960562048000006,1.08636005088,0.03032046432,0.45258839423999997,0.6382087977600001,0.20780610912,0.16565326848000006,1.57148748,0.028101893760000003,0.24774037920000005,0.010353329280000002,0.0147904704,0.0073952352,0.0036976176,0.22851276768
Guangxi,0.024142678560000002,0.037407886560000006,0.005571387359999999,0.04722414048,1.46288713824,0.04059153648,0.009020341440000001,0.01299990384,0.004510170720000001,0.05359144032,0.057040394399999986,0.01299990384,0.02759163264,0.04191805728,0.01034686224,0.02281615776,0.06261178176,0.22603914431999997,0.004510170720000001,0.0437751864,0.05757100272000001,0.12150930528,0.036611974080000005,,0.007163212320000001,0.16448857919999998,0.0015918249599999998,0.0018571291200000003,0.0013265208,0.00026530416,0.046428227999999995
Hainan,0.0315470376,0.023817564,0.0133018848,0.0304685064,0.2127402792,0.032355936,0.016807111200000002,0.025615116,0.0115043328,0.032805324,0.05338729440000001,0.0250758504,0.034063610400000006,0.0204920928,0.0225592776,0.013122129599999999,,0.038647368,0.0120435984,0.0210313584,0.017526132,0.0168969888,0.028311443999999998,0.05644313280000001,0.0082687392,0.0210313584,0.0035951040000000004,0.002696328,0.0029659608,0.0002696328,0.0675879552
Chongqing,0.0384227064,0.059998533839999986,0.009753456240000001,0.07448093856,0.17408441591999996,0.08216547983999999,0.021871386719999997,0.017733556799999998,0.01064013408,0.08157436128,1.1645035631999998,0.07950544631999999,0.04551612912,0.21398491872,0.008275659840000001,0.033102639360000005,0.04167385848,0.09989903663999998,0.0076845412799999985,0.04669836624,0.02926036872,0.11999706768,,0.0472894848,0.01891579392,0.33516422352,0.005320067039999999,0.0118223712,0.00561562632,0.007388982,0.058520737439999984
Sichuan,0.057504278160000005,0.07422538032,0.016721102159999997,0.09257780952,0.28507440024,0.10277360352,0.03996751248,0.027732559680000005,0.017944597439999998,0.12398085504,,0.24755387832000006,0.06729224040000001,0.0958404636,0.01549760688,0.042414503039999996,0.06729224040000001,0.07422538032,0.011827121040000001,0.06770007216,0.0346656996,0.52120898928,1.20065670144,0.07300188503999999,0.09951094944,0.34828832304,0.01141928928,0.026101232640000003,0.035889194879999996,0.052202465280000006,0.13988629368000002
Guizhou,0.0137471256,0.023687354879999997,0.0031724136,0.0296091936,0.2337011352,0.04631723856,0.007190804160000001,0.007613792639999999,0.0031724136,0.13451033664,0.29672641871999994,0.0222068952,0.02559080304,0.03785746896,0.0031724136,0.01839999888,0.020303447040000002,0.20324596464,0.00274942512,0.05773792752,0.03235861872,0.3679999776,0.30053331504,0.17532872495999996,0.005287356,,0.0012689654400000001,0.0014804596799999998,0.0012689654400000001,0.0014804596799999998,0.03341608992
Yunnan,0.0243151308,0.0301217292,0.006713879399999999,0.0377428896,0.1683913536,0.0547997724,0.0116131968,0.0123390216,0.006350966999999999,0.0782076222,0.4407571098,0.0286700796,0.0375614334,0.0341137656,0.00907281,0.019597269599999998,0.0177827076,0.06296530139999999,0.0054436860000000005,0.0355654152,0.0225005688,,0.09308703060000001,0.1337332194,0.007258248,0.36871899840000005,0.0021774744,0.003629124,0.001814562,0.0059880546,0.0500819112
Tibet,0.00170221176,0.0028502150399999995,0.0006729674400000001,0.008352713519999999,0.0052451874,0.0026720766000000004,0.0011875896000000002,0.0008708990400000001,0.00025731108,0.0016032459600000006,0.07855905204,0.0086100246,0.00150428016,0.0021970407600000004,0.00047503584,0.00186055704,0.00102924432,0.0026522834400000005,0.00027710424000000004,0.00164283228,0.0007917264000000001,0.01142065332,0.012390518159999999,0.00164283228,0.00688801968,0.00154386648,0.0006333811200000001,0.000989658,0.033984855720000005,,0.003107526120000001
Shaanxi,0.0920362014,0.09517056119999999,0.0139621482,0.3028931334,0.1159713126,0.1148315454,0.3863810808,0.024220053,0.2404908792,0.0700956828,0.23906617019999998,,0.036757492200000005,0.10428869880000001,0.0096880212,0.047585280599999995,0.027069471,0.0430262118,0.008548254,0.029918889,0.0233652276,0.0330532488,0.0689559156,0.0190911006,0.340505451,0.024220053,0.12822381,0.025644762,0.0373273758,0.0048440106,0.1373419476
Gansu,0.023536941119999998,0.02339684028,0.007985747879999998,0.04763428559999999,0.035025209999999994,0.04034904192,0.016952201639999998,0.0056040336,0.06542709227999999,0.02886077304,0.10983905855999998,0.4020894108,0.016391798279999998,0.018493310880000002,0.00252181512,0.010507563,0.009386756279999998,0.011768470559999996,0.0023817142800000002,0.011768470559999996,0.006724840319999999,0.0112080672,0.02255623524,0.007565445359999998,,0.008826352919999999,0.16854131051999996,0.05688094103999999,0.18030978107999995,0.00602433612,0.04048914276
Qinghai,0.008015180039999998,0.00822722184,0.001060209,0.017557061040000002,0.0078031382399999984,0.008778530520000001,0.005131411559999999,0.0014842925999999995,0.00309581028,0.0075910964399999985,0.0396518166,0.034520405039999986,0.00330785208,0.00470732796,0.0007633504799999999,0.0027565434000000003,0.00330785208,0.0035623022399999993,0.00016963343999999998,0.0035623022399999993,0.0017811511199999997,0.00377434404,0.006742929240000002,0.00305340192,0.18218631456,0.00135706752,0.011747115719999998,0.015945543359999998,,0.019847112479999998,0.01183193244
Ningxia,0.0153805392,0.014893372800000004,0.003827736,0.0211569408,0.0122487552,0.0154501344,0.0123879456,0.0032013792,0.16340952960000002,0.0105784704,0.017468395199999997,0.1400255424,0.0042453072,0.0075858768,0.0022270464,0.0064027584,0.005776401600000001,0.00521964,0.0012527136,0.0041061168,0.0034101647999999997,0.0043844976,0.008699400000000001,0.002783808,0.165636576,0.005150044800000001,,0.007307496000000002,0.0103000896,0.000347976,0.0199738224
Xinjiang,0.0185410944,0.019352267280000002,0.0028391050800000003,0.05817268367999999,0.01726639416,0.01715051232,0.00857525616,0.00446145084,0.012051711359999998,0.012689061479999998,0.07671377807999999,0.044556567479999996,0.006141737519999999,0.01199377044,0.00272322324,0.00787996512,0.008343492479999999,0.00932848812,0.00214381404,0.00648938304,0.00266528232,0.007822024200000001,0.01958403096,0.00295498692,0.12607944192,0.0037082188799999996,0.0107190702,,0.031288096800000005,0.0011588184,0.02497253652
Taiwan,3.234816e-05,9.704448000000001e-05,,3.234816e-05,0.00012939264,0.0003562444800000001,,6.469632e-05,9.704448000000001e-05,0.0003562444800000001,9.704448000000001e-05,,0.0006801407999999999,6.469632e-05,,6.469632e-05,3.234816e-05,,,0.00126323712,,,3.234816e-05,3.234816e-05,,,,3.234816e-05,,,0.00038859263999999993
Hong Kong,3.004452e-05,6.282036e-05,6.282036e-05,3.004452e-05,0.02591749548,,,,3.004452e-05,9.559619999999997e-05,,,0.00012837203999999995,3.004452e-05,,,0.00019392372,,,0.00028951992000000003,,,,6.282036e-05,,,,,,,0.00025674407999999994
Macau,0.00144958896,0.0005680821599999999,0.00060726024,0.0008423287199999999,0.16480259351999998,0.002938356,0.0005680821599999999,0.0008423287199999999,0.00017630136000000002,0.0024878080800000003,0.00115575336,0.00035260272000000003,0.0035260272,0.0025465751999999998,0.00025465752,0.0007443835199999999,0.00099904104,0.0012928766400000001,0.0005680821599999999,0.00184136976,0.00101863008,0.00031342464,0.00035260272000000003,0.0024486300000000003,,0.0005680821599999999,1.958904e-05,1.958904e-05,,1.958904e-05,0.00209602728
