,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hubei,Heilongjiang,Anhui,Hainan,Hunan,Jilin,Fujian,Jiangxi,Yunnan,Chongqing,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.6124385809600006,0.40235648075999997,0.3422268954,0.3102430734,0.29041310375999996,0.22964384195999998,0.22452643044,0.20533613724,0.19318228488000005,0.15800008068000002,0.15608105136,0.13305269951999998,0.11897981784000003,0.1087449948,0.10362758328000002,0.10170855396000003,0.09339276024,0.08827534872000001,0.08443729007999999,0.07868020212,0.060769261799999995,0.058210556040000014,0.056291526720000006,0.043497997919999996,0.0383805864,0.03710123352,0.021748998959999998,0.01855061676,0.01023482304,0.0031983821999999997,
Tianjin,1.1097921326400002,0.18562194576000005,,0.07461955872,0.032906761920000006,0.052140996000000016,0.05376316032,0.060251817600000014,0.04171279680000002,0.0336019752,0.02155161168000001,0.01900249632,0.019234234080000003,0.017380332000000002,0.027576793440000004,0.022246824959999998,0.01320905232,0.00973298592,0.019234234080000003,0.011123412479999999,0.009269510400000002,0.009269510400000002,0.010891674720000001,0.00880603488,0.0081108216,0.0060251817600000005,0.0027808531199999998,0.003707804160000001,0.0006952132799999999,0.0004634755200000001,0.4287148560000001
Hebei,,1.139305824,1.1823662016,0.5113419840000001,0.1157247648,0.21261061440000004,0.6180958368,0.2987313696,0.3211586496,0.12379858560000001,0.0771498432,0.1498142304,0.0529283808,0.08970912,0.06997311360000001,0.1004742144,0.0520312896,0.050237107200000006,0.0556196544,0.035883648000000004,0.0385749216,0.040369103999999996,0.0367807392,0.026912736,0.028706918400000007,0.0197360064,0.0188389152,0.014353459200000003,0.008970912000000001,0.0017941824000000004,3.4618749408000005
Shanxi,0.5462594121600001,0.16390579392,0.0545420304,0.39885607872,0.049227678719999994,0.08922516768,,0.027410866560000004,0.25145274528,0.05034648960000001,0.057339057599999986,0.50654162592,0.023774731200000003,0.04307421888,0.01006929792,0.035522245439999996,0.024613839359999997,0.023495028480000003,0.007551973440000002,0.01790097408,0.013705433280000002,0.018180676800000004,0.02405443392,0.013705433280000002,0.02433413664,0.011747514240000001,0.01762127136,0.0072722707200000005,0.005314351679999999,0.0008391081599999999,0.27382896288
Inner Mongolia,0.3063729744,0.0765932436,0.036886930200000015,0.045580028400000014,0.025374448800000005,0.0326578554,0.20276064180000006,0.29580028740000003,,0.0267841404,0.033127752600000004,0.2734801704000001,0.012922173000000002,0.01174743,0.19148310899999998,0.0119823786,0.019500733800000003,0.009162995400000002,0.1623494826,0.009397944,0.0051688692000000005,0.0110425842,0.010572687,0.0051688692000000005,0.0674302482,0.0072834066,0.1905433146,0.007518355200000002,0.0044640234,0.00023494860000000006,0.252569745
Liaoning,0.31035396239999996,0.1918508328,0.0599683176,0.0575791416,0.070480692,0.0970005456,0.0291479472,,0.28670112,0.0671358456,0.0387046512,0.0272366064,0.0384657336,0.024847430400000002,0.2073804768,0.025564183200000003,0.0379878984,0.021502583999999998,0.395408628,0.031059287999999997,0.015051808799999998,0.0195912432,0.014573973599999996,0.0162463968,0.0086010336,0.01194588,0.0038226816,0.0052561872,0.0016724232000000002,0.0009556704,0.2685433824
Jilin,0.07119205992000001,0.08227585368,0.02188338768,0.020604488400000003,0.03495658032,0.04206157632,0.008810195040000001,0.43056275759999996,0.14934701592,0.032398781759999995,0.015630991200000003,0.01037329416,0.017904589920000002,0.0099469944,0.27439494552,0.009378594720000001,0.02614638528,0.009662794559999998,,0.01307319264,0.007815495600000001,0.00980489448,0.00653659632,0.007531295759999999,0.00326829816,0.0035524980000000007,0.00113679936,0.0017051990399999997,0.00099469944,0.00014209992,0.0952069464
Heilongjiang,0.0837609822,0.10938198852,0.03153354624,0.0197084664,0.04800419316000001,0.04476637368,0.011965854599999999,0.23101138116,0.161890974,0.0358975638,0.01801916928,0.013232827439999996,0.023931709199999998,0.012951277920000002,,0.01182507984,0.038853833760000005,0.013092052679999999,0.31406848956,0.01210662936,0.00675718848,0.011543530319999998,0.006194089440000001,0.0071795127599999994,0.0021116214000000003,0.00408246804,0.0014077476000000002,0.00168929712,0.00098542332,0.00014077476,0.12697883352
Shanghai,0.0468466416,0.15927858143999998,0.02094320448,0.16038085536,0.20722749695999995,2.28060474048,0.025903437119999997,0.0358239024,0.013227287039999995,1.2301376947199998,0.08432395488,0.04188640896,,0.08652850272,0.02039206752,0.4050856655999999,0.04078413504,0.06227847647999999,0.014880697919999996,0.09755124192,0.12565922687999995,0.06007392863999999,0.04794891551999999,0.032517080639999994,0.015431834880000002,0.0358239024,0.006062506559999999,0.0055113696,0.0033068217599999997,0.00055113696,0.13282400735999994
Jiangsu,0.15981394608000002,0.9729024436799999,0.042056301600000005,0.4887876830400001,0.27850617504,,0.07757051184,0.07850509632000001,0.02897211888,1.6018777987200001,0.13177641167999998,0.12243056688,2.2514140123199997,0.18691689600000003,0.03644879472,1.7925330326400002,0.041121717120000005,0.11121555312,0.028037534399999998,0.13271099615999998,0.18691689600000003,0.07663592736000001,0.07570134288000001,0.04953297744,0.035514210239999996,0.06915925152,0.013084182720000002,0.016822520639999998,0.0093458448,0.00280375344,0.2289731976
