,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Chongqing,Hainan,Fujian,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.27667696624,0.36911255472,0.35288782704000005,0.2810354616,0.22714618751999996,0.21845436911999996,0.20512691424,0.19295836848000006,0.18774327744,0.17673364079999998,0.14544309456,0.130377276,0.11994709392000001,0.10488127536,0.09734836607999998,0.09676891152,0.07590854736000001,0.07185236544,0.06837563808,0.06489891072000001,0.06026327424,0.05041254672,0.045197455680000005,0.04114127376,0.03998236464,0.032449455360000004,0.0202809096,0.01564527312,0.012168545759999998,0.0028972728000000005,
Tianjin,1.03174155,,0.18866131200000005,0.07593617807999999,0.03584564928,0.06508815264000001,0.06249405960000001,0.035138169360000006,0.06673893912000001,0.04433540831999999,0.034194862799999996,0.02523345048000001,0.022875184080000003,0.02924250336,0.01980943776,0.033723209520000005,0.013677945119999998,0.022875184080000003,0.0200452644,0.01485707832,0.01462125168,0.0094330656,0.008489759040000001,0.00896141232,0.008489759040000001,0.00495235944,0.0033015729600000014,0.0030657463200000003,0.00282991968,0.0004716532800000001,0.4471273094400001
Hebei,,1.1117979,0.8695584900000001,0.40348692,0.09424512,0.17818218,0.4564998,0.06847497000000001,0.23266764,0.23929425,0.0957177,0.07068384,0.10013544,0.07878303,0.06773868,0.06037577999999999,0.04270482,0.04785885,0.03975966,0.03607821,0.030187889999999995,0.03166047,0.03166047,0.02429757,0.025770149999999995,0.01840725,0.015462089999999996,0.01325322,0.00883548,0.00147258,2.85533262
Shanxi,0.41078877840000005,0.05958694368,0.12323663352,0.3171199086000001,0.04198171032,0.08260917192,,0.03972462912,0.02121656328,0.18778915584000003,0.040853169720000006,0.04469020776,0.3875408420400001,0.030019179960000007,0.030019179960000007,0.009705449159999999,0.02008802268,0.00654553548,0.0270849744,0.02053943892,0.01534815216,0.011736822240000002,0.015799568400000002,0.0101568654,0.02211939576,0.01038257352,0.01263965472,0.00631982736,0.0054169948800000004,0.00090283248,0.24015343968
Inner Mongolia,0.24936886152,0.043609816800000006,0.06204487572,0.04202400528,0.02101200264,0.032112683280000005,0.16432971875999994,0.01902973824,0.24659369136,,0.02299426704,0.0208137762,0.21963489552,0.01328117148,0.012290039280000001,0.17106941772,0.00852373692,0.13439752632000002,0.009911322,0.012488265719999999,0.010902454200000002,0.00555034032,0.007730831160000002,0.0053521138799999994,0.056098082520000016,0.00416275524,0.1526343588,0.00515388744,0.0033698494799999997,0.0003964528800000001,0.2220136128
Liaoning,0.25930113984000003,0.07876166543999999,0.14274232127999995,0.05236700544,0.0622913976,0.08720795663999999,0.032095906560000005,0.06609222864,,0.23670731088000002,0.05659015104,0.035052108480000004,0.02576118816,0.02512771632,0.024705401759999995,0.19067502384,0.01837068336,0.34059669264,0.01879299792,0.029350861919999995,0.023438458080000002,0.0116136504,0.016259110559999998,0.014781009599999997,0.00654587568,0.01034670672,0.0031673592,0.005490089279999999,0.00190041552,0.0010557864,0.23079490704
Jilin,0.059818512959999987,0.03064473,0.0576120924,0.01605783852,0.029173782959999995,0.03260599272,0.00821278764,0.02929636188,0.3548659733999999,0.12466276164000001,0.02561899428,0.014219154719999997,0.0110321028,0.01005147144,0.01090952388,0.24013210428,0.00833536656,,0.01017405036,0.02108357424,0.010664366039999998,0.006006367079999999,0.007354735199999999,0.005148314639999999,0.00318705192,0.004045104359999999,0.0008580524400000001,0.0018386838,0.0011032102799999998,0.00036773676,0.08862455915999999
Heilongjiang,0.06798550967999999,0.03758644296,0.07929679031999999,0.016377791759999996,0.036761662079999986,0.04430251583999999,0.010250848079999998,0.035936881199999986,0.18581134968,0.13585319351999994,0.033226886879999994,0.015906488400000002,0.013196494080000001,0.011900409839999996,0.01307866824,,0.009779544719999998,0.22999603968,0.007658679599999998,0.03570122951999999,0.009661718879999998,0.0038882527199999993,0.008601286319999998,0.006951724559999999,0.00188521344,0.0034169493599999997,0.0011782584,0.0016495617600000001,0.00094260672,0.00035347751999999986,0.11723671079999998
Shanghai,0.053478710999999984,0.029710395,0.152333298,0.16691840099999994,0.209053143,2.099174454,0.030250584000000007,,0.054559089000000005,0.016745859,1.1338567109999995,0.09183213,0.054559089000000005,0.42891006600000003,0.092912508,0.026469261,0.068063814,0.021067371,0.068063814,0.032951528999999986,0.099934965,0.126944415,0.055099278,0.034572096000000004,0.018906615,0.036192663,0.007022456999999999,0.009183213,0.004321512,0.001080378,0.16691840099999994
Jiangsu,0.14062269708,0.060150749040000014,0.7762698018,0.39585695651999997,0.24141584412000006,,0.07153062048,2.1272231113200006,0.06584068476000003,0.024385438800000003,1.2851126247600002,0.11705010624,0.1137987144,1.5728608026000002,0.15200256852000002,0.02926252656,0.09591605928,0.02519828676,0.08941327560000001,0.03413961432,0.10810877868000003,0.14875117667999999,0.05852505312,0.04633233372,0.03413961432,0.060150749040000014,0.00975417552,0.01137987144,0.00894132756,0.0032513918400000003,0.20483768592
