,Hebei,Tianjin,Shandong,Henan,Guangdong,Jiangsu,Shanxi,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Chongqing,Hainan,Fujian,Jiangxi,Yunnan,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.0862377516,0.0291192408,0.17639540099999998,0.2878324956,0.26711303579999995,1.1429302014,0.033599124,1.0292531652,0.0481587444,0.016239576599999996,,0.1338365106,0.0666382626,0.6199038378,0.1618357806,0.022399416000000002,0.15175604339999998,0.0201594744,0.08399780999999999,0.030799197,0.3035120868,0.403189488,0.08399780999999999,0.0520786422,0.022399416000000002,0.1618357806,0.007279810199999999,0.0100797372,0.0067198247999999995,0.0016799561999999994,0.128796642
Anhui,0.06527337048,0.02593051704,0.19134933264000004,0.44752495788,0.12026394972000001,1.6962134767199997,0.02995421796,0.46585515096,0.02324804976,0.01028279124,0.6674872748399999,0.0402370092,0.044707788,,0.13769998704000003,0.01072986912,0.05499057924,0.00849447972,0.02950714008,0.017436037319999997,0.05409642348,0.12965258519999998,0.024142205519999998,0.01967142672,0.012071102759999999,0.02280097188,0.00402370092,0.00402370092,0.0031295451600000003,0.00134123364,0.10193375663999997
Fujian,0.024715724400000003,0.01428019632,0.044671383360000004,0.06517628063999999,0.3939869548800001,0.10417220136,0.01519559352,0.09373667328,0.01849102344,0.007689336479999999,0.28706856191999996,0.062063930159999996,0.024715724400000003,0.05455767312,0.06005005632,0.00970321032,0.06334548624,0.00787241592,0.04082671512,0.016294070159999997,,0.21218907096,0.037531285199999986,0.038995920719999994,0.009153972,0.058219261920000015,0.00292927104,0.00311235048,0.00219695328,0.00073231776,0.0512622432
Jiangxi,0.02187102384,0.0076073126400000015,0.039938391360000006,0.0546775596,0.54154556856,0.12290564484000001,0.010460054880000002,0.12623384412,0.0095091408,0.0035659278000000007,0.4027121128800001,0.030191522039999998,0.018542824560000004,0.11339650404000001,0.16331949324,0.004992298920000001,0.28598740956,0.0040413848399999995,0.02828969388,0.0166409964,0.21704613876000006,,0.02662559424,0.03399517836,0.005943213000000001,0.02828969388,0.00213955668,0.00142637112,0.0016640996400000005,0.00071318556,0.04920980364
Shandong,0.7622301139200001,0.1986969204,,0.6229028757599999,0.1388484504,0.8603816047199999,0.13214542176,0.19917570816,0.12927269519999998,0.061763621039999994,0.24513933312,0.08283028247999999,0.10341815616000001,0.21353934096000002,0.0861817968,0.07133937624,0.06032725776,0.04644241272,0.04979392704,0.03016362888,0.05697574344,0.055060592400000004,0.035909081999999995,0.03447271872,0.026812114560000003,0.0287272656,0.013884845039999998,0.011969694,0.01005454296,0.0014363632800000001,0.4093635348
Henan,0.37129101408,0.0761244804,0.5922975700800001,,0.29762216208000003,0.46018476216000004,0.33789446784000005,0.20529053424000002,0.04272793416,0.035852174640000005,0.356066118,0.10018963872000003,0.27011912400000004,0.4788475380000001,0.37374664248000006,0.018171650159999997,0.10362751848,0.012278141999999999,0.052059322080000005,0.041745682799999996,0.07465110336,0.07023097224000001,0.041745682799999996,0.039781180080000006,0.04321905984,0.03486992328,0.016698273120000003,0.02750303808000001,0.01620714744,0.0049112567999999995,0.30646242432000004
Hubei,0.053157238200000005,0.018698526,0.06838318080000001,0.33443649360000005,0.3603473082,0.1573347402,0.030719007000000003,0.096163848,0.0168286734,0.008815019399999999,0.1738962918,0.08147214900000001,0.0937597518,0.1338280218,,0.0064109232,0.3702308148,0.0056095578000000005,0.1458485028,0.024308083799999998,0.06063664860000001,0.182978433,0.036061443000000006,0.042739488,0.013623211800000002,0.0363285648,0.004273948800000001,0.0056095578000000005,0.004273948800000001,0.0016027308,0.0964309698
Hunan,0.034841809799999984,0.012641718599999996,0.0428585094,0.0872586918,1.0683793889999995,0.09219204539999999,0.015416729999999997,0.07646698079999999,0.0151083954,0.006166692,0.14399225819999995,0.06259192379999999,0.033916806,0.04995020519999999,0.3410180676,0.008633368800000001,,0.0052416882000000005,0.07862532299999997,0.0302167908,0.058275239400000005,0.27565113239999994,0.0545752242,0.2047341744,0.009250038,0.17544238739999998,0.004008349799999999,0.0052416882000000005,0.0027750114,0.0018500076,0.0789336576
Guangdong,0.06751211652000001,0.03217867236,0.10536937812000001,0.22903643268,,0.2176792542,0.0347024898,0.18865535364,0.044166805199999985,0.01640481336,0.26310796812,0.28203659891999994,0.09464315400000001,0.1041074694,0.29781045792,0.03217867236,0.9647292164399998,0.02019053952,0.14890522896,0.1672029054,0.3722630724,0.51927543828,0.16594099667999998,1.23288481944,0.02397626568,0.21704829984000001,0.008833361040000001,0.009464315400000001,0.0063095436,0.00378572616,0.18550058184
Guangxi,0.02084174064,0.007195362840000001,0.02729275560000001,0.034736234399999996,1.5050714133599998,0.03895420572000001,0.008187826680000001,0.034736234399999996,0.01042087032,0.002729275560000001,0.046645800480000006,0.049623192,0.012405798,0.017616233159999998,0.031510726919999996,0.0052104351600000005,0.18906436152000006,0.00322550748,0.031014495000000007,0.038706089760000006,0.034240002480000004,0.04193159724,0.09875015208,,0.005458551120000001,0.13993740144000003,0.0017368117200000006,0.0017368117200000006,0.00148869576,0.0004962319200000001,0.035232466319999996
Hainan,0.01838642976,0.01104440832,0.015939089280000002,0.0260422128,0.14395382208,0.02428514784,0.01148367456,0.032944968,0.013617253440000001,0.00552220416,0.02409689088,0.041040017279999993,0.014558538239999997,0.00966385728,0.017696154239999998,0.012424959359999998,0.02817579168,0.00677725056,0.021649550400000002,,0.015123309119999997,0.01298973024,0.012362207039999998,0.041228274239999994,0.00451816704,0.012487711680000001,0.0023218358399999996,0.0025728451199999998,0.0009412848,0.00018825696,0.041981302080000005
Chongqing,0.0298516752,0.011194378200000002,0.03034920312,0.05149413972,0.13980534552,0.06368357376,0.01567212948,0.052986723480000004,0.012438198,0.00920426652,0.07214154839999999,1.0273951548,0.06816132504,0.029354147280000003,0.17164713239999999,0.00522404316,0.07910693928000001,0.00447775128,,0.02835909144,0.0398022336,0.022886284320000002,0.09353524895999997,0.03781212192,0.01641842136,0.28433720628000003,0.005970335039999999,0.00895550256,0.0057215710800000005,0.008457974640000001,0.05696694684000001
Sichuan,0.05545570068000001,0.01776032244,0.06197990076000001,0.08191495656,0.2482820586,0.10293737903999998,0.036245556000000005,0.08735178996000001,0.02609680032,0.01522313352,0.11453595696000002,,0.22580981388,0.037695378239999994,0.07829040095999999,0.01377331128,0.060167622960000014,0.009061389,1.0482214795200002,0.056905522920000014,0.05763043404000001,0.032983455960000005,0.4432831498800001,0.05980516740000001,0.09206371224,0.31279914828000005,0.010873666799999999,0.02102242248,0.03479573376,0.0525560562,0.12214752372
Guizhou,0.014260698,0.004753566,0.017493122880000003,0.02814111072,0.21923446392,0.05019765696,0.00608456448,0.03365524728,0.00608456448,0.0028521396000000003,0.13747312872,0.26087570208,0.02262697416,0.01825369344,0.03365524728,0.0024718543199999995,0.18044536536,0.00209156904,0.24376286448000004,0.016922694959999998,0.05152865544,0.02776082544,0.32077063368000003,0.15135354144000002,0.006845135039999999,,0.00209156904,0.00152114112,0.0009507132,0.0013309984800000002,0.03270453408
Yunnan,0.02322651024,0.005963563440000001,0.023383446119999998,0.032328791280000005,0.14485181724,0.044255918160000005,0.010828575719999999,0.044883661680000006,0.009886960440000002,0.00423726876,0.070621146,0.3907703412,0.02479586904,0.017419882680000002,0.028719266039999997,0.00580662756,0.05555530152000001,0.005335819920000001,0.07940955528,0.013810357439999999,0.027463779000000004,0.021186343800000004,,0.11487706415999999,0.00517888404,0.30963449124000003,0.0018832305600000002,0.0023540382,0.0021971023200000003,0.00612049932,0.03954784176000001
Tibet,0.0015476346,0.0005407397999999999,0.001771389,0.0057989682,0.0058176144,0.0035241318,0.0006153246,0.0021629591999999995,0.001118772,0.0004102164,0.0022188978,0.07613243459999999,0.009229869,0.00186462,0.0016035732000000001,0.0004848012,0.0020324358,0.0004848012,0.0119149218,0.000372924,0.0015103422,0.0011001257999999998,0.011784398400000002,0.001678158,0.007216079399999999,0.0013798188,0.0003542778,0.0011560644,0.0268878204,,0.0034868394
Shaanxi,0.08705765951999997,0.01905996096,0.08190631872000001,0.26091541152,0.1017389808,0.115905168,0.31989826368,0.06078582143999999,0.02369616768,0.20759903424000004,0.06928553376,0.21146253984,,0.04533179904,0.08989089696000001,0.00927241344,0.03116561184,0.0069543100800000006,0.06645229631999999,0.02807480736,0.02678697216,0.01880239392,0.0309080448,0.01699942464,0.315519624,0.02807480736,0.11384463168,0.02137806432,0.03271101408,0.00463620672,0.12517758144000002
Gansu,0.02113242048,0.00923752512,0.02303054208,0.04036671935999999,0.03454581312,0.03720318336,0.015944221439999996,0.02113242048,0.006327072,0.05542515071999999,0.02733295104,0.09667766015999997,0.3515321203199999,0.01366647552,0.016197304319999998,0.0025308288,0.011009105279999995,0.0018981216,0.021385503359999995,0.00987023232,0.014552265599999998,0.005820906239999999,0.0113887296,0.007592486399999998,,0.0065801548799999995,0.14337145151999994,0.05466590208,0.15792371712,0.005061657599999999,0.03973401216
Qinghai,0.005942756160000001,0.00242401896,0.00719386272,0.013957657559999998,0.008679551760000001,0.00856226052,0.004183387560000001,0.004887135000000001,0.00172027152,0.0042224846399999995,0.008875037159999998,0.03702493476,0.031629537719999996,0.004417970039999999,0.0041051934,0.00109471824,0.004535261279999999,0.00015638832,0.0048089408399999995,0.0048089408399999995,0.00199395108,0.00125110656,0.003948805079999999,0.0016029802800000001,0.16510696883999998,0.0013293007200000002,0.01067350284,0.0134884926,,0.0189620838,0.008875037159999998
Ningxia,0.013604461919999998,0.00324791208,0.011398332959999999,0.01875209616,0.01268524152,0.01415599416,0.0110306448,0.00900835992,0.0025125357599999998,0.14658501312,0.0101114244,0.01311421104,0.11073541752,0.005147634239999999,0.0064345428,0.00263509848,0.00545404104,0.0008579390400000001,0.00508635288,0.0042896952000000006,0.006128135999999999,0.0028802239199999997,0.00392200704,0.0025738171199999995,0.14971036247999994,0.00386072568,,0.00471866472,0.009314766720000001,0.00036768815999999987,0.02157103872
Xinjiang,0.01249495632,0.00413366976,0.014373897119999998,0.04833575208,0.013904161919999998,0.0157361292,0.0065762927999999995,0.0110387772,0.003851828639999999,0.00991141272,0.01108575072,0.05984426448,0.03776671007999999,0.006294451679999999,0.00859615416,0.00248959656,0.008549180640000001,0.0015501261599999998,0.01728625536,0.00601261056,0.00507314016,0.0029593317600000004,0.0038048551200000006,0.0020198613600000003,0.0995838624,0.00300630528,0.0091598364,,0.02409741576,0.0013622320799999998,0.017990858159999998
Taiwan,6.469632e-05,3.234816e-05,0.0002592,0.00019408896000000002,0.00032389632,0.00032389632,3.234816e-05,0.0008746444800000001,0.0001617408,,0.00019408896000000002,0.0002592,,3.234816e-05,3.234816e-05,,3.234816e-05,,,6.469632e-05,0.0008746444800000001,6.469632e-05,,3.234816e-05,,,3.234816e-05,6.469632e-05,,,0.00012939264
Hong Kong,6.48e-05,3.24e-05,3.24e-05,,0.018662400000000003,,6.48e-05,0.00022680000000000004,3.24e-05,,3.24e-05,,,3.24e-05,,,6.48e-05,,3.24e-05,3.24e-05,0.0005184,,,6.48e-05,,,3.24e-05,,,,0.0001296
Macau,0.0008360755199999999,0.00038320128,0.0005051289599999999,0.0008360755199999999,0.14714929151999998,0.0028391731199999995,0.00067931136,0.00362299392,0.0005748019199999999,0.00015676415999999998,0.0020030976,0.0007664025599999999,0.00027869184,0.00067931136,0.00184633344,8.709120000000001e-05,0.0011496038399999998,8.709120000000001e-05,0.00047029248,0.0007664025599999999,0.0015502233600000002,0.00118444032,0.00034836480000000004,0.00212502528,0.00019160064,0.00047029248,1.7418239999999998e-05,1.7418239999999998e-05,,,0.00212502528
