,Hebei,Henan,Shandong,Heilongjiang,Tianjin,Shanxi,Liaoning,Jilin,Guangdong,Inner Mongolia,Jiangsu,Anhui,Hunan,Shaanxi,Sichuan,Gansu,Shanghai,Zhejiang,Jiangxi,Fujian,Hainan,Chongqing,Guizhou,Yunnan,Xinjiang,Guangxi,Ningxia,Hubei,Qinghai,Tibet,Beijing
Zhejiang,0.025789453919999997,0.09840712679999998,0.060401615759999985,0.022396104719999997,0.015835629599999998,0.016288076159999998,0.026241900479999997,0.021264988319999997,0.14048465687999998,0.009275154479999995,0.3449905019999999,0.209256534,0.06402118824,0.0350646084,0.07533235224,0.0214912116,0.4954289831999998,,0.14206821983999998,0.12419658072,0.00995382432,0.03483838512,0.08709596279999998,0.04841178192,0.005655581999999999,0.028730356559999993,0.007012921679999997,0.013347173519999995,0.004976912159999999,0.00022622328,0.061306508879999985
Anhui,0.09922238208,0.38999908512,0.15021166176,0.013091842079999999,0.06614825472,0.02893986144,0.051678324000000005,0.01791515232,0.37828533168000006,0.01446993072,2.5115665463999997,,0.059946855839999987,0.07855105248,0.06063590016000001,0.019293240960000003,1.20789469296,1.050792588,0.13367459808,0.13574173103999998,0.00895757616,0.031006994400000005,0.026183684159999998,0.02204941824,0.01653706368,0.026872728480000004,0.01171375344,0.025494639840000003,0.00826853184,0.00068904432,0.23289698016
Fujian,0.013267275119999998,0.03671952912,0.0274726404,0.007772747040000001,0.008308798559999999,0.00924688872,0.01460740392,0.00991695312,0.36960752304,0.0052265023200000005,0.09019066824,0.036451503360000005,0.043956224639999986,0.01648358424,0.04529635343999999,0.007638734159999999,0.11230279344000002,0.15438283775999997,0.11337489648,,0.007906759919999999,0.02640053736,0.03604946472,0.02519442144,0.00294828336,0.030420923760000006,0.00147414168,0.007772747040000001,0.00214420608,0.00013401288,0.04583240496
Jiangxi,0.025660229760000004,0.03735827568,0.035471494080000006,0.00490563216,0.01811310336,0.010565976960000004,0.013584827519999999,0.00528298848,1.471689648,0.00528298848,0.25018724016,0.09735793056,0.21697988400000004,0.024528160800000004,0.056603448,0.01094333328,0.23924390688,0.4932047102400001,,0.3852808027200001,0.018867816000000003,0.040377126240000005,0.054339310079999995,0.039622413599999996,0.00452827584,0.06603735599999999,0.002641494240000001,0.035094137760000005,0.002641494240000001,0.0003773563200000001,0.0962258616
Shandong,0.3878566286400001,0.27709636031999996,,0.09275683248000002,0.2915773848,0.058706855999999995,0.17533780992000006,0.07162236432,0.15537747888,0.04970513808,0.66886677936,0.11663095392000003,0.03522411360000001,0.10058441328,0.058315476960000015,0.02309136336,0.30214461888,0.18433952784,0.037963766880000006,0.042660315360000006,0.00939309696,0.02230860528,0.01917757296,0.021134468160000003,0.01408964544,0.018003435840000002,0.01917757296,0.0117413712,0.015655161600000002,0.0019568952,0.6219012945600001
Henan,0.24103101312,,0.32330855808000003,0.01476776448,0.1107582336,0.13080019967999998,0.06592752,0.02215164672,0.9097997759999998,0.026371008,0.5991493017599999,0.4403958335999999,0.12974535935999998,0.2478874752,0.10653887232,0.0553791168,0.35653602816,0.4192990272,0.08913400703999999,0.10495661184,0.015295184639999997,0.04694039424,0.032700049919999995,0.03111778944,0.07542108287999999,0.03586457088,0.02742584832,0.08280496512,0.02426132736,0.0010548403199999998,0.49630237056000004
Hubei,0.0038018483999999993,0.06414261372,0.00499671504,0.0007060575599999999,0.00200954844,0.0019009242,0.0016293635999999998,0.00114055452,0.1306206486,0.0010862424,0.018303184440000002,0.017868687480000003,0.10232403408,0.017705751119999998,0.01933511472,0.00157505148,0.00993911796,0.01814024808,0.027318996360000004,0.00999343008,0.00124917876,0.059254522920000004,0.00472515444,0.00499671504,0.00238973328,0.00450790596,0.0007603696800000001,,0.0008689939199999999,5.431211999999999e-05,0.00874425132
Hunan,0.02877396048,0.05817344183999999,0.03377812752,0.00437864616,0.01688906376,0.01376145936,0.0125104176,0.00437864616,3.86384247576,0.0037531252799999993,0.17264376287999994,0.05129271215999999,,0.03565469015999999,0.11384480016,0.008131771440000001,0.12698073863999998,0.2470807476,0.2251875168,0.11321927927999999,0.038156773679999985,0.11509584191999997,0.26459533224,0.10571302871999998,0.006255208799999999,0.31901564879999994,0.0037531252799999993,0.11447032104,0.0031276044,0.0006255208799999999,0.13198490567999996
Guangdong,0.034466206320000005,0.13862232432000002,0.06059992320000001,0.037117452960000005,0.017043728400000003,0.030299961600000005,0.04620744144,0.03370870728,,0.01817997696,0.08862738767999999,0.07120490975999999,0.5446418097600001,0.06893241264000001,0.20035849608000006,0.027648714960000004,0.08029489824000001,0.0871123896,0.24505093944000003,0.15566605272000006,0.09392988096,0.11324610648000002,0.16248354408,0.061357422240000015,0.014013732240000002,0.69955036344,0.007574990400000001,0.037874952,0.010604986560000005,0.00113624856,0.08294614488
Guangxi,0.03236141808,0.0453849156,0.01854861768,0.008682331679999999,0.00631442304,0.008682331679999999,0.013023497520000002,0.00907698312,2.6717902488000003,0.005130468720000001,0.0434116584,0.019732572,0.21863689776,0.02525769216,0.12905102088,0.00907698312,0.03512397816,0.06985330488,0.05801376168,0.03907049256,0.0335453724,0.07419447071999999,0.19180059984,0.10773984312000001,0.0035518629600000003,,0.0035518629600000003,0.009866286,0.00473581728,,0.03512397816
Hainan,0.07441643664,0.08083886832,0.041885424,0.03895344432,0.01787111424,0.04007038896,0.034206429600000005,0.03546299232,0.25228987055999996,0.02596896288,0.037138409280000007,0.0146598984,0.05849997552000001,0.03867420816,0.09801189216,0.02108233008,0.033089484960000005,0.03895344432,0.02834247024,0.00823746672,,0.06673744224,0.0788842152,0.01075059216,0.012007154879999999,0.0739975824,0.006282813600000001,0.00446777856,0.00739975824,0.00041885424,0.111694464
Chongqing,0.02522829888,0.04379913,0.022775547599999998,0.00490550256,0.00946061208,0.012263756399999996,0.011913363359999998,0.00490550256,0.5199832713600001,0.005255895599999999,0.10616909112,0.03398812488,0.12894463871999998,0.04870463256,1.4359106779199995,0.01997240328,0.07148018016,0.11878324056,0.03644087616,0.09215336952,0.0157676868,,0.33042063671999994,0.14751546984000002,0.023476333680000003,0.06412192632000001,0.006307074719999999,0.09215336952,0.008759826,0.00455510952,0.049405418640000004
Sichuan,0.0672134112,0.1072829448,0.0594580176,0.0116330904,0.021327332400000003,0.0439472304,0.0277901604,0.009047959200000002,0.9888126840000001,0.01615707,0.2481725952,0.0562266036,0.13701195359999999,0.219736152,,0.100173834,0.12925656,0.22749154559999998,0.0536414724,0.148645044,0.021327332400000003,1.9944287208000002,0.5887636307999999,0.6572696076,0.06333571439999999,0.1615707,0.0135719388,0.0562266036,0.0536414724,0.0458860788,0.1189160352
Guizhou,0.00962901108,0.02246769252,0.011604192839999998,0.00197518176,0.00419726124,0.0029627726399999994,0.00444415896,0.00197518176,0.40639364712,0.0014813863199999995,0.06468720264,0.023702181119999995,0.22097345940000002,0.01876422672,0.35084166011999995,0.0037034658000000002,0.0271587492,0.16048351800000002,0.053329907520000004,0.06098373684,0.00790072704,0.28985792328000004,,0.47922847452,0.0012344886,0.19455540336,0.0007406931599999999,0.0076538293200000005,0.0007406931599999999,0.00049379544,0.029133930960000002
Yunnan,0.025119953280000003,0.037679929920000015,0.025971477120000003,0.00979252416,0.011708452800000005,0.017243357760000005,0.015966071999999998,0.0076637145600000015,0.15774479136000005,0.008302357440000002,0.04470500160000001,0.022352500800000005,0.06322564512,0.03682840608,0.6707879049600001,0.01319861952,0.03278366784,0.07897883616000001,0.018733524480000003,0.02171385792000001,0.005747785920000001,0.13943702880000006,0.4604615164800001,,0.006386428800000001,0.11942621856000002,0.0036189763200000008,0.00979252416,0.006386428800000001,0.004257619200000001,0.048536858880000006
Tibet,0.0012234952800000002,0.0029430021600000003,0.0009369108000000002,0.0006062364000000003,0.0005401015200000001,0.0012234952800000002,0.00031965192,0.00015431472000000004,0.00511443072,0.00031965192,0.0016423495200000005,0.0005401015200000001,0.0010691805600000002,0.004816823760000001,0.027049165919999996,0.00576475704,0.00180768672,0.0017746192800000005,0.0004849891200000001,0.00067237128,8.817984000000003e-05,0.007451196479999999,0.00119042784,0.005731689600000001,0.00045192168,0.0005731689599999999,0.00051805656,5.51124e-05,0.032714720640000014,,0.0022596084
Shaanxi,0.059534429760000014,0.12109634784000002,0.054373550400000005,0.00884722176,0.022671005759999998,0.16348928543999994,0.016035589439999998,0.007372684799999999,0.16238338272000002,0.10708824672,0.12238656767999999,0.03667910688,0.04018113216,,0.15832840607999998,0.18265826592,0.05971874688000001,0.055110818879999995,0.012164929920000001,0.02009056608,0.0055295136,0.038153643839999994,0.01695717504,0.016588540800000003,0.03631047264,0.010690392959999998,0.09252719424,0.02727893376,0.04183998624,0.00239612256,0.14044964544000002
Gansu,0.023387616000000003,0.028415953440000006,0.02537556336,0.0018710092800000005,0.013097064960000005,0.0140325696,0.0046775232,0.0018710092800000005,0.034145919360000006,0.041980770720000005,0.042448523040000005,0.011576869920000002,0.010524427200000002,0.28310709168000003,0.078933204,,0.02584331568,0.020464164000000003,0.004560585120000001,0.00561302784,0.0025726377600000004,0.016137455040000002,0.006431594400000002,0.005963842080000001,0.11799052272000002,0.004560585120000001,0.16581819744000004,0.00397589472,0.11915990352,0.0026895758399999997,0.050166436320000014
Qinghai,0.001708533,0.006738147,0.003935385,0.000537516,0.0008062739999999999,0.002361231,0.000633501,0.00038394,0.0054903420000000005,0.002284443,0.0032058990000000003,0.0026491859999999996,0.001996488,0.01612548,0.016547813999999997,0.08389089000000001,0.0015549570000000007,0.0025915950000000004,0.000403137,0.0007294860000000001,0.001190214,0.002188458,0.000633501,0.000998244,0.009444924,0.000287955,0.006047055,0.0007294860000000001,,0.008830619999999999,0.006699753
Ningxia,0.0057988062,0.007696597320000001,0.00752087592,0.0016517811599999993,0.00397130364,0.00495534348,0.0023195224800000003,0.0016517811599999993,0.006009671879999999,0.06269739552,0.00836433864,0.0025303881600000004,0.0017220697199999998,0.07155375408,0.00864549288,0.09657648144,0.005306786280000001,0.00428760216,0.0006325970400000001,0.0011597612400000002,0.0005974527599999999,0.0024600996,0.0010543284,0.0017923582800000004,0.0071694331200000015,0.0005974527599999999,,0.0028818309600000002,0.0068531346,3.514428e-05,0.02235176208
Xinjiang,0.0036454471200000004,0.01081346112,0.007577614800000002,0.00079872156,0.00385024752,0.00219136428,0.0015769630800000001,0.0005734411200000001,0.01820675556,0.00219136428,0.0066560130000000006,0.0026828852399999998,0.00339968664,0.0145408284,0.021237801479999995,0.04532232852,0.00897025752,0.00612353196,0.00108544212,0.0026828852399999998,0.00303104592,0.0031334461199999998,0.00096256188,0.0017817634799999996,,0.0017817634799999996,0.005877771479999999,0.00135168264,0.007311374279999999,8.192016e-05,0.014827548959999999
Taiwan,0.00012608784000000002,0.0004824230400000001,0.00103611312,6.030288000000003e-05,0.00044953055999999994,2.7410400000000004e-05,0.0006468854400000001,0.0005482080000000001,0.014774205600000003,2.7410400000000004e-05,0.007609127040000002,0.0012608784,0.00103611312,0.00044953055999999994,0.0010032206400000002,,0.006090590880000001,0.0025217568000000003,0.0004824230400000001,0.006282463680000003,0.00035633520000000017,0.0012608784,0.00012608784000000002,2.7410400000000004e-05,,0.00015898032000000002,6.030288000000003e-05,2.7410400000000004e-05,6.030288000000003e-05,,0.0014527512000000002
Hong Kong,0.0004819175999999999,0.0023132044799999995,0.00322884792,0.00031324644,0.0011806981199999995,0.00019276703999999997,0.00142165692,0.00038553407999999994,0.15221367396,0.0002409588,0.00537338124,0.0016626157199999998,0.0037348614,0.0013252734,0.005469764760000001,0.00012047939999999997,0.01250576172,0.007662489840000001,0.0017108074799999998,0.00918053028,0.0015662322,0.0034216149599999995,0.0015180404399999998,0.0008192599199999999,9.638351999999998e-05,0.0031083685199999995,9.638351999999998e-05,0.00014457527999999994,,,0.007542010439999998
Macau,0.00097028928,0.00153629136,0.0008287887599999999,0.000505359,0.0008894318400000002,0.0015160770000000002,0.00169800624,0.00048514464,0.14819147316,8.085744e-05,0.00511423308,0.0014150051999999998,0.00236508012,0.0010309323599999999,0.00190014984,8.085744e-05,0.0065292382799999995,0.00582173568,0.00276936732,0.00183950676,0.0008287887599999999,0.0008894318400000002,0.0008894318400000002,0.00054578772,8.085744e-05,0.00183950676,0.00016171488,0.00038407284,,,0.00357794172
