,Hebei,Henan,Shandong,Heilongjiang,Tianjin,Shanxi,Liaoning,Jilin,Guangdong,Inner Mongolia,Jiangsu,Anhui,Hunan,Shaanxi,Sichuan,Gansu,Shanghai,Zhejiang,Jiangxi,Fujian,Hainan,Chongqing,Guizhou,Yunnan,Xinjiang,Guangxi,Ningxia,Hubei,Qinghai,Tibet,Beijing
Beijing,0.63458647776,0.10772917056,0.10555282368,0.08977430880000001,0.08632842623999999,0.0843334416,0.08360799263999999,0.06039362592,0.059668176959999986,0.05731046784,0.04787963136,0.04407102432,0.04225740192,0.040262417280000004,0.03935560608,0.03500291232,0.028836596160000005,0.02412117792,0.01668532608,0.01559715264,0.015234428159999997,0.014871703679999997,0.01342080576,0.01233263232,0.0117885456,0.01124445888,0.00888674976,0.006529040639999999,0.00417133152,0.0010881734399999998,
Tianjin,0.34421846184000005,0.02154015504,0.05571607032000001,0.029850923520000006,,0.0195048648,0.03247984008,0.02069211744,0.014247031680000001,0.019080846,0.017808789600000003,0.01263576024,0.0035617579200000003,0.008649983520000001,0.008395572240000001,0.007801945920000001,0.015264676800000003,0.008225964720000001,0.00271372032,0.00364656168,0.0025441128,0.00440979552,0.0029681316,0.0030529353600000004,0.0028833278400000003,0.0021200940000000003,0.0029681316,0.0031377391200000005,0.0014416639200000002,8.480376000000001e-05,0.17266045536000002
Hebei,,0.15818343552000005,0.3799888588800001,0.07103002752000001,0.7316528601600001,0.18607252608,0.18302215680000009,0.06013585152000001,0.07495193088000003,0.15949073664000002,0.11155636224000004,0.04880590848000002,0.028760624640000006,0.07015849344000001,0.05447088000000001,0.020045283840000004,0.06144315264000001,0.050113209600000014,0.012637244160000002,0.013508778240000002,0.008279573760000002,0.02396718720000001,0.010894176000000002,0.016559147520000005,0.011329943040000002,0.011329943040000002,0.0152518464,0.0065365056000000026,0.008279573760000002,0.00043576704000000016,1.7609346086400002
Shanxi,0.18244753956000004,0.09877380084,0.06427916352000002,0.005541307200000001,0.06774248052000001,,0.023689088280000003,0.00664956864,0.03892768308,0.10403804268,0.06538742496000001,0.015238594800000003,0.011498212439999999,0.218188971,0.03574143144,0.01025141832,0.03491023536,0.022442294160000004,0.005541307200000001,0.00789636276,0.004155980399999999,0.012190875840000002,0.004155980399999999,0.00734223204,0.00498717648,0.0042945130799999995,0.009281689559999999,0.00249358824,0.007065166680000002,0.00041559804,0.30657282084000004
Inner Mongolia,0.19078334028000002,0.0126989694,0.043027096319999986,0.17121198744000002,0.060656253839999986,0.08919158507999997,0.28998470124000003,0.14058506124,0.01807735644,,0.01912315392,0.006424184519999999,0.0038843906399999993,0.08904218543999999,0.01165317192,0.026144937000000004,0.0134459676,0.00956157696,0.00164339604,0.00283859316,0.00209159496,0.00283859316,0.00194219532,0.0022409946,0.00328679208,0.0022409946,0.060656253839999986,0.00343619172,0.0035855913599999994,,0.20915949600000003
Liaoning,0.21900429432,0.023417910000000004,0.12664405728,0.20870041392,0.09891725184,0.01798495488,,0.3585750379200001,0.05301814824000002,0.19802184696000005,0.06931701360000002,0.015924178800000004,0.008055761040000001,0.01423808928,0.018734328,0.0035595223200000007,0.046086446880000013,0.029974924800000007,0.0058076416799999996,0.01105325352,0.005058268560000001,0.005994984960000002,0.003746865600000001,0.0052456118400000026,0.0014987462400000006,0.005620298400000001,0.0031848357600000004,0.0013114029600000006,0.00112405968,0.0007493731200000003,0.3083670388800001
Jilin,0.09069296544,0.00905313024,0.08196316127999999,0.299076624,0.059007009599999986,0.006628184639999998,0.6034881283199999,,0.033625912319999986,0.12043896479999998,0.04009243392,0.008083152,0.00452656512,0.009538119359999998,0.008083152,0.00129330432,0.02780604288,0.02618941248,0.00290993472,0.006951510719999999,0.0048498912,0.00290993472,0.0024249456,0.00290993472,0.00129330432,0.0035565868799999996,0.00129330432,0.0009699782399999998,0.00064665216,,0.15325656192
Heilongjiang,0.12399800111999998,0.016521472799999996,0.1026070416,,0.08695512,0.007999871039999999,0.44503630416,0.36138547872,0.04469493167999999,0.14921498592000002,0.04312973952,0.01095634512,0.006782499359999999,0.007478140319999998,0.012347627039999998,0.00243474336,0.035303778719999984,0.036695060639999985,0.00486948672,0.008173781279999997,0.008347691519999999,0.00382602528,0.00278256384,0.004347756,0.0005217307199999999,0.004347756,0.0017391023999999995,0.0015651921599999998,0.00034782048,,0.20104023744000002
Shanghai,0.016046916480000003,0.085965624,0.05071971816,0.02235106224,0.00587431764,0.01991536956,0.03123417672,0.02063174976,0.051006270240000005,0.00845328636,0.4208017294800001,0.17393711256000002,0.027508999680000003,0.02535985908,0.04699454112,0.02048847372,,0.18582902388000005,0.04097694744,0.027222447599999998,0.00988604676,0.0186258852,0.02249433828,0.0200586456,0.007450354079999999,0.01389777588,0.006733973879999999,0.006160869720000001,0.004011729120000001,0.0008596562400000001,0.02478675492
Jiangsu,0.066581028,0.17044743167999998,0.33734387520000003,0.02530079064,0.03639762864,0.040836363839999994,0.05104545480000001,0.02308142304,0.1509169968,0.017311067280000002,,0.74837075472,0.044387352000000005,0.07679011896,0.07856561304,0.03684150216,1.6134802452,0.44920000224,0.0710197632,0.054152569439999985,0.00754584984,0.03684150216,0.034622134560000004,0.0310711464,0.01509169968,0.0177549408,0.011096838000000001,0.01242845856,0.01065296448,0.00133162056,0.15180474384
