,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Liaoning,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Hubei,Anhui,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Hainan,Gansu,Yunnan,Xinjiang,Guizhou,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.5407706201200004,0.48926787696,0.39483664164000004,0.27949110588000003,0.23639497164,0.22371963804,0.21104430444,0.19520013744000003,0.19456637075999997,0.17872220375999998,0.14513256972000002,0.14006243627999998,0.12611956932,0.10647280224,0.10457150220000001,0.095065002,0.08555850179999999,0.0760520016,0.07098186816000003,0.06147536796,0.057672767879999996,0.05640523452000001,0.05323640112,0.04689873432,0.0380260008,0.03675846744,0.035490934080000015,0.02408313384,0.01647793368,0.00507013344,
Tianjin,1.31298888168,,0.2371931424,0.08738694719999998,0.08769904344,0.04400556984,0.07459100135999999,0.08395388856000001,0.0452539548,0.05492893824,0.03901203,0.03370639392,0.030897527759999995,0.03651526008,0.02465560296,0.029337046559999993,0.02153464056,0.029337046559999993,0.01997415936,0.013108042079999998,0.014356427040000001,0.01154756088,0.022783025519999996,0.01342013832,0.00967498344,0.014356427040000001,0.01342013832,0.007178213520000001,0.00405725112,0.00093628872,0.6969109039199999
Hebei,,1.55826270072,1.19059488792,0.52663007304,0.6553138075199999,0.1297651104,0.24006545424000003,0.31468039272,0.11570722344,0.324412776,0.13300923816,0.09407970504,0.15896226024000001,0.08218456991999999,0.09407970504,0.11786997527999998,0.06271980335999999,0.0648825552,0.04109228496,0.03892953312,0.040010909039999994,0.030278525760000008,0.035685405360000005,0.034604029439999996,0.02487164616,0.02811577392,0.0378481572,0.02270889432,0.0108137592,0.0021627518399999998,4.58287114896
Shanxi,0.5541423321600001,0.10738407168,0.19011708288,0.4271724864,,0.06888789504000001,0.13271050367999998,0.037145433600000013,0.07564161024000003,0.24313374720000006,0.06956326656,0.06382260864,0.56494827648,0.014182801919999998,0.04795137792,0.03984691968,0.031067089920000002,0.012494373119999999,0.022624945919999997,0.026677175040000004,0.016884288,0.02161188864,0.02802791808,0.02059883136,0.01283205888,0.016208916480000002,0.015533544960000001,0.01958577408,0.007091400959999999,0.0016884288,0.48018915071999996
Inner Mongolia,0.32760811584000005,0.07209588384,0.08811719136,0.04723523423999999,0.20661962111999999,0.037843433280000005,0.037014744960000005,0.29446058304,0.03425245056,,0.029556550080000007,0.02789917344,0.28672615871999996,0.20882945664000002,0.01712622528,0.015192619200000004,0.01464016032,0.15910815744,0.01325901312,0.014363930880000002,0.0077344243200000015,0.01187786592,0.19280814912,0.01049671872,0.01049671872,0.00745819488,0.0077344243200000015,0.22208846976,0.008286883200000001,0.00027622944,0.34611548831999994
Liaoning,0.34813777644,0.12956678352,0.21390191964,0.06595066008,0.06799337963999999,0.08783694108,0.109431405,,0.10447051464,0.3049488486,0.07674789204,0.03997893996,0.04289711076,0.23403729816,0.02538808596,0.035893500839999995,0.030057159239999996,0.41671479024,0.02451263472,0.01809265896,0.014882671080000003,0.022178098080000003,0.01342358568,0.01809265896,0.0116726832,0.014882671080000003,0.0160499394,0.005544524520000001,0.00379362204,0.0008754512399999999,0.41379661943999996
Jilin,0.08572061843999998,0.05091186636,0.08604593388000001,0.02407334256,0.01642842972,0.042941638080000004,0.04359226896000001,0.4559295891599999,0.042941638080000004,0.15729001523999994,0.03708596016,0.016916402879999997,0.017079060599999998,0.26318019095999995,0.013663248479999996,0.01317527532,0.01268730216,,0.0146391948,0.00829554372,0.009922120919999998,0.01659108744,0.00439175844,0.008132885999999999,0.00374112756,0.006994281959999999,0.007970228279999998,0.00211455036,0.0016265771999999998,0.00065063088,0.15891659243999998
Heilongjiang,0.09506166803999999,0.05878600596,0.117410067,0.022510343880000002,0.01668032676,0.05716655676,0.049069310760000005,0.2558729736,0.05149848456,0.17376689916000002,0.0412959546,0.01894755564,0.01635643692,,0.01166003424,0.01392726312,0.01587060216,0.295549479,0.01182197916,0.00793530108,0.00680168664,0.02655896688,0.00518223744,0.01036447488,0.0038866780799999994,0.0064777968,0.008745025679999999,0.0032388984,0.0019433390399999997,0.00064777968,0.2121478452
Shanghai,0.06769911960000001,0.03739570416,0.1998735912,0.17924147856,0.05351454216,0.23791404888,2.4036411225600003,0.06769911960000001,,0.02450063376,1.4558534481599998,0.12766119695999995,0.07350190127999999,0.03094816896,0.11218711248,0.44939320343999994,0.08704172519999999,0.02514538728,0.11670038712,0.06383059847999999,0.128950704,0.03804045768,0.03804045768,0.0612515844,0.021921619680000004,0.05996207736000001,0.04448799288,0.01225031688,0.01031605632,0.00257901408,0.20245260528000006
Jiangsu,0.18607068899999998,0.07761805883999999,0.99627563196,0.45826552548,0.11908524096000002,0.30409266888,,0.09250371396,3.18021389028,0.043593704279999985,1.59276509784,0.15310959552,0.15629937876,0.04465696536,0.19032373332000002,1.7884051365600002,0.12440154636,0.029771310240000005,0.13184437392,0.08718740855999997,0.17224829496000002,0.03827739888,0.06273240372000001,0.06804870912000001,0.029771310240000005,0.07761805883999999,0.05954262048000001,0.02020196052,0.02020196052,0.0053163054000000005,0.30302940780000004
Zhejiang,0.09048406320000002,0.03753412992000001,0.22386427488,0.3049648056000001,0.05630119488,0.3311046460800001,1.3485476678400004,0.05294993328000002,1.40015709648,0.02479933584,,0.14946626736000002,0.08847330624000001,0.034853120640000006,0.18565989264,0.6816466094400001,0.17627636016000006,0.027480345120000003,0.32976414144000005,0.09115431552,0.4517500636800001,0.033512616,0.03686387760000001,0.08579229696000001,0.01943731728,0.17359535088000005,0.060992961120000015,0.013405046400000002,0.011394289440000002,0.0026810092800000004,0.16622257535999999
Anhui,0.0965491002,0.0499165416,0.2673162162,0.5425139915999999,0.051230134800000014,0.22659482700000005,2.3276871504,0.0321830334,0.8249365296000002,0.0190471014,1.044306594,0.055827711000000016,0.0663364566,0.0111655422,0.1799622684,,0.07027723620000001,0.013135932,0.0926083206,0.036780609600000014,0.17864867520000002,0.023644677599999997,0.025615067400000004,0.0282422538,0.0111655422,0.0302126436,0.0282422538,0.0085383558,0.009195152400000002,0.0019703898,0.20426374260000002
Fujian,0.03577696128,0.02033895744,0.06640792127999999,0.08258106815999999,0.0269552448,0.5138649849599999,0.12644460287999998,0.01886867136,0.16614232703999998,0.011517240959999998,0.37149228288,0.08013059135999999,0.03749229504,0.014212765439999997,0.07988554367999998,0.06861335039999998,0.08258106815999999,0.007351430399999998,,0.050969917439999984,0.24700806144,0.023034481919999995,0.02058400512,0.052930298880000004,0.007351430399999998,0.07792516224,0.054400584960000005,0.0049009536,0.00343066752,0.00196038144,0.08699192639999997
