,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Liaoning,Shanghai,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Heilongjiang,Hubei,Anhui,Hunan,Jilin,Fujian,Chongqing,Jiangxi,Hainan,Gansu,Yunnan,Xinjiang,Guizhou,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Jiangxi,0.032733762119999996,0.017286368759999997,0.059582802960000014,0.06767429472,0.01691857368,1.0125398552399998,0.19382800716,0.013608417959999999,0.24421593311999998,0.006252516360000001,0.6090686524800001,0.04266422928,0.032365967040000006,0.008091491760000001,0.20044831859999998,0.15042818772,0.36558830952,0.006252516360000001,0.29901740004000005,0.027584631000000002,,0.024642270360000003,0.012505032720000002,0.032365967040000006,0.004045745880000001,0.04487099976,0.050387925959999996,0.00294236064,0.00294236064,0.0007355901600000001,0.08974199951999999
Shandong,1.0768530517200001,0.35454671028000007,,0.86030795952,0.2165450922,0.2275558596,1.2141206186399998,0.19745976204,0.3795044497199999,0.10203311124,0.35895101723999995,0.10863957168,0.16075720404000002,0.12772490184000002,0.13139515763999998,0.30242907792,0.09395854847999999,0.07487321832,0.0880861392,0.0623943486,0.07927752528,0.02862799524,0.04991547888,0.05138358119999999,0.035234455679999985,0.04551117192,0.048447376560000005,0.026425841759999995,0.01908533016,0.0036702558,0.8030519690399999
Henan,0.5269080326400001,0.15696811152000004,0.8936928158399999,,0.47484825696000005,0.60420891168,0.79746110928,0.062313973920000015,0.4685379811200001,0.05994762048000001,0.6073640496,0.13014943920000002,0.36520721424,0.026029887839999998,0.51586504992,0.6554799028800001,0.16012324944,0.0236635344,0.11358496512,0.06389154288000001,0.10017562896,0.03628408608,0.08124480144000001,0.055214913600000005,0.053637344640000015,0.050482206720000006,0.06546911184000001,0.026818672320000004,0.0236635344,0.00709906032,0.6696780235199999
Hubei,0.0818102268,0.032471069400000004,0.1071123588,0.409051134,0.052291072800000005,0.8332835472000001,0.2475391914,0.0244587276,0.2028387582,0.016868088,0.29476983780000005,0.1168115094,0.124402149,0.0101208528,,0.17163279539999998,0.4845358278,0.0109642572,0.099100017,0.18428386140000005,0.2395268496,0.0345795804,0.027410643,0.0543995838,0.013494470400000002,0.0581949036,0.06536384099999999,0.008434044,0.0101208528,0.0016868088000000002,0.1914527988
Hunan,0.05223335544,0.023044127400000003,0.07527748283999999,0.10702716948,0.03123759492,2.12569272972,0.15670006632000005,0.02458040256,0.1510670574,0.01587484332,0.25655795172,0.08500722552000001,0.05735427264000001,0.01075392612,0.44449561296000006,0.06657192360000001,,0.0102418344,0.09524905992000003,0.11009971980000001,0.35231910335999994,0.058890547800000005,0.019459485359999997,0.07630166628,0.01382647644,0.23658637464,0.28779554664,0.00870555924,0.0102418344,0.0020483668799999998,0.14594614020000002
Guangdong,0.07763962751999999,0.0381266028,0.12755081663999998,0.25926089904,0.05684329871999999,,0.22737319487999996,0.06446861928,0.23291888255999996,0.035353758959999995,0.28213686071999994,0.28213686071999994,0.10675448783999998,0.03743339184,0.3299684169599999,0.11507301935999995,1.0093151577600001,0.033274126079999994,0.4138469431199999,0.16706384135999994,0.5309995953599999,0.1802348496,0.04921797815999999,0.16082494271999995,0.028421649359999995,0.22598677295999994,1.2900655965599996,0.013171008239999995,0.017330273999999996,0.006932109599999999,0.21489539759999995
Guangxi,0.02516991408,0.01026667548,0.032124758760000004,0.03941078651999999,0.011591407799999998,2.0665824192,0.0546452082,0.011922590879999998,0.04868391276,0.006954844679999999,0.06723016523999999,0.0563011236,0.02583228024,0.008279577,0.04702799735999999,0.02086453404,0.2384518176,0.00529892928,0.05133337739999999,0.03874842036,0.04570326504,0.046696814279999985,0.011591407799999998,0.11028396564000001,0.0033118308000000003,0.16294207536,,0.0019870984799999995,0.0019870984799999995,0.00132473232,0.05166456048
Hainan,0.019788112080000003,0.011181087720000002,0.020753385840000003,0.02775162060000001,0.01423778796,0.19072200708000006,0.032336670959999994,0.012628998360000004,0.044804790360000006,0.011502845640000002,0.030647441880000008,0.04086325584,0.027349423200000004,0.016087896,0.024212283480000003,0.01520306172,0.038852268839999995,0.00973317708,0.0164900934,0.029682168120000005,0.015685698600000002,,0.0050676872399999994,0.01592701704,0.0025740633600000004,0.022362175440000003,0.044161274520000016,0.004102413480000001,0.0014479106400000002,0.00032175792000000005,0.056227196520000015
Chongqing,0.03538174284,0.014343949800000004,0.04653814824,0.06024458916,0.02613786408,0.2518160076,0.07426978452,0.01721273976,0.07331352120000001,0.018169003080000003,0.11028903624000001,1.20839808204,0.08351366328000001,0.0066938432400000004,0.21579675588000002,0.033150461760000006,0.11028903624000001,0.004143807720000001,0.054507009240000015,,0.02996291736,0.03060042624,0.03538174284,0.12144544164,0.02040028416,0.33883596971999996,0.0494069382,0.01370644092,0.011475159840000002,0.01179391428,0.0749072934
Sichuan,0.07119737999999999,0.029582009999999995,0.09125298,0.11582109,0.058662629999999986,0.43921764,0.14891283,0.03359313,0.14941422,0.035598689999999995,0.17348093999999994,,0.29281176,0.014038920000000002,0.11381553,0.04763205,0.08674046999999999,0.013036139999999998,0.09375993,1.29809871,0.04261815,0.04713065999999999,0.17448371999999998,0.5389942499999999,0.052144559999999986,0.3830619599999999,0.09075159,0.0200556,0.06367653,0.09476271,0.19203237
Guizhou,0.017255472120000004,0.00927159696,0.032193045,0.032965678080000005,0.010559318759999999,0.3783326648400001,0.08138401776000001,0.010816863119999999,0.06026538024,0.00618106464,0.2086109316,0.29437320348,0.026269524720000003,0.004120709760000001,0.03940428708000001,0.02214881496,0.22663903680000005,0.0028329879600000004,0.07777839672000003,0.31832482896000003,0.04043446452000001,0.028587423960000007,0.013134762360000002,0.3773024874,0.004120709760000001,,0.19702143540000006,0.0025754436000000004,0.0018028105200000005,0.0018028105200000005,0.045070263000000006
Yunnan,0.01906693668,0.0105927426,0.028696702680000002,0.036015324839999995,0.01367426772,0.1964472264,0.055660047479999995,0.0115557192,0.07106767307999999,0.00885938472,0.08705308463999999,0.45606571776,0.03678570612,0.0057778596,0.03640051548,0.01906693668,0.06413424156,0.00404450172,0.0375560874,0.08628270336,0.03004486992,0.01848915072,0.0134816724,,0.0057778596,0.36670148928,0.13057962695999997,0.004814883,0.00442969236,0.01174831452,0.051615545760000006
Tibet,0.0022502577600000003,0.0014033865599999999,0.0034600737599999997,0.00522640512,0.0015727608,0.01492912944,0.006895951200000001,0.00116142336,0.01238851584,0.0005323190400000001,0.0047182824,0.06990316848,0.009872098560000002,0.00041133744,0.00365364432,0.0022260614399999996,0.0026857915200000004,0.0007258896000000001,0.00191150928,0.013864491360000002,0.0014517792,0.00033874848000000013,0.00682336224,0.01371931344,0.00433114128,0.00261320256,0.0010646380800000002,0.0007742822400000001,0.04096436976,,0.009751116960000002
Shaanxi,0.1152164736,0.034564942079999994,0.12385770912,0.32116592016,0.45942568848000004,0.18038579147999997,0.16670383524,0.031684530239999995,0.11233606176,0.28228036032,0.10369482624,0.25923706560000004,,0.014762110679999997,0.11341621619999999,0.06084870012,0.055087876439999996,0.010081441440000002,0.04068581724,0.07417060488,0.029164169880000007,0.027363912480000002,0.3906558558,0.04068581724,0.05364767052,0.033484787640000006,0.02664380952,0.15122162160000002,0.053287619040000005,0.00936133848,0.22071155724
Gansu,0.029575423080000007,0.022962285,0.03692335428,0.052905104640000006,0.023880776400000005,0.05584427712,0.06080413068,0.0101034054,0.049047440760000005,0.10599390756,0.040964716440000014,0.12877249427999998,0.4752274503600001,0.004041362160000001,0.024064474680000003,0.014144767560000004,0.016716543480000002,0.004041362160000001,0.015614353800000003,0.02792213856,0.01047080196,0.0064294398,,0.016165448640000003,0.09625789872,0.01267518132,0.00900121572,0.17286008147999998,0.22135642740000006,0.007164232920000002,0.08229682944000002
Qinghai,0.006690470400000001,0.00340098912,0.011875584960000001,0.02074045824,0.006801978239999999,0.012990663360000002,0.015109312319999998,0.0030664655999999998,0.00875336544,0.006690470400000001,0.0086418576,0.04928646528,0.0423729792,0.0013938479999999998,0.0064117008,0.00429305184,0.00630019296,0.00094781664,0.00563114592,0.00869761152,0.0022301568,0.0015611097600000002,0.23372043264000003,0.0052966224,0.02363966208,0.0038470204799999994,0.0015053558400000002,0.01315792512,,0.024364463040000003,0.0172837152
Ningxia,0.01809790128,0.005635749959999999,0.017701017479999998,0.021828609,0.015319714679999997,0.01952668296,0.016907249880000003,0.0033338239199999994,0.013414672439999996,0.18161402688,0.013811556239999998,0.018812292119999997,0.14779952712000002,0.00381008448,0.00682640136,0.006350140799999999,0.009287080919999998,0.00182566548,0.005000735879999999,0.009922095,0.00404821476,0.00531824292,0.17986773815999998,0.0049213591200000005,0.010001471759999998,0.00404821476,0.00349257744,,0.01055710908,0.0007937675999999999,0.032465094839999986
Xinjiang,0.01806924672,0.007984085759999999,0.023772165119999997,0.042681841919999984,0.00918470016,0.026413516800000002,0.020710598400000002,0.008404300799999999,0.022871704320000002,0.011826051839999996,0.01716878592,0.05156638848,0.05468798592,0.0028214438399999987,0.008224208640000001,0.009304761600000001,0.01038531456,0.00312159744,0.006303225599999999,0.01944995328,0.00372190464,0.0030015359999999995,0.11255759999999998,0.006663409919999999,,0.00276141312,0.00372190464,0.0102052224,0.032236496639999994,0.00246125952,0.047184145920000004
Taiwan,0.00016159823999999998,,0.00012884184,9.717732e-05,3.166452e-05,0.00022601916,0.00016159823999999998,0.00016159823999999998,0.00485995788,3.166452e-05,0.00038870928,9.717732e-05,9.717732e-05,6.442091999999999e-05,0.00016159823999999998,3.166452e-05,9.717732e-05,0.00016159823999999998,0.00275372136,3.166452e-05,,,6.442091999999999e-05,3.166452e-05,,9.717732e-05,,,3.166452e-05,,0.0004203738
Hong Kong,6.250607999999999e-05,,3.125304e-05,6.250607999999999e-05,,0.02193242184,3.125304e-05,,0.00064669752,,3.125304e-05,3.125304e-05,,,9.61632e-05,,3.125304e-05,,0.00022598351999999995,,,,6.250607999999999e-05,,,3.125304e-05,9.61632e-05,,,,0.0005168771999999999
Macau,0.0004064580000000001,0.0004389746400000001,0.0006665911200000001,0.00030890808,8.129159999999999e-05,0.14692643784,0.0015120237600000006,0.00021135816,0.00206480664,0.00014632488,0.0012844072800000002,0.0008616909600000001,8.129159999999999e-05,0.00011380824000000002,0.0008616909600000001,0.00030890808,0.0008616909600000001,4.8774960000000004e-05,0.0011868573599999998,0.00011380824000000002,0.0004064580000000001,0.00021135816,0.00027639144000000005,0.00014632488,,0.00014632488,0.0010242741600000002,1.625832e-05,,,0.0013494405599999999
