,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hainan,Heilongjiang,Anhui,Hubei,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.30202459432,0.37898499672,0.34299829079999994,0.29407886244000003,0.22098086604000003,0.20130063624,0.19230395976,0.17937123731999996,0.15969100751999998,0.12314200931999998,0.12201742476,0.10908470232,0.10908470232,0.09502739532,0.09109134936,0.09052905708,0.08940447252,0.07478487324,0.070286535,0.06016527396000001,0.05229318204,0.04891942836,0.0449833824,0.03598670592,0.033175244519999994,0.03036378312,0.02192939892,0.02136710664,0.0112458456,0.00337375368,
Tianjin,0.97838629272,0.150161607,,0.06851818512,0.02647293516,0.03759601716,0.03737355552,0.0400430952,0.02714032008,0.02135631744,0.0189092394,0.01423754496,0.01757446956,0.012680313479999998,0.020244009240000003,0.020466470880000004,0.015794776439999998,0.00956585052,0.01534985316,0.0088984656,0.0077861573999999985,0.008231080679999999,0.0077861573999999985,0.008008619040000001,0.00578400264,0.00467169444,0.0008898465600000002,0.00244707804,0.00133476984,0.00022246164,0.6331258274399999
Hebei,,0.8373859704000002,0.99717288516,0.3853684414800001,0.08886544992,0.4016034756000001,0.15551453736000004,0.21532782096000005,0.20934649260000004,0.08801097444000001,0.05895880812000001,0.10339153308,0.042723774000000006,0.041869298520000015,0.053831955240000014,0.07604831772000001,0.07006698936000001,0.039305872080000005,0.045287200440000015,0.031615592760000005,0.029052166320000006,0.031615592760000005,0.028197690840000005,0.02307083796000001,0.02392531344000001,0.017943985080000002,0.01110818124,0.014526083160000003,0.005126852879999999,0.0008544754800000003,4.403112148440001
Shanxi,0.40814213904,0.11870800775999997,0.04468222763999999,0.32878116756000003,0.04401532872,,0.06824598947999999,0.0200069676,0.18473100084,0.038902437000000005,0.055352610360000006,0.36746130492,0.01956236832,0.02356376184,0.00844738632,0.0266759568,0.03378954528,0.01934006868,0.00577979064,0.014894075880000001,0.01645017336,0.0211184658,0.010448083079999998,0.01911776904,0.0100034838,0.01133728164,0.0055574909999999995,0.0100034838,0.004890592080000001,0.00088919856,0.27876374856
Inner Mongolia,0.22147147008,0.05987665152000001,0.029216920320000013,0.037152380160000005,0.022002865920000003,0.15744673728000005,0.029216920320000013,0.21570022656000004,,0.022543920000000002,0.025429541760000004,0.23084974080000004,0.00847651392,0.013526352000000002,0.09883254528000003,0.009197919360000004,0.010640730240000002,0.00847651392,0.12462278975999999,0.0052301894400000005,0.00793545984,0.0063122976,0.00793545984,0.054285759360000005,0.004508784000000001,0.004508784000000001,0.005049838080000002,0.14824881792000005,0.003426675840000001,0.00018035136000000006,0.22886587584000004
Liaoning,0.224566506,0.1444047912,0.045481824000000004,0.04623985439999999,0.06348504599999999,0.0212248512,0.07409747159999999,,0.2156596488,0.0536306508,0.0282366324,0.024635988,0.032216292,0.036006443999999985,0.16581914999999994,0.0223618968,0.020845836,0.018003221999999996,0.32671110239999995,0.023119927199999998,0.0153501156,0.0126970092,0.0106124256,0.0060642432,0.014023562399999998,0.007580303999999999,0.0034111367999999998,0.0030321216,0.0017055683999999995,0.0007580304,0.2285461656
Jilin,0.0481443264,0.06490044,0.015576105600000001,0.0179361216,0.0374062536,0.006608044800000001,0.0356362416,0.35223238799999995,0.11363477039999999,0.028320192,0.0121540824,0.012980088,0.0162841104,0.026432179200000003,0.2355295968,0.0086140584,0.008260055999999998,0.008378056799999999,,0.0114460776,0.008732059200000001,0.004366029600000001,0.005310036000000001,0.0044840304,0.005782039199999999,0.0022420152,0.0012980088,0.001770012,0.0004720032,0.00035400239999999994,0.08260056
Heilongjiang,0.058867585919999986,0.08696347919999999,0.02274429456,0.016835237639999997,0.04470814763999999,0.009030822840000001,0.03746119104,0.17894408219999994,0.09499087727999997,0.028764843119999994,0.015497337959999996,0.013267505159999995,0.0217408698,0.031998100679999995,,0.01036872252,0.010703197439999998,0.010591705799999998,0.2586606047999999,0.011595130559999998,0.00958828104,0.005797565279999999,0.006132040199999999,0.0016723745999999995,0.0078044147999999985,0.0027872909999999995,0.00156088296,0.0020068495199999994,0.0016723745999999995,0.0005574581999999999,0.10959628212
Shanghai,0.03514990140000001,0.1210718826,0.016490077199999998,0.1180342368,0.15622178400000006,0.0199616724,1.8295306703999998,0.0269048628,0.010848735,0.9824614416000002,0.0633566124,0.033848053200000006,,0.034715952,0.018659824199999998,0.3193867584,0.06509241,0.047734434000000006,0.015188229,0.06899795460000001,0.0407912436,0.032546205,0.08939357640000001,0.0143203302,0.024735115800000002,0.028206711,0.0017357976,0.0030376458000000005,0.0039055446,0.0004339494,0.106317603
Jiangsu,0.1312956216,0.7625245716,0.033665544,0.3854704788,0.2466001098,0.0639645336,,0.06817272660000001,0.0235658808,1.2414169349999995,0.1018382706,0.1018382706,2.5417485719999995,0.041240291400000004,0.035348821199999984,1.5974300627999998,0.15149494800000002,0.09594680039999998,0.0277740738,0.1085713794,0.0656478108,0.055548147599999986,0.1321372602,0.035348821199999984,0.037873737000000005,0.058073063399999986,0.0100996632,0.0117829404,0.0092580246,0.0016832772,0.223034229
