,Hebei,Shandong,Tianjin,Henan,Guangdong,Shanxi,Jiangsu,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Shanghai,Hainan,Heilongjiang,Anhui,Hubei,Hunan,Jilin,Fujian,Yunnan,Chongqing,Jiangxi,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08073279396000001,0.18013847903999994,0.01867289112,0.26801090784000003,0.26196967836,0.033501363480000004,1.1242178859599998,0.04558382244,0.015377675040000004,,0.11258654939999996,0.06755192964,1.0319518357200002,0.034050566160000004,0.027460134,0.5827040434799999,0.15707196648,0.14389110215999998,0.021968107200000003,0.31084871688,0.08402801004,0.08183119931999999,0.3954259296,0.02086970184,0.048329835839999995,0.17849087100000002,0.00933644556,0.00659043216,0.00659043216,0.0010984053599999999,0.12961183248
Anhui,0.05818994640000001,0.17112154608000002,0.01594835568,0.41681243088,0.10862123327999999,0.02025872208,1.81638840096,0.014655245760000003,0.00991384272,0.6185375784,0.03189671136,0.032758784640000004,0.4060365148800001,0.01810353888,0.00948280608,,0.13103513856,0.043103664000000014,0.0073276228800000015,0.0495692136,0.022844941920000004,0.019396648800000003,0.12284544240000002,0.01034487936,0.01853457552,0.018965612160000003,0.003448293120000001,0.0043103664000000005,0.00258621984,0.00129310992,0.0991384272
Fujian,0.027586785600000004,0.050700038400000015,0.0085742712,0.05964710400000001,0.4331870928000001,0.016775748000000004,0.1000952964,0.01994450040000001,0.0076422852000000005,0.267479982,0.06467982840000001,0.031128332400000007,0.0784732212,0.0208764864,0.0113702292,0.0486496692,0.057783132000000015,0.06188387040000001,0.008387874000000002,,0.040075398,0.0415665756,0.21323839680000006,0.0117430236,0.0397026036,0.06188387040000001,0.003727944,0.0031687524000000005,0.0027959580000000003,0.0005591916,0.0650526228
Jiangxi,0.02118090708,0.035936145720000014,0.005711705279999999,0.04712156856000001,0.5868777175200001,0.0076156070400000015,0.12327763895999999,0.0095195088,0.003331828080000001,0.39815345556,0.030224440439999996,0.019277005320000002,0.10876038804000003,0.0202289562,0.005473717560000001,0.11566203192000002,0.16135567416000002,0.2891550798,0.004759754400000001,0.20681132868000002,0.02522669832,0.018801029880000004,,0.0071396316000000015,0.040219924680000005,0.027606575519999996,0.00190390176,0.0016659140400000006,0.00095195088,0.00047597544,0.05188132296
Shandong,0.7385250524399999,,0.15016833971999996,0.59640990444,0.14922090539999994,0.11463955271999995,0.8635863826799999,0.13879912787999998,0.05400375623999999,0.21080413620000002,0.08147935151999998,0.1042177752,0.13974656219999998,0.03979224143999999,0.08290050299999999,0.21175157051999996,0.09569086631999996,0.06110951363999999,0.056846059199999986,0.060162079319999985,0.04358197871999999,0.038844807119999984,0.050687736119999986,0.02558072664,0.038844807119999984,0.029844181079999994,0.014211514799999997,0.012790363319999998,0.009948060359999995,0.00189486864,0.5130356842799999
Henan,0.32491673856,0.573901848,0.049443851520000005,,0.2560485168,0.28121190551999997,0.40438007136,0.037082888639999985,0.0309024072,0.26576070191999995,0.08785112903999999,0.25251681312,0.12890718431999998,0.0463536108,0.016775592479999997,0.45603123768,0.38716301592,0.09094136976,0.01236096288,0.06489505511999999,0.044146296,0.04458775896,0.06048042552,0.0375243516,0.040173129360000004,0.033551184959999994,0.024721925760000003,0.01236096288,0.01368535176,0.0044146296,0.32491673856
Hubei,0.046696966560000004,0.06706479240000003,0.00968713668,0.3465014274,0.3224077797600001,0.021361378320000003,0.14207800464000006,0.015648451560000002,0.007451643600000002,0.14853609576000004,0.07327449540000001,0.08097452712,0.06408413496000001,0.028813021919999997,0.008445196080000002,0.130403763,,0.3534562947600001,0.0059613148800000005,0.05539055076000001,0.033780784320000014,0.13586830164000002,0.17710072956000006,0.011674241640000001,0.04396469724000001,0.033780784320000014,0.0057129267600000005,0.004470986160000001,0.002732269320000001,0.0012419406000000002,0.09960363611999999
Hunan,0.030862944,0.0472392,0.0072433440000000005,0.080621568,1.191372624,0.014801615999999997,0.08440070400000001,0.014801615999999997,0.0072433440000000005,0.13069512,0.055742256,0.02991816,0.052592976,0.03779136,0.011652336,0.04251528000000001,0.355553712,,0.006928416000000001,0.060151248,0.05763182400000001,0.07054387200000001,0.287529264,0.0078732,0.194940432,0.172265616,0.005668704,0.002519424,0.003779136,0.00157464,0.076842432
Guangdong,0.06788227679999999,0.1161831276,0.0241504254,0.2304081126,,0.039162852000000005,0.2114794008,0.055480707000000004,0.0189287118,0.24411511079999998,0.25194768119999994,0.10182341519999999,0.1449025524,0.17558011980000002,0.043731851399999994,0.1057397004,0.31330281600000004,1.0097488674,0.031982995800000004,0.3792269502,0.1723165488,0.146860695,0.5058535049999999,0.026108568,1.3498129655999995,0.2336716836,0.011748855599999998,0.008485284599999999,0.0052217136,0.0039162852,0.2108266866
Guangxi,0.022327682400000003,0.0325207548,0.004125767400000001,0.038830752,1.3845590010000002,0.007523458199999999,0.0407722896,0.012619994399999999,0.0033976908000000012,0.04514074920000001,0.0553338216,0.019658068200000003,0.0220849902,0.0422284428,0.0092223036,0.017959222800000004,0.042713827200000005,0.21041413739999998,0.0058246128,0.038102675400000015,0.101930724,0.031792678200000014,0.0429565194,0.008251534800000002,,0.1400333994,0.002426922,0.0014561532,0.0016988454000000006,0.0004853844000000001,0.035675753399999996
Hainan,0.03207370608,0.02914223832,0.01043257644,0.04017835224,0.16890427476,0.01965807792,0.03431541672,0.025607233080000003,0.008277085439999998,0.029228457960000002,0.05837069628,0.026986747319999997,0.03388431852,,0.021123811800000003,0.014829778080000001,0.02052027432,0.03422919708,0.01129477284,0.016812829799999998,0.016467951239999997,0.031211509680000006,0.01801990476,0.0068975712,0.04043701116,0.017416367279999997,0.004138542719999999,0.00379366416,0.00284524812,8.621964e-05,0.08328817224
Chongqing,0.027934700039999996,0.048275501039999995,0.007322688359999999,0.0515300292,0.15594614099999998,0.01789990488,0.06807388067999999,0.014645376719999999,0.0108484272,0.07214204088000001,1.2014633123999998,0.06183603504,0.04013918064,0.04366491948,0.007865109720000001,0.02603622528,0.17303241383999998,0.07539656904,0.00569542428,0.0393255486,0.09438131664,,0.023324118480000003,0.0189847476,0.041766444720000004,0.28829695284,0.011662059240000001,0.00650905632,0.00569542428,0.006780267,0.06047998164
Sichuan,0.0486152604,0.06446023415999999,0.013324182479999998,0.08498667743999999,0.25964150184,0.02988938232,0.08894792087999999,0.024127573680000004,0.015484860719999997,0.10551312072,,0.20094307632,0.059418651600000004,0.06842147759999999,0.012603956399999998,0.034570851839999986,0.07778441663999999,0.05797819944,0.00936293904,0.058698425519999986,0.43141542192000004,1.1249931369600001,0.027728704080000003,0.10119176424000001,0.05977876464,0.29205167543999994,0.027728704080000003,0.01008316512,0.03096972144,0.04681469519999999,0.12675979008
Guizhou,0.01138800384,0.0204628194,0.0035587512000000007,0.0249112584,0.2028488184,0.00569400192,0.046797578279999995,0.006227814599999999,0.00302493852,0.10605078575999999,0.2526713352,0.017437880880000003,0.019573131599999998,0.022242195000000003,0.00284700096,0.016192317959999997,0.0293596974,0.16708336884000002,0.00195731316,0.04555201536,0.3167288568000001,0.25106989716,0.0249112584,0.00373668876,0.14306179823999998,,0.0012455629200000002,0.00106762536,0.0008896878000000002,0.00071175024,0.0275803218
Yunnan,0.02075124744,0.028821177000000003,0.0069170824799999996,0.0395261856,0.15365804651999998,0.01334008764,0.04594919076,0.012516625439999998,0.004117310999999999,0.06752390039999999,0.40497870996,0.030468101400000006,0.03969087804,0.01465762716,0.008564006879999999,0.015810474239999997,0.033267872879999986,0.05566604471999999,0.004776080759999999,0.039032108280000005,,0.078228909,0.02042186256,0.0067523900399999994,0.11215555163999998,0.3315258817199999,0.0026350790399999996,0.00214100172,0.0023056941600000003,0.005928927839999999,0.04183187976
Tibet,0.0022313750399999997,0.0034190424000000003,0.00025192944000000005,0.006154276320000001,0.00397688616,0.00106170264,0.0024473145600000003,0.0008277681599999999,0.00021593952000000002,0.00187147584,0.07635261528000001,0.01094093568,0.0008997480000000002,0.00032390928,0.00064781856,0.0008097732000000001,0.0030411482399999995,0.00183548592,0.00021593952000000002,0.00151157664,0.006658135200000003,0.010041187679999999,0.00064781856,0.007179989040000002,0.00106170264,0.00174551112,0.0017815010399999998,0.00032390928,0.02809013256,,0.003167112960000001
Shaanxi,0.08197676928,0.08630473536000001,0.0101834496,0.27953569151999996,0.10336201343999997,0.31925114496,0.09979780608,0.02342193408,0.20214147456,0.06695618112000001,0.22123544256,,0.03284162496,0.02724072768,0.012220139519999998,0.039970039680000014,0.09139646016000001,0.03513290112,0.008401345919999999,0.0330962112,0.031568693759999995,0.050917248,0.02240358912,0.3258703872,0.019857726719999996,0.02138524416,0.020621485440000004,0.10921749695999998,0.03182328,0.006364656,0.12678394752
Gansu,0.0210016152,0.02111829084,0.0067671871199999995,0.037802907360000006,0.0285855318,0.013534374239999996,0.03301920612,0.005717106359999999,0.04328666244,0.02753545104,0.09940764527999997,0.33905940983999994,0.013534374239999996,0.00910069992,0.00268353972,0.0093340512,0.016684616519999997,0.008750672999999999,0.00256686408,0.011667563999999998,0.00921737556,0.016567940879999996,0.0070005384,,0.006650511479999999,0.005600430719999999,0.048187039319999986,0.12845987964000002,0.15144498071999998,0.00455034996,0.0361694484
Qinghai,0.006435592560000001,0.0078172452,0.0008726227199999999,0.01621623888,0.00847171224,0.004763065679999999,0.0087262272,0.0014907304799999998,0.00349049088,0.007671808079999998,0.032105244240000004,0.02992368744,0.0017088861599999993,0.0027269459999999996,0.00061810776,0.0029087424,0.00432675432,0.00359956872,0.00032723352000000005,0.003635928,0.00334505376,0.005926562639999999,0.00167252688,0.1474368804,0.0012725748,0.0014543712,0.017961484320000002,0.008544430799999999,,0.016616190960000003,0.01098050256
Ningxia,0.011888856,0.011532190320000002,0.0019616612400000003,0.01896272532,0.011888856,0.01028386044,0.01212663312,0.002318326920000001,0.14248793916000002,0.010462193280000002,0.017357729760000003,0.1147274604,0.00368554536,0.004755542400000001,0.00243721548,0.0063010936800000006,0.0073116464400000015,0.00487443096,0.0031505468400000003,0.0036261010799999993,0.0042799881599999996,0.00677664792,0.00154555128,0.14076405504000006,0.0020805498,0.00172388412,0.0052905409200000005,,0.00790608924,0.00041610996000000013,0.02056772088
Xinjiang,0.013188160800000001,0.0203418864,0.0018005976000000001,0.0556238664,0.0141614568,0.0054017928,0.017324668799999998,0.0029685528,0.008224351199999999,0.0112415688,0.06929867519999999,0.0419490576,0.0032118768,0.007932362399999998,0.002676564,0.0054017928,0.006326424000000001,0.0066670776,0.0010706256,0.004087843199999999,0.0054991224,0.0193685904,0.0024819048,0.09844889039999999,0.0031145471999999997,0.0025792344,,0.007640373600000002,0.0215098416,0.0007786367999999999,0.0255003552
Taiwan,3.2192640000000004e-05,9.704448e-05,3.2192640000000004e-05,3.2192640000000004e-05,0.00022674816000000004,3.2192640000000004e-05,0.00012947040000000002,,6.461856000000001e-05,3.2192640000000004e-05,,,0.0006802444800000001,,3.2192640000000004e-05,,,,,0.0007775222400000001,,,,,6.461856000000001e-05,,,,,,3.2192640000000004e-05
Hong Kong,3.17358e-05,3.17358e-05,,,0.020152233,3.17358e-05,3.17358e-05,,,9.52074e-05,,,6.34716e-05,0.00016079472000000002,,3.17358e-05,,3.17358e-05,,9.52074e-05,3.17358e-05,,,3.17358e-05,9.52074e-05,,,,,,0.00016079472000000002
Macau,0.00105725088,0.0014725994400000002,0.0002831922,0.0006796612799999999,0.15600114323999995,0.0005475049199999999,0.00258648876,0.001415961,0.00015103584,0.00371925756,0.0016047557999999999,0.00033983063999999994,0.00375701652,0.0006796612799999999,0.0003775896,0.00064190232,0.00228441708,0.0016991532,5.6638439999999986e-05,0.00228441708,0.00024543324,0.0005475049199999999,0.00064190232,5.6638439999999986e-05,0.00222777864,0.00060414336,,1.887948e-05,,,0.0024543323999999997
