,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Guangdong,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Anhui,Hubei,Heilongjiang,Hainan,Hunan,Jilin,Fujian,Sichuan,Yunnan,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,4.859078232960001,0.8847294271200001,0.52418138472,0.36147252456,0.25608155831999996,0.24683673672,0.2218757184,0.21725330760000003,0.19968814656,0.161784378,0.13589887752000002,0.12665405592,0.11556027,0.11001337703999997,0.09429718031999999,0.09429718031999999,0.08227891223999999,0.07673201928,0.07488305496000001,0.06378926904,0.05639341176,0.05269548311999999,0.051771000960000015,0.0369792864,0.0369792864,0.03328135776,0.01941412536,0.01941412536,0.00832033944,0.0027734464799999995,
Tianjin,1.3708023659999995,,0.27725483520000005,0.11015928720000001,0.0906648066,0.0810722844,0.040226706,0.0751929966,0.050747536799999986,0.029705875199999995,0.0408455784,0.0328002372,0.0467248662,0.0256832046,0.0405361422,0.0182567358,0.0210416616,0.027849257999999998,0.0210416616,0.0259926408,0.0182567358,0.017947299599999997,0.0157812462,0.0303247476,0.016709554799999998,0.0188756082,0.0102113946,0.007426468799999999,0.004332106800000001,0.0018566172,0.5204716884
Hebei,,1.15198923492,0.9468599133600001,0.4407796148400001,0.44006982479999995,0.18880415064000006,0.0958216554,0.23848945344,0.24700693391999998,0.04755593268,0.08801396496,0.1171153566,0.0851748048,0.08091606456,0.0674300538,0.04187761236,0.04755593268,0.05394404303999999,0.03406992192,0.05039509284,0.03974824224000001,0.031940551800000015,0.02910139164,0.02342307132,0.02768181156,0.02058391116,0.01135664064,0.014195800800000003,0.007097900400000002,0.00141958008,2.4147057160800007
Shanxi,0.4406050404,0.055816047,0.1319081274,0.366791166,,0.0822432366,0.042602452199999995,0.0195925716,0.181117377,0.0218707776,0.0369069372,0.3961800234,0.0316670634,0.0323505252,0.0077459004,0.026199369,0.0195925716,0.007062438599999998,0.018225648,0.0437415552,0.0189091098,0.0120744918,0.020503854,0.0161752626,0.0109353888,0.0086571828,0.005923335599999999,0.0116188506,0.0036451296,0.0004556412,0.2011655898
Inner Mongolia,0.23843883492000004,0.035476412400000004,0.06236379864000001,0.03584984832,0.17850236976000006,0.028381129920000005,0.024086616840000002,0.23395760388000006,,0.014190564960000002,0.016804616400000003,0.24348021984,0.01064292372,0.00970933392,0.11259092988,0.015310872719999999,0.0065351286000000005,0.13350334140000006,0.007655436359999999,0.010456205760000005,0.007095282480000001,0.00448123104,0.006161692680000001,0.056202105960000005,0.0042945130799999995,0.002987487360000001,0.005974974720000002,0.17420785668000002,0.003174205320000001,,0.18186329304000004
Liaoning,0.23935410576,0.0612556344,0.13732233264000002,0.04681027584,0.02175946416,0.08100371951999999,0.05778143424,,0.2166803784,0.032364917279999995,0.046993128479999986,0.0246851064,0.02486795904,0.01974808512,0.15103628063999994,0.02852501184,0.017371000799999998,0.33462033119999995,0.02486795904,0.01572532704,0.016091032319999997,0.01151971632,0.01151971632,0.006948400319999999,0.013531095359999998,0.00950833728,0.004205610720000001,0.0018285264000000002,0.00127996848,0.00073141056,0.16401881808
Jilin,0.055216514160000014,0.020446282439999998,0.06087678444000001,0.019060093800000004,0.007624037520000002,0.040661533440000015,0.02737722564000001,0.34123343688,0.12972415356000006,0.01813596804000001,0.025644489840000003,0.01305327636,0.009472289040000002,0.009587804759999999,0.22028847804000004,0.02056179816,0.008779194720000001,,0.0109739934,0.006237848880000001,0.007508521800000002,0.004389597360000001,0.004274081640000001,0.0028878930000000003,0.0068154274800000005,0.0035809873200000008,0.0019637672400000003,0.00138618864,0.00034654716,0.0005775786,0.07404557652000003
Heilongjiang,0.061245933839999996,0.02592056376,0.07948208268000001,0.023856094080000004,0.01055173392,0.042551013960000016,0.046450567800000016,0.16297841195999999,0.10242063468,0.026723413080000005,0.029590732080000005,0.01341905292,0.012845589120000004,0.012042739800000002,,0.028099726200000005,0.015024751560000002,0.27365692535999997,0.012042739800000002,0.0108958122,0.01364843844,0.006537487320000001,0.007110951120000001,0.0035554755600000006,0.010437041160000002,0.007225643880000001,0.004473017640000001,0.0022938552000000005,0.00240854796,0.0016056986400000005,0.09553906908
Shanghai,0.0515554146,0.0319498344,0.1902467412,0.16555823279999998,0.0261407736,3.4614741042,0.2062216584,0.0406634256,0.013070386799999998,,1.4994638189999998,0.054459945,0.6077729862,0.0951233706,0.025414640999999998,0.0413895582,0.0740655252,0.0246885084,0.10165856399999998,0.0486508842,0.0479247516,0.1299777354,0.0464724864,0.015248784599999997,0.028319171400000002,0.028319171400000002,0.006535193399999999,0.0058090608,0.0029045304,0.0007261326,0.1720934262
Jiangsu,0.13789107575999998,0.046527663600000005,0.85780092528,0.42974642016000003,0.05921702639999999,,0.23517619056,0.060062983919999986,0.01861106544,1.84926313872,1.26132266232,0.09813107231999997,2.2121789148,0.16411575888,0.03722213088,0.04145191848,0.10320681744,0.02791659816,0.11589618024000001,0.0676766016,0.07021447416,0.14550469344,0.05921702639999999,0.03299234328,0.04314383352,0.054141281279999995,0.01099744776,0.00930553272,0.005921702640000001,0.0016919150399999998,0.1818808668
