,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Guangdong,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Anhui,Hubei,Heilongjiang,Hainan,Hunan,Jilin,Fujian,Sichuan,Yunnan,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08060013864000001,0.027270723600000005,0.18907701695999998,0.30543210431999995,0.030906820080000005,1.35080984232,0.26543504304000004,0.043027141680000006,0.015150402,1.0296213199200002,,0.06847981704,0.7841848075200001,0.17271458280000002,0.026664707520000004,0.03696698088,0.17150255064000006,0.0212105628,0.28603958976,0.08605428336000001,0.08908436376000001,0.4739045745600001,0.0848422512,0.02060454672,0.051511366800000014,0.19513717776,0.008484225120000001,0.0060601608000000005,0.00363609648,0.00060601608,0.11938516775999998
Anhui,0.06258529152,0.02042714376,0.19427517575999997,0.47764746791999996,0.01999252368,1.87929722592,0.10778577984000001,0.0152117028,0.0086924016,0.33335360136000003,0.55718294256,0.03955042728,,0.13560146496,0.00912702168,0.01999252368,0.05954295096,0.00912702168,0.05606599032000001,0.02216562408,0.027381065039999996,0.1238667228,0.019557903600000003,0.0086924016,0.01825404336,0.016080942959999997,0.0030423405600000005,0.00391158072,0.0017384803200000002,0.00043462008,0.08822787623999999
Fujian,0.0297694116,0.011907764640000002,0.05608173024,0.0653006448,0.013252189679999998,0.11293170336,0.4017910262400001,0.017477525520000002,0.006530064480000001,0.08719556687999999,0.29058786936000003,0.02957735088,0.06184355184,0.0614594304,0.010947461039999998,0.020934618480000004,0.07701634872,0.01113952176,,0.04686281568,0.041677176239999995,0.22932049968,0.04532632992,0.00921891456,0.03572329392,0.06722125200000001,0.0051856394400000005,0.0030729715200000004,0.0030729715200000004,0.00057618216,0.060691187520000016
Jiangxi,0.02378530656,0.00606292128,0.04150769184,0.05316715584,0.007462056959999999,0.1550708712,0.48923110944,0.008628003359999999,0.00279827136,0.09047744063999999,0.35934468048,0.020287467360000002,0.12522264336,0.18515228832000002,0.006529299840000001,0.020287467360000002,0.34092272736,0.004430596320000001,0.21010354127999997,0.01609006032,0.021220224480000004,,0.019821088799999997,0.00536335344,0.03800985264,0.02961503856,0.0016323249600000002,0.0016323249600000002,0.0016323249600000002,0.00023318928,0.04127450256
Shandong,0.8195443660799999,0.19143397440000007,,0.68243624928,0.11330821728,1.0435738550400002,0.14590373184000002,0.14331678624000002,0.056912803200000014,0.15935584896000002,0.23127293664,0.10761693695999999,0.24420766464000004,0.10658215872,0.10296043488000002,0.04553024256000001,0.07139969856000003,0.07553881152000001,0.06570841824000001,0.08071270272000003,0.052256301120000015,0.05794758144000003,0.043460686080000005,0.02586945600000001,0.043978075200000015,0.031560736320000005,0.013969506240000002,0.013452117119999999,0.0072434476800000034,0.0010347782400000002,0.3849375052800001
Henan,0.3700993939199999,0.06328124351999999,0.6318536284799999,,0.29531246976,0.45207736848,0.24881034384,0.040269882239999985,0.02972300832,0.12608308368,0.27949215887999995,0.29914769664,0.4957030742399999,0.4765269398399999,0.016779117599999997,0.05561078976,0.131835924,0.01486150416,0.07622513423999999,0.07382811744,0.04794033599999999,0.06807527711999999,0.048419739359999985,0.035475848639999995,0.044584512480000005,0.03691405872,0.023970167999999997,0.015340907519999999,0.011985083999999998,0.00335582352,0.2708628984
Hubei,0.04908261744,0.0158331024,0.07547112144,0.37550841192,0.02058303312,0.17627520672000002,0.29977340544,0.01609698744,0.006333240959999999,0.07415169624,0.13537302552000002,0.09262364904,0.14408123184,,0.009235976399999998,0.03113843472,0.4536183837600001,0.00712489608,0.060165789119999986,0.03879110088,0.036680020560000005,0.19606658472,0.1359007956,0.013458137040000002,0.040374411119999995,0.0303467796,0.006069355920000001,0.00448604568,0.00290273544,0.00105554016,0.08259601752000001
Hunan,0.03207363804,0.0102988746,0.04678631603999999,0.08621629308,0.014124170879999997,0.09533815344,0.92425043196,0.01235864952,0.007062085439999998,0.05325989436,0.11711291687999999,0.03207363804,0.04354952688,0.39753655956,0.0088276068,0.04207825908,,0.006767831879999999,0.06238175472,0.033544905839999986,0.05355414792,0.33662607264,0.06326451539999997,0.007356339,0.20921428116000002,0.16507624716,0.00470805696,0.00353104272,0.00235402848,0.00058850712,0.06297026184
Guangdong,0.08645975639999999,0.034437360599999994,0.1304223444,0.2557157202,0.042497168399999986,0.2535175908,,0.0498242664,0.017585035199999998,0.1934353872,0.2549830104,0.0981831132,0.1150354386,0.35023528439999996,0.0410317488,0.19709893620000002,1.3020253145999998,0.0322392312,0.4916482757999999,0.172186803,0.1817120304,0.6660332081999999,0.15167092859999998,0.025644843,1.4683504391999995,0.24032881439999995,0.0131887764,0.008792517599999999,0.0051289686,0.0029308392,0.2176148106
Guangxi,0.0233894304,0.00490064256,0.033636228479999995,0.034750010879999994,0.008019233279999998,0.04210097472,1.21157249472,0.011137824,0.0033413472,0.02428045632,0.043437513599999984,0.02183013504,0.01915705728,0.038091358080000005,0.010246798079999998,0.045887834879999985,0.20983660415999997,0.004232373120000001,0.03853687103999999,0.029403855359999995,0.10848240575999997,0.0367548192,0.03074039424,0.004677886079999999,,0.14189587775999998,0.0026730777599999994,0.00155929536,0.0013365388799999995,0.00022275648,0.03408174144
Hainan,0.0339751908,0.014452133400000003,0.033299067599999996,0.0353274372,0.0218894886,0.034482283200000005,0.17469333180000005,0.025777197,0.010733455800000001,0.034397767800000006,0.028819751400000003,0.026368804800000003,0.0131844024,0.0237488274,0.023579796600000005,,0.037524837600000006,0.014959225800000003,0.0180017802,0.032031336600000015,0.0171566262,0.0167340492,0.022565611800000003,0.0076063860000000014,0.0382854762,0.020368211400000003,0.0054935010000000005,0.0024509466,0.0029580390000000004,0.0002535462,0.07166905920000001
Chongqing,0.02213781192,0.007906361399999999,0.035013886200000004,0.03998359908,0.01265017824,0.06415447535999999,0.12446871803999998,0.0090358416,0.005421504959999999,0.03862822284,0.0587329704,0.05444094564,0.02123422776,0.15338341115999998,0.004292024760000001,0.031399549560000004,0.08245205459999999,0.0038402326799999997,0.0372728466,0.99462026412,0.07883771796,0.0180716832,,0.011972490120000002,0.03298082184,0.2462266836,0.0072286732799999994,0.004969712879999999,0.0024848564399999997,0.005195608920000001,0.045179208
Sichuan,0.02878346016,0.00885644928,0.03680961732,0.058397212439999985,0.02048053896,0.05895074052,0.16024637915999998,0.01024026948,0.007472629079999999,0.037363145400000006,0.06559307748,0.15028287372000002,0.021864359160000003,0.046219594680000003,0.006088808879999999,0.04317519024,0.0401307858,0.0049817527200000005,0.03404197692,,0.4303680822,0.01771289856,1.03205310516,0.0581204484,0.03680961732,0.23082120936,0.00913321332,0.006088808879999999,0.01826642664,0.026846111880000002,0.05590633608
Guizhou,0.0112350888,0.0034569504000000004,0.01884037968,0.0285198408,0.0057039681600000005,0.04044631968,0.18390976128000006,0.004666883040000001,0.00224701776,0.02212448256,0.09091779552,0.01745759952,0.01486488672,0.029384078400000006,0.0020741702399999997,0.01693905696,0.17647731792000002,0.00311125536,0.043211880000000015,0.22936865904,0.29954475216,0.02627282304,0.25927128,0.004321188,0.16057534608,,0.00155562768,0.00155562768,0.0005185425599999999,0.0010370851199999998,0.025235737919999997
Yunnan,0.024326603640000003,0.007437432959999999,0.032538769200000005,0.03548275308,0.011930882040000002,0.050512565520000004,0.14998823136,0.01131109596,0.0046483956,0.037342111319999996,0.05330160288,0.03067941096,0.01905842196,0.033003608760000004,0.008677005120000001,0.017818849799999998,0.05825989151999999,0.0046483956,0.0333135018,0.36536389416000004,,0.01998810108,0.08165681604,0.00650775384,0.11032192224000001,0.27719932428000005,0.00418355604,0.00247914432,0.00278903736,0.004803342120000001,0.0472586886
Tibet,0.00161352,0.0003872448,0.0023557392,0.0076319496,0.0009035712,0.0020653056,0.0037756368,0.0007422192,0.0003549744,0.0010649232,0.0015167087999999995,0.0099715536,0.0017103312,0.0026461727999999994,0.0006776783999999999,0.0002581632,0.0021621168,9.68112e-05,0.0013230863999999995,0.05552122319999999,0.0094874976,0.00080676,0.0101006352,0.0082612224,0.0005485968,0.00161352,0.0010649232,0.00048405599999999996,0.0279461664,,0.0040822056
Shaanxi,0.08058421403999999,0.01655506512,0.08594026451999999,0.25928153460000003,0.3189284604,0.11783311056,0.09519162444,0.01898963352,0.2227630086,0.039440008080000005,0.05769927107999999,,0.04430914488,0.0986000202,0.01046864412,0.02872790712,0.035057784960000005,0.007547162039999999,0.027754079759999998,0.15556892075999998,0.034327414439999995,0.017041978799999996,0.050882479559999985,0.29068746696,0.022884942959999998,0.02118074508,0.02215457244,0.10882520748,0.026780252400000003,0.004625679959999999,0.10906866432
Gansu,0.01716841008,0.0090958464,0.023080710240000003,0.03786146064000001,0.012620486880000002,0.036155989440000015,0.027060143039999995,0.004889017440000001,0.041954591520000015,0.01239309072,0.019556069760000003,0.36519823296,0.0108013176,0.01887388128,0.00181916928,0.008982148320000001,0.008754752159999999,0.00181916928,0.0096643368,0.07811058096000001,0.0090958464,0.004889017440000001,0.014894448480000003,,0.0057986020800000005,0.005571205920000001,0.041613497280000016,0.13132128240000002,0.14291848656000006,0.00432052704,0.0289930104
Qinghai,0.006250543200000001,0.0017406576000000007,0.0075560364000000005,0.017999982,0.004628566799999999,0.0084263652,0.0053802144000000005,0.0011472516,0.0031252716000000004,0.0037186776,0.0051824124,0.0404702892,0.0026505468,0.0054593352,0.0008703288000000001,0.0032835132,0.0032439528000000003,0.0004351644000000001,0.0030461508000000003,0.0237758004,0.004114281599999999,0.0008703288000000001,0.006092301600000001,0.183164652,0.001582416,0.0008307684,0.015468116400000002,0.009296694,,0.015428556,0.0096527376
Ningxia,0.013814750880000002,0.003629298960000001,0.0114147306,0.018556254360000003,0.01176595308,0.013990362120000002,0.01036106316,0.002634168600000001,0.13902556500000002,0.00421466976,0.0073171350000000015,0.11584488132,0.0059122450800000005,0.006556152960000002,0.00275124276,0.003921984360000001,0.0037463731200000007,0.0012292786800000002,0.0028683169200000003,0.008019579960000002,0.0037463731200000007,0.0013463528400000002,0.00679030128,0.14634270000000002,0.003219539400000001,0.0025170944400000005,0.00550248552,,0.008663487840000001,0.00035122247999999997,0.0184391802
Xinjiang,0.017705900159999996,0.0034573651199999995,0.019853657280000003,0.05552737919999999,0.007595726399999998,0.02231572032,0.01712967264,0.00513366336,0.012100777919999998,0.007752879359999998,0.01430091936,0.05222716704,0.007910032320000001,0.00906248736,0.00256683168,0.008486259840000001,0.0086434128,0.00193821984,0.007229036159999999,0.042378914879999986,0.006495655679999999,0.00272398464,0.016605829439999997,0.10408764384,0.00267160032,0.00377167104,,0.00953394624,0.02535401088,0.0010476863999999998,0.0272398464
Taiwan,,,3.2218559999999994e-05,9.69408e-05,,9.69408e-05,0.00012944448,,,0.0010691999999999998,0.00012944448,,3.2218559999999994e-05,,3.2218559999999994e-05,,,,0.0010366963199999995,,,,,,3.2218559999999994e-05,3.2218559999999994e-05,,,,,
Hong Kong,3.009312e-05,,,,,6.269399999999999e-05,0.02339238528,,,0.0007122038399999999,3.009312e-05,6.269399999999999e-05,,,,9.529488e-05,3.009312e-05,,6.269399999999999e-05,3.009312e-05,,,,,6.269399999999999e-05,,,3.009312e-05,3.009312e-05,,0.00016049663999999998
Macau,0.0016794799199999994,0.00047143296,0.0020919837599999995,0.0012080469599999994,0.0006776848799999999,0.00321163704,0.25321842863999994,0.0012080469599999994,0.00026518104,0.00462593592,0.0033884244,0.00047143296,0.0007955431200000001,0.00197412552,0.00038303927999999986,0.0008839367999999998,0.0030937788,0.00023571648,0.0033884244,0.00082500768,0.00094286592,0.0012080469599999994,0.0006776848799999999,8.839367999999997e-05,0.0026518104,0.0007660785599999997,2.946456e-05,0.00011785824,,,0.0035062826399999986
