,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Heilongjiang,Hainan,Hubei,Anhui,Sichuan,Jilin,Hunan,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.3107857746400007,0.35146279728,0.28467391680000004,0.2797468682400001,0.22007483568000002,0.20200899096000005,0.18339569640000006,0.17025690024,0.14945380632000002,0.12481856352,0.12098641464,0.11441701656,0.09306647280000002,0.09306647280000002,0.09251902296,0.08923432392000001,0.08485472520000001,0.07445317824000001,0.06843123000000001,0.061314382080000014,0.0520077348,0.05091283512000001,0.04160618784,0.037226589120000014,0.035036789760000006,0.029562291360000006,0.021350543760000004,0.015876045359999997,0.009306647280000002,0.0027372492000000003,
Tianjin,0.9082259524799999,0.17678751552000002,,0.07425871992000001,0.035835307200000006,0.05016943008,0.044196878880000005,0.05713740647999999,0.0408124332,0.02329294968,0.024686544959999997,0.01911216384,0.023093864640000003,0.017320398480000002,0.016922228400000003,0.02627922528,0.0159268032,0.01811673864,0.01174601736,0.011148762240000002,0.00915791184,0.009954252,0.0073661464799999994,0.00975516696,0.00935699688,0.00537529608,0.0017917653600000001,0.0027871905600000005,0.00119451024,0.00019908504,0.33545829239999997
Hebei,,0.90112350636,0.93072496608,0.4137320300400001,0.10050728184000003,0.189311661,0.4495291441200001,0.22923921132000005,0.23336964756000006,0.05300726508000001,0.09706525164000003,0.11427540264000002,0.06952901003999999,0.047500016760000006,0.07572466440000003,0.08949278520000002,0.059202919440000015,0.050942046960000015,0.047500016760000006,0.034420302000000014,0.029601459720000008,0.03304348992,0.030289865760000007,0.02891305368,0.024782617439999998,0.01927536912000001,0.013768120800000002,0.017210151000000003,0.007572466440000002,0.0006884060400000001,2.4803269621200004
Shanxi,0.4182980227200001,0.1290634722,0.04368302136,0.32894638812000004,0.04610985588,0.07457000616000001,,0.01963529748,0.18488066616000004,0.022062132,0.035740653840000004,0.36865822571999995,0.008383610159999999,0.031548848760000005,0.033093198,0.02735704368,0.0507429036,0.006618639599999999,0.02073840408,0.017649705600000003,0.02272399596,0.02140026804,0.011472308640000001,0.01257541524,0.023827102560000004,0.010810444679999998,0.005956775640000001,0.01478162844,0.005294911679999999,0.0008824852800000002,0.20385409967999998
Inner Mongolia,0.23271009696000006,0.055207500480000005,0.033369090479999995,0.035116163279999994,0.02131428816,0.02376019008,0.15286887,0.23952368088000003,,0.0104824368,0.01467541152,0.21069697967999998,0.10587261168,0.01467541152,0.00995831496,0.01205480232,0.016422484319999996,0.12945809447999998,0.0068135839200000005,0.00628946208,0.0069882912,0.00751241304,0.00401826744,0.004891803839999999,0.04839391656000001,0.00331943832,0.0052412184,0.14116348224000003,0.00314473104,0.00017470727999999999,0.18781032600000003
Liaoning,0.221701536,0.1459535112,0.05246936352,0.041014784160000005,0.06410869416000001,0.07149874536,0.02309391,,0.21837601296,0.03307047912,0.050252348160000015,0.0249414228,0.17643747240000002,0.03621125088,0.021246397200000003,0.018475128,0.02198540232,0.31093640424,0.0175513716,0.023832915120000003,0.01330209216,0.01681236648,0.00997656912,0.01274783832,0.0053577871200000005,0.007574802479999998,0.004434030720000001,0.0031407717600000005,0.00166276152,0.0003695025600000001,0.19454309784
Jilin,0.0486283986,0.0563065668,0.018694670400000002,0.014466114000000004,0.030267561600000006,0.030045006000000006,0.0091247796,0.3330544554,0.1187334126,0.014243558400000004,0.0251487828,0.0102375576,0.23423976900000004,0.0234796158,0.007233057000000002,0.0079007238,0.008679668400000002,,0.0103488354,0.0074556126,0.003338334,0.0065653902,0.0052300566,0.00556389,0.0025593894,0.0032270562,0.0015578892000000005,0.0010015002,0.0004451112000000001,0.00022255560000000005,0.0726644034
Heilongjiang,0.05986835712,0.07925754096,0.02505853584,0.01938918384,0.044447719680000004,0.04161304368,0.0073701576000000015,0.18448071408,0.10125462672,0.019842732,0.02483176176,0.012585961440000001,,0.035830304640000005,0.00929773728,0.012019026240000001,0.011111929920000001,0.27700453872,0.010658381759999998,0.01054499472,0.00589612608,0.00997805952,0.006576448319999999,0.008617415040000001,0.00204096672,0.0036283852799999998,0.0017008056,0.0018141926399999999,0.00045354815999999997,0.00045354815999999997,0.10465623792000002
Shanghai,0.038854728,0.144380637,0.020310426,0.124511742,0.189416799,1.814250879,0.02207655,0.032231763,0.011038275,,0.925448976,0.038854728,0.019868895,0.035764011000000005,0.072852615,0.338654277,0.050334533999999986,0.017661239999999998,0.051217596,0.078592518,0.042828507,0.035764011000000005,0.09581222699999999,0.022959612,0.011038275,0.025608798,0.002649186,0.005298371999999999,0.002207655,,0.13422542399999998
Jiangsu,0.13449869532,0.76024128852,0.038839195439999995,0.37616480028,0.23806988316,,0.06401274804,0.06041652624,0.02229657516,1.65857749416,1.1400023106000001,0.09781723296,0.04171617288,0.043154661600000005,0.15247980432,1.42698081024,0.08559007883999999,0.0287697744,0.10069421039999997,0.10716740964,0.06257425931999999,0.06401274804,0.13521793967999998,0.04387390596,0.032365996200000004,0.05250483828,0.0143848872,0.010069421040000002,0.0071924436,0.00143848872,0.17909184564
