,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Shanghai,Zhejiang,Shaanxi,Heilongjiang,Hainan,Hubei,Anhui,Sichuan,Jilin,Hunan,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.07797810060000003,0.18010425816000006,0.02062646532,0.26713788012,0.26512554204000005,1.02528625176,0.03169432476,0.043265268720000014,0.016601789159999998,0.7953766261200003,,0.06238248048000001,0.02917890216,0.04728994488,0.15444694764000005,0.5800564515600001,0.09357372072000003,0.02213571888000001,0.14237291916000006,0.26864713368000004,0.06942566376,0.08049352320000001,0.3813380661600001,0.05030845200000001,0.019620296280000005,0.16400555351999999,0.01056477492,0.008049352320000001,0.0045277606799999995,0.0020123380800000003,0.10564774920000004
Anhui,0.05897008656,0.18303702192000001,0.01684859616,0.40857845688,0.12368401272,1.44783050184,0.023358281039999998,0.017231518799999998,0.008041375439999998,0.32433547608,0.5609816675999999,0.04135564512,0.012253524479999998,0.017997364079999998,0.12291816743999998,,0.028719197999999994,0.008041375439999998,0.047482407359999985,0.057055473360000004,0.0248899716,0.02220951312,0.12713031647999998,0.01952905464,0.008807220719999998,0.016082750879999996,0.00421214904,0.0038292264,0.0022975358399999995,0.0011487679199999998,0.08539174872000001
Fujian,0.023480944200000003,0.046961888400000006,0.00643551804,0.06087652200000001,0.40213291104,0.09705456936,0.013566767759999999,0.01756722492,0.0052179876000000005,0.07548688728,0.26194297751999995,0.027655334280000003,0.01095777396,0.022263413760000003,0.05844146112,0.048527284680000005,0.04800548592,0.0057397863600000005,0.06139832076000001,,0.04035243744,0.03687377904,0.19706599836,0.04104816912,0.00834878016,0.05322347352,0.004870121760000001,0.002435060880000001,0.00208719504,0.0008696646,0.05322347352
Jiangxi,0.02330607168,0.04143301632,0.006042314880000001,0.0496333008,0.5142441556799999,0.10876166784,0.007768690559999999,0.00906347232,0.0030211574400000004,0.0927926928,0.34959107520000005,0.01899013248,0.00712129968,0.02201128992,0.14221019664,0.10487732256000001,0.02244288384,0.0043159392,0.2632722912,0.19702262448,0.01985332032,0.02438505648,,0.04013823456,0.0058265179200000005,0.02697462,0.00258956352,0.0010789848,0.0012947817599999998,0.0010789848,0.043159392000000005
Shandong,0.75603542184,,0.16871837976,0.66011680944,0.16084813464000003,0.8839269050399999,0.12887526384,0.15346977984,0.061978180320000006,0.15838868304,0.23168034072,0.110675322,0.09198348983999999,0.047221470719999985,0.09788617368,0.24004247616,0.07771867056000001,0.06394574160000001,0.06837275447999999,0.06148629,0.04820525136,0.05459982552,0.054107935200000006,0.04623769007999999,0.027053967600000003,0.02852963856,0.015740490240000002,0.015248599919999998,0.008854025759999998,0.0014756709599999993,0.38662579151999993
Henan,0.3559827204000001,0.5939241732,0.0543733398,,0.28116128700000004,0.4242979422000001,0.2913853338,0.0381078108,0.0334605168,0.146389761,0.31555126260000005,0.25467171120000004,0.019983364200000003,0.056696986799999995,0.4005967428,0.4633352118000001,0.0845807508,0.0134771526,0.106887762,0.07668035100000001,0.0446140224,0.04647294,0.06924468060000001,0.05019077520000001,0.042755104800000006,0.0353194344,0.0269543052,0.018124446600000003,0.013012423200000005,0.003253105800000001,0.27790818120000005
Hubei,0.04840029936000001,0.06962013504000003,0.010490705280000002,0.30709155456000004,0.31639013424,0.14138609616000006,0.020266135200000004,0.017405033760000004,0.008106454080000002,0.06532848288000001,0.14329349712000006,0.08249509152000001,0.007868028960000002,0.03862486944000002,,0.11921256000000002,0.06270580656000001,0.007868028960000002,0.33784839504,0.05889100464000002,0.12898798992000002,0.036955893600000005,0.1633212072,0.04458549744000001,0.01120598064,0.030995265600000012,0.0059606280000000025,0.004291652160000001,0.0030995265600000004,0.0019074009600000004,0.08392564224000001
Hunan,0.031858664039999984,0.04426380756,0.008739987480000001,0.08176117319999998,0.9650637788399998,0.08570826431999999,0.011841273359999998,0.013532883839999996,0.00479289636,0.047365093439999985,0.12940820171999998,0.031858664039999984,0.012123208439999998,0.044827677719999987,0.31858664039999995,0.04088058659999999,0.042008326919999985,0.006484506839999999,,0.06005217203999999,0.06681861396000001,0.05723282123999999,0.25684285787999994,0.19904616647999995,0.01043159796,0.16380428147999998,0.005074831439999999,0.0028193508000000003,0.00225548064,0.0014096754000000001,0.06540893855999999
Guangdong,0.07189075944000001,0.12256785216,0.02298147228,0.22215423204,,0.21685081535999998,0.032999037120000005,0.04890928716,0.0176780556,0.14024590775999998,0.25102838952,0.09251515764,0.03948099084,0.19210153752,0.28461669516,0.10194345396,0.2032976394,0.030052694520000006,0.8868491225999999,0.35473964904,0.14672786148,0.162048843,0.47082554748000005,1.10959262316,0.022392203760000003,0.206243982,0.013553175959999999,0.0076604907599999985,0.00648195372,0.00235707408,0.18149470415999996
Guangxi,0.024994811520000004,0.03168985032,0.00357068736,0.030127674600000005,1.27852924284,0.033475194,0.007587710640000002,0.01138156596,0.0031243514400000004,0.01829977272,0.041955576479999986,0.016737597,0.010935230039999999,0.05534565408,0.02990450664,0.015398589240000001,0.043740920159999995,0.00580236696,0.18143555148000004,0.043071416280000004,0.029235002760000007,0.10243409364,0.031913018280000004,,0.005579199,0.13434711192,0.00178534368,0.0020085116399999998,0.0031243514400000004,0.00066950388,0.028788666839999998
Hainan,0.030511857600000008,0.026443609920000003,0.008935615440000001,0.03225539232,0.15197810976000006,0.0257897844,0.015255928800000004,0.02063182752,0.009807382800000002,0.026952140880000003,0.026153020800000003,0.0177985836,0.02063182752,,0.01845240912,0.01147827024,0.0414089496,0.014020925039999998,0.03327245424,0.015764459760000002,0.022883893199999998,0.015255928800000004,0.014965339680000002,0.035887756320000005,0.00443148408,0.017943878160000003,0.00377765856,0.00443148408,0.00196147656,0.00043588368,0.0552119328
Chongqing,0.023836242599999998,0.032062910400000005,0.008859488399999999,0.038391116400000015,0.15040036260000006,0.054844452000000016,0.0139220532,0.0101251296,0.006328206000000001,0.032695731000000006,0.0605398374,0.052945990199999994,0.006328206000000001,0.044930262600000014,0.15187694400000004,0.024047182799999997,0.7775255772,0.004851624600000001,0.07910257500000001,0.036914535000000005,,0.0940793292,0.019617438600000002,0.03923487720000001,0.0139220532,0.25734704399999997,0.0109688904,0.0035859834000000006,0.0037969236,0.0054844452,0.047461545
Sichuan,0.05491861884000001,0.06961022387999999,0.017490006000000002,0.09759423347999999,0.2675970918,0.09234723168,0.034280411760000004,0.026235009,0.013992004799999999,0.05841662004,0.09899343396,0.19728726768,0.016090805519999998,0.07765562664,0.08185322807999999,0.0332310114,,0.009794403360000002,0.06366362183999999,0.05491861884000001,0.9416619230399998,0.48692176704,0.025535408760000003,0.07765562664,0.08779983011999999,0.30117790332,0.022737007800000004,0.009794403360000002,0.03113221068,0.041276414160000004,0.10004283432
Guizhou,0.010641261600000002,0.019508979600000004,0.0026603154000000005,0.026425799640000004,0.21353464944000003,0.04132356588000001,0.005852693880000001,0.004611213360000001,0.0015961892400000002,0.018976916520000005,0.12787249356000002,0.019154270880000004,0.0039017959200000007,0.029618178119999998,0.028376697600000007,0.01489776624,0.21424406688000006,0.0019508979600000003,0.16901870508000005,0.04788567720000001,0.22311178488,0.33360355116,0.02589373656,0.15429829320000002,0.00372444156,,0.0017735436000000005,0.0021282523199999998,0.0019508979600000003,0.0008867718000000002,0.02110516884
Yunnan,0.021125486880000002,0.02902854672,0.00577531296,0.031612239359999995,0.15517354032,0.039059353439999986,0.010486752479999998,0.01200657168,0.0056233310399999995,0.03024440208,0.06200862336,0.027508727519999998,0.00592729488,0.01869377616,0.030548365919999994,0.01550215584,0.3746354328,0.00486342144,0.05152187088,0.03024440208,0.07006366512000001,,0.01960566768,0.11018689199999998,0.00805504176,0.29530087056,0.00319162032,0.0016718011199999998,0.00136783728,0.00547134912,0.04057917264
Tibet,0.00157324032,0.0026548430400000003,0.0002458188,0.005145806880000001,0.00281872224,0.00296621352,0.0008357839200000001,0.0005735772,0.00014749128,0.0006391288799999999,0.00116354232,0.007636770720000002,0.00044247384,0.00044247384,0.0021304296000000003,0.0010652148,0.06696104112000001,0.00027859464,0.0013929732,0.00086855976,0.012503982959999998,0.007669546559999999,0.00070468056,0.00050802552,0.0062110216800000005,0.00154046448,0.0026548430400000003,0.00047524968,0.02799056736,,0.0033922994399999996
Shaanxi,0.07576304868,0.08217559512,0.01472510664,0.23180167872,0.10711327572,0.09405068112,0.29735215344000004,0.021375154800000004,0.20401397748,0.033725244239999994,0.059137928280000016,,0.012350089440000002,0.033487742519999995,0.08977565016000001,0.039425285520000006,0.18002630376000006,0.006650048160000002,0.035150254560000004,0.028262704680000004,0.04987536120000001,0.035150254560000004,0.017337625560000004,0.02208765996000001,0.29141461044,0.02161265652,0.027787701239999997,0.11352582216,0.031350227040000005,0.00546253956,0.10925079120000003
Gansu,0.020948544,0.022148721,0.006655527,0.037641915000000005,0.031313709,0.033604956,0.013965696000000001,0.003927852,0.043097265,0.014511231,0.019530153,0.314773695,0.001636605,0.009274095,0.017129798999999998,0.011019807,0.076811328,0.001854819,0.0109107,0.009601416,0.016584263999999998,0.007855704,0.004800708,0.005782671,,0.006437313,0.048552615000000014,0.125582157,0.13420161,0.005018922,0.034041384
Qinghai,0.0057274614,0.006149115000000001,0.000878445,0.0167607306,0.009135828000000002,0.00702756,0.003865158000000001,0.0009487206,0.0036191934,0.0025299216000000003,0.004567914000000001,0.028848133800000005,0.0008433072,0.0042868116,0.0053760833999999995,0.0032326776,0.0324673272,0.0003865158,0.0049895676000000005,0.0031624020000000012,0.005938288199999999,0.005797737000000001,0.0011244096,0.0011244096,0.140375511,0.001932579,0.017182384199999998,0.0081168318,,0.0155309076,0.008960139
Ningxia,0.013380956999999999,0.012347234999999998,0.002354589,0.016998983999999998,0.012404664,0.013151241000000001,0.010452078,0.002354589,0.13467100499999998,0.0051686100000000006,0.008844066,0.112388553,0.002067444,0.004651749,0.006489477,0.005857758,0.01263438,0.001206009,0.003847743,0.004192317,0.005398325999999999,0.003503169,0.001435725,0.002641734,0.14064362099999994,0.002182302,0.005570612999999999,,0.009992646,0.000631719,0.015965261999999997
Xinjiang,0.016857590399999997,0.0194948208,0.0010859184,0.0513484272,0.0197016624,0.016030224,0.0085839264,0.006205248000000001,0.011841681599999999,0.0035680176,0.0132378624,0.04865948639999999,0.0033611760000000004,0.0099801072,0.0072911664,0.0085839264,0.055433548799999996,0.0020167056000000004,0.006722352000000001,0.006722352000000001,0.019081137600000003,0.007239455999999998,0.0023786784,0.0033611760000000004,0.1059028992,0.0021201264,,0.007239455999999998,0.024303888,0.0011893392,0.0267342768
Taiwan,,3.2192640000000004e-05,,3.2192640000000004e-05,6.468336000000003e-05,,,6.468336000000003e-05,9.717408e-05,0.0007127092800000001,0.00022654080000000004,3.2192640000000004e-05,3.2192640000000004e-05,3.2192640000000004e-05,,,3.2192640000000004e-05,,6.468336000000003e-05,0.0012635611200000002,,,,,,3.2192640000000004e-05,3.2192640000000004e-05,,,,9.717408e-05
Hong Kong,,3.226392e-05,6.452784e-05,,0.02284037352,0.00012905568,,,,0.0004839588,,3.226392e-05,,3.226392e-05,3.226392e-05,,3.226392e-05,,6.452784e-05,0.0003871670400000001,,,3.226392e-05,0.00012905568,3.226392e-05,6.452784e-05,,3.226392e-05,,,6.452784e-05
Macau,0.0006737093999999999,0.0006352117199999999,0.00028873260000000003,0.00090469548,0.16964002692000002,0.0020981235600000003,0.0008661978000000001,0.00090469548,5.774652e-05,0.00200187936,0.00205962588,0.00050046984,0.00030798144,0.00059671404,0.001443663,0.00030798144,0.0008084512799999999,0.00025023492,0.0012511746,0.00180939096,0.00028873260000000003,0.00050046984,0.00050046984,0.0013474187999999998,1.924884e-05,0.00030798144,1.924884e-05,,,,0.0017323956000000005
