,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Shanghai,Guangdong,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Hainan,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.3908829000400003,0.39640042116,0.33756437663999994,0.27753972516,0.222863805,0.19968596928,0.1990916658,0.1990916658,0.19314863100000002,0.17888534747999998,0.15273599435999996,0.14501004911999998,0.13015246211999998,0.10816323335999999,0.10519171596,0.09687146723999998,0.08260818371999999,0.07191072107999999,0.06596768627999999,0.060618954960000006,0.05408161667999999,0.05289300972,0.04932718884,0.039818333160000004,0.03625251228,0.03506390532,0.01901771136,0.014263283519999996,0.011886069599999998,0.0029715174,
Tianjin,1.01703072528,,0.18408210336,0.06914526768,0.062963406,0.05449196592,0.03388576032,0.03846491712,0.06708464712000001,0.040067622,0.033656802480000005,0.030680350560000003,0.02449848888,0.02655910944,0.019690374240000003,0.02861973,0.015340175280000002,0.02312474184,0.01465330176,0.0160270488,0.015340175280000002,0.0103031028,0.00938727144,0.01121893416,0.00480811464,0.005952903839999999,0.0038922832799999996,0.00366332544,0.00206062056,0.00022895784,0.41830597368
Hebei,,1.08013878108,0.8834926899600001,0.40390258284,0.17684001000000002,0.45553986576000005,0.05517408312000001,0.08629792488,0.23979505356,0.23201409312,0.09266416524,0.06224768352000001,0.10468928592,0.07710224436,0.07215072407999999,0.0565888032,0.04527104256,0.0424416024,0.02900176164,0.03041648172,0.031123841760000007,0.029709121680000002,0.02617232148,0.0212208012,0.018391361040000002,0.026879681519999997,0.013439840759999998,0.013439840759999998,0.00636624036,0.00141472008,2.6490633498000005
Shanxi,0.42565917312,0.05465143872000001,0.12618706176,0.32568702911999997,0.08331012,,0.033768368640000004,0.0422104608,0.0211052304,0.17595097344,0.040433178240000006,0.047320148160000006,0.3894470409600001,0.027770040000000003,0.029769482880000007,0.00733129056,0.02199387168,0.006220488960000001,0.01466258112,0.01866146688,0.01821714624,0.01177449696,0.01310745888,0.017994985920000005,0.010663695359999998,0.009552893759999998,0.01310745888,0.006886969920000001,0.0044432064,0.0008886412800000002,0.21838359456
Inner Mongolia,0.25138210031999997,0.04039712352,0.05959575648000001,0.04339690992,0.0329976504,0.16438829472000002,0.02159846208,0.0259981488,0.26358123168,,0.02339833392,0.022998362400000003,0.22678385184,0.01379901744,0.0139990032,0.16378833744,0.00979930224,0.13679025984,0.0079994304,0.00939933072,0.00959931648,0.0059995728,0.008199416159999999,0.05539605552,0.0059995728,0.00459967248,0.15298910640000002,0.0063995443200000005,0.00379972944,0.00019998576,0.21158493408000004
Liaoning,0.25967097612,0.07863415524,0.1257750342,0.04832930448,0.08338785732000001,0.028324141560000005,0.06516533268,0.05902513416,,0.22560277788000002,0.0514984392,0.031691347200000004,0.025551148680000003,0.02812607064,0.02158973028,0.1624181544,0.02000516292,0.31612118831999997,0.02198587212,0.015053389919999998,0.026145361439999997,0.012478467959999998,0.01544953176,0.0063382694400000005,0.0108939006,0.014063035319999998,0.0029710638,0.006140198520000001,0.00178263828,0.0005942127599999999,0.21213395532
Jilin,0.05706324288000001,0.029181409920000005,0.053518942080000007,0.01464977664,0.03260756736,0.00815189184,0.0289451232,0.030835416960000004,0.36376340544,0.12475938816,0.030835416960000004,0.01287762624,0.009805898879999999,0.01016032896,0.012759482879999999,0.20627830655999999,0.00850632192,,0.008860752,0.004725734400000001,0.017603360640000003,0.00578902464,0.00850632192,0.0028354406400000003,0.00389873088,0.005907168000000001,0.0008270035200000003,0.0020084371200000005,0.00047257344,0.00023628672,0.08293663872000001
Heilongjiang,0.06696238248,0.034861858919999995,0.07225494192000001,0.0178336242,0.03831352812,0.007478616600000001,0.031065022799999998,0.04349103192,0.18662024808,0.14243888232000002,0.02772840924,0.015302400119999999,0.01288623168,0.010009840679999998,0.01196578656,,0.011045341439999998,0.23367800483999995,0.0077087278799999985,0.0052925594400000005,0.03037468896,0.0044871699600000006,0.008629172999999999,0.00207100152,0.00414200304,0.0069033384,0.0011505564,0.00184089024,0.0011505564,0.00011505564,0.11079858132
Shanghai,0.05127090696,0.0313903512,0.14805782316,0.15276637584,2.066531454,0.03086717868,,0.19514334996,0.05179407947999999,0.01621834812,1.06570242324,0.09626374368,0.05440994208,0.40336601292,0.10044912384,0.0235427634,0.07481367036,0.021450073319999995,0.09731008872,0.05336359704,0.03243669624,0.11352843684000001,0.04342331916,0.01883421072,0.03557573136,0.0340062138,0.0078475878,0.00994027788,0.006278070239999999,0.0015695175599999998,0.18258720948
Jiangsu,0.13652231184,0.05522250816,0.7570085493600001,0.36968401296,,0.06289230096,2.01485456856,0.22089003264,0.06902813520000001,0.02070844056,1.20569142816,0.10430918207999999,0.10200824424,1.49024074104,0.15262887672,0.0306791712,0.09510543072000001,0.021475419840000003,0.10277522352,0.059824383839999995,0.026077295519999998,0.13575533256,0.05292157032,0.03298010904,0.059057404560000006,0.04525177752,0.00997073064,0.01227166848,0.00690281352,0.0023009378399999995,0.1994146128
