,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Shanghai,Guangdong,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Hainan,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.08044328699999999,0.028767798,0.15982109999999994,0.274359555,1.142188128,0.034095167999999995,0.999414612,0.252517338,0.04794633,0.017047583999999998,,0.11027655899999997,0.06392843999999999,0.5822815409999998,0.15129730799999996,0.02130948,0.14064256799999994,0.019711269,0.28075239899999993,0.071919495,0.028235060999999995,0.388365273,0.06659212499999999,0.02130948,0.13797888299999994,0.04368443399999999,0.006392843999999997,0.009589266,0.00532737,0.0015982109999999993,0.12838961699999998
Anhui,0.06536956608000001,0.023046962400000003,0.18353762784000002,0.43789228560000004,1.58479294176,0.02598021216,0.39640775328,0.11649191904,0.01759949856,0.008380713599999999,0.6356771265600001,0.04022742528,0.04274163936000001,,0.13032009648,0.00879974928,0.05573174544,0.0071236065600000014,0.05615078112000001,0.02681828352,0.01299010608,0.12864395375999998,0.02178985536,0.01173299904,0.02053274832,0.01759949856,0.0041903567999999995,0.00502842816,0.00251421408,0.00167614272,0.09386399232000002
Fujian,0.02550669264,0.015696426240000002,0.04387864608,0.06278570496000001,0.10381045536,0.0115939512,0.09970798032,0.3763574928,0.017836848000000002,0.0057077913600000005,0.28200056688,0.05761301904000001,0.02622016656,0.051905227680000006,0.06207223104,0.008204950079999999,0.06563960063999999,0.005351054399999999,,0.039954539520000006,0.0151613208,0.20548048895999999,0.03442511664,0.008918424000000001,0.053867280960000014,0.0365655384,0.0032106326399999998,0.0023187902399999997,0.00196205328,0.00053510544,0.05351054400000001
Jiangxi,0.02121375744,0.00714811392,0.035509985279999996,0.0530343936,0.12520728575999998,0.0092233728,0.11898150912000001,0.4980621312,0.00830103552,0.0039199334399999996,0.3737771827200001,0.03412647936,0.01821616128,0.12290144255999999,0.161409024,0.00530343936,0.30183487488,0.00368934912,0.20660355072000006,0.02213609472,0.015679733759999998,,0.02259726336,0.006225776640000001,0.03043713024,0.04196634624,0.00138350592,0.00138350592,0.0011529216,0.00069175296,0.049345044479999996
Shandong,0.7611602594399999,0.1910862576,,0.6164806643999999,0.841689468,0.12011136192,0.17470743551999998,0.12602593656,0.12557096928,0.05550600816,0.22384390176,0.07324973207999999,0.10100273616000001,0.20837501424000002,0.08553384863999998,0.06369541919999999,0.061875550079999994,0.04140202248,0.050956335360000014,0.03457751328,0.026843069520000002,0.04868149896000001,0.03230267688,0.02183842944,0.0250232004,0.03048280776,0.011374182,0.014558952959999998,0.006369541920000001,0.0022748364000000003,0.3657936931199999
Henan,0.36866622528000004,0.07696887948000003,0.6177120264,,0.45445956228,0.31719022308,0.19021608432,0.30738527028,0.039710058840000007,0.032356344239999994,0.37945167335999996,0.09118606104000003,0.26277273504000004,0.4931891258400001,0.3716077111200001,0.014707429200000004,0.11079596664000001,0.013236686280000002,0.07991036532000001,0.04314179232,0.037258820639999995,0.07157615544000001,0.0392198112,0.04412228760000001,0.037258820639999995,0.04020030648,0.01666841976,0.02745386784000001,0.014707429200000004,0.00637321932,0.294148584
Hubei,0.05687434116,0.0180144972,0.06588158976,0.32786384904000004,0.14977767672,0.02650704588,0.090072486,0.33301084823999993,0.01955859696,0.00823519872,0.16702012404000002,0.0810652374,0.09032983596000001,0.13510872899999998,,0.007205798880000002,0.3512826954,0.0056616991200000005,0.06408014004,0.13999837824,0.02367619632,0.1659907242,0.03371284476,0.013639547880000002,0.03525694452,0.04426419312,0.0038602494,0.00488964924,0.00334554948,0.0018014497200000005,0.09933708455999997
Hunan,0.03505665744,0.01266753168,0.04477825152,0.081013284,0.09809972208000002,0.016202656800000003,0.07188087744,0.9591972825599999,0.014435094240000002,0.007070250240000001,0.1428779736,0.05803497072000001,0.032110719839999996,0.05302687680000001,0.34379091791999994,0.0073648440000000015,,0.007070250240000001,0.06451603344,0.07335384623999999,0.02651343840000001,0.27308841552,0.051848501760000006,0.01001618784,0.17233734960000002,0.19619944416000004,0.0044189064,0.005302687679999999,0.0035351251200000005,0.0014729688,0.07305925248
Guangdong,0.06940089719999999,0.0286126506,0.0998398872,0.22037828760000006,0.2228134068,0.03409166880000001,0.1990709946,,0.045049705200000005,0.0158282748,0.2593401948,0.24290314020000006,0.09253452960000001,0.1059276852,0.2964757626,0.027395091000000003,0.9417823506,0.019480953600000003,0.3695293386,0.1290613176,0.106536465,0.5040696744000001,0.143063253,0.023133632400000003,0.2033324532,1.241910792,0.0079141374,0.011566816200000002,0.006087798,0.004261458600000001,0.1893305178
Guangxi,0.02284327332,0.00551389356,0.02651920236,0.03334592772,0.041748051240000014,0.00630159264,0.032820795000000014,1.6510172716800002,0.009977521679999999,0.0028882299600000005,0.04962504204,0.04909990932000001,0.014703716160000003,0.019429910640000003,0.0367592904,0.00630159264,0.19744990272,0.003675929040000001,0.035971591319999996,0.02993256504,0.023105839680000004,0.03623415768,0.09688698684,0.005776459920000001,0.14073556896000006,,0.0018379645200000004,0.00210053088,0.00157539816,0.00078769908,0.034658759520000006
Hainan,0.01635502428,0.00755612064,0.012775809240000002,0.020133084600000004,0.022767784559999997,0.008550347040000001,0.02744064864,0.09156825144000004,0.011383892279999999,0.004474018800000001,0.024905371319999998,0.030423327840000007,0.013620901680000002,0.007904099880000001,0.015808199760000002,0.011483314920000001,0.027788627880000003,0.00566709048,0.014963107319999999,0.01849261104,,0.01237811868,0.012726097920000002,0.00432488484,0.013223211120000002,0.01804520916,0.0018393188400000005,0.0017896075199999998,0.00114336036,4.9711320000000015e-05,0.036388686239999996
Chongqing,0.026865519480000002,0.0106986582,0.03304696644,0.04683634812,0.06419194920000001,0.0166423572,0.053017795080000006,0.14336201988,0.011887398,0.0071324388,0.07275087576,0.968822937,0.06609393288,0.02924299908,0.17212952304,0.005468203079999999,0.08178529824,0.005943699,0.04065490116000001,,0.021635064359999998,0.02448803988,0.08178529824,0.017831097,0.25938302436,0.0368509338,0.00427946328,0.007845682679999999,0.00380396736,0.00618144696,0.053017795080000006
Sichuan,0.052083511920000006,0.02000558736,0.06036168600000001,0.08485128432,0.10451194776,0.0362170116,0.08899037136,0.24593075496000005,0.02828376144,0.016211424239999998,0.11347996968,,0.22799471112000005,0.03311269632,0.08174696904,0.01241726112,0.06346600127999999,0.008623098000000001,0.05484290328,0.94405676904,0.04070102256,0.032077924560000005,0.42149703024,0.09071499096,0.28697670144000004,0.0551878272,0.01103756544,0.023109902640000003,0.03000838104,0.052428435839999996,0.1224479916
Guizhou,0.01399050144,0.00505212552,0.018071064360000003,0.030312753120000008,0.05090988024,0.0060236881200000005,0.032061565800000004,0.23531246171999998,0.0068009382,0.00252606276,0.13485288888000002,0.27806121612,0.02195731476,0.019431252000000003,0.034199003520000014,0.0019431251999999998,0.1875115818,0.0009715625999999999,0.05363025552,0.24735983796,0.014573438999999999,0.029729815560000008,0.31983840792,0.005246438040000001,,0.15545001600000002,0.0019431251999999998,0.0021374377200000004,0.0007772500800000001,0.0013601876400000006,0.02681512776
Yunnan,0.01838045196,0.008797481280000002,0.02057982228,0.03283345692,0.04147384032,0.008954579159999998,0.03786058908,0.1476720072,0.010211362199999999,0.00424164276,0.06802338204,0.4139529138,0.023564682000000003,0.01869464772,0.02686373748,0.006126817320000001,0.056083943160000004,0.00298485972,0.030634086600000002,0.07713505908000001,0.0141388092,0.0188517456,,0.00596971944,0.32142226248000005,0.10227071988,0.00204227244,0.0026706639600000003,0.00282776184,0.0067552088400000005,0.03628961028
Tibet,0.0014142891600000002,0.00047142972,0.0017111152800000002,0.0049762026,0.0027063558,0.0009253990800000001,0.00213016392,0.00478413864,0.00064603332,0.00012222252000000002,0.00251429184,0.06987636072,0.00831113136,0.00134444772,0.0014142891600000002,0.00038412792,0.0016412738399999998,0.000436509,0.000873018,0.011436535800000001,0.000436509,0.0008380972800000001,0.010493676359999999,0.0059539827600000005,0.0012222251999999998,0.0006984144,0.00041904864000000003,0.00144920988,0.0311667426,,0.0035269927200000007
Shaanxi,0.08892267804000001,0.01896333768,0.08354119031999999,0.25139235492,0.10711723176,0.3485153952,0.057658797000000005,0.09302285916000001,0.02408856408,0.2152595088,0.0666279432,0.21782212199999998,,0.04305190176,0.10199200536,0.00845662356,0.03638910744,0.0071753169600000015,0.02126968956,0.05740253568000001,0.01870707636,0.01998838296,0.0281887452,0.30033826704000005,0.025626132000000003,0.01563194052,0.11352376476,0.02588239332,0.030238835760000003,0.005894010359999999,0.12531178548
Gansu,0.020105528400000003,0.0120384954,0.0206019612,0.042569112600000014,0.0346261878,0.0168787152,0.0208501776,0.0336333222,0.005584869000000001,0.052745985,0.0234564498,0.0959356386,0.34328328119999996,0.0114179544,0.017995689,0.002482164,0.0114179544,0.0023580558,0.0107974134,0.0168787152,0.008935790400000001,0.006205410000000001,0.0090598986,,0.008067033000000001,0.006701842800000001,0.1486816236,0.052745985,0.160720119,0.0047161116000000005,0.0377288928
Qinghai,0.00618163812,0.00206054604,0.00639189792,0.014592030119999998,0.0090411714,0.00534059892,0.0046257156,0.008872963559999999,0.0015559225199999998,0.0032800528800000003,0.0056349626399999995,0.04167349236,0.033431308199999996,0.00285953328,0.00445750776,0.0007569352799999999,0.0036585205200000003,0.0002943637200000001,0.00239696172,0.005592910679999999,0.00222875388,0.002102598,0.00256516956,0.18221114268,0.00109335096,0.0016820784,0.013666886999999999,0.02106803196,,0.02203522704,0.008494495920000001
Ningxia,0.01435419792,0.00435332232,0.01041267636,0.016236715680000003,0.01158924996,0.011000963159999998,0.007059441600000001,0.01064799108,0.0026472906000000003,0.13960045764,0.01011853296,0.012824652240000001,0.11389232447999999,0.005824039319999999,0.005529895919999999,0.00241197588,0.0047062944,0.0008236015200000001,0.00429449364,0.006294668760000001,0.004118007599999999,0.0021178324800000003,0.00370620684,0.14318900712000002,0.0030002626800000004,0.00241197588,,0.00435332232,0.008118357840000002,0.0007647728399999999,0.02082535272
Xinjiang,0.016756346880000002,0.007828254719999999,0.021673267200000002,0.05932652544,0.021802659840000002,0.007763558399999999,0.017662095359999998,0.02568443904,0.005693276160000001,0.012162908159999998,0.013780316159999998,0.06476101631999999,0.0514335744,0.01048080384,0.012292300800000001,0.00310542336,0.01009262592,0.00245846016,0.0071165952,0.02186735616,0.006469632,0.007698862079999999,0.00659902464,0.14440218624,0.0035582976,0.004011171839999999,0.010222018559999999,,0.035841761279999995,0.0017468006399999998,0.031830589439999994
Taiwan,0.0009385632000000001,6.477408e-05,0.0006794668799999999,0.00038864448,0.0002908224,0.00051819264,0.00155457792,0.00054991872,0.0006794668799999999,0.00035559648,0.0004534185600000001,0.0006477408,0.00016127423999999998,0.0003238704,0.00035559648,0.0002908224,0.00016127423999999998,0.00038864448,0.0019762704,0.00012954816,6.477408e-05,9.650016e-05,0.00048514464,0.00019432224,0.0002908224,0.0003238704,6.477408e-05,9.650016e-05,9.650016e-05,3.172608e-05,0.00022604832
Hong Kong,3.2114880000000005e-05,3.2114880000000005e-05,0.00025691904000000004,0.00012845952000000002,3.2114880000000005e-05,3.2114880000000005e-05,0.00019268928,0.021156824159999997,3.2114880000000005e-05,3.2114880000000005e-05,0.00012845952000000002,6.422976000000001e-05,,3.2114880000000005e-05,9.634464e-05,,3.2114880000000005e-05,3.2114880000000005e-05,6.422976000000001e-05,,3.2114880000000005e-05,3.2114880000000005e-05,,,,,,3.2114880000000005e-05,,,0.00012845952000000002
Macau,0.00113153436,0.00033747516,0.0009330195599999998,0.00061539588,0.00246158352,0.00041688108000000003,0.00254098944,0.17383941035999995,0.00043673255999999994,0.00015881184,0.002977722,0.00103227696,0.00033747516,0.00041688108000000003,0.0015087124800000002,0.00015881184,0.0014094550800000001,0.00011910887999999998,0.00176678172,0.00037717812000000005,0.0004764355199999999,0.0010918314,7.940592e-05,,0.00025806924,0.0015087124800000002,,7.940592e-05,1.985148e-05,1.985148e-05,0.0015682669199999998
