,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Anhui,Shaanxi,Jiangsu,Guangdong,Jilin,Sichuan,Gansu,Zhejiang,Heilongjiang,Guizhou,Shanghai,Jiangxi,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Beijing,Tibet
Beijing,0.4664978762400001,0.07179000840000001,0.05606022312000001,0.04645773791999999,0.031093761600000006,0.028716003360000006,0.0210340152,0.01957077936,0.01902206592,0.017010116640000003,0.015546880800000003,0.014358001680000003,0.0141750972,0.01289476584,0.010699912079999999,0.0105170076,0.01015119864,0.00813924936,0.00759053592,0.0056700388800000005,0.00557858664,0.0033837328800000004,0.0033837328800000004,0.0032008284000000003,0.00283501944,0.00283501944,0.002286306,0.0012803313600000005,0.0006401656800000003,,
Tianjin,0.31300892208000003,,0.04451911631999999,0.01111545504,0.016100220959999998,0.01844936352,0.00177618096,0.01701695952,0.00412532352,0.004010731199999999,0.010657085759999999,0.00750579696,0.00504206208,0.00366695424,0.00303669648,0.00618798528,0.0037242504,0.0013178116799999998,0.0034377696,0.00183347712,0.0022918464000000003,0.00154699632,0.0014897001599999998,0.0008021462400000001,0.0008021462400000001,0.00154699632,0.00011459232,0.00154699632,0.00040107312000000006,0.08508479759999997,5.729616e-05
Hebei,,0.44764075548,0.40356628056,0.13162377203999998,0.24495813612,0.1109357532,0.02488558788,0.12472776576,0.02818367784,0.08814894983999999,0.09474512976,0.04977117576,0.02188732428,0.031481767800000005,0.022187150640000004,0.07405711092000003,0.0104939226,0.014991318,0.02608489332,0.019488713400000003,0.015291144360000003,0.011693228040000002,0.00359791632,0.0134921862,0.01439166528,0.0062963535600000006,0.0020987845200000003,0.00929461716,0.00569670084,0.94085511768,0.0008994790799999998
Shanxi,0.25838738856,0.046071380880000005,0.10973636352,0.10913997024,,0.01371704544,0.0141643404,0.14656364855999998,0.020128273200000005,0.30445876944000005,0.11182374,0.035783596800000005,0.003727458,0.023408436240000004,0.012076963920000005,0.05591187,0.0026837697600000003,0.008945899200000001,0.019382781600000003,0.00954229248,0.01028778408,0.0067094244,0.0029819664,0.00998958744,0.007007621039999999,0.00954229248,0.004174752960000001,0.00715671936,0.0059639328,0.11868226272,0.00044729496
Inner Mongolia,0.12024724104,0.034378182,0.02696777388,0.00595888488,0.0767779398,0.14683303511999998,0.0022918788,,0.00275025456,0.09152236007999999,0.01061903844,0.00924391116,0.046907119439999985,0.0035906101199999992,0.016119547559999996,0.00924391116,0.030481988039999994,0.0012223353599999998,0.004889341439999999,0.001909899,0.00206269092,0.0016043151599999998,0.0008403555599999999,0.00259746264,0.0014515232399999998,0.00129873132,0.0022918788,0.03651726888,0.00213908688,0.06959671955999999,0.00015279191999999998
Liaoning,0.14747772059999995,0.052455632399999993,0.07687759895999999,0.011437047720000001,0.0098891766,,0.0047296062,0.11703625523999997,0.0062774773200000005,0.007653362759999998,0.036460964160000005,0.02889359424,0.1371585798,0.00791134128,0.0047296062,0.031301393760000004,0.03964269924,0.004557620520000001,0.020122324559999998,0.005331556079999999,0.007395384239999999,0.00275177088,0.00326772792,0.00275177088,0.0038696778000000005,0.00206382816,0.0007739355599999999,0.0005159570399999999,0.0012898926,0.08367103331999999,0.00025797851999999994
Jilin,0.04565126304,0.032557489919999995,0.043468967520000006,0.004069686239999999,0.0033619147199999994,0.20478189312,0.00218229552,0.04264323408,0.0032439528000000003,0.00188739072,0.01869696432,0.016632630719999996,,0.005249305439999999,0.00129758112,0.02335646016,0.062342874720000004,0.00100267632,0.010734534720000001,0.0031259908799999995,0.00607503888,0.00129758112,0.0027721051199999995,0.00247720032,0.00135656208,0.0024182193599999995,0.0002949048,0.0008847143999999998,0.00017694287999999995,0.0448255296,
Heilongjiang,0.038400253200000005,0.031356130319999995,0.046520561519999996,0.00430474176,0.0030818037599999997,0.10267787447999999,0.00229912344,0.03414442896,0.00225020592,0.00210345336,0.015653606400000002,0.01726788456,0.08056715544,0.00450041184,0.00053809272,0.017659224720000002,,0.0015653606400000005,0.011691287279999999,0.0019077832800000003,0.0032285563199999996,0.00034242264000000015,0.002739381120000001,0.0025926285600000004,0.00151644312,0.003130721280000001,0.00024458760000000004,0.00034242264000000015,0.00063592776,0.054983292479999994,
Shanghai,0.0059811047999999995,0.0019937016000000003,0.0300867696,0.032171094,0.0044405172,0.0091529028,0.0091529028,0.0010874736,0.0550080396,0.0060717276,0.4052651616,0.018668296799999998,0.0034436664000000003,0.009515394000000002,0.0100591308,0.22447267559999998,0.0024468156000000004,0.0057092364000000005,,0.023833796400000003,0.0152246304,0.0048030084,0.0016312104,0.005890482000000001,0.0039874032000000005,0.0059811047999999995,0.000453114,0.000453114,0.000453114,0.006252973199999999,
Jiangsu,0.034117938720000004,0.014092192080000001,0.2892607848,0.1001287332,0.024228681119999998,0.022498061040000003,0.025712069759999998,0.00766417464,0.35650773648,0.02126190384,,0.07243881192000001,0.00716971176,0.02447591256,0.023981449680000003,0.5696212377600001,0.004202934480000001,0.02323975536,0.6640636478399999,0.05884108272000001,0.032140087200000014,0.008653100399999999,0.004944628800000001,0.01137264624,0.010878183360000002,0.008653100399999999,0.0012361572000000002,0.003461240160000001,0.0044501659200000005,0.0383208732,0.00024723144
Zhejiang,0.013945254839999996,0.00622350216,0.0414900144,0.040337514,0.006915002399999999,0.01625025564,0.03999176388,0.00380325132,0.09312203232,0.00887425308,0.24651983556,0.08286477876000001,0.00910475316,0.025931258999999998,0.00887425308,,0.00265075092,0.04425601535999999,0.20871782243999995,0.10510803647999996,0.06315702192,0.015097755239999996,0.00437950152,0.01913150664,0.01705700592,0.006684502319999999,0.0005762501999999999,0.0012677504400000002,0.0023050008,0.015443505359999997,0.00023050007999999997
Anhui,0.02418903,0.022737688199999998,0.0778886766,0.2849467734,0.010643173200000001,0.027091713599999998,0.0251565912,0.0033864641999999997,,0.0159647598,1.557773532,0.1746447966,0.004837806,0.016932320999999997,0.010643173200000001,1.7924071229999998,0.0014513417999999995,0.0164485404,0.43540254,0.10836685439999999,0.091918314,0.008708050799999999,0.0038702448,0.006772928399999999,0.0149971986,0.0198350046,,0.0014513417999999995,0.0029026835999999994,0.06772928399999999,0.0009675612
Fujian,0.01064855808,0.005862689279999999,0.026920512,0.0215364096,0.007657390079999999,0.01232361216,0.03397966848,0.00323046144,0.02225428992,0.0065805696,0.08865821951999997,0.35379535104000004,0.0034697548799999998,0.01986135552,0.00933244416,0.19957072896,0.0023929344,0.05073020928,0.06772004352000001,0.12443258880000001,,0.013520079359999998,0.010887851519999998,0.029193799679999993,0.039124477439999986,0.003110814719999999,0.00083752704,0.00227328768,0.00215364096,0.01902382848,0.00035894015999999993
Jiangxi,0.00968031,0.006582610799999999,0.021296682,0.0178117704,0.0034849115999999996,0.0042593364,0.15101283599999998,0.0023232744,0.0569202228,0.0042593364,0.1726967304,1.512064422,0.0011616372,0.0197478324,0.0046465488,1.0729655604,0.0003872124,0.041431726800000006,0.14520465,,0.480143376,0.0166501332,0.007357035600000001,0.0228455316,0.040657302,0.0228455316,0.0003872124,0.0003872124,0.0007744248000000001,0.0247815936,
Shandong,0.32789464848,0.12625965072,,0.24990375312,0.06396204528,0.0689553648,0.02520437472,0.039233224800000015,0.08797753440000003,0.043513212960000006,0.5171652360000001,0.07371090720000001,0.021399940800000003,0.026868814560000003,0.019022169600000003,0.26464593456,0.0166443984,0.01807106112,0.10224416160000001,0.039233224800000015,0.03376435104,0.007608867840000002,0.003804433920000001,0.01379107296,0.015931067040000003,0.00903553056,0.0026155483200000005,0.003328879680000001,0.00618220512,0.14551959744,0.0004755542400000001
Henan,0.14724095760000006,0.049369026960000006,0.28452149748000005,,0.10869847164,0.03204656136,0.07232129388,0.01602328068,0.4209359140800001,0.06582536927999999,0.7071896581199999,0.53439806376,0.008228171159999999,0.04590453384,0.03767636268,0.97049113524,0.00259836984,0.036377177760000004,0.23385328560000004,0.09397437587999999,0.12472175232,0.01602328068,0.006928986240000001,0.01385797248,0.024684513480000003,0.07015598568000002,0.00519673968,0.00779510952,0.014291034119999997,0.17149240944000002,0.00129918492
Hubei,0.00356774544,0.00186881904,0.0040774233600000005,0.05767855128,0.0013591411199999999,0.0011892484800000002,0.10414418832,0.00055215108,0.01541775708,0.01490807916,0.011467753200000002,0.08460653472000002,0.00093440952,0.0048844134,0.0013591411199999999,0.019112922,0.0006795705599999999,0.0036102186,0.009556461,0.02340271116,0.00535161816,0.04387477428,0.00025483896000000003,0.00131666796,0.00441720864,,0.00025483896000000003,0.00038225844,0.00016989263999999998,0.0035252722799999996,8.494631999999999e-05
Hunan,0.0112713606,0.0054269514,0.0179506854,0.027134757000000002,0.0054269514,0.0058444092,,0.0016698312,0.0262998414,0.0066793248,0.1039469922,2.494310355,0.0012523733999999995,0.0267172992,0.0070967826000000005,0.4667178203999999,0.0008349156,0.227514501,0.039658491000000004,0.2041368642,0.11020885919999998,0.0450854424,0.0154459386,0.040493406600000004,0.14444039879999998,0.08850105359999999,0.0008349156,0.0012523733999999995,0.002087289,0.04007594879999999,0.0008349156
Guangdong,0.0124610724,0.0033822910799999996,0.01904763924,0.0498442896,0.0060525208799999996,0.0106809192,0.3444596442,0.0033822910799999996,0.0213618384,0.01139298048,0.03489100272,,0.00658656684,0.0462839832,0.0115709958,0.06817986756,0.00569649024,0.1121496516,0.02153985372,0.1993771584,0.11090354436,0.02438809884,0.05678688708,0.033466880160000004,0.35353842552000003,0.01548733284,0.006230536199999999,0.00160213788,0.00320427576,0.0186916086,0.00035603064
