,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Anhui,Shaanxi,Jiangsu,Guangdong,Jilin,Sichuan,Gansu,Zhejiang,Heilongjiang,Guizhou,Shanghai,Jiangxi,Fujian,Chongqing,Hainan,Yunnan,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Beijing,Tibet
Guangxi,0.00824195736,0.00126799344,0.0076079606400000005,0.012996932759999998,0.0019019901600000001,0.00253598688,0.09605050308,0.0009509950800000001,0.005705970479999999,0.0019019901600000001,0.01806890652,2.6209424404800004,0.0015849917999999998,0.032650831080000005,0.00253598688,0.06213167856000001,0.0015849917999999998,0.126799344,0.00855895572,0.032333832720000004,0.024725872080000003,0.008875954080000002,0.012679934399999999,0.05610870972,,0.00507197376,0.00031699836,,0.00063399672,0.00824195736,
Hainan,0.0145722726,0.00239050764,0.006516589319999999,0.01902582108,0.0077609631599999986,0.010937391119999995,0.012345498359999995,0.00553418892,0.00271797444,0.005927149079999999,0.00517397544,0.08972590319999997,0.0112976046,0.020171954880000002,0.005042988720000001,0.0117888048,0.014997979439999996,0.014277552479999997,0.00609088248,0.008776110240000001,0.0036021348,0.010675417679999995,,0.00189930744,0.011002884479999996,0.0026197344,0.0004257068399999999,0.0008841603599999998,0.0019975474799999995,0.018436380839999995,
Chongqing,0.0086605848,0.0015617448000000002,0.006814886399999999,0.0115001208,0.0039753504,0.0019876752,0.076667472,0.0011358144,0.012068028,0.013061865599999998,0.0407473416,0.265496616,0.0009938376,0.3198737304,0.006814886399999999,0.16029180719999994,0.0002839536,0.1861315848,0.0336485016,0.0329386176,0.0870317784,,0.0044012808,0.038759666400000004,0.0278274528,0.058068511199999985,0.001419768,0.0002839536,0.0024136056,0.0089445384,0.00354942
Sichuan,0.01870654824,0.00482749632,0.02293060752,0.05551620767999999,0.01448248896,0.00995671116,0.05672308176,0.0045257778,0.021120296400000002,0.07935197076,0.12400631172,0.5545586397600001,0.00241374816,,0.040128563160000005,0.32706287568000003,0.00241374816,0.33852817943999997,0.05249902248,0.032283881640000005,0.1191788154,0.57658409172,0.01086186672,0.34969176468,0.09172243008,0.014784207480000002,0.0060343704,0.00181031112,0.010560148200000001,0.03409419276,0.0346976298
Guizhou,0.0047899512,0.00143698536,0.0064664341200000005,0.00934040484,0.0011974878,0.0011974878,0.19447201872,0.00047899512,0.01029839508,0.0052689463200000005,0.05173147296,0.65526532416,0.00023949756,0.16142135544000003,0.0023949756,0.39541047156,0.00047899512,,0.0275422194,0.08238716064,0.13914808236,0.1329211458,0.00574794144,0.30104843292,0.17195924808000002,0.00790341948,0.00023949756,,0.00047899512,0.01939930236,0.00023949756
Yunnan,0.00409033152,0.0007436966399999999,0.007065118079999998,0.007313016959999998,0.00235503936,0.0024789888,0.04350625344,0.0006197472,0.005949573119999999,0.006197472,0.026525180159999998,0.17278551935999995,0.0016113427199999995,0.28161312768,0.00359453376,0.14018681664000002,0.0016113427199999995,0.32264039231999997,0.014997882239999996,0.018344517119999997,0.03421004544,0.024665938560000003,0.00223108992,,0.0954410688,0.006197472,0.0006197472,0.00049579776,0.00037184832,0.0068172192,0.0018592416
Tibet,0.0002589084,3.1833000000000005e-05,9.549900000000003e-05,0.00029074140000000004,6.366600000000001e-05,9.549900000000003e-05,0.00022495320000000005,6.366600000000001e-05,6.366600000000001e-05,3.1833000000000005e-05,0.0001294542,0.00022495320000000005,3.1833000000000005e-05,0.0093291912,0.0021370554000000003,6.366600000000001e-05,,0.00029074140000000004,,6.366600000000001e-05,3.1833000000000005e-05,0.0008085582000000001,3.1833000000000005e-05,0.0013603302000000002,,3.1833000000000005e-05,0.0001294542,3.1833000000000005e-05,0.0050847912,0.0001931202,
Shaanxi,0.040009502880000006,0.006174305999999999,0.02827832148,0.06915222719999999,0.20782713996,0.00382806972,0.01741154292,0.11138448024,0.020004751440000003,,0.11644741116,0.10236999347999998,0.00222275016,0.060631684920000005,0.11274282756,0.098788896,0.00086440284,0.01679411232,0.02445025176,0.01271907036,0.01839943188,0.01580622336,0.00259320852,0.01148420916,0.005433389279999999,0.0197577792,0.00234623628,0.04544289216,0.013213014840000002,0.04482546156,0.0013583473199999998
Gansu,0.0098995284,0.0110641788,0.014493427199999999,0.0232283052,0.006858496800000001,0.0026528147999999997,0.0066643884,0.0286633404,0.006858496800000001,0.1114829244,0.0651557196,0.033192536399999986,0.0007764335999999999,0.035845351199999986,,0.0452272572,0.0003882167999999999,0.0051115212,0.024716469599999995,0.003946870799999999,0.008734878,0.007958444399999999,0.0009058391999999999,0.0042056820000000005,0.0015528671999999995,0.0047880072,0.012422937599999998,0.077966874,0.06276171599999998,0.0257517144,0.0029763288
Qinghai,0.0009372412800000001,0.00047780928,0.00113020272,0.0018744825600000002,0.0007442798399999999,0.0006432047999999999,0.00038592287999999987,0.0009648072,0.00051456384,0.00410732208,0.0014885596799999999,0.0008086003199999999,0.00012864096,0.00579803184,0.052320116160000006,0.00219608496,6.432048e-05,0.00038592287999999987,0.0008361662400000001,0.0004134888,0.0003216024,0.00038592287999999987,0.00028484784,0.0007442798399999999,0.00025728192,0.00019296144,0.00229716,0.00271983744,,0.0012955982400000001,0.007056875519999999
Ningxia,0.0021527856,0.0012506659199999998,0.00268585632,0.00424406304,0.00309591072,0.00030754080000000003,0.0015172012799999999,0.054004164480000005,0.00196826112,0.03836058912,0.00371099232,0.00293188896,0.00028703808000000004,0.0027473644800000002,0.06359943743999999,0.004080041279999999,6.150815999999999e-05,0.0006765897599999999,0.00180423936,0.00047156256,0.0009636278399999998,0.00073809792,0.00012301631999999998,0.00147619584,0.0006355843199999999,0.00161971488,0.0013531795199999998,,0.00371099232,0.004080041279999999,0.00012301631999999998
Xinjiang,0.0015226250400000002,0.00070627788,0.002522421,0.00520994592,0.0007429676400000001,0.00034855272000000007,0.0012933140400000001,0.00372401064,0.00057786372,0.0028801461600000003,0.00255911076,0.01347431436,0.00022013856,0.009658579320000001,0.02145433716,0.00203628168,0.00034855272000000007,0.0005503464,0.00323787132,0.00038524248,0.00138503844,0.00294435324,0.0005503464,0.00048613932,0.00048613932,0.00044944956,,0.00180697068,0.00203628168,0.00777822912,0.00022013856
Taiwan,3.19464e-05,0.0001938816,6.389279999999999e-05,3.19464e-05,,9.69408e-05,0.0001288872,,0.0001938816,6.389279999999999e-05,0.0020401632,0.0028509408,,9.69408e-05,,0.0013274279999999999,,3.19464e-05,0.0017493408,0.000225828,0.0014254703999999998,3.19464e-05,,3.19464e-05,,3.19464e-05,,,,9.69408e-05,
Hong Kong,6.262596000000003e-05,,0.00015840684000000002,0.00029102652000000015,9.578088e-05,2.9471040000000013e-05,0.00022471668,6.262596000000003e-05,,2.9471040000000013e-05,0.0002578716,0.02980627308,6.262596000000003e-05,9.578088e-05,,0.0003868074000000001,2.9471040000000013e-05,,0.00077729868,0.00015840684000000002,0.0006446790000000001,6.262596000000003e-05,0.00015840684000000002,0.00019156176,0.0001289358,,,,,0.0007109888400000001,
Macau,3.0682800000000004e-05,,,3.0682800000000004e-05,,,,,,3.0682800000000004e-05,6.443387999999999e-05,0.02893081212,,3.0682800000000004e-05,3.0682800000000004e-05,3.0682800000000004e-05,,,0.00012886775999999998,3.0682800000000004e-05,0.00022398444,,,,9.511667999999998e-05,,,,,6.443387999999999e-05,
