,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Anhui,Inner Mongolia,Shaanxi,Jiangsu,Hunan,Guangdong,Sichuan,Jilin,Zhejiang,Gansu,Heilongjiang,Guizhou,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Hubei,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.58318542,0.08506963440000001,0.0658042056,0.06475969440000001,0.0408519936,0.0395753688,0.028549972799999997,0.028433916000000007,0.0253003824,0.024371927999999998,0.0225150192,0.021238394400000003,0.015087384000000002,0.014623156799999999,0.013578645600000001,0.013346532,0.0105611688,0.009632714399999999,0.0084721464,0.007543692000000001,0.006963408000000001,0.005918896800000001,0.0048743856,0.0048743856,0.0033656472,0.003249590400000001,0.0027853632,0.0027853632,0.001160568,0.0001160568,
Tianjin,0.43064575668000005,,0.02324802384,0.0712567854,0.0246811212,0.02882118024,0.0069266372399999976,0.02683076724,0.006847020719999999,0.016878702239999998,0.00294581124,0.0083597346,0.00421967556,0.008598584159999999,0.0083597346,0.005573156399999999,0.0047769912,0.0012738643199999998,0.00469737468,0.00207002952,0.00191079648,0.0011942478,0.0016719469199999995,0.0027069616800000002,0.00055731564,0.0015127138800000001,0.00023884955999999995,0.0017515634399999998,0.00103501476,0.00015923303999999997,0.0947436588
Hebei,,0.61310505096,0.19552670352,0.5676337245600002,0.31413107988,0.14702395535999999,0.05039738676000001,0.18719029368000006,0.08677444788000001,0.14171896728000002,0.02728279584,0.06858591732000001,0.04130312148,0.023114590919999997,0.08109053208000001,0.029177434440000007,0.01250461476,0.01629389196,0.029556362160000006,0.018946386000000003,0.025388157240000004,0.0064417712400000006,0.0265249404,0.014778181080000003,0.004926060360000001,0.019325313720000004,0.0034103494800000003,0.0113678316,0.009473193,0.0007578554400000001,1.00908451836
Shanxi,0.2698321766399999,0.04748912063999999,0.17183342592,0.10706027903999997,,0.01459912896,0.0218147904,0.1904599008,0.32923552895999997,0.1527035328,0.01208203776,0.042119326079999984,0.0243318816,0.00318831552,0.055879424639999994,0.017619638400000002,0.00134244864,0.008390304,0.031547543039999994,0.008893722239999999,0.009397140480000002,0.00302050944,0.00956494656,0.008558110079999999,0.00302050944,0.00738346752,0.00453076416,0.00956494656,0.005201988479999999,0.00050341824,0.10353635136
Inner Mongolia,0.15979971600000006,0.039890743920000006,0.011481905520000002,0.045099030960000015,0.14677899840000005,0.21567043152000004,0.0052082870400000005,,0.16571822400000005,0.015388120800000004,0.003551104800000001,0.012665607120000005,0.0068654692800000005,0.07646712336000003,0.012783977280000004,0.03835193184000001,0.04284999792000002,0.0030776241600000004,0.006747099120000001,0.0024857733600000004,0.0022490330400000004,0.0017755524000000005,0.0037878451200000006,0.0020122927200000008,0.0011837016000000005,0.0022490330400000004,0.0041429556000000005,0.07315275887999999,0.003195994320000001,0.00011837016000000005,0.07717734432000001
Liaoning,0.17755544088000005,0.0557014158,0.02193602148,0.09394589303999999,0.01745693856,,0.0109105866,0.19662025536,0.0149302764,0.04926991212,0.00723544164,0.04260871188,0.01332240048,0.2015587314,0.04111568424,0.005857262280000001,0.04904021556,0.00505332432,0.02090238696,0.00964725552,0.00872846928,0.0035602966799999996,0.006316655400000001,0.00447908292,0.0016078759200000006,0.005168172600000001,0.0009187862400000001,0.0008039379600000003,0.00103363452,0.0005742414,0.07855622352000001
Jilin,0.050750064,0.032226290639999995,0.00837376056,0.06563674944,0.005667090480000001,0.27641868191999996,0.0060900076800000005,0.08661344256000003,0.0062591745600000005,0.0329875416,0.003806254800000001,0.02444461416000001,0.007020425520000001,,0.039838800240000014,0.00152250192,0.10276887960000003,0.00304500384,0.015055852320000004,0.009050428080000002,0.005667090480000001,0.003298754160000001,0.00397542168,0.0021991694400000004,0.0005920840800000001,0.0035525044799999995,0.0003383337600000001,0.0007612509600000001,0.0005920840800000001,0.0005075006400000001,0.04533672384000001
Heilongjiang,0.05604864335999999,0.043743547800000004,0.00910434816,0.07262140212,0.00440991864,0.14204205684,0.0046944295200000005,0.052278874199999985,0.004481046359999999,0.0352082214,0.00412540776,0.02361440304,0.00512119584,0.10854090072,0.0348525828,0.001778193,,0.0019915761600000003,0.01436779944,0.00512119584,0.0034141305599999995,0.004196535479999999,0.00263172564,0.0016359375599999998,0.00092466036,0.00312961968,0.00042676632,0.0003556386,0.0014225543999999998,,0.06778471716
Shanghai,0.010051322399999998,0.00445129992,0.06705667943999999,0.0351796284,0.00918978048,0.01033850304,0.11156967863999998,0.0021538548,0.012061586879999996,0.6731514201600001,0.0157949352,0.02900524464,0.017374428719999998,0.00387693864,0.3121653556799999,0.01134363528,0.003589758,0.008471828879999999,,0.017374428719999998,0.032882183280000005,0.0034461676799999994,0.00990773208,0.008328238559999998,0.0034461676799999994,0.006174383759999999,0.00057436128,0.00100513224,0.0015794935199999998,0.00100513224,0.00918978048
Jiangsu,0.06082571232000001,0.02681133372,0.180076122,0.46059470316,0.03561505524,0.0320135328,0.8595633556799999,0.01240524396,0.062026219800000004,,0.0420177618,0.11164719564000002,0.044018607599999995,0.010004229,0.7195041496800001,0.04361843844,0.00480202992,0.031213194480000005,0.980414442,0.050021145,0.08043400115999999,0.00880372152,0.029212348680000003,0.017207273880000002,0.0080033832,0.02721150288,0.00240101496,0.005602368240000001,0.0080033832,0.00120050748,0.03881640852
