,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Anhui,Inner Mongolia,Shaanxi,Jiangsu,Hunan,Guangdong,Sichuan,Jilin,Zhejiang,Gansu,Heilongjiang,Guizhou,Shanghai,Fujian,Jiangxi,Hainan,Yunnan,Chongqing,Hubei,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.02577545712,0.012346227359999998,0.10201882608,0.07451056512,0.01451223216,0.02209324896,0.25645496832000003,0.00671461488,0.027941461919999997,0.5020799126400001,0.07017855552000002,0.119130264,0.04613590223999999,0.01039682304,,0.01646163648,0.00389880864,0.07342756272,0.31450389696,0.12692788128000002,0.18952542,0.00844741872,0.05155091424,0.027508260960000003,0.005415011999999999,0.028807863840000007,0.00043320095999999997,0.003032406720000001,0.00454861008,0.00021660047999999999,0.016028435520000002
Anhui,0.03914348003999999,0.03021601968,0.41478354288,0.12979153908,0.02197528704,0.02884256424,,0.008927460359999998,0.04257711864,2.45917196532,0.044637301799999994,0.23760779112,0.028155836519999995,0.006180549479999999,2.2600209265199998,0.01510800984,0.0020601831599999995,0.026095653360000002,0.6304160469599999,0.11811716783999998,0.14283936575999998,0.008240732639999998,0.02128855932,0.014421282119999997,0.017854920719999997,0.026095653360000002,0.0020601831599999995,0.004120366319999999,0.00549382176,0.00068672772,0.06935949972
Fujian,0.01549881216,0.01028286576,0.036660651839999996,0.031593732480000004,0.01311437952,0.01326340656,0.0424727064,0.005364973439999999,0.02250308304,0.11013098256,0.05022211248,0.4360531190400001,0.03442524624,0.00357664896,0.21519504575999998,0.012071190240000002,0.00163929744,0.05335168032,0.06348551904000001,,0.14172471504,0.01132605504,0.051712382880000005,0.02250308304,0.003725676,0.0603559512,0.00014902703999999998,0.00163929744,0.00312956784,0.00044708112,0.017287136640000002
Jiangxi,0.013312615680000002,0.008558110079999999,0.03518334144,0.02757613248,0.00522995616,0.005705406719999999,0.10555002432,0.003328153920000001,0.01806712128,0.24057798336,0.23106897216,1.63174632192,0.03137973696,0.0019018022399999999,1.3930701408000001,0.00998446176,0.0009509011199999999,0.057054067199999996,0.16783404768,0.55960530912,,0.014263516799999999,0.04849595712,0.026625231360000005,0.02187072576,0.06371037504,0.00047545055999999997,0.0009509011199999999,0.0009509011199999999,0.00047545055999999997,0.0213952752
Shandong,0.4911889928400001,0.16534774619999998,0.37438370424,,0.10861374888,0.07675776107999999,0.13440192948,0.04581194436000001,0.08707303331999999,0.68384187144,0.030339036,0.08980354655999999,0.04186786968,0.02305766736,0.22056479172,0.02063054448,0.016989860160000002,0.02093393484,0.10588323563999999,0.033979720320000004,0.04308143112,0.006371197560000001,0.017293250519999998,0.01243900476,0.008798320439999998,0.01790003124,0.005461026479999999,0.010922052959999998,0.007888149359999999,0.00121356144,0.1259069994
Henan,0.20524439988000007,0.07138935648000001,,0.4290225750000001,0.21348163332000006,0.041186167200000005,0.5608183100399999,0.029516753160000006,0.17641408284,1.1786108180400003,0.11806701264000002,0.9390446121600002,0.08031302604,0.008923669560000002,1.5822352566000004,0.059719942440000014,0.002745744480000001,0.04393191168000001,0.3418451877600001,0.17229546612000002,0.16954972164000004,0.014415158520000004,0.04393191168000001,0.028143880920000003,0.07276222872000003,0.04942340064,0.007550797320000002,0.010982977920000005,0.02333882808000001,0.00411861672,0.17504121060000002
Hubei,0.00345573216,0.0015005152800000002,0.05551906536,0.005320008719999999,0.0016369257599999998,0.00236444832,0.015550794719999999,0.00063658224,0.01509609312,0.012686174640000002,0.09457793279999999,0.10494512927999998,0.00604753128,0.0009094032000000001,0.01905199704,0.00213709752,0.0009094032000000001,0.00468342648,0.01173130128,0.007911807840000002,0.02150738568,0.00127316448,0.006002061120000001,0.045424689840000004,,0.009139502159999998,0.00045470160000000005,0.00050017176,0.00022735080000000003,,0.0025008588
Hunan,0.018357921,0.009475056,0.04855966199999999,0.024872022,0.008290674000000001,0.00592191,0.047967471000000005,0.003553145999999999,0.024279830999999998,0.147455559,,3.47023926,0.042045561,0.002368764,0.6922712789999999,0.010067247,0.0005921909999999999,0.236284209,0.05152061699999999,0.17528853600000002,0.27714538799999994,0.027832977,0.10659438,0.07283949299999999,0.089420841,0.27832977,0.0005921909999999999,0.0017765729999999996,0.003553145999999999,0.001184382,0.034347078
Guangdong,0.017337784319999997,0.0059598633600000004,0.09644142527999998,0.0311538312,0.011107018079999996,0.015983269919999998,0.040635431999999985,0.004876251839999999,0.022755841919999995,0.057160507679999986,0.4897924070399999,,0.09454510512,0.009210697919999998,0.09454510512,0.013003338239999995,0.006772571999999999,0.17798319215999997,0.02790299664,0.17744138639999998,0.26115037631999993,0.09102336767999998,0.07206016607999999,0.04713710111999999,0.01517056128,0.7200598550399998,0.007314377759999998,0.0016254172799999994,0.00379264032,0.0005418057599999999,0.02004681312
Guangxi,0.01039853052,0.00109458216,0.021891643199999998,0.00985123944,0.00328374648,0.00492561972,0.01039853052,0.00164187324,0.00656749296,0.027364554000000003,0.16254545076000002,4.59888694524,0.0383103756,0.00164187324,0.09960697655999999,0.00218916432,0.00109458216,0.17732230992000006,0.012040403759999999,0.03940495776,0.04542515964,0.03174288264,0.12642423947999998,0.014229568080000001,0.0054729107999999995,,0.00054729108,0.00109458216,0.00054729108,,0.00875665728
Hainan,0.01389582216,0.0017052314399999995,0.01810447848,0.005841324720000001,0.008816409360000001,0.00914294304,0.00330161832,0.00493428672,0.00609529536,0.00587760624,0.011827775519999998,0.1375069608,0.02209544568,0.007981934400000001,0.010630485359999999,0.0032653368000000005,0.010412796240000001,0.01077561144,0.0087075648,0.0031202107199999997,0.009977418,,0.00228573576,0.01240827984,0.0016326684000000002,0.0152382384,0.0017415129599999998,0.00029025216,0.00068934888,3.628152e-05,0.0132427548
Chongqing,0.0175208832,0.0043802208,0.035625795839999995,0.015476780159999998,0.011388574080000002,0.004672235520000001,0.021317074560000003,0.0032121619200000005,0.04584631104000001,0.10862947584000003,0.16090011072000002,0.5612522918399999,0.6409723104,0.0020441030400000005,0.36969063552000003,0.013432677119999998,0.00087604416,0.31712798592,0.045554296320000014,0.17988106752000002,0.054606752640000006,0.013432677119999998,0.1255663296,,0.05840294400000001,0.0773839008,0.0014600735999999999,0.0011680588800000002,0.00379619136,0.00759238272,0.011388574080000002
Sichuan,0.030748442400000006,0.0106436916,0.12181113720000003,0.041392134,0.032522391000000005,0.015965537400000004,0.054992406600000016,0.007095794399999999,0.24421359059999997,0.26550097380000004,0.11471534280000002,1.1654842302,,0.004139213400000001,0.6273864882000001,0.07627978980000001,0.0017739485999999998,0.6019598916000001,0.08455821660000001,0.22765673700000005,0.04907924460000001,0.026017912800000004,0.6208820100000001,1.1335531554000002,0.017148169799999998,0.19631697840000004,0.008278426800000002,0.0023652648000000004,0.026609229,0.053809774200000014,0.04020950160000001
Guizhou,0.00603886752,0.00301943376,0.014234473439999997,0.010783692,0.00301943376,0.0021567384,0.025880860799999995,0.0008626953599999999,0.008626953599999999,0.12379678415999998,0.3774292199999999,1.0076281804799998,0.24975030671999995,0.00043134768,0.98649214416,0.0034507814399999995,,,0.0280375992,0.2566518696,0.13371778079999996,0.008195605919999998,0.4999319611199999,0.22602618432,0.007332910559999998,0.3062568527999999,0.00043134768,0.0008626953599999999,0.00043134768,0.0012940430399999993,0.01466582112
Yunnan,0.00919004616,0.0021765898800000004,0.01499428584,0.0096737328,0.0038694931200000007,0.003627649800000001,0.014026912560000002,0.0014510599200000002,0.011850322679999999,0.07569695916000002,0.0919004616,0.4268534598000001,0.4432988055600001,0.0012092166,0.3581699569200001,0.0048368664000000006,0.0007255299600000001,0.53471558052,0.024184332000000003,0.06408847980000001,0.029021198400000007,0.004111336440000001,,0.05054525388,0.002660276520000001,0.21669161472000006,0.0007255299600000001,0.0004836866400000001,0.0007255299600000001,0.0029021198400000004,0.01015741944
Tibet,0.0002898018,,0.0004526118,0.0002898018,0.00012699180000000002,,0.0001595538,,0.0006154218000000001,0.00012699180000000002,0.00019211580000000003,0.0004526118,0.011338088400000002,,0.0003223638,0.0036599688,,0.0005502978,2.93058e-05,,2.93058e-05,,0.0021686292,0.0011982816,,2.93058e-05,0.0001595538,2.93058e-05,0.0102700548,,2.93058e-05
Shaanxi,0.040611352319999995,0.00960893604,0.12419096579999997,0.041155254360000004,0.2683250064,0.00652682448,0.033721926480000004,0.18510799428,,0.15138606779999994,0.023206487039999998,0.15519338208,0.1169389386,0.0036260136,0.1432275372,0.19090961604,0.0014504054399999999,0.02465689248,0.035897534639999985,0.02284388568,0.015773159159999998,0.00380731428,0.02193738228,0.02828290608,0.017948767319999996,0.01142194284,0.005257719720000001,0.05656581216,0.01776746664,0.00344471292,0.04858858224
Gansu,0.01428906096,0.01273590216,0.03271987872,0.017084746799999998,0.0124252704,0.00248505408,0.0093189528,0.059330666160000003,0.26527952304,0.08355994343999999,0.007869337919999999,0.04731957143999999,0.05612080464,0.0010354391999999998,0.05104715255999999,,0.00041417568,0.004452388559999999,0.029924192880000002,0.011804006879999995,0.011493375120000001,0.0013460709599999998,0.006212635199999999,0.012632358239999995,0.0036240371999999993,0.0036240371999999993,0.0217442232,0.10209430511999998,0.12653067024,0.0037275811199999993,0.02164067928
Qinghai,0.00125426556,0.00037799784,0.0042095214,0.0014432644800000001,0.00286934724,0.00027490752,0.00054981504,0.0027834386400000005,0.00731941272,0.00281780208,0.00118553868,0.0026116214399999997,0.007542775079999999,0.0002577258,0.00209616984,0.10803865536,0.00018899892,0.0002577258,0.0007731774000000001,0.0006013602,0.000859086,0.00012027204000000002,0.0008075408399999999,0.00161508168,0.00018899892,0.00022336236,0.0030068010000000004,0.0039517956,,0.01139148036,0.0019758978
Ningxia,0.0032082480000000003,0.0008983094400000002,0.00538985664,0.002887423200000001,0.00542193912,0.0004491547200000001,0.00205327872,0.08620562376,0.07119102312000003,0.005774846400000001,0.00134746416,0.0065769084,0.004202804879999999,0.00060956712,0.00824519736,0.09573412031999999,0.00028874232000000006,0.0008020620000000001,0.0024061860000000003,0.00134746416,0.0009624744,0.00067373208,0.0012832992000000002,0.0012832992000000002,0.0006416496000000001,0.00105872184,0.0013153816800000001,,0.004619877120000001,0.00025665984,0.003272412960000001
Xinjiang,0.0020034086399999995,0.00083036016,0.00482399712,0.0033609815999999996,0.001318032,0.0010939665600000002,0.0011335075199999998,0.006801045120000001,0.00628701264,0.004955800319999999,0.0010939665600000002,0.01332530352,0.01170412416,0.00040858991999999996,0.00365094864,0.04273059744000001,0.0003558686400000001,0.00040858991999999996,0.0029787523200000003,0.001977048,0.00051403248,0.0008962617600000002,0.00129167136,0.0034664241600000003,0.00028996703999999997,0.00135757296,,0.00167390064,0.0038881944,0.00022406544,0.006774684479999999
Taiwan,,6.468335999999999e-05,3.2341679999999994e-05,0.00022639176,,,0.0001617084,,,0.0026885325599999995,3.2341679999999994e-05,0.0026238492,0.00012936671999999998,,0.0011006604,,3.2341679999999994e-05,,0.0017495805599999994,0.0007449019199999999,0.00025873343999999995,,0.00022639176,0.00012936671999999998,3.2341679999999994e-05,,,,,,
Hong Kong,,,6.255144000000001e-05,9.382716e-05,6.255144000000001e-05,0.00012957084,0.00012957084,,,0.000223398,0.00016084655999999998,0.03625302744,0.00025914168,,0.00038871252,3.1275720000000004e-05,9.382716e-05,3.1275720000000004e-05,0.0009695473199999999,0.0013895355599999998,0.00038871252,0.0005808348000000001,9.382716e-05,3.1275720000000004e-05,3.1275720000000004e-05,0.00045126395999999994,,3.1275720000000004e-05,,,0.00048253968
Macau,0.000258552,6.350400000000002e-05,0.000190512,0.00012700800000000004,0.000190512,,,9.5256e-05,9.5256e-05,0.00022680000000000004,0.000580608,0.039041352,0.00015876,,0.000290304,,3.175200000000001e-05,,0.0006441120000000001,0.0006441120000000001,0.000417312,0.000258552,6.350400000000002e-05,0.00012700800000000004,,0.000290304,,,,,9.5256e-05
