,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Shaanxi,Anhui,Hubei,Heilongjiang,Hainan,Jilin,Hunan,Sichuan,Fujian,Yunnan,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.4273110332799996,0.46716345648,0.39142359648,0.32537843856,0.23509652544,0.20843609472,0.20237690592,0.1757164752,0.17208096192000003,0.16178034096,0.136331748,0.11633642496,0.10785356064000001,0.10118845296,0.0969470208,0.0939174264,0.07876945440000001,0.07755761664000001,0.07331618448,0.07028659007999999,0.05938005024,0.05271494256,0.049685348160000004,0.041202483840000005,0.03999064608,0.033325538400000014,0.020601241920000003,0.01878348528,0.00969470208,0.0030295944,
Tianjin,1.2479265874799998,,0.22843077948,0.11087016912,0.04492153404,0.08219684951999999,0.06531145019999998,0.03408939108,0.07040892923999999,0.05384212236,0.0382310928,0.033133613759999986,0.04014264744,0.027398949839999995,0.03950546256,0.01975273128,0.029947689359999995,0.02038991616,0.02644317252,0.02038991616,0.021027101040000003,0.01847836152,0.014655252239999996,0.03217783644,0.01943413884,0.01847836152,0.010832142959999999,0.00700903368,0.0054160714799999995,0.00191155464,0.7977554697600001
Hebei,,1.24807820004,0.9438063137999999,0.42635628504,0.0986066298,0.4883375952,0.18406570896,0.052590202560000014,0.24041235456,0.23102124695999998,0.09203285448,0.117388845,0.08451996839999999,0.0798244146,0.06573775319999997,0.042259984199999996,0.05352931332,0.04507731648,0.04977287028,0.032868876599999985,0.03474709812,0.03099065508,0.03099065508,0.023477769,0.02911243356,0.021599547480000002,0.010330218359999999,0.01502577216,0.006573775320000001,0.00093911076,4.598825391719999
Shanxi,0.4125323196,0.049469907600000015,0.10806945480000002,0.3288793428000001,0.04458661200000001,,0.0717632136,0.023991843600000003,0.019745499600000004,0.1675182708,0.028875139200000007,0.3479878908000001,0.029087456400000006,0.031210628400000006,0.0089173224,0.02335489200000001,0.005520247200000001,0.021231720000000003,0.03715551000000001,0.0176223276,0.015499155600000003,0.0097665912,0.0165607416,0.01592379,0.008492688000000002,0.0104035428,0.0065818332000000005,0.0101912256,0.0038217096000000006,0.0006369516000000001,0.2435278284000001
Inner Mongolia,0.24058433376,0.03447341856,0.049065341759999985,0.033561423359999995,0.02170548576,0.16215274656,0.02279988,0.015321519359999997,0.2252628144,,0.014227125119999998,0.24368511744,0.010396745279999998,0.00930235104,0.11326980384,0.01349752896,0.14117685696,0.006566365439999999,0.00930235104,0.006566365439999999,0.0060191683200000005,0.00401277888,0.00510717312,0.04669415424,0.00328318272,0.00328318272,0.005471971199999999,0.15978155903999994,0.00346558176,0.00036479808,0.21085329024
Liaoning,0.24682123008,0.06635179152000001,0.12694194288,0.04999616784,0.06114772944,0.023975857439999998,0.07025483807999999,0.044792105760000006,,0.22619084111999999,0.048137574239999995,0.024719294880000003,0.021002107680000003,0.01821421728,0.1431117072,0.034755700320000006,0.31986395856,0.016913201760000003,0.0148687488,0.019329373440000002,0.01449703008,0.011151561599999998,0.00985054608,0.005204062080000001,0.01152328032,0.007620233759999998,0.00408890592,0.00204445296,0.00111515616,0.00055757808,0.20890592064
Jilin,0.047600485920000005,0.02064191688,0.05346594864,0.018498767040000003,0.03429039744,0.007783017840000001,0.031921652880000005,0.02346185088,0.33376738824,0.12373870392,0.0236874456,0.010602951840000001,0.01003896504,0.00981337032,0.22356436752000006,0.02075471424,,0.008910991440000002,0.0059782600800000005,0.0095877756,0.0073318284,0.00417350232,0.00428629968,0.0030455287199999998,0.0059782600800000005,0.0037223128799999993,0.0015791630400000002,0.0024815419199999997,0.0007895815200000001,0.00045118944,0.07376947344
Heilongjiang,0.06478508952,0.029395369800000005,0.07262385480000001,0.027205126560000004,0.048761731080000016,0.013372011360000002,0.03884799852000001,0.029280093840000007,0.15251009508000002,0.11078019756000003,0.02662874676,0.013372011360000002,0.013372011360000002,0.012680355600000005,,0.031355061120000007,0.26213753304000004,0.01406366712,0.013256735400000002,0.011527596000000005,0.013717839240000002,0.008415145080000002,0.007262385480000001,0.005533246080000001,0.01002900852,0.009106800840000002,0.004380486480000001,0.0023055192000000003,0.0019596913200000004,0.0018444153600000004,0.09982898136
Shanghai,0.04637095128,0.027934308,0.15196263552,0.14637577392,0.21285942696,0.02737562184,2.3381015796,,0.03575591424,0.01340846784,1.21290765336,0.049164382080000006,0.446948928,0.0921832164,0.02737562184,0.044694892800000004,0.022347446400000002,0.06592496687999999,0.049164382080000006,0.09162453024,0.05251649903999999,0.11676540743999997,0.0474883236,0.01787795712,0.0335211696,0.029051680319999995,0.0083802924,0.005028175439999999,0.00391080312,0.00111737232,0.15531475247999998
Jiangsu,0.13867918632,0.05627561184000001,0.9014147110799999,0.4481950514400001,0.25123041,0.06732974988000001,,3.2740347031200003,0.062305141679999995,0.023113197720000003,1.3968410796,0.1055167722,2.0349663209999997,0.18390066012000003,0.03617717903999999,0.03919194396,0.033162414120000004,0.100492164,0.07034451480000001,0.11657091024,0.06833467152000001,0.16279730568000006,0.06732974988000001,0.03617717903999999,0.044216552160000006,0.05929037676,0.014068902960000004,0.009044294759999998,0.00703445148,0.00200984328,0.21907291752
Zhejiang,0.076633695,0.028201199760000004,0.18024245064,0.28936883232,0.27404209332,0.03433189536,1.2144907983600002,1.30829044104,0.039236451840000006,0.01655287812,,0.06682458204,0.67008502908,0.18576007667999997,0.02574892152,0.0429148692,0.023909712840000003,0.16491571164000002,0.08950815576,0.28569041495999997,0.09747806004,0.4739027698800001,0.08644280796,0.022070504159999997,0.053950121280000006,0.21886583292,0.0091960434,0.006743765160000001,0.00367841736,0.0012261391200000002,0.12813153804000002
Anhui,0.05881815324,0.022360620240000004,0.18277376544,0.4656842215200001,0.109372599,0.01993011804,2.09946780036,0.52839117828,0.014583013200000003,0.008749807920000002,0.6669298036800002,0.035485332120000004,,0.14388573024,0.0097220088,0.017499615840000003,0.006805406160000002,0.04763784312,0.023332821119999996,0.05492934972,0.02284672068,0.13513592232000002,0.017013515400000002,0.00923590836,0.018471816720000003,0.016041314520000002,0.0048610044000000005,0.003402703080000001,0.0014583013199999998,0.0009722008800000002,0.10596989592000003
Fujian,0.026690005440000004,0.013345002720000002,0.05161376052,0.0657437634,0.45667384308,0.01589625324,0.11048877252,0.09891002016,0.019625003999999998,0.0068687514,0.27376880579999996,0.0304187562,0.056716261560000016,0.06103376244,0.00961625196,0.020606254200000004,0.00961625196,0.07065001440000003,0.047100009600000006,,0.039053757960000005,0.23471504784000005,0.044548759080000014,0.00922375188,0.041212508400000014,0.06751001376,0.00510250104,0.00372875076,0.0021587504400000005,0.0007850001600000001,0.06338876292000001
Jiangxi,0.02173589964,0.00644911308,0.03678383016,0.048487776119999985,0.57229907184,0.0071656811999999985,0.11990573207999998,0.12492170892000001,0.0071656811999999985,0.00310512852,0.38503593648,0.01624221072,0.11512861128,0.18057516624,0.007404537239999998,0.02197475568,0.0035828406,0.31433454864,0.016003354679999998,0.21592586015999995,0.0226913238,,0.017914202999999997,0.006687969120000001,0.033200989560000005,0.0286627248,0.00167199228,0.00095542416,0.0011942802,0.0007165681199999997,0.04633807176
Shandong,0.84050780112,0.21603845015999992,,0.7029310766399999,0.14402563344,0.12790336103999994,1.0146283430399998,0.19346726879999998,0.14241340619999998,0.057502771560000006,0.22732404084000002,0.11016886139999996,0.25419449484,0.10694440692,0.09619622531999998,0.04191790824,0.07147540763999999,0.06932577132000001,0.08168618016,0.05965240788,0.048366817199999995,0.05804018064,0.04997904444,0.024183408599999998,0.042992726399999986,0.031707135719999995,0.0161222724,0.01182299976,0.00859854528,0.0016122272399999994,0.51107603508
Henan,0.35947736495999993,0.06514338491999999,0.61291841724,,0.2591470422,0.2981379733199999,0.44316521712,0.15834122028,0.03899093111999999,0.02662795296,0.27959350607999994,0.26200003716,0.5282795667599999,0.4369837280399999,0.014740473959999997,0.04802541516,0.015691472279999997,0.10984030595999998,0.06847187903999999,0.07227587231999999,0.04707441683999999,0.07227587231999999,0.04422142188,0.033284941199999994,0.041368426919999986,0.0380399328,0.02662795296,0.012838477320000001,0.00998548236,0.00380399328,0.3185844372
Hubei,0.04929436764,0.013823288279999998,0.06833399111999999,0.38287900368,0.31480582931999995,0.0221694246,0.15075208728,0.09545893416000001,0.01538818884,0.006520419,0.13588553195999997,0.09076423247999997,0.14240595096,,0.007563686039999998,0.02816821008,0.0062596022399999994,0.39487657464000003,0.03990496428,0.056858053679999986,0.03860088048,0.19900318788,0.13484226491999998,0.013823288279999998,0.0417306816,0.03338454528,0.00834613632,0.00417306816,0.0033906178799999994,0.00104326704,0.1017185364
Hunan,0.03140957735999999,0.012029199839999996,0.04878508823999999,0.09623359871999998,1.21762233936,0.01470235536,0.09456287652,0.06716303243999998,0.012697488719999995,0.0073511776799999986,0.12764317607999998,0.031743721799999985,0.052794821519999986,0.4176805499999999,0.008687755439999998,0.03775832171999999,0.0073511776799999986,,0.03809246615999999,0.06482402136,0.05647041035999999,0.32779569563999994,0.07117276571999999,0.008687755439999998,0.21919875263999994,0.17375510879999995,0.005680455479999999,0.00267315552,0.00300729996,0.0013365777599999998,0.07685322119999999
Guangdong,0.08116244711999998,0.030602234159999995,0.12507000047999994,0.26278005419999995,,0.038585425679999986,0.22485989447999996,0.19558819224,0.052556010839999986,0.017962180919999998,0.24149154348,0.09978989399999998,0.11376047915999997,0.33662457575999993,0.0432422874,0.19226186244000001,0.031932766079999994,0.99656840808,0.18161760708,0.4490545229999999,0.17762601131999994,0.6060572895599999,0.14835430907999994,0.023284308599999998,1.3012602177599997,0.24681367116,0.017296914959999996,0.009313723440000001,0.006652659599999999,0.00266106384,0.20091031992
Guangxi,0.02317985748,0.00517608468,0.03443221548,0.03623259276,1.25396277552,0.00720150912,0.036457639920000014,0.02655556488,0.01215254664,0.0031506602400000003,0.04478438484,0.0180037728,0.02092938588,0.03870811152,0.00922693356,0.039608300160000005,0.0047259903600000005,0.20231739684,0.02948117796,0.04005839448,0.10329664644,0.03803297004,0.0258804234,0.00517608468,,0.14538046536000002,0.0024755187600000003,0.00180037728,0.00090018864,0.00045009432,0.035782498440000005
Hainan,0.035363180880000004,0.015545254319999998,0.03390865416,0.04054493232,0.18517943304,0.02427241464,0.0345450096,0.03518136504,0.02399969088,0.01127258208,0.03072687696,0.025817849280000003,0.01563616224,0.0231815196,0.02054518992,,0.015908886,0.03790860264,0.042635814480000006,0.01972701864,0.01663614936,0.020454282,0.0290905344,0.007363541520000002,0.038817681839999986,0.02027246616,0.0054544752,0.00390904056,0.00263632968,9.090792e-05,0.09054428832
Chongqing,0.0219079728,0.00668769696,0.03090177216,0.03851191008,0.13329271872,0.01591210656,0.05373218592,0.043354725119999986,0.00945501984,0.0046122048,0.06410964672,0.05004242208,0.0242140752,0.15058848672,0.004842815039999999,0.03205482336,0.0034591536,0.0737952768,1.0043075952,0.03366909504,0.08278907616,0.02052431136,,0.01199173248,0.03389970528,0.28411181568000005,0.008071358399999999,0.0036897638399999997,0.0034591536,0.005534645759999999,0.04935059136
Sichuan,0.02773147104,0.00719951652,0.031731202439999995,0.05652953712,0.1506565494,0.01786546692,0.05466299579999999,0.04559693796,0.008799409079999999,0.007466165280000002,0.061595863560000005,0.13759076016,0.019998657,0.04426369416,0.006932867759999999,0.0439970454,0.00479967768,0.03786412392,,0.03386439252,0.42023844576,0.015465628079999997,0.95513585832,0.06959532635999999,0.03279779748,0.2439836154,0.010132652879999999,0.00479967768,0.02186519832,0.0279981198,0.05946267347999999
Guizhou,0.011861866799999995,0.0025418286,0.015759337319999997,0.02660447268,0.190637145,0.004236381,0.034907779439999995,0.021351360240000002,0.00474474672,0.003558560039999999,0.07794941039999999,0.018809531640000002,0.01152295632,0.02762120412,0.00237237336,0.01897898688,0.00271128384,0.17233597907999998,0.22046126724,0.040330347119999985,0.3253540608,0.02643501744,0.23689842552,0.00372801528,0.15827119416,,0.00101673144,0.00118618668,0.0006778209599999999,0.00118618668,0.02728229364
Yunnan,0.024002568,0.008000855999999999,0.02736292752,0.041124399839999985,0.14913595584,0.012001284,0.04144443408,0.04064434848,0.012481335359999998,0.004960530719999999,0.05680607759999999,0.03056326992,0.01952208864,0.03136335552,0.008000855999999999,0.016641780480000003,0.004640496479999999,0.05568595776,0.3781204545599999,0.0272029104,,0.020642208480000004,0.07104760128,0.008000855999999999,0.11921275439999998,0.328035096,0.00368039376,0.0020802225600000004,0.00192020544,0.004640496479999999,0.048165153119999984
Tibet,0.0024619496399999998,0.00060387444,0.003096792,0.0062400358800000005,0.0035613108,0.001161297,0.00320517972,0.0025238854800000003,0.00106839324,0.00024774336,0.0014864601599999998,0.00864004968,0.0017806553999999996,0.00326711556,0.0005419385999999999,0.00041806692000000004,0.0003096792,0.002709693,0.0494712522,0.001161297,0.0091355364,0.0005419385999999999,0.010327801319999998,0.007633592279999999,0.00109936116,0.00099097344,0.00109936116,0.00021677544000000006,0.026554991400000002,,0.00306582408
Shaanxi,0.08172423071999999,0.016942828320000002,0.08122591223999999,0.27806171184,0.09542798892000001,0.32614944516,0.09891621828,0.04584530016,0.02043105768,0.21103787628000004,0.05954905836,,0.0423570708,0.09767042207999999,0.01046468808,0.02815499412,0.00896973264,0.032390701200000004,0.16170434675999998,0.0274075164,0.034633134360000005,0.019683579960000003,0.04883521103999999,0.33487001856,0.02018189844,0.016942828320000002,0.02890247184,0.10489604004000001,0.03164322348,0.006727299480000001,0.11560988736
