,Hebei,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Tianjin,Heilongjiang,Anhui,Jiangsu,Jilin,Shaanxi,Sichuan,Hubei,Hunan,Gansu,Guangdong,Jiangxi,Zhejiang,Fujian,Hainan,Chongqing,Shanghai,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,9.53230869864,2.31013803384,1.9849012092,1.5568321532399996,1.0044078408,0.7891775891999999,0.7843946947199998,0.70069404132,0.63612496584,0.5261183928000001,0.478289448,0.46872365904,0.3826315584,0.3348026135999999,0.30132235224,0.26305919640000003,0.26305919640000003,0.2511019602,0.239144724,0.1913157792,0.16500985955999994,0.13392104544000002,0.12913815096,0.11478946751999998,0.09804933683999996,0.07413486443999999,0.059786181,0.05261183928,0.016740130680000003,0.00239144724,
Tianjin,2.7830331475200003,1.1568106821600002,0.35688156120000003,0.29707978608,0.23020468272000005,0.15754231080000006,,0.16783078824,0.14468171400000002,0.09902659536,0.14082353496000002,0.07137631224000003,0.059158745280000015,0.05401450656,0.033437551680000004,0.07266237192000001,0.040510879920000006,0.030865432319999997,0.040510879920000006,0.03665270088,0.0192908952,0.019933925039999998,0.021863014560000005,0.017361805680000002,0.012860596800000002,0.010931507280000002,0.010931507280000002,0.009002417760000003,0.0032151492000000005,,0.3202288603200001
Hebei,,1.06698497724,0.65088250812,0.4442760738000001,0.40743366768,0.3178560528,0.9066121506,0.17843282964,0.17554322915999998,0.16759682784000002,0.12136322016,0.1372560228,0.11702881944,0.09824641632000002,0.06140401020000001,0.046956007800000005,0.06935041151999999,0.042621607080000005,0.07079521176,0.04551120756,0.0866880144,0.0433440072,0.03684240612,0.038287206360000006,0.04406640732,0.01661520276,0.01155840192,0.00650160108,0.005056800840000001,,1.7937194979599997
Shanxi,0.63291414528,0.14863011408,0.5663069121600001,,0.034321631039999995,0.21901854384,0.03606679872,0.01832426064,0.0741696264,0.09307560960000001,0.0130887576,0.35979540335999993,0.10063800288,0.055263643200000004,0.034321631039999995,0.027922682879999997,0.051482446560000006,0.0189059832,0.05002814016,0.03693938256,0.06049914624,0.03403076976,0.028795266719999994,0.022978041119999997,0.016869954240000002,0.011634451200000001,0.0101801448,0.0043629192,0.0043629192,0.0008725838399999997,0.13554135648
Inner Mongolia,0.39322127807999996,0.11755184292,0.07136018676,0.34851012372,0.37841626008,,0.032274939239999995,0.27922263948000003,0.0266490324,0.03671644464,0.23006997972,0.35413603056000004,0.032867139960000014,0.015101118360000004,0.01391671692,0.13087635912,0.031682738519999996,0.01125181368,0.024280229520000002,0.017173820880000003,0.034939842480000004,0.012436215120000002,0.01865432268,0.012732315479999999,0.00947521152,0.00384930468,0.17233040952,0.00473760576,0.00562590684,0.0008883010800000001,0.13531786452000005
Liaoning,0.38399554008000003,0.33909628427999994,0.12101418468,0.06029328635999999,,0.5811246536399999,0.057300002639999986,0.8094694402799999,0.06970074947999999,0.09535746707999998,1.047649302,0.04404403188,0.055161942839999985,0.024801493679999998,0.024373881719999997,0.01453880664,0.0705559734,0.01881492624,0.05815522656,0.042761196,0.04361641992,0.01967015016,0.06499701792,0.020097762119999998,0.01838731428,0.008552239199999999,0.00470373156,0.005558955479999999,0.0021380598,0.00042761196,0.15693358931999996
Jilin,0.10198367856000001,0.10262914487999997,0.0333490932,0.01699727976,0.6211537552799999,0.22655867832,0.02818536264,0.6048019418399999,0.02022461136,0.03679158024,,0.012263860079999998,0.01742759064,0.012479015519999996,0.010757772,0.004303108799999999,0.04884028488,0.008606217599999999,0.03313393776,0.017642746079999997,0.043676554319999984,0.00623950776,0.03829766832,0.007530440399999999,0.008175906719999999,0.00279702072,0.0015060880800000002,0.0017212435199999998,0.00021515543999999997,0.00021515543999999997,0.0774559584
Heilongjiang,0.11874376116,0.13788270360000002,0.02901710628,0.01419986052,0.34635311963999993,0.25786123524,0.041982196320000005,,0.02181427848,0.05103717984,0.54041788008,0.01996212276,0.02119689324,0.01584622116,0.01152452448,0.0032927212800000004,0.06935294196000001,0.01090713924,0.03766049964,0.02016791784,0.06626601575999999,0.008437598279999998,0.04609809792,0.01152452448,0.01152452448,0.00493908192,0.0016463606400000002,0.0018521557199999998,0.0006173852399999999,0.00020579508000000002,0.13047408072
Shanghai,0.19826588052000002,0.9226234044,1.64109184272,0.19433982348,0.16096833864,0.04514965596,0.049075713,0.10992959712,4.45803776892,5.364956945159999,0.09029931192,0.27875004984,0.42597718884,0.5555370711600001,0.41812507475999994,0.15311622455999999,0.28071307836,0.9795512314799999,1.84328378028,0.48683107296,0.060853884119999986,0.21200708016,,0.13152291084,0.10992959712,0.14722713899999998,0.01570422816,0.027482399280000003,0.00785211408,,0.15900531012000002
Jiangsu,0.34954156799999997,2.0273410944,2.6739929952000003,0.36483401159999995,0.1376319924,0.048061965600000006,0.050246600400000015,0.1179702792,8.548475972400002,,0.08520075720000002,0.5374201608000001,0.5548972392,0.7165602144,0.3997881684,0.2446790976000001,0.24686373239999998,0.7668068148000001,1.1840720616,0.3888649944000001,0.05680050480000001,0.22938665400000005,1.3173347844,0.17258614920000004,0.10486247039999999,0.20098640160000006,0.021846347999999998,0.024030982800000003,0.013107808799999999,,0.1813246884
Zhejiang,0.16900195104000001,0.5752566410400001,1.79077067352,0.11862636948,0.09587610684,0.03412539396,0.03412539396,0.10400120064,3.78304367328,1.5811432534799998,0.07312584420000001,0.26487805788,0.60613199748,0.7637588171999999,0.67113274788,0.13487655708,0.28112824548,2.18077517592,,0.6386323726800001,0.07150082544,0.34287895835999993,0.6662576915999999,0.27950322672,0.16737693228,0.59638188492,0.00975011256,0.01787520636,0.006500075040000001,0.0016250187600000002,0.13325153831999995
Anhui,0.12377521547999998,0.33220498248,1.40193067896,0.05066446643999999,0.02821818384,0.01026115776,0.02308760496,0.02372892732,,2.1266249457599997,0.016674381359999997,0.07888265028,0.08208926207999999,0.24562646388,0.12377521547999998,0.02437024968,0.13724298504000002,0.29949754212,0.5188297892399999,0.11351405772,0.018598348439999995,0.05707769004,0.32707440359999995,0.03912066396,0.03591405216,0.04360992048,0.0032066118,0.006413223599999999,0.0032066118,,0.10132893287999999
Fujian,0.05361471648,0.10929153744,0.30106725408,0.031447093319999994,0.03196261944,0.01082604852,0.01443473136,0.02216762316,0.26085621672,0.16084414944,0.01752788808,0.08403075755999999,0.43407299304,0.28560147048,0.28869462719999994,0.03454025004,0.43046431020000003,1.25221294548,0.38870669448,,0.02371420152,0.2397196458,0.07784444412000001,0.11496232476,0.09227917548,0.27013568688,0.00463973508,0.0072173656800000015,0.00206210448,0.00051552612,0.05876997768
Jiangxi,0.042287449679999985,0.07284812759999999,0.16595158823999998,0.0195446196,0.01492498224,0.00675177768,0.00675177768,0.01314819864,0.2984996448,0.14143197455999998,0.009239274720000001,0.03660174216,0.0835088292,0.4033298772,0.5412082845599999,0.01989997632,0.5696368221600001,,0.3518031528,0.32763889584,0.035180315279999985,0.055791005040000015,0.07782312168,0.04477494672,0.08599632623999999,0.0675177768,0.00248749704,0.00248749704,0.00142142688,0.00035535672,0.04299816312
Shandong,1.12701528576,,1.1547842922,0.18896470236,0.28446299280000004,0.09346641192,0.12394458972000001,0.27904465008,0.4300809534,1.10805108624,0.18219177395999997,0.1591638174,0.17135508851999998,0.12936293244000002,0.07721138375999999,0.07856596944000001,0.12123541836,0.09278911908,0.16322757444,0.10633497588000003,0.05147425584,0.06095635560000001,0.10972144008,0.067729284,0.04673320596,0.034541934839999996,0.016255028159999997,0.02167337088,0.00948209976,0.00067729284,0.26278962192
Henan,0.49005828144,0.8518888778399999,,0.3326302324800001,0.05205282264,0.027930782880000005,0.03999180276,0.034913478600000006,1.18261473876,0.37389161628,0.0222176682,0.3611958058800001,0.1967850612,0.5459198472,0.19107194651999998,0.06601821408,0.30279507804,0.11997540828,0.1967850612,0.11299271256,0.13267121867999998,0.0983925306,0.11489708412000002,0.07554007187999999,0.08315755812000003,0.047609289000000006,0.01206101988,0.033643897560000004,0.012695810400000002,0.0031739526000000005,0.21392440524000006
