,Hebei,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Tianjin,Heilongjiang,Anhui,Jiangsu,Jilin,Shaanxi,Sichuan,Hubei,Hunan,Gansu,Guangdong,Jiangxi,Zhejiang,Fujian,Hainan,Chongqing,Shanghai,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Hubei,0.11559418632000006,0.13485988404000002,1.1901229398,0.07457689440000001,0.028587809520000007,0.01615832712,0.014293904760000004,0.02796633540000001,0.41763060864,0.23802458796000006,0.017401275360000003,0.20322203724,0.25666881156,,1.0415906251200002,0.04412466252,0.49966519248,0.48661423596,0.18395633952000004,0.15599000412,0.055311196680000015,0.52017383844,0.08452048032000002,0.06960510144000001,0.11497271220000002,0.08638490267999999,0.004350318840000001,0.01491537888,0.0049717929600000006,0.00124294824,0.08887079916000001
Hunan,0.06168351852,0.07486375751999999,0.2398803498,0.03005094492,0.02003396328,0.012653029440000001,0.00896256252,0.013180239,0.12863913264000001,0.105441912,0.01212581988,0.06959166192,0.15394519152,0.91787184396,,0.02319722064,1.1461535834399998,0.65901195,0.1397105334,0.13549285692,0.07275491928,0.19981242324,0.04639444128,0.09173446344000001,0.4164955524,0.36957390156,0.00421767648,0.00948977208,0.0026360478,0.00052720956,0.08540794872000003
Guangdong,0.19349943228,0.28871343863999993,1.56028113648,0.11978536284000002,0.12592820196,0.039928454280000004,0.03685703472,0.10135684548,0.54364126212,0.30407053644000004,0.076785489,0.45457009488000005,1.7107806949200002,2.29435041132,6.6342662496,0.13514246064000002,,3.33556164216,0.32249905380000005,1.2162821457600002,0.39314170368,0.8323547007600001,0.14435671931999994,0.49449854916,7.2608358398399995,0.93064012668,0.01842851736,0.033785615160000004,0.009214258679999998,0.00307141956,0.19657085184
Guangxi,0.06562448280000001,0.0637387218,0.1248373782,0.021120523200000005,0.0199890666,0.007165891800000001,0.0101831094,0.013200327,0.06637878720000001,0.05657283,0.0109374138,0.0399781332,0.17877014280000006,0.1154085732,0.7546815522000001,0.0147089358,1.15031421,0.1557638586,0.0765618966,0.1040940072,0.0561956778,0.092402289,0.028286415,0.16783272899999999,,0.3096419562,0.004148674200000001,0.004525826399999999,0.001885761,0.0003771522,0.0418638942
Hainan,0.0478783872,0.03351487104000001,0.06583278240000001,0.02349033372000001,0.02349033372000001,0.013465796400000004,0.015261235920000003,0.02408881356,0.032018671440000014,0.042043208760000006,0.01556047584,0.032317911360000014,0.09725297400000002,0.047429527320000005,0.08677957680000001,0.011371116960000002,0.3973906137600001,0.05595786504000001,0.03935004948,0.0418935888,,0.0433897884,0.03411335088,0.019899454680000005,0.11116763027999998,0.032916391200000006,0.00389011896,0.012119216760000004,0.004039738920000001,0.00014961996000000002,0.08079477840000003
Chongqing,0.06522095375999999,0.061695496799999985,0.14366237111999994,0.05023776167999999,0.026440927200000002,0.01233909936,0.011457735119999998,0.015864556319999997,0.07403459616000001,0.09166188095999997,0.011457735119999998,0.15512010624000003,5.26086314856,0.43098711336,0.2379683448,0.07139050343999999,0.23620561632,0.08461096703999997,0.08196687432,0.08196687432,0.12162826511999998,,0.046712304719999986,0.30759611975999995,0.18861194735999998,0.8143805577599998,0.006169549680000001,0.02555956296,0.0088136424,0.010576370879999998,0.052881854400000004
Sichuan,0.12301513416,0.11341820880000003,0.2442853728,0.10731107447999999,0.047984626800000006,0.03140811936,0.02093874624,0.03140811936,0.11341820880000003,0.13871919384,0.02530098504,0.4536728352000001,,0.27133125335999997,0.2006629848,0.25911698472,0.34810665624000003,0.12301513416,0.12476002968,0.10382128344000001,0.1395916416,3.33187799544,0.07939274616,1.1114984462400002,0.20415277584,0.6796368050399999,0.02355608952,0.056709104400000016,0.04187749248,0.04536728352,0.09945904464
Guizhou,0.03302845308,0.03581958996,0.08745562223999999,0.01256011596,0.00976897908,0.005117084280000001,0.006047463239999999,0.0065126527200000004,0.05954425343999999,0.06559171668,0.006047463239999999,0.044658190079999986,0.9778282869600001,0.12327521220000001,0.6289361769599999,0.013025305440000004,0.24934156128,0.11257585415999999,0.1069935804,0.11304104364,0.08233853796,0.7629107471999999,0.02512023192,0.7280215362000001,0.3046991094,,0.0018607579199999998,0.0023259474,0.0009303789599999999,0.00046518947999999995,0.03442402152
Yunnan,0.04263435,0.046122614999999985,0.09999693,0.02635578,0.01705374,0.007364114999999998,0.010852380000000002,0.012790305,0.05271156,0.06511428,0.00930204,0.05891292,1.21546656,0.091082475,0.19534284,0.02015442,0.136042335,0.08759420999999999,0.08914454999999999,0.077517,0.016666155,0.30619215,0.027518535,,0.205807635,0.8891199900000001,0.00465102,0.005813775,0.00310068,0.007364114999999998,0.039921255
Tibet,0.0027151362,0.004783811400000001,0.01264477716,0.0020686752,0.0012153466799999998,0.0007757532000000001,0.00031030128,0.0005171688,0.0033615971999999997,0.00250826868,0.0005171688,0.015049612080000002,0.10669192344,0.0044993685600000005,0.0043959348,0.01541163024,0.00188766612,0.0020945336400000005,0.00196524144,0.0016290817199999998,0.00054302724,0.01427385888,0.0026375608799999997,0.012101749919999998,0.0009309038400000001,0.00287028684,0.0005947441200000001,0.0009309038400000001,0.03653797572,,0.00173251548
Shaanxi,0.18930113748,0.20475429156,0.8008045203599999,0.6479286746399999,0.0441518688,0.2373162948,0.021524036040000003,0.023731629480000002,0.15673913423999994,0.17715937355999994,0.02042023932,,0.5745261927599999,0.23345300628,0.08609614416000001,0.98348287752,0.12804041951999998,0.05850122616,0.09271892447999998,0.07229868516,0.05298224255999999,0.12859231788,0.055189835999999985,0.06346831139999999,0.03973668192,0.041944275360000005,0.16888089816,0.05298224255999999,0.0441518688,0.005518983599999999,0.09658221300000001
Gansu,0.04437669888,0.03952299744,0.10626139223999999,0.028255476239999997,0.007627245120000002,0.06812516664000001,0.008493977520000001,0.004333662,0.026695357920000003,0.05079051864000001,0.0024268507200000005,0.44827399728,0.17698675608000006,0.028602169200000006,0.01837472688,,0.03501598896,0.01161421416,0.029988941039999998,0.020801577600000003,0.02028153816,0.0355360284,0.01924145928,0.014561104319999999,0.01334767896,0.007280552159999999,0.18617411952,0.08216623152000002,0.15427836720000002,0.0036402760799999997,0.037096146720000014
Qinghai,0.016552291679999998,0.0192194856,0.04887240624,0.01427733216,0.00305942832,0.00533438784,0.00203961888,0.00149049072,0.01223771328,0.02023929504,0.0015689376,0.07546589856000001,0.08856652751999998,0.0121592664,0.00870760368,0.33449749632,0.01341441648,0.004471472159999999,0.00792313488,0.005491281599999999,0.005883515999999999,0.0129437352,0.004706812800000001,0.006197303520000001,0.004785259679999999,0.00141204384,0.01129635072,0.009335178719999998,,0.02227891392,0.0090213912
Ningxia,0.0372076416,0.025580253600000002,0.047323469160000006,0.02744063568,0.004534681320000001,0.14569117164,0.003255668640000001,0.0034882164000000003,0.01592952156,0.019417737959999997,0.00220920372,0.2406869316,0.026975540160000002,0.01069719696,0.005232324600000001,0.43695724103999994,0.01267385292,0.00488350296,0.01406913948,0.00627878952,0.00953445816,0.010232101440000002,0.005116050720000001,0.0065113372800000005,0.003255668640000001,0.0033719425200000003,,0.0067438850400000005,0.0081391716,0.00046509552,0.01639461708
Xinjiang,0.0473309568,0.05635342044,0.15663588516,0.022925932200000002,0.00946619136,0.0140513778,0.008578735919999999,0.006951734279999997,0.03505448988,0.05132450628,0.004881004919999999,0.11551711644000001,0.16565834879999994,0.028990211039999995,0.027363209399999998,0.46458292284,0.03638567304,0.01168482996,0.025884117,0.01745329032,0.017009562599999997,0.04378113504,0.01597419792,0.01227646692,0.006803825039999999,0.00650800656,0.02085520284,,0.017157471839999997,0.0004437277199999999,0.0281027556
Taiwan,0.00019407599999999998,0.00080735616,0.0005472943200000001,0.00019407599999999998,0.00090439416,3.1052160000000005e-05,0.00012809016,0.00019407599999999998,0.00045025632000000003,0.0035632353600000004,9.703799999999999e-05,0.00041920415999999996,0.001067418,0.00045025632000000003,0.00103636584,9.703799999999999e-05,0.007386532560000002,0.0005162421600000001,0.002037798,0.00612115704,0.0005162421600000001,0.00109847016,0.00395138736,0.00048519,0.0005822280000000001,0.00035321832,,,,,0.0015526079999999998
Hong Kong,0.0023957856,0.004631852159999999,0.00343395936,0.0008784547199999999,0.0017569094399999998,0.0004791571199999999,0.0015971904,0.0003992976,0.00271522368,0.008305390079999999,0.0007985952,0.0016770499199999995,0.00622904256,0.00431241408,0.012937242240000002,0.00031943807999999996,0.60980729472,0.005989463999999999,0.01189906848,0.05007191903999999,0.004711711679999999,0.00343395936,0.013017101759999998,0.0025555046399999997,0.00990258048,0.00295480224,0.00031943807999999996,0.00015971903999999998,,,0.01134005184
Macau,0.00222749352,0.00339427584,0.0031821335999999995,0.0016971379199999998,0.00111374676,0.00037124892,0.0007955333999999999,0.00074249784,0.0021744579599999995,0.00933425856,0.00047732004,0.0016441023599999998,0.0034473114000000003,0.003712489199999999,0.006682480559999999,,0.4187687817599999,0.004879271519999999,0.010182827519999998,0.01103139648,0.0025987424399999998,0.0016441023599999998,0.01288764108,0.00047732004,0.006894622800000001,0.00233356464,,0.00015910667999999994,,,0.005621769359999999
