,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Shanghai,Guangdong,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Chongqing,Jilin,Fujian,Jiangxi,Hainan,Yunnan,Gansu,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.6503160990400003,0.48922793423999994,0.34007307623999994,0.3082533732,0.25588344527999995,0.22804120512,0.22472665272,0.22074918984,0.22008627936,0.19091821824000002,0.16506470952,0.16108724664,0.14782903704000003,0.1126947816,0.11070605016,0.10341403488,0.09148164624,0.08286381,0.08021216808,0.07822343663999999,0.055684480319999986,0.05170701744,0.04640373359999999,0.0430891812,0.0430891812,0.03712298688,0.03579716592,0.023864777280000003,0.01259529912,0.003977462879999999,
Tianjin,1.21271208048,,0.21213157392,0.08187534432,0.07097635367999999,0.06034319208,0.08001454103999997,0.03615274944,0.03881103984,0.04465927872,0.03881103984,0.0279120492,0.02897536536,0.0252537588,0.029772852480000007,0.035089433280000006,0.0172788876,0.014088939119999998,0.02498792976,0.015949742399999998,0.00956984544,0.01036733256,0.00956984544,0.011696477759999999,0.009304016399999998,0.007974871199999999,0.008240700240000001,0.004784922719999999,0.00239246136,0.00026582904,0.4832771947199999
Hebei,,1.2715560306,0.97063473204,0.46201231979999996,0.19052897436,0.54460213272,0.27802511280000003,0.06132906900000001,0.09567334764,0.29110864752,0.10875688236000003,0.07195944096000001,0.12919990535999998,0.07523032464,0.08667841752000001,0.058058185320000004,0.052334138880000006,0.044156929680000005,0.04988097612,0.03434427864,0.0327088368,0.02780251128,0.026167069440000003,0.026167069440000003,0.031073394960000004,0.020443023,0.02126074392,0.017989860240000002,0.00735948828,0.0008177209200000001,3.0746306592000003
Shanxi,0.5303419984800001,0.06175396584,0.13861512504,0.40285848960000004,0.09037812168,,0.02491361712,0.043201272239999984,0.05274265752000001,0.20513978352,0.050357311200000004,0.04399638768,0.4895260725599999,0.03816554112,0.032069656079999995,0.008746269840000001,0.022793309280000004,0.02491361712,0.006625961999999999,0.0212030784,0.011396654640000002,0.01828765512,0.011396654640000002,0.02305834776,0.01219177008,0.011926731599999999,0.009806423759999999,0.01219177008,0.004505654160000001,0.0010601539199999999,0.24145005528000002
Inner Mongolia,0.31327517232,0.04570510212,0.06361966476,0.04386771108,0.034680755880000004,0.19016997264000002,0.29536060968,0.02158934472,0.0275608656,,0.028938908880000003,0.02664217008,0.26940746124000003,0.013091411159999998,0.0137804328,0.17386312716,0.00987597684,0.021359670840000004,0.14216813172,0.00987597684,0.006430868640000001,0.01056499848,0.008497933559999999,0.0792374886,0.006201194760000001,0.0091869552,0.00757923804,0.18764355996,0.005512173119999999,0.00022967388,0.22691779344
Liaoning,0.2901520116,0.08412159095999999,0.13652889227999998,0.053981769599999986,0.09356840063999998,0.03441337812,,0.06882675624,0.060954414839999985,0.27148331627999994,0.06117933888,0.035987846399999995,0.036437694480000005,0.02339210016,0.027440732879999995,0.18016415604000002,0.022492404,0.018893619359999995,0.38327056416,0.02226747996,0.012145898159999998,0.02451672036,0.01776899916,0.006747721199999999,0.013270518359999995,0.01034650584,0.01147112604,0.004723404839999999,0.0020243163600000003,0.00044984808,0.23527054584
Jilin,0.060086007360000006,0.029120630760000002,0.05217995376,0.01805215572,0.034127798040000004,0.008564891400000002,0.4173078625200001,0.0283300254,0.0322830522,0.138355938,0.02806649028,0.01304498844,0.01528503696,0.011463777720000002,0.00975079944,0.23968519164,0.010936707479999998,0.01172731284,,0.009091961640000002,0.0040847943599999995,0.02055573936,0.0052707024000000005,0.00250358364,0.00619307532,0.00210828096,0.0034259565600000003,0.00144944316,0.0006588378000000001,0.00013176756,0.10146102119999999
Heilongjiang,0.06885287064000001,0.034675001640000015,0.07146281700000001,0.017648208720000003,0.03952204488000001,0.00857553804,0.21177850464000006,0.032313621600000016,0.039273478560000005,0.14851837620000002,0.029082259439999997,0.016778226600000005,0.01441684656,0.013298298120000005,0.009569803320000002,,0.01416828024,0.008202688560000001,0.26646309504000004,0.010439785440000002,0.00459847692,0.03119507316,0.00720842328,0.0028585126800000004,0.007456989600000002,0.00459847692,0.0048470432400000004,0.0027342295200000004,0.0017399642400000007,0.00012428316000000005,0.11819328516000002
Shanghai,0.07229815703999999,0.04058843903999999,0.17630603207999998,0.19279508544,2.43974570292,0.04185682776,0.06532201908,,0.24162805116,0.020294219519999997,1.30200102108,0.12430209456,0.07800590628,0.1141549848,0.4534489674,0.02727035748,0.09449495964,0.07229815703999999,0.026001968759999997,0.1173259566,0.13888856483999998,0.03678327288,0.056443298039999985,0.0253677744,0.044393605199999985,0.02727035748,0.045027799559999984,0.0095129154,0.00570774924,0.00190258308,0.23845707936
Jiangsu,0.154373121,0.06263138052,0.8442004388400001,0.42606981396,,0.07762762656000001,0.06880630536,2.37558179916,0.24346846511999998,0.028228227839999998,1.39641514596,0.13055555375999997,0.11996996832,0.17554429188,1.6610547819600001,0.029110359960000002,0.12085210044000001,0.09085960836000001,0.022053303,0.11555930772,0.14819819616,0.029110359960000002,0.053810059319999985,0.03263888843999999,0.046753002360000004,0.024699699360000004,0.06792417324,0.01499624604,0.01058558544,0.0017642642399999999,0.23111861544
