,Hebei,Tianjin,Shandong,Henan,Jiangsu,Shanxi,Liaoning,Shanghai,Guangdong,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Chongqing,Jilin,Fujian,Jiangxi,Hainan,Yunnan,Gansu,Guangxi,Xinjiang,Guizhou,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08317463616000001,0.037242374400000014,0.17441845344,0.30228393888000005,1.3326562972800002,0.042828730560000014,0.050897911680000005,1.19920445568,0.28986981408,0.017379774720000005,,0.13158972287999998,0.08007110496000001,0.17752198464000002,0.66912132672,0.025448955840000002,0.16821139104000002,0.0962094672,0.020483305920000004,0.3426298444800001,0.41835600576,0.031656018240000014,0.08131251744000001,0.02606966208,0.05958779904,0.017379774720000005,0.15455585376000006,0.008069181120000001,0.008689887360000002,0.00186211872,0.14524526016
Anhui,0.07345389744,0.029095374959999993,0.20319065136,0.5132233353600001,1.78292641968,0.03052629504,0.0214638012,0.4340457575999999,0.12830583384000002,0.01097038728,0.7240455604799999,0.04340457576,0.05294404296,0.1478617416,,0.007154600399999998,0.06629929703999997,0.042450629039999986,0.00763157376,0.06152956343999999,0.14643082151999998,0.01764801432,0.025279588080000002,0.01335525408,0.0214638012,0.00763157376,0.025279588080000002,0.00524670696,0.00429276024,0.00095394672,0.11304268632000002
Fujian,0.033699693600000004,0.0147169548,0.0503362512,0.07251832799999999,0.120508398,0.0209023416,0.0200491848,0.1153894572,0.4274315568,0.0089581464,0.347661396,0.0699588576,0.0371123208,0.07934358240000003,0.06526649520000001,0.011730906,0.0784904256,0.0520425648,0.0076784112,,0.230352336,0.0215422092,0.0418046832,0.0134372196,0.043724286,0.0076784112,0.0590811084,0.003199338,0.002132892,0.0008531567999999999,0.06803925479999999
Jiangxi,0.027421347960000002,0.00948214836,0.03946623912,0.05817426156,0.13428772272,0.012044891159999998,0.00999469692,0.12480557435999999,0.5333067766799999,0.004100388480000001,0.42439020767999996,0.03357193068,0.030240365039999998,0.17785435032000002,0.13249380275999997,0.0051254856,0.33366911256,0.03639094776,0.0048692113200000005,0.23423469192000004,,0.019220571000000002,0.02588370228,0.0069194055599999995,0.03946623912,0.0051254856,0.02972781648,0.0012813714,0.00153764568,0.0005125485600000001,0.06176210148000001
Shandong,0.88565967,0.21964359816,,0.7009363674,0.9524637136799998,0.13613854356000002,0.12955935744000002,0.17105883912,0.13208981364,0.061237040039999996,0.23077760544,0.08249287211999999,0.12044971512,0.08957814948000001,0.23128369668000004,0.06933449988000001,0.06680404368000001,0.055163945160000005,0.039475116719999995,0.053645671439999994,0.05162130648,0.02479847076,0.0354263868,0.02581065324,0.0354263868,0.021761923319999998,0.02884720068,0.01568882844,0.01164009852,0.0020243649600000004,0.37248315264
Henan,0.42944422212,0.09592207272,0.6940568365199999,,0.49780248084,0.40739317092,0.0441021024,0.18853648776,0.31588130844,0.04079444472,0.38203446204,0.10308866436,0.32635555776,0.42172635420000004,0.5523788325600001,0.013781907,0.12458843928,0.06449932475999999,0.012679354440000002,0.08489654712000001,0.07828123176,0.036384234480000006,0.0385893396,0.052371246600000004,0.044653378680000015,0.045204654959999986,0.0441021024,0.0192946698,0.017640840959999998,0.0038589339600000007,0.32194534752
Hubei,0.06252054659999999,0.01715680116,0.0697903776,0.37628645256,0.1628442144,0.028206944280000004,0.01977394032,0.10294080696,0.36669027564,0.009596176920000001,0.17360356427999998,0.08781955847999999,0.10788429204000002,,0.15324803748,0.007269831,0.41641591968,0.17825625611999998,0.0058158648,0.06920879111999999,0.18785243304,0.026752978080000003,0.037221534720000005,0.016284421440000002,0.047690091359999985,0.00930538368,0.03983867388,0.00610665804,0.005234278320000001,0.0020355526800000003,0.10701191232000001
Hunan,0.041274288719999996,0.015395964840000002,0.04520517336,0.08844490440000002,0.10056513204,0.019654423200000003,0.01736140716,0.07927284024,1.0633042951200002,0.008844490440000002,0.15232177980000006,0.07075592352000001,0.040946715000000015,0.37965794148,0.05175664776000001,0.007206621840000002,,0.09434123136,0.005896326960000001,0.06911805492,0.3046435596000001,0.03799855152,0.04946363172000001,0.013102948800000002,0.22045711356000006,0.00949963788,0.18769974156000005,0.004913605800000001,0.00393088464,0.0022930160400000013,0.08189343000000003
Guangdong,0.07493676767999999,0.03330523007999999,0.10685427984,0.25048308456,0.24840150768,0.0451008324,0.05273328096,0.21370855968,,0.018734191919999997,0.2914207632,0.28656375047999993,0.11726216423999998,0.33097072391999993,0.11864988215999998,0.029142076319999995,0.98805515904,0.19705594464,0.02220348672,0.4378250037599999,0.5210880789600001,0.19011735504000002,0.15681212495999994,0.0277543584,1.4460020726399998,0.024978922560000002,0.225504162,0.00971402544,0.008326307519999998,0.004163153759999999,0.21023926488
Guangxi,0.02595135672,0.008324020080000001,0.026930653199999998,0.03696844212,0.0477407034,0.008813668319999999,0.012241206,0.03598914564,1.36391517252,0.00318271356,0.05092341696,0.057533668200000006,0.02276864316,0.042844220999999995,0.01640321604,0.006855075360000001,0.21152803967999997,0.038682210960000005,0.0029378894399999995,0.038192562719999996,0.0354994974,0.036233969760000005,0.1003778892,0.006365427119999999,,0.0029378894399999995,0.15962532623999998,0.00220341708,0.0017137688400000002,0.0007344723599999999,0.03770291448
Hainan,0.01435759668,0.006616404,0.014159104560000003,0.02540699136,0.02567164752,0.008998309440000001,0.008998309440000001,0.028119717,0.18598711644,0.00436682664,0.02520849924,0.032949691919999996,0.0155485494,0.01892291544,0.01138021488,0.013431300119999998,0.03361133232,0.02104016472,0.006219419759999999,0.0155485494,0.013166643960000002,,0.01402677648,0.003639022200000001,0.05312972411999999,0.002977381800000001,0.01859209524,0.00291121776,0.0015217729199999998,0.00019849212,0.033148184039999994
Chongqing,0.028956447000000007,0.012177945,0.032745141,0.048170538,0.068196492,0.019484712,0.013260429,0.058995378,0.156689559,0.008930493000000001,0.07793884799999999,1.127677707,0.07523263799999999,0.199718298,0.031121415,0.005141799,0.098506044,,0.005683041,0.044381844000000004,0.02435589,0.026250237000000003,0.08768120400000001,0.019214091000000003,0.039781287,0.015425397,0.294435648,0.005953661999999999,0.0067655250000000005,0.009471734999999998,0.05926599900000001
Sichuan,0.05856613632,0.025672826880000003,0.05976955008,0.09105830784000002,0.11873682432000003,0.037305826560000005,0.030085344,0.09908106624000003,0.26073964800000005,0.01965575808,0.1223470656,,0.27116923392,0.09266285952,0.040113792,0.01283641344,0.080227584,1.1717238643200003,0.008825034240000001,0.06578661888,0.033294447360000014,0.03971265408,0.4709359180800001,0.11392316928,0.07019913600000001,0.03971265408,0.3201080601600001,0.010830723840000002,0.03770696448,0.06337979135999999,0.13879372032
Guizhou,0.017029274759999997,0.006466813199999999,0.02004712092,0.036214153919999985,0.05238118692,0.00840685716,0.006466813199999999,0.03858531876,0.24961898951999995,0.0032334066,0.16576597835999998,0.2890665500399999,0.023927208840000002,0.035351912159999985,0.01961600004,0.00237116484,0.20672246196,0.28324641816,0.00194004396,0.0582013188,0.031471824239999995,0.02090936268,0.34338778091999994,0.0071134945199999985,0.17977740695999994,0.0030178461600000005,,0.0025867252799999995,0.0021556044,0.0012933626399999998,0.0355674726
Yunnan,0.02083874688,0.007705082879999999,0.02136409344,0.03257148672,0.05148396288,0.01103227776,0.01068204672,0.046580728319999994,0.1611062784,0.005253465600000001,0.07197247872000001,0.45337408128,0.03397241088,0.030119869439999995,0.017511552,0.006829505279999999,0.061815778559999986,0.09911538432,0.0033271948800000003,0.031871024639999995,0.02241478656,0.015410165759999999,,0.007354851839999998,0.12047947775999998,0.004903234560000001,0.34340153472,0.0024516172800000003,0.0017511552,0.00805531392,0.04377888
Tibet,0.0028507788,0.0007383311999999999,0.0027482328000000005,0.0051683184,0.0039992940000000005,0.0009844416,0.0013741164000000002,0.0026456868,0.0058451219999999995,0.00028712880000000005,0.0026867052,0.07377159239999999,0.0094137228,0.0023790672,0.001640736,0.0011280060000000002,0.0027687420000000003,0.0134130168,0.00051273,0.0010869876,0.0008408771999999999,0.0003486564,0.014438476799999999,0.006542434799999999,0.0014151348,0.004204385999999999,0.0011895336,0.000307638,0.036629431199999986,,0.0033635088
Shaanxi,0.08976553164,0.02429298216,0.0829516464,0.28233185364,0.1214649108,0.4269047230800001,0.02873682036,0.06013994364,0.10872590796,0.24974370684,0.07524899352000002,0.24381858924000002,,0.11079969912,0.052141034880000006,0.01125772344,0.047104684919999994,0.0725826906,0.00948018816,0.029921843880000003,0.02162667924,0.02162667924,0.03436568208,0.35521080011999995,0.02133042336,0.04384587024,0.028144308599999997,0.1288713078,0.034661937959999986,0.00622137348,0.13450016952000002
Gansu,0.021478799159999996,0.01110468528,0.02074822776,0.04471096968,0.04208091264,0.0160725708,0.00628291404,0.02761559892,0.0409119984,0.06326748323999999,0.0284922846,0.11659919544,0.40707438408,0.01841039928,0.01256582808,0.00204559992,0.014173085159999998,0.024547199040000002,0.00204559992,0.011543028120000002,0.00774405684,0.00540622836,0.008474628239999999,,0.008474628239999999,0.07554108275999999,0.00774405684,0.16613193635999998,0.19710816372,0.00467565696,0.04544154108
Qinghai,0.007022541239999999,0.00206256456,0.008495801639999998,0.018513972359999995,0.013112017559999998,0.0043706725200000004,0.00206256456,0.0060894763199999995,0.01227717,0.00373225968,0.007120758599999998,0.04591661579999999,0.03580022772,0.005009085359999999,0.004468889879999999,0.0007366301999999999,0.0063841284,0.009772627320000001,0.0006875215200000001,0.0027991947599999988,0.00250454268,0.00206256456,0.0034867162799999997,0.20910475943999995,0.0014732603999999998,0.02401414452,0.0034867162799999997,0.012375387359999998,,0.02195157996,0.013308452279999996
Ningxia,0.015457916880000004,0.0044877823200000005,0.011896184879999999,0.01859224104,0.015101743680000003,0.012679765919999999,0.0028493856,0.0103290228,0.014246928,0.16768634255999998,0.01047149208,0.015814090080000003,0.13399235784000002,0.007978279680000002,0.009331737840000002,0.00313432416,0.00911803392,0.01040025744,0.00163839672,0.0067672908,0.0024932124,0.00491519016,0.005627536560000001,0.1677575772,0.00377543592,0.00883309536,0.003561732,,0.01011531888,0.0008548156800000002,0.02122792272
Xinjiang,0.02219980608,0.0078423228,0.01574497116,0.046390355640000006,0.02039003928,0.009893391839999998,0.005972230439999999,0.0229237128,0.02726715312,0.012366739799999998,0.01924385364,0.04988923812,0.056464724159999986,0.01073794968,0.009350461800000001,0.0033782313600000005,0.012849344280000001,0.01942483032,0.0048260448,0.00585157932,0.0037401847200000003,0.007178741640000001,0.008566229520000001,0.11419628508,0.00446409144,,0.0026543246399999996,0.009471112920000002,0.032575802400000006,0.00277497576,0.033601336919999995
Taiwan,6.427512000000001e-05,,3.1842720000000014e-05,3.1842720000000014e-05,0.00012913992000000002,3.1842720000000014e-05,0.00016157232,0.0016198509600000002,0.00019400471999999998,6.427512000000001e-05,0.00019400471999999998,3.1842720000000014e-05,,,3.1842720000000014e-05,,3.1842720000000014e-05,,6.427512000000001e-05,0.0024619140000000004,3.1842720000000014e-05,,,6.427512000000001e-05,6.427512000000001e-05,6.427512000000001e-05,3.1842720000000014e-05,,,,0.00016157232
Hong Kong,3.0598559999999986e-05,,,,,,,0.0005176256399999999,0.02404026864,,3.0598559999999986e-05,3.0598559999999986e-05,,6.3747e-05,3.0598559999999986e-05,,9.689544e-05,3.0598559999999986e-05,,3.0598559999999986e-05,3.0598559999999986e-05,,,,3.0598559999999986e-05,,,,,,0.00016064244
Macau,0.00129031056,0.0005669546400000001,0.0008015565599999999,0.0008602070399999999,0.00222871824,0.0005669546400000001,0.00064515528,0.00291297384,0.17006684183999998,0.00031280256000000003,0.00238511952,0.00105570864,0.00025415208,0.0016031131199999995,0.00044965367999999994,0.00027370224000000003,0.0014076115200000001,0.00037145303999999994,0.00017595144000000001,0.00129031056,0.0008993073599999999,0.0006647054400000001,0.00031280256000000003,1.955016e-05,0.00183771504,1.955016e-05,0.00046920384,0.00015640128000000002,1.955016e-05,,0.00125121024
