,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Hainan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.09156833892,0.037967360039999995,0.22780416024000005,0.3238392474,0.3119279187600001,0.041689650240000015,1.55815067772,1.82168882388,0.05881218516000001,0.020844825120000004,,0.13623582132,0.07295688792,0.7809364839600001,0.19207017432,0.029033863560000005,0.167503059,0.04243410828,0.022333741200000003,0.37148456196,0.08784604872000001,0.09156833892,0.5121871315200001,0.055834352999999996,0.026056031400000002,0.15484727232,0.0074445804,0.011166870600000002,0.0074445804,0.0014889160800000002,0.16526968488000002
Anhui,0.08441399124000001,0.030808026,0.2526258132,0.56008991268,0.14233308012,0.030808026,2.5009955506800003,0.7215239689200001,0.02279793924,0.01109088936,0.8718671358000002,0.046828199519999995,0.05175748368,,0.18916127964,0.01109088936,0.06654533616000001,0.01971713664,0.0092424078,0.07455542292,0.03265650756,0.024030260280000004,0.18053503236000004,0.023414099759999998,0.01417169196,0.023414099759999998,0.00801008676,0.00554544468,0.00492928416,0.00123232104,0.13678763544000005
Fujian,0.028529334,0.018473913,0.054954045,0.07296026400000001,0.5137618589999999,0.018006219,0.132591249,0.139606659,0.021046230000000003,0.008652339,0.375792129,0.073661805,0.028763181,0.071323335,0.07483104,0.011224656000000001,0.075532581,0.023150853,0.009120033,,0.048172482,0.041858613,0.268456356,0.052849422,0.013329279,0.068283324,0.005846175,0.003273858000000001,0.002572317,0.0014030820000000002,0.07342795800000003
Jiangxi,0.02546457264,0.00951086448,0.04694071824,0.06074681183999999,0.6838618363199999,0.0092040624,0.16352550863999998,0.18806967504,0.010738072799999998,0.003988427039999999,0.5203363276799999,0.037429853759999986,0.02055573936,0.16168469615999995,0.2116934352,0.0058292395200000005,0.40006991232,0.02178294768,0.004295229120000001,0.27550826784000004,0.027612187200000003,0.028532593439999997,,0.04387269744,0.006749645759999999,0.031293812160000004,0.00184081248,0.0021476145600000003,0.00061360416,0.00061360416,0.05798559312000001
Shandong,0.9685725012,0.26589474395999996,,0.77115645,0.17027134415999998,0.16410209256000002,1.12650534216,0.27514862136,0.16225131707999998,0.07218024372000001,0.2807009478,0.09315569916,0.12585273264000002,0.27329784588000006,0.11783270556,0.0863695224,0.08205104628000001,0.03886628508,0.061075590839999985,0.06662791727999999,0.055523264400000015,0.048120162480000006,0.06847869276,0.04503553668000001,0.02837855736,0.035164734119999985,0.016040054159999997,0.015423128999999999,0.01048772772,0.00370155096,0.6311144386800001
Henan,0.4669094534400001,0.09085480344000002,0.8231084179200001,,0.31107240648,0.4091474592000001,0.5511456950400001,0.22924291464000005,0.04753330776000001,0.04031305848,0.35680065192000004,0.10890542664000002,0.34958040264,0.6065009395200001,0.4873668264000001,0.019855685520000003,0.13718473632,0.051143432400000015,0.016245560880000003,0.07521093000000001,0.057761994239999996,0.051745119840000006,0.08543961648000001,0.046931620320000006,0.04994005752,0.03790630872,0.020457372960000005,0.030084372000000005,0.016847248320000004,0.00541518696,0.4259947075200001
Hubei,0.06436926143999999,0.02224278144,0.09335227968,0.44552965248,0.41014340928000004,0.03134210112,0.19479284352,0.13177162944,0.021231745919999996,0.01078437888,0.20018503296,0.0960483744,0.1145840256,0.18434547648,,0.008425296,0.48597107328,0.03066807744,0.008762307839999999,0.0707724864,0.18973766592,0.041115444480000006,0.24871473791999998,0.049877752319999996,0.0151655328,0.04145245632,0.00539218944,0.0067402368,0.00370713024,0.0016850592,0.13379370048
Hunan,0.04187941055999999,0.014899405679999997,0.0644298624,0.11476569240000001,1.4025575671199997,0.021745078560000002,0.11315494583999998,0.09342330047999997,0.02053701864,0.016912838879999996,0.17154450863999998,0.07288628184,0.04389284376,0.0664432956,0.5017475534399999,0.010469852639999996,,0.039865977359999985,0.006040299599999999,0.07127553528,0.09302061384,0.06604060895999997,0.38013618816,0.24604153704,0.010469852639999996,0.21865884551999995,0.00442955304,0.00684567288,0.0040268664,0.00161074656,0.09865822679999997
Guangdong,0.08992710720000001,0.037469628,0.1273967352,0.25928982576,,0.04196598336,0.25779104064,0.25629225552,0.05470565688,0.02098299168,0.30575216448000003,0.29526066863999995,0.11165949143999998,0.12439916496,0.35820964368,0.035970842879999985,1.1368285135199998,0.2023359912,0.02847691728,0.4406428252799999,0.17535785903999995,0.19184449536,0.6085067587199999,1.4470770333599998,0.03147448752,0.24280318944,0.01199028096,0.01199028096,0.007493925599999999,0.0037469628,0.25779104064
Guangxi,0.02282841792,0.006522405120000001,0.03498380928,0.03883795776,1.7503763558400003,0.00919066176,0.050103930240000004,0.04476741696000001,0.01156244544,0.0035576755200000003,0.053365132800000006,0.060480483840000016,0.016009539840000003,0.02193899904,0.04624978176,0.006818878079999999,0.25852442112,0.0429885792,0.0044470944000000005,0.03972737664,0.03943090368,0.12392569728,0.04773214656,,0.006522405120000001,0.16750722240000002,0.0017788377600000001,0.0020753107200000005,0.0017788377600000001,0.0008894188800000001,0.04358152512
Hainan,0.02973721248,0.01290321576,0.023755589280000003,0.03776967792,0.18269586288,0.014783154480000001,0.03255712056000001,0.04289678352,0.01777396608,0.00880153128,0.030848085360000003,0.05392006055999999,0.02426829984,0.01298866752,0.024182848080000003,0.0179448696,0.035377028639999995,,0.010083307679999999,0.01674854496,0.03426615576000001,0.016064930879999998,0.018457580159999997,0.04597304688,0.00572526792,0.01931209776,0.0036744256799999997,0.00316171512,0.00281990808,0.00042725879999999997,0.07271944776
Chongqing,0.029270017440000008,0.01395431064,0.0493506108,0.059901431040000015,0.18719197199999998,0.022463036640000003,0.07930132632000003,0.07249434552,0.014635008720000004,0.008849075040000001,0.08849075040000001,1.53803731176,0.08542760903999999,0.031652460720000004,0.23484083760000005,0.00714732984,0.11095378704000002,0.043905026160000006,0.004424537520000001,0.045606771360000006,,0.10584855144,0.026206876080000004,0.044926073280000006,0.022122687600000003,0.36655591608000004,0.005105235600000001,0.00987012216,0.006466631760000001,0.00987012216,0.0731750436
Sichuan,0.0582100992,0.024102619199999998,0.07230785760000001,0.0991390752,0.2764979712,0.038200377599999995,0.118239264,0.1105082352,0.0304693488,0.0172811232,0.12369646080000002,,0.2787718032,0.0427480416,0.097774776,0.0163715904,0.072762624,0.06957925920000001,0.011823926399999999,0.0650315952,1.4834479968,0.5334409872,0.035471779200000005,0.07185309120000001,0.1309727232,0.3647226528,0.0131882256,0.0291050496,0.037290844799999986,0.05866486560000001,0.1578039408
Guizhou,0.01426328352,0.004140953280000001,0.02392550784,0.031977361440000004,0.2576593152,0.007591747680000002,0.055672816320000006,0.036348367680000014,0.007821800640000001,0.003680847360000001,0.13849188192,0.31586271408000005,0.02392550784,0.018174183840000004,0.03680847360000001,0.0027606355199999997,0.2266021656,0.02576593152000001,0.002300529600000001,0.059813769600000025,0.33196642128000003,0.40006209744,0.034507944000000006,0.18956363904000004,0.0048311121600000005,,0.0013803177599999998,0.0016103707200000007,0.0013803177599999998,0.0013803177599999998,0.035658208800000014
Yunnan,0.0245140992,0.008426721600000001,0.02872746,0.0428996736,0.1823236128,0.011490984,0.05132639519999999,0.057263403600000005,0.013023115200000001,0.0049794264000000005,0.07679807639999997,0.475918254,0.0271953288,0.01915164,0.03830328,0.006894590399999999,0.06473254319999999,0.017236476,0.004787909999999999,0.035430534,0.0940345524,,0.0252801648,0.1346360292,0.0074691396,0.39088497240000003,0.002872746,0.0030642624,0.0026812296,0.006703073999999999,0.053624591999999985
Tibet,0.0015126523200000002,0.0005174863200000001,0.00181120212,0.00642877236,0.00501563664,0.0014131357199999998,0.00382143744,0.00250781832,0.0011941992000000002,0.0003781630800000001,0.00250781832,0.07947395676,0.009135623879999999,0.00083593944,0.0021296552400000006,0.0007961328000000001,0.0026073349200000004,0.00053738964,0.0005771962800000001,0.0015524589600000006,0.013076481240000005,0.011524022279999999,0.0006767128800000003,0.00121410252,0.005752059480000001,0.0015723622800000005,0.0005771962800000001,0.00167187888,0.033158931120000006,,0.004756893480000001
Shaanxi,0.10691848368,0.0228877488,0.1078993872,0.35574100991999996,0.11705448672,0.4348672272,0.12555565055999998,0.07552957104,0.0277922664,0.26745969312,0.07258686048,0.27890356751999995,,0.05852724336,0.12163203648,0.012751745759999999,0.04708336896,0.02910013776,0.0098090352,0.03008104128,0.07454866752,0.03204284832,0.024195620159999997,0.01438658496,0.416883996,0.02746529856,0.14092313904,0.025503491519999998,0.03825523728,0.00686632464,0.16119514512
Gansu,0.020565316799999997,0.01087023888,0.024825275279999996,0.04979744567999999,0.03319829711999999,0.01836189,0.03951478728,0.02849765328,0.00455374872,0.06874691615999998,0.026588016719999996,0.11545956432,0.42100141392,0.012486085199999998,0.01997773632,0.00235032192,0.012926770559999998,0.011164029119999998,0.00249721704,0.012779875439999998,0.02291563872,0.011164029119999998,0.007638546239999999,0.00793233648,,0.007344755999999998,0.17113281479999998,0.05391050903999999,0.19639877543999995,0.00572890968,0.046271962800000004
Qinghai,0.00922221936,0.00162463968,0.00874438416,0.018014387039999996,0.007740930240000002,0.005781805919999999,0.01223258112,0.005399537759999999,0.0014812891199999995,0.00301036176,0.009413353440000001,0.0413327448,0.037032227999999986,0.0037748980799999997,0.004491650879999999,0.00109902096,0.00463500144,0.00267587712,0.0005734022399999999,0.0033448463999999995,0.00735866208,0.00267587712,0.0023891760000000002,0.0029625782399999995,0.20226764016,0.0027714441599999994,0.0148128912,0.02623315248,,0.02069026416,0.013236035039999998
Ningxia,0.014863007520000002,0.004107866400000001,0.013892057280000005,0.021958413120000003,0.015983334720000006,0.01254766464,0.013892057280000005,0.00888792912,0.0028381622400000003,0.18470461104,0.011502025920000002,0.01822398912,0.1430284392,0.0055269475200000005,0.0070207171200000005,0.00231534288,0.005601636000000001,0.0051535051200000005,0.002390031360000001,0.0066472747200000005,0.007095405600000002,0.005078816640000001,0.002763473760000001,0.00313691616,0.18007392528000002,0.004555997280000001,,0.006348520800000003,0.011502025920000002,0.0005975078400000003,0.023526871200000004
Xinjiang,0.01908085248,0.00553402368,0.021329049600000004,0.05499436031999999,0.018100869119999998,0.00697517568,0.020694942719999998,0.0103762944,0.004842270720000001,0.011240985600000001,0.01222096896,0.07038586368000001,0.042888683520000005,0.00876220416,0.01054923264,0.00219055104,0.01072217088,0.00685988352,0.00213290496,0.005879900160000001,0.0221937408,0.00582225408,0.0039199334399999996,0.00305524224,0.12301673472,0.00357405696,0.011356277759999998,,0.030840652799999996,0.00149879808,0.024211353600000003
Taiwan,6.438528000000001e-05,3.2192640000000004e-05,0.00012923712000000002,3.2192640000000004e-05,0.00022674816000000004,,6.438528000000001e-05,0.00106888896,0.00016189632000000002,3.2192640000000004e-05,0.00025894080000000004,3.2192640000000004e-05,6.438528000000001e-05,,3.2192640000000004e-05,3.2192640000000004e-05,3.2192640000000004e-05,,3.2192640000000004e-05,0.0015872371200000006,6.438528000000001e-05,6.438528000000001e-05,,3.2192640000000004e-05,3.2192640000000004e-05,3.2192640000000004e-05,,,,,9.704448e-05
Hong Kong,3.01158e-05,,0.000127413,3.01158e-05,0.0209930292,,,0.0005814665999999999,0.000127413,3.01158e-05,3.01158e-05,,3.01158e-05,,,,,0.000127413,,6.25482e-05,,3.01158e-05,3.01158e-05,0.0002247102,3.01158e-05,,,,,,0.0003544398
Macau,0.0023230314000000003,0.0015212772000000002,0.0009662166,0.0018707598,0.1629000072,0.0001850202,0.0034331526000000003,0.004728294,0.0008634275999999999,0.0002466936,0.0037415196,0.0023847048,0.0007400808,0.0005961762,0.0026519562,0.00028780920000000005,0.0025080516,0.0006784074,0.00014390460000000002,0.0018296442,0.0008634275999999999,0.0008017542000000001,0.001541835,0.0026108406,0.00014390460000000002,0.0009662166,0.00022613580000000006,,,,0.0033303636000000013
