,Hebei,Tianjin,Shandong,Henan,Guangdong,Shanxi,Jiangsu,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Anhui,Hubei,Heilongjiang,Hunan,Hainan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,2.8619295354000007,0.5440328712,0.456958827,0.34685693640000004,0.2655398538000001,0.2504278296,0.24826896900000006,0.23315694480000004,0.2309980842,0.21228795900000005,0.1683911268,0.161914545,0.13097087640000002,0.12377467439999999,0.12161581380000001,0.10866265020000003,0.0949898664,0.0892329048,0.08131708259999999,0.07915822200000001,0.0705227796,0.0626069574,0.05828923620000001,0.0446164524,0.043177212000000006,0.0381398706,0.0208689858,0.019429745400000004,0.0122335434,0.0035981010000000007,
Tianjin,1.43712144,,0.25054272,0.09377856,0.04863888,0.07453296,0.07453296,0.045489600000000005,0.08293104000000001,0.04793904,0.03989088,0.029743200000000008,0.026244,0.032892479999999995,0.026244,0.03569184,0.01714608,0.01854576,0.027293760000000004,0.01994544,0.01539648,0.01259712,0.01189728,0.00804816,0.0104976,0.0073483199999999985,0.00489888,0.00454896,0.00244944,0.00034992000000000004,0.98607456
Hebei,,1.5656858193599998,1.0941752483999996,0.4974549325199999,0.10264943052,0.5876961901199999,0.20417084532000002,0.0733210218,0.2932840872,0.29215607147999995,0.11280157199999995,0.06993697463999997,0.13536188639999994,0.0958813362,0.08347316327999997,0.06993697463999997,0.0507607074,0.04737666023999999,0.05865681743999999,0.034968487319999984,0.037224518759999985,0.034968487319999984,0.040608565919999985,0.029328408719999994,0.027072377279999997,0.02143229868,0.01804825152,0.012408172919999998,0.007896110040000001,0.00112801572,5.563373531039998
Shanxi,0.55924979688,0.08085539232000001,0.16229669328,0.41130786528,0.04950928008,,0.08700743304,0.04130655912,0.024022254239999995,0.2475464004,0.043943148,0.04716564552,0.5238023241599999,0.032224975200000006,0.04159951343999999,0.00937453824,0.02548702584,0.026072934480000004,0.007030903679999999,0.020799756719999996,0.025779980159999997,0.01845612216,0.012597035759999998,0.010839309840000002,0.02226452832,0.01347589872,0.01552657896,0.00673794936,0.006444995039999999,0.0008788629599999999,0.34920154944
Inner Mongolia,0.312148728,0.0511235712,0.07742271599999999,0.041783688,0.023103921599999997,0.205231644,0.030477513599999995,0.02457864,0.297401544,,0.0324438048,0.0272822904,0.28732430159999994,0.014009824799999996,0.014009824799999996,0.19613754719999998,0.0100772424,0.0154845432,0.1715589072,0.010323028799999998,0.0105688152,0.0095856696,0.005898873599999999,0.0046699416,0.0685744056,0.00614466,0.19417125600000001,0.007373591999999999,0.0046699416,0.0002457864,0.299859408
Liaoning,0.3277066248,0.095766948,0.19127152079999998,0.0585096696,0.07792543440000001,0.034371151200000005,0.0962916984,0.0876333168,,0.2922859728,0.066905676,0.0359454024,0.0299107728,0.0278117712,0.0285988968,0.20675165760000003,0.024925644,0.039618655200000005,0.4426269624000001,0.0283365216,0.0178415136,0.0191533896,0.014430636000000004,0.0178415136,0.007871256,0.0123316344,0.0034108776000000003,0.0041980032000000006,0.0018366264000000004,0.0007871255999999999,0.32560762320000003
Jilin,0.06877913472000001,0.035508533759999995,0.08056558080000001,0.02043978624,0.0358069248,0.00880253568,0.03700048896,0.035359338239999996,0.45086886143999994,0.15188103936,0.029689908480000006,0.014621160959999999,0.01104046848,0.01104046848,0.013129205760000002,0.29421356544,0.012383228159999999,0.02223013248,,0.011338859520000001,0.008354949120000002,0.01104046848,0.005967820800000001,0.006564602880000001,0.0028347148800000003,0.004177474560000001,0.00119356416,0.00179034624,0.00029839104,0.00044758656,0.10234812672000003
Heilongjiang,0.0768939966,0.045248608800000006,0.1053891648,0.0199036602,0.0471101022,0.0118849194,0.043673499000000005,0.0418120056,0.221231331,0.17283250260000002,0.0359411418,0.017039824199999998,0.0108825768,0.0131736456,0.0130304538,,0.015035139,0.0378026352,0.308578329,0.0108825768,0.008305124399999999,0.010309809599999999,0.005870863799999999,0.008305124399999999,0.0020046852000000005,0.004009370400000001,0.0027206442,0.0017183016,0.0015751098000000002,0.0001431918,0.13603221
Shanghai,0.07013477016,0.04150833336,0.21398261508,0.20181637944000003,0.26908850591999994,0.054390229920000005,2.7517162374,,0.07800704028,0.0250481322,1.5608564665200002,0.1216623564,0.07943836212000001,0.51813850608,0.13669123572,0.0393613506,0.0930359196,0.04508663796,0.038645689680000005,0.12881896560000006,0.06584080464,0.06941910924,0.14170086215999997,0.04222399428,0.0250481322,0.0465179598,0.010734913799999999,0.012166235640000002,0.00644094828,0.00143132184,0.25262830476
Jiangsu,0.17119593,0.06961967820000001,1.0134799056,0.4599463986,0.2898917748,0.0810327402,,3.8884302234,0.0867392712,0.0296739612,1.6754375015999998,0.12782629439999998,0.12782629439999998,2.0395141794,0.19744597260000002,0.0365217984,0.1175545386,0.0410870232,0.0296739612,0.12896760059999998,0.0753262092,0.0707609844,0.16891331760000003,0.0536413914,0.0365217984,0.06391314719999999,0.0125543682,0.0148369806,0.0125543682,0.0022826124,0.2704895694
