,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Guangdong,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Hainan,Jiangxi,Yunnan,Guizhou,Gansu,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.08974113119999999,0.04052825280000001,0.20915473320000005,0.32494974120000003,0.043423128000000005,1.5364550124000005,0.2902112388,1.7528469336,0.057173785200000014,0.019540407600000004,,0.1259270712,0.0716481612,0.18816688800000006,0.7410880512000001,0.028948752000000005,0.17007391800000002,0.022435282799999998,0.3669254316000001,0.08539881839999999,0.0340147836,0.4986422532000001,0.08322766200000001,0.15632326080000006,0.0260538768,0.057173785200000014,0.015198094799999999,0.0094083444,0.0065134692,0.0014474376000000002,0.17079763679999999
Anhui,0.08150336640000001,0.03199761792,0.23122806912,0.5807869516799999,0.0362237184,2.44449726336,0.13463148672,0.6882506495999999,0.02294168832,0.01026338688,0.8699729702400001,0.04467591936,0.053128120320000013,0.17870367744,,0.008452200960000001,0.06399523584,0.01026338688,0.07305116544,0.02897897472,0.016904401920000003,0.17327011967999997,0.0241491456,0.02475287424,0.01448948736,0.021734231040000003,0.007244743679999999,0.005433557760000001,0.00241491456,0.00060372864,0.14247995904000002
Fujian,0.029254274280000006,0.017688630960000003,0.04830356916,0.07052774652,0.01723507632,0.11973842495999999,0.5181861762000001,0.13175762292,0.02018318148,0.00839076084,0.3882427718400001,0.07098130116000001,0.028573942320000007,0.06803319599999999,0.06395120423999999,0.01043175672,0.07234196508,0.008163983520000001,,0.04218058152000001,0.01882251756,0.26056714068000003,0.03696470316,0.06054954444,0.012019197959999998,0.0487571238,0.00589621032,0.00362843712,0.0022677732000000003,0.00068033196,0.07665073416
Jiangxi,0.022252365359999998,0.00932193684,0.04300119252,0.06375001967999999,0.0120283056,0.15155665056,0.6792985587599999,0.18072529164,0.01082547504,0.0051120298800000005,0.52262987832,0.035784209160000004,0.01924528896,0.21590808552,0.15215806584,0.0051120298800000005,0.38069587224,0.00360849168,0.26672767668,0.022252365359999998,0.01864387368,,0.02736439524,0.03247642512,0.006314860439999999,0.04841393004,0.00240566112,0.0015035382,0.00120283056,0.00060141528,0.06104365091999999
Shandong,0.9259539494400002,0.27571829760000005,,0.7748832988800001,0.15566595552,1.0959802329600001,0.13039177824000006,0.22516994304,0.13613590944000006,0.055143659520000006,0.26480444832000005,0.07812018432000002,0.10971290592,0.09248051232,0.26365562208000004,0.07180164000000001,0.06778074816000003,0.04537863648000001,0.06318544320000001,0.043655397120000015,0.027571829760000003,0.05916455136000001,0.037336852800000014,0.027571829760000003,0.026423003520000002,0.03963450528,0.016083567360000006,0.01493474112,0.009190609920000002,0.0022976524800000005,0.5985384710400001
Henan,0.47852880299999995,0.10126286928,0.7841697804000001,,0.46062256391999995,0.571147281,0.32663449908000003,0.24883497755999998,0.046309239,0.035812478159999994,0.4001118249600001,0.10126286928,0.34392328164,0.4982874116400001,0.62795328084,0.01605386952,0.12102147792000001,0.015436413000000001,0.08520899976,0.05433617376,0.04383941292,0.08335663019999999,0.04260449988,0.03828230424,0.050631434639999987,0.04136958684,0.0370473912,0.01914115212,0.014818956480000001,0.00493965216,0.46988441172
Hubei,0.0726163704,0.022879130400000003,0.07725851280000001,0.467530056,0.035810812800000015,0.18071197200000005,0.382976748,0.134290548,0.018568569600000005,0.0086211216,0.18767518560000004,0.09118494,0.12401151840000002,,0.18866993040000005,0.006631632000000001,0.484109136,0.007626376800000002,0.0649899936,0.1846909512,0.028184436000000007,0.2410598232,0.039789792,0.039789792,0.0155843352,0.04973724,0.008952703200000002,0.004642142400000001,0.0033158160000000005,0.0013263264000000002,0.1366116192
Hunan,0.042658164000000005,0.016210102320000003,0.05886826632,0.11432387951999999,0.02260882692,0.12925423692,1.5062597708400003,0.10963148148,0.017489847240000002,0.00895821444,0.17916428880000002,0.07422520536,0.04393790892,0.4982473555200001,0.07337204207999999,0.00938479608,,0.008531632800000001,0.07806444012000001,0.12200234904,0.034126531200000004,0.40653230292,0.061427756160000006,0.24869709612,0.011944285920000002,0.25253633088000005,0.008531632800000001,0.00469239804,0.0038392347600000004,0.00127974492,0.11091122640000002
Guangdong,0.08868605759999999,0.03769157448,0.10864042056,0.25571146607999995,0.0443430288,0.24758191079999997,,0.2364961536,0.053211634560000005,0.01995436296,0.28970778816,0.27640487952,0.11307472344000001,0.3399632208,0.11381377392000001,0.03769157448,1.0790137007999998,0.025127716319999997,0.42273687456,0.15224439888,0.22762754784000003,0.5971527878399999,0.16554730752000002,0.22393229544,0.026605817280000003,1.6687759838399996,0.02069341344,0.012563858159999998,0.008129555279999999,0.004434302879999999,0.23945235552
Guangxi,0.02550804048,0.0049053924,0.03466477296,0.03662692992,0.008175654000000001,0.05101608096,2.0910052670400003,0.04545663624,0.011118889440000002,0.00425134008,0.04709176704,0.05526742104,0.013735098719999998,0.0425134008,0.0196215696,0.008175654000000001,0.25279122168,0.00457836624,0.04284042696,0.037935034560000004,0.0392431392,0.04709176704,0.11053484208,0.17626710024,0.00523241856,,0.00294323544,0.00130810464,0.00261620928,0.0009810784799999998,0.03989719152
Hainan,0.02716016184,0.01787537808,0.02230083576,0.034275603599999996,0.016053130800000003,0.034622698320000006,0.20799651096,0.042172008480000016,0.016226678160000004,0.006941894400000001,0.03271367736,0.052324529040000005,0.027854351280000002,0.0229950252,0.014925072959999999,0.016486999199999998,0.03523011408,0.0074625364799999995,0.013536694080000002,0.035143340400000014,,0.02151987264,0.015706036080000003,0.01969762536,0.00503287344,0.032887224720000004,0.0033841735200000004,0.00494609976,0.00234288936,0.00026032104,0.07592697
Chongqing,0.039355113600000005,0.01502649792,0.053308290240000014,0.07835245344,0.02361306816,0.09230563007999999,0.19606002048,0.07227029952000001,0.016099819200000004,0.010375439040000002,0.09659891520000002,1.54486709568,0.10232329536,0.25151495328,0.045079493760000006,0.0071554752000000015,0.1270096848,0.0071554752000000015,0.05080387392,,0.03685069728,0.03792401856,0.1019655216,0.3631403664000001,0.02719080576,0.04901500512,0.016099819200000004,0.00751324896,0.00751324896,0.01109098656,0.08443460736000001
Sichuan,0.05894495387999999,0.02654772732,0.06344456868,0.09674171820000001,0.042296379119999984,0.12238952255999999,0.27087681096,0.11519013888,0.03329714952,0.02114818956,0.13273863660000002,,0.31092338268,0.09539183376,0.0404965332,0.01439876736,0.07379368271999999,0.011698998479999998,0.06839414496,1.439876736,0.05354541612,0.0359969184,0.50755654944,0.3554695692,0.1282390218,0.06479445312000001,0.03419707248,0.01259892144,0.0404965332,0.0629946072,0.15658659503999994
Guizhou,0.015340752,0.0052596864000000005,0.0206004384,0.030024043200000006,0.0078895296,0.0495287136,0.2294538192,0.0401051088,0.008546990400000001,0.0041639184,0.1163705616,0.321060024,0.0269558928,0.033968807999999996,0.0199429776,0.0026298432000000003,0.23186450880000006,0.0026298432000000003,0.0484329456,0.321060024,0.0184089024,0.028270814400000007,0.37957403520000005,,0.0052596864000000005,0.1770761088,0.0019723824,0.0017532288000000002,0.001095768,0.0013149216000000001,0.037256112000000015
Yunnan,0.01953521064,0.00792466092,0.023036805,0.035937415800000004,0.01142625528,0.053445387599999984,0.15923039615999998,0.058605631920000005,0.01363778856,0.005160244320000001,0.07132194827999999,0.46737069984,0.02838134376,0.03280441032,0.01861373844,0.006450305399999999,0.06653029283999999,0.0027644166,0.03520023804,0.08164243691999999,0.0147435552,0.02377398276,,0.40563206244000005,0.008846133119999999,0.12439874699999999,0.004423066559999999,0.0012900610800000002,0.0018429444,0.008477544239999999,0.04773225996
Tibet,0.002005236,0.0007018326,0.00206539308,0.006376650480000001,0.00138361284,0.0038099484,0.007900629840000001,0.004331309760000001,0.0008421991199999999,0.0005414137200000001,0.0031081158000000005,0.07242912432,0.00850220064,0.0017646076800000004,0.0019049742,0.00066172788,0.00206539308,0.00032083776000000003,0.00212555016,0.012853562760000005,0.0002807330400000001,0.0006015708000000001,0.011028798,0.0016843982399999998,0.0063164933999999996,0.0012231939599999999,0.00144376992,0.00066172788,0.034951263480000015,,0.006336545760000001
Shaanxi,0.10024627392,0.02901865824,0.0939808818,0.37295570988,0.46528780428000005,0.1302542046,0.11310681564,0.07320616056,0.024072296040000003,0.27303919344,0.07386567552000001,0.27765579816,,0.11409608808,0.05375046924,0.01286054172,0.045506532239999994,0.00923320944,0.02572108344,0.07683349284,0.022753266119999997,0.02671035588,0.029348415719999996,0.02769962832,0.4283549665200001,0.014179571640000001,0.03495429288,0.13421129435999998,0.039570897599999995,0.0065951496,0.16388946755999995
Gansu,0.019980898559999998,0.01637532288,0.0232860096,0.04612132223999999,0.01832834304,0.03921063552,0.033501807360000004,0.0232860096,0.0055585958400000005,0.06550129152,0.02599019136,0.10486215936000001,0.43732628352,0.017276716799999998,0.01096695936,0.00180278784,0.011567888640000001,0.0022534848000000003,0.01472276736,0.01968043392,0.009164171519999998,0.006459989760000001,0.012018585600000001,0.007511616,,0.007511616,0.06955756416,0.17667320832000002,0.2230949952,0.006159525119999999,0.044318534400000005
Qinghai,0.006412863960000001,0.00259451748,0.006266004479999999,0.015713964359999995,0.004846362839999999,0.010035397799999998,0.01013330412,0.00523798812,0.0011748758399999998,0.0041610186,0.009643772519999998,0.0457712046,0.038526136919999995,0.00372044016,0.0028392832799999995,0.0008322037199999999,0.00430787808,0.0004405784399999999,0.004209971759999999,0.00748983348,0.0031819554,0.00107696952,0.002790330119999999,0.00234975168,0.22072979844,0.0022028922,0.022665313080000003,0.013168400039999998,,0.0225184536,0.013608978479999995
Ningxia,0.0154771884,0.005058398160000001,0.013438729440000002,0.01947860784,0.012910240080000005,0.014495708159999999,0.013891720320000002,0.008229334320000002,0.0026424468,0.18753822432000006,0.008153835840000002,0.017893139760000006,0.14684454360000002,0.006794863200000003,0.0060398784,0.002944440720000001,0.007172355600000002,0.0012834741600000006,0.006115376880000002,0.006115376880000002,0.004152416400000001,0.0032464346400000003,0.0027934437600000005,0.002944440720000001,0.19169064072000008,0.002566948320000001,0.006492869280000001,,0.010267793280000005,0.0006039878400000003,0.026499966480000005
Xinjiang,0.01851790248,0.009709761599999998,0.01844854704,0.0506294712,0.00908556264,0.02316471696,0.03003090552,0.02025178848,0.007490387520000002,0.013524310800000001,0.01844854704,0.060824720879999995,0.055137574800000005,0.010264605119999999,0.00825329736,0.0041613264,0.01199849112,0.00291292848,0.007212965759999999,0.02025178848,0.009432339840000002,0.00374519376,0.00839200824,0.00457745904,0.16603692336,0.0033984165600000004,,0.01227591288,0.03793742568,0.0020806632,0.044318126160000006
Taiwan,6.436584e-05,3.218292e-05,0.00019384596,3.218292e-05,3.218292e-05,0.00019384596,0.00042062328000000003,0.00158744124,0.00016166304,9.654876e-05,0.00042062328000000003,9.654876e-05,6.436584e-05,0.00022677732,6.436584e-05,3.218292e-05,,3.218292e-05,0.00252673344,,,3.218292e-05,3.218292e-05,,0.00012948012,3.218292e-05,,,,,0.0006474006
Hong Kong,3.0958200000000005e-05,,,3.0958200000000005e-05,,3.0958200000000005e-05,0.022387541400000002,0.0003548286,,,6.42978e-05,,,,,3.0958200000000005e-05,6.42978e-05,,0.000226233,3.0958200000000005e-05,,,,,3.0958200000000005e-05,9.5256e-05,,,,,0.000226233
Macau,0.0013244634,0.0011206998,0.0007743016799999999,0.0007743016799999999,0.0009984416400000001,0.00572575716,0.16541529048,0.00434016468,0.0006112908000000001,0.00028526904000000005,0.00352511028,0.00171161424,0.00028526904000000005,0.00205801236,0.00073354896,0.00028526904000000005,0.0019357542,0.00014263452000000005,0.00252666864,0.00055016172,0.0007743016799999999,0.00126333432,0.0006112908000000001,0.0009576889199999998,0.00028526904000000005,0.0017319906,2.037636e-05,2.037636e-05,6.112908000000001e-05,2.037636e-05,0.0026489268
