,Hebei,Tianjin,Shandong,Henan,Shanxi,Jiangsu,Guangdong,Shanghai,Liaoning,Inner Mongolia,Zhejiang,Sichuan,Shaanxi,Hubei,Anhui,Heilongjiang,Hunan,Jilin,Fujian,Chongqing,Hainan,Jiangxi,Yunnan,Guizhou,Gansu,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,2.95125128424,0.6112576807200001,0.40045401756,0.33845294016000005,0.27499301388,0.25821625176,0.25019258292,0.23779236744,0.22466272752,0.21299193647999998,0.17214416784000003,0.15390855684000002,0.14150834136,0.1240021548,0.11962560816,0.11233136376,0.0948251772,0.08534265947999999,0.07440129288000001,0.07075417068,0.07002474623999999,0.05908337964000001,0.05178913524,0.04303604196000001,0.041577193080000005,0.038659495319999994,0.029176977599999997,0.021153308760000003,0.01167079104,0.0036471221999999997,
Tianjin,1.4198171572800002,,0.24055188192000004,0.09888575903999999,0.08030084688000001,0.07889821200000001,0.042780363839999995,0.04348168128,0.08485941024,0.04523497488,0.038572459200000006,0.029805991200000007,0.026299404,0.022792816800000004,0.044182998720000005,0.03752048304,0.015428983680000003,0.027351380160000004,0.017883594720000003,0.017532936000000002,0.01683161856,0.01016910288,0.010519761599999998,0.005610539520000001,0.01262371392,0.007013174400000001,0.00631185696,0.00455856336,0.0014026348800000002,0.00035065872000000005,1.01200106592
Hebei,,1.5816727634399999,1.0618846761599998,0.4997104358400001,0.5956369927199999,0.19296853884,0.09815740704,0.06915635496,0.28777967064,0.29447222112,0.10373453244,0.06915635496,0.13050473436,0.07919518067999999,0.08700315624,0.061348379400000014,0.04907870352,0.05242497875999999,0.03457817748,0.031231902240000005,0.032347327319999994,0.032347327319999994,0.031231902240000005,0.021193076519999996,0.025654776839999997,0.02677020192,0.015615951120000002,0.016731376200000002,0.007807975560000001,0.00111542508,5.54477807268
Shanxi,0.540319896,0.07501249619999999,0.15864711839999998,0.4187479194,,0.0859338558,0.050295735,0.04311063,0.0252915696,0.2468802078,0.044835055199999994,0.049720926599999986,0.521638623,0.034201099799999995,0.0324766746,0.010059146999999996,0.0235671444,0.007472509199999999,0.015232422599999997,0.0270159948,0.016382039399999996,0.012933189,0.016956847799999997,0.0106339554,0.0221301234,0.0109213596,0.0089095302,0.01437021,0.0048858714,0.0005748083999999999,0.33942436020000005
Inner Mongolia,0.32113284948000004,0.049328397360000005,0.06278159663999999,0.04210353108,0.2229743214,0.03438039816,0.024664198680000003,0.026158998600000004,0.30294611711999997,,0.021425465520000003,0.02391679872,0.30917445012,0.01270579932,0.012207532679999999,0.20105058924,0.0074739996,0.16642105776000002,0.01195839936,0.01195839936,0.01071273276,0.0074739996,0.009467066159999999,0.0072248662800000005,0.07374346272000001,0.005480933040000001,0.009217932840000002,0.19482225624,0.0047335330799999995,0.00024913332000000004,0.298959984
Liaoning,0.31368681756,0.10498697712000002,0.1681830216,0.0547868934,0.035930009160000005,0.09632300328,0.06599909484000001,0.08154328320000001,,0.29279135124,0.06064781687999999,0.034910718119999996,0.02752085808,0.02701121256,0.02904979464,0.20844501767999998,0.02191475736,0.43854996996000006,0.02191475736,0.01605383388,0.03006908568,0.01325078352,0.01579901112,0.01299596076,0.0068802145200000005,0.014270074560000004,0.00662539176,0.003567518640000001,0.00152893656,0.0005096455200000001,0.33789497975999994
Jilin,0.0613875834,0.0337703256,0.05866878599999999,0.0160265952,0.0090149598,0.034342703999999995,0.0366322176,0.0347719878,0.4683486257999999,0.15511454639999994,0.02861892,0.0131647032,0.012163041000000001,0.0133077978,0.009730432800000001,0.2674438074,0.0090149598,,0.010732095,0.005437594799999999,0.022895136,0.0064392569999999994,0.0065823516,0.003577364999999999,0.002861892,0.004149743399999999,0.0022895136,0.0008585675999999997,0.0007154729999999999,0.0002861892,0.0998800308
Heilongjiang,0.06927433631999999,0.04065520896,0.07917067007999999,0.01858905936,0.01029753648,0.0394516008,0.0448009704,0.0361082448,0.21290491008,0.16007988527999994,0.02888659584,0.016315577279999997,0.01243728432,0.015245703359999996,0.011902347359999996,,0.011233676159999996,0.30478033296,0.008692725600000001,0.005884306559999999,0.0381142584,0.004413229919999999,0.007756585919999999,0.00294215328,0.00213974784,0.008558991359999999,0.00254095056,0.00227348208,0.0010698739199999998,0.00026746848,0.13828120415999998
Shanghai,0.06143252544,0.04048961904,0.17871280128,0.19127854512,0.04328200656,2.77353890424,0.24852248928,,0.06352681607999999,0.02024480952,1.58258562696,0.11728027584,0.06911159111999997,0.11867646960000001,0.5096107223999999,0.03071626272,0.08237543183999999,0.02722577832,0.11937456648,0.06631920359999999,0.0453762972,0.1466003448,0.06771539736,0.04328200656,0.0209429064,0.03769723152,0.01815051888,0.007679065679999999,0.00628287192,0.00069809688,0.22967387352
Jiangsu,0.16586261136,0.06612090588,0.95931348192,0.49198436748,0.08629338564,,0.27232847676000005,3.782339955,0.084051999,0.02465525304,1.6619881935599998,0.12551765184000002,0.13336250508,0.19387994436,2.0194893626400003,0.0336207996,0.11319002532,0.029138026319999996,0.1232762652,0.07508645243999999,0.03250010628,0.17146607796000002,0.06163813260000001,0.05939674596,0.038103572880000006,0.04931050608,0.02017247976,0.015689706480000003,0.01008623988,0.0022413866399999998,0.28465610328
