,Hebei,Tianjin,Henan,Shanxi,Shandong,Liaoning,Hunan,Inner Mongolia,Anhui,Shaanxi,Guangdong,Jiangsu,Heilongjiang,Sichuan,Jilin,Gansu,Shanghai,Guizhou,Zhejiang,Hubei,Fujian,Hainan,Chongqing,Jiangxi,Yunnan,Xinjiang,Guangxi,Qinghai,Ningxia,Tibet,Beijing
Beijing,0.44694575928,0.06496356167999999,0.045465630480000005,0.045111122639999994,0.04413622608,0.028360627200000002,0.0230430096,0.0212704704,0.02029557384,0.0190547964,0.01355992488,0.013382670959999999,0.012141893519999999,0.01054660824,0.01036935432,0.009483084720000002,0.00921720384,0.00700152984,0.006912902879999999,0.0053176176,0.00425409408,0.00416546712,0.0039882132,0.00372233232,0.00363370536,0.00319057056,0.00203842008,0.0013294044,0.0012407774400000002,0.00017725392,
Tianjin,0.25723596060000004,,0.00707859,0.0183099528,0.0319480362,0.0125998902,0.0008966214000000001,0.008258355000000002,0.0024539112,0.0023595300000000003,0.006370731000000001,0.005851634400000001,0.003964010400000001,0.0023123394,0.0032561514,0.0030201984000000005,0.0041055822,0.0007078590000000001,0.0019348146,0.005096584800000001,0.0014157180000000005,0.0006134778,0.0015572898000000002,0.0008966214000000001,0.0008966214000000001,0.0002831436,0.0013213368000000005,0.0006606684000000001,0.0007078590000000001,4.7190600000000015e-05,0.08494308
Hebei,,0.3603671046,0.08802519479999997,0.1928064546,0.25513901640000003,0.08065252619999999,0.0125111952,0.08311008240000001,0.0149687514,0.024575562,0.0382038282,0.0433423548,0.008936567999999999,0.0214477632,0.01117071,0.010053639,0.025692633,0.004468284,0.0205541064,0.005361940799999999,0.007819496999999998,0.003351213,0.0102770532,0.0049151124,0.009159982199999998,0.0015638994,0.009606810600000001,0.005361940799999999,0.008489739599999999,0.00044682839999999995,0.867964167
Shanxi,0.1783801278,0.0352661526,0.054735118200000016,,0.046196098200000014,0.0073435572000000015,0.005208802199999999,0.09017205119999999,0.005891923800000001,0.13824673380000002,0.0272394738,0.0321921054,0.0009392922,0.0130647006,0.0012808530000000002,0.0039279492,0.024336207,0.0016224138,0.0152848458,0.0018785844,0.0039279492,0.0014516334000000005,0.004781851200000001,0.0015370235999999998,0.0054649728000000005,0.0009392922,0.0022201452,0.0031594374000000003,0.0040987296,0.00034156080000000003,0.14140617119999999
Inner Mongolia,0.08607760812000001,0.021073961159999998,0.0043622485200000005,0.0761857488,0.017633314440000002,0.11888663220000001,0.0017203233600000002,,0.0014745628799999993,0.059474036159999986,0.008417296440000001,0.00657409284,0.034099266600000004,0.00442368864,0.0347136678,0.00940033836,0.00657409284,0.00135168264,0.00479232936,0.00104448204,0.00129024252,0.0008601616800000001,0.00129024252,0.0007372814399999999,0.00202752396,0.001536003,0.0008601616800000001,0.00190464372,0.03330054504,,0.07139341944
Liaoning,0.10204328160000001,0.0256915152,0.0082791072,0.0362046672,0.0467835264,,0.0048623328,0.0911358864,0.0041395536,0.003942432,0.0244430784,0.0208948896,0.034299158399999995,0.0074906207999999985,0.0981665568,0.002628288,0.0254286864,0.0009199008,0.0101189088,0.0068335488,0.0062421840000000004,0.0040738464,0.0011827296,0.0022340448,0.0025625808000000003,0.000657072,0.0030225312,0.0005913648,0.0007227792000000001,0.0001971216,0.0800313696
Jilin,0.024590806200000002,0.0186356214,0.0029775924,0.017865554399999997,0.031213382400000003,0.169158051,0.0021048498,0.0338316102,0.002823579,0.000513378,0.0158633802,0.0108322758,0.07947091440000001,0.0042610374,,0.0008727425999999999,0.014117895,0.0017454851999999998,0.015093313200000001,0.0009240803999999999,0.004466388599999999,0.0015401339999999999,0.0008727425999999999,0.0014887962,0.0022075254000000002,0.0001540134,0.0015401339999999999,0.000513378,0.0001540134,,0.052877934
Heilongjiang,0.020797106399999998,0.013541320799999998,0.0021936096,0.0226954224,0.029993392799999994,0.09073950480000001,0.0032060448,0.03256666559999999,0.0017295767999999994,0.0008015111999999999,0.016536441599999997,0.009744688799999998,,0.004302849599999999,0.07437180239999998,0.0003796631999999999,0.014131908,0.0008436959999999999,0.009069732,0.004766882399999999,0.0028685664,0.0028685664,0.0005484023999999999,0.0005484023999999999,0.0009702504,0.0003796631999999999,0.0017295767999999994,0.0004640328,0.000210924,8.436959999999999e-05,0.058172839199999986
Shanghai,0.006763836959999999,0.0029550744,0.04242173472,0.01930648608,0.019897500959999998,0.006632500319999999,0.011097946079999995,0.00183871296,0.04872589344,0.00571314384,0.017073763199999998,0.27442790927999994,0.00288940608,0.00958757472,0.0026924011199999987,0.0059101488,,0.00334908432,0.12056703551999998,0.0026267327999999995,0.00893089152,0.00223272288,0.003086411039999999,0.014053020480000003,0.00577881216,0.0005910148799999999,0.005450470559999999,0.00105069312,0.0013790347199999994,,0.007683193439999999
Jiangsu,0.02410119684,0.0106569918,0.09066640716,0.0721396368,0.196744464,0.013772112479999998,0.01836281664,0.005574426479999999,0.2549480346,0.014263973639999997,0.04607099532,,0.0049186116,0.015739557119999997,0.00426279672,0.01705118688,0.5566228794,0.005574426479999999,0.16083859932,0.012296529,0.016723279440000002,0.00311512068,0.00721396368,0.017543048040000002,0.007705824839999998,0.0008197686,0.00950931576,0.00590233392,0.00180349092,0.0004918611599999999,0.04082447628
Zhejiang,0.008035640640000001,0.00413427888,0.021952438560000002,0.03883892976,0.017759930400000002,0.004541883840000001,0.019157433119999998,0.00180510768,0.03936299328,0.0040760496,0.045535296960000006,0.07837661087999999,0.0025038590399999996,0.01327627584,0.006230532960000001,0.0075115771200000014,0.15215310864,0.0090255384,,0.006230532960000001,0.02771713728,0.00331906896,0.005182405920000001,0.031269123360000005,0.01088887536,0.00029114639999999997,0.008210328480000001,0.00186333696,0.0012810441600000005,0.00011645856,0.010597728960000002
Anhui,0.01873671264,0.01099763568,0.24479922384,0.04724910144,0.0478600812,0.010386655920000001,0.017107433279999997,0.004887838079999999,,0.0057024777600000005,0.09531284256,0.52014743568,0.0016292793599999998,0.008961036479999998,0.0030548988,0.004276858319999999,0.45416162159999995,0.00346221864,0.3449999044800001,0.01873671264,0.0376770852,0.0036658785600000004,0.004276858319999999,0.041342963760000004,0.004887838079999999,0.0012219595199999998,0.009775676159999998,0.00285123888,0.0006109797599999999,0.00040731983999999996,0.06394921488000001
Fujian,0.006885628560000001,0.00461207196,0.01156265928,0.026957885400000003,0.01597985496,0.008444638800000001,0.02007225684,0.0022735566,0.01312166952,0.0031180204800000002,0.21293481528000005,0.03624698808,0.0026633091600000002,0.01344646332,0.0031180204800000002,0.007275381120000001,0.06898620311999999,0.01058827788,0.06411429612000001,0.0070805048400000015,,0.007015546080000001,0.008899350120000002,0.0279322668,0.016369607520000003,0.0005196700800000001,0.02280052476,0.0019487628,0.0018838040399999998,,0.01877308164
