,Hebei,Tianjin,Henan,Shanxi,Shandong,Liaoning,Hunan,Inner Mongolia,Anhui,Shaanxi,Guangdong,Jiangsu,Heilongjiang,Sichuan,Jilin,Gansu,Shanghai,Guizhou,Zhejiang,Hubei,Fujian,Hainan,Chongqing,Jiangxi,Yunnan,Xinjiang,Guangxi,Qinghai,Ningxia,Tibet,Beijing
Jiangxi,0.00429218676,0.00251610948,0.010508457239999998,0.031525371719999994,0.00932440572,0.0022200966,0.07563129084,0.0005920257599999999,0.036113571359999985,0.00266411592,0.6413119045199999,0.045881996399999986,0.0004440193199999999,0.007104309119999998,0.0005920257599999999,0.006808296239999999,0.11292891371999997,0.0066602898,0.22733789183999994,0.02234897244,0.16991139311999998,0.00384816744,0.007548328440000001,,0.012876560279999998,0.00014800643999999998,0.01583668908,0.00103604508,0.0004440193199999999,,0.01894482432
Shandong,0.24913124964,0.09557550288,0.15973807824000005,0.09991984392,,0.05447135304,0.018045724319999998,0.02289133548,0.04294214028,0.01854699444,0.06215749488000001,0.31362800508,0.015038103600000003,0.022557155400000004,0.013033023119999999,0.00952413228,0.12916060092,0.005681061360000001,0.07769686860000001,0.00701778168,0.019382444640000003,0.00401016096,0.00601524144,0.013701383279999998,0.006850691639999999,0.0025063506000000003,0.01102794264,0.007351961760000002,0.00350889084,0.00100254024,0.17627999219999999
Henan,0.10048440095999997,0.02001172392,,0.13177933092,0.18372465684,0.015328128959999996,0.04087501056,0.010431643319999998,0.27803522808000003,0.02852735112,0.30081453084000004,0.16456449564,0.0021289068,0.031294929959999995,0.004044922919999999,0.014050784879999998,0.20586528756,0.008515627199999999,0.19649809764,0.06599611080000001,0.04342969871999999,0.00681250176,0.01021875264,0.027888679080000003,0.01107031536,0.00298046952,0.014902347599999997,0.014050784879999998,0.00255468816,0.00149023476,0.18691801704
Hubei,0.00207197352,0.0015246597600000007,0.05989176288000001,0.03620089584,0.00375300864,0.00121190904,0.0973436616,0.00043003224,0.0170058204,0.014894753040000003,0.046208918880000005,0.006333202080000001,0.0003909384,0.0154420668,0.00043003224,0.0005473137600000001,0.00715417272,0.0008991583200000002,0.00422213472,,0.00230653656,0.0001954692,0.04425422688,0.01770950952,0.0013682844000000001,0.00023456304,0.0031666010400000005,0.00023456304,0.00015637536000000002,0.00015637536000000002,0.00453488544
Hunan,0.0075042288,0.0032518324800000003,0.014758316640000001,0.044274949919999994,0.014258034719999998,0.00525296016,,0.00225126864,0.014007893760000004,0.00400225536,1.6226644075200003,0.04352452704,0.00050028192,0.01801014912,0.00150084576,0.00450253728,0.06778820015999999,0.06103439424,0.11481470064000002,0.0925521552,0.050028192000000006,0.00925521552,0.03051719712,0.06753805920000001,0.034269311520000005,0.00025014096,0.11531498256000003,0.00225126864,0.00075042288,0.00025014096,0.05052847392
Guangdong,0.010625126399999999,0.003585980160000001,0.040641108480000014,0.06813362304000001,0.0152736192,0.009031357440000002,0.34398846720000004,0.003718794240000001,0.015672061440000003,0.010625126399999999,,0.01607050368,0.005711005440000001,0.03745357056,0.005711005440000001,0.02802377088,0.022312765440000003,0.0710555328,0.02310964992,0.01952366976,0.06348513024,0.04077392256,0.021250252799999998,0.061758547200000014,0.02244557952,0.00703914624,0.25247956608000005,0.004382864639999999,0.00172658304,0.00026562816,0.021515880960000004
Guangxi,0.007252169759999999,0.0018130424399999997,0.011537542799999998,0.02933832312,0.005439127319999999,0.00313161876,0.0791145792,0.0016482204,0.00560394936,0.004120550999999999,1.23682458816,0.00955967832,0.0018130424399999997,0.03016243332,0.00346126284,0.00214268652,0.014669161559999996,0.07680707063999999,0.02126204316,0.003955728959999999,0.014009873400000001,0.008076279959999998,0.0067577036399999995,0.010054144439999996,0.0436778406,0.00016482204,,0.0016482204,0.0008241101999999999,,0.01021896648
Hainan,0.014153240159999999,0.003037176,0.01828379952,0.015094764719999997,0.006833646,0.007957401119999999,0.013667292,0.007927029359999999,0.0018223056,0.00379647,0.06575486039999999,0.006621043679999999,0.014973277679999997,0.0201972204,0.0135154332,0.00479873808,0.007805542319999998,0.0094152456,0.008412977519999998,0.0024601125600000003,0.0021563949599999995,,0.01403175312,0.00388758528,0.0013059856799999998,0.0010022680799999998,0.00947598912,0.0028549454399999998,0.0006378069599999999,3.037176e-05,0.02092614264
Chongqing,0.0073814392800000015,0.00199050048,0.00796200192,0.024300693360000004,0.004644501120000001,0.0015758128800000002,0.041468760000000014,0.0011611252800000002,0.00588856392,0.006220314,0.16288928928000004,0.01260650304,0.0005805626400000001,0.25063718544,0.0004146876000000001,0.0023222505600000005,0.02313956808,0.08608914576000001,0.02081731752,0.05789038896,0.033589695600000004,0.002654000640000001,,0.00796200192,0.03433613328,0.0017416879199999998,0.013187065680000002,0.0014099378400000005,0.00024881256,0.0024881256000000005,0.01028425248
Sichuan,0.01612438164,0.0051894561600000005,0.028912684320000007,0.060605434440000015,0.01593904392,0.007413508800000001,0.030024710640000007,0.00333607896,0.016309719360000002,0.038920921200000014,0.3758648961600001,0.044295715080000006,0.00148270176,,0.0009266886000000002,0.025576605359999997,0.07191103536000001,0.13399917156000002,0.0537479388,0.030024710640000007,0.05912273267999999,0.009266886,0.3788302996800001,0.00852553512,0.29709636516000004,0.006116144760000001,0.04855848264,0.0129736404,0.00111202632,0.026503293960000004,0.04151564928000001
Guizhou,0.00195601392,0.0011177222399999995,0.006613189919999999,0.02580075504,0.0030737361600000003,0.0011177222399999995,0.07656397344,0.00037257408,0.0037257408000000002,0.0024217315199999995,0.21572039232,0.01238808816,0.00027943055999999993,0.1038550248,0.00027943055999999993,0.0011177222399999995,0.016206972479999998,,0.033065949599999984,0.00400517136,0.02533503744,0.0017697268799999996,0.08280458928,0.01033893072,0.19727797536,9.314352e-05,0.08792748287999999,0.00018628704,0.00027943055999999993,0.00037257408,0.01406467152
Yunnan,0.0035912678399999997,0.0006733627200000001,0.006509172959999999,0.0321717744,0.004040176320000001,0.0017208158400000002,0.017208158400000003,0.0008978169599999999,0.003291995520000001,0.0032171774400000003,0.09659014127999999,0.012419801280000002,0.0014963616000000005,0.24211130688,0.0006733627200000001,0.0014963616000000005,0.014813979840000002,0.18345393216000005,0.015113252160000003,0.0054617198399999995,0.01152198432,0.00216972432,0.01631034144,0.0038157220800000007,,0.00059854464,0.0546171984,0.00037409040000000013,7.481808e-05,0.0018704520000000003,0.008529261120000001
Tibet,6.38604e-05,,0.0003216672,0.0016509095999999999,0.0001277208,0.0001277208,0.0001939464,9.697319999999998e-05,0.00022469400000000003,0.0001939464,0.0001277208,0.0001608336,,0.008746509599999999,,0.0021688884,9.697319999999998e-05,9.697319999999998e-05,3.0747600000000004e-05,3.0747600000000004e-05,6.38604e-05,,0.0006456996,,0.0021688884,0.0001608336,3.0747600000000004e-05,0.005830218000000001,,,0.0002578068
Shaanxi,0.016887404879999998,0.0050352354,0.036795951,0.14819085108,0.01650007908,0.0047253747600000005,0.01208456496,0.08412716375999997,0.0120070998,,0.07498627488,0.0433804896,0.00139437288,0.0433804896,0.00061972128,0.0584861958,0.03594383424,0.00534509604,0.02610575892,0.02021840676,0.009450749520000001,0.0025563502800000004,0.012471890759999998,0.00371832768,0.00534509604,0.001936629,0.0047253747600000005,0.00937328436,0.02974662144,0.0011619774000000002,0.04655656116
Gansu,0.006041968200000001,0.005106437640000001,0.008341814160000002,0.018866532959999998,0.00904346208,0.00113043276,0.003781102680000001,0.0138380562,0.003118435200000001,0.06388894116000003,0.022062929040000002,0.01820386548,0.00038980440000000013,0.021322300680000003,0.0005847066,,0.02697446448,0.00163717848,0.012083936400000002,0.0019100415600000005,0.003547220040000001,0.0007796088000000003,0.00444377016,0.00093553056,0.0024557677200000004,0.00978409044,0.0013643154,0.054689557320000005,0.056950422840000015,0.0014422762800000005,0.014539704120000004
Qinghai,0.00067904892,0.00035123220000000016,0.0012956565600000002,0.00384794388,0.0012254101200000005,0.00038245284,0.00048391992,0.0005463612,0.00022634964000000006,0.0016156681200000002,0.0013893184800000005,0.0014829804000000002,3.1220640000000014e-05,0.0035591529600000004,3.1220640000000014e-05,0.04085220744000001,0.00125663076,0.00028879092000000004,0.0007414902000000001,0.0009366192,0.00022634964000000006,0.00012488256000000005,0.0015220062000000005,3.1220640000000014e-05,0.0006478282800000001,0.0018420177600000005,0.00048391992,,0.0018732384000000003,0.006798294360000003,0.0031688949600000003
Ningxia,0.00209944224,0.0008997609600000002,0.0015424473600000007,0.00725521536,0.00187093152,0.0002142288,0.00082835136,0.035433443519999996,0.0006712502400000001,0.022479742080000004,0.00212800608,0.0026850009600000004,2.856384e-05,0.0015852931200000002,2.856384e-05,0.0447738192,0.00248505408,0.00012853728,0.00138534624,0.0011568355200000002,0.0012568089600000002,8.569152e-05,0.0007712236800000001,2.856384e-05,0.00082835136,0.0006712502400000001,0.00025707456,0.00161385696,,,0.007412316479999999
Xinjiang,0.0011254204800000005,0.0014822611200000005,0.00372395232,0.012471122880000005,0.0013267151999999999,0.0006770822400000001,0.00116201952,0.0013907635200000002,0.0005764348800000001,0.0017110051200000006,0.013871036160000004,0.0022965897600000004,0.0002561932800000001,0.0083262816,0.00028364256,0.01442002176,0.0044650828799999995,0.00019214495999999998,0.0009332755200000002,0.003952696320000001,0.0006130339200000001,0.00044833824,0.0021959424000000003,0.00021959424,0.0007411305600000003,,0.0006130339200000001,0.00385204896,0.0006404832,0.0002561932800000001,0.007127663040000002
Taiwan,0.00022649544,3.201768e-05,3.201768e-05,0.00012925656,0.00025851312,3.201768e-05,3.201768e-05,,0.000355752,3.201768e-05,0.00304523712,0.00252702504,,0.00012925656,3.201768e-05,,0.00298001592,,0.00025851312,,0.0007767252,3.201768e-05,,6.403536e-05,6.403536e-05,,6.403536e-05,,3.201768e-05,,0.00025851312
Hong Kong,0.00015793056,0.00025883064,9.651312e-05,0.00051766128,9.651312e-05,0.00028953936000000003,0.00019302624,,3.070872e-05,3.070872e-05,0.034893879839999996,0.0004825656,3.070872e-05,0.0004825656,,,0.00152227512,9.651312e-05,0.00028953936000000003,6.141744e-05,0.0009388094400000001,0.00035534376000000004,0.00032024808,0.00025883064,0.00012722183999999998,,0.00028953936000000003,,,,0.0010002268799999998
Macau,6.27588e-05,,2.89656e-05,0.0001255176,,6.27588e-05,2.89656e-05,,,,0.046750478399999996,,,,2.89656e-05,,0.0002220696,,2.89656e-05,,2.89656e-05,,2.89656e-05,6.27588e-05,2.89656e-05,,2.89656e-05,,,,9.6552e-05
