,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Anhui,Inner Mongolia,Shaanxi,Jiangsu,Guangdong,Jilin,Zhejiang,Sichuan,Gansu,Heilongjiang,Guizhou,Shanghai,Jiangxi,Fujian,Yunnan,Chongqing,Hubei,Hainan,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.5398981289999999,0.07959061619999999,0.057183576479999984,0.048971041560000005,0.033864032879999985,0.0299098494,0.022407039719999997,0.02220426108,0.02098758924,0.01895980284,0.017844520319999998,0.015715344599999997,0.012775054319999998,0.011862550439999996,0.010747267919999998,0.01044309996,0.0096319854,0.008820870839999998,0.007502809679999998,0.006286137839999999,0.00547502328,0.003650015519999999,0.00344723688,0.002940290279999999,0.00283890096,0.00243334368,0.00212917572,0.0012166718399999998,0.0008111145599999999,0.00030416795999999995,
Tianjin,0.31265701920000005,,0.0510069636,0.012360049199999999,0.015667668000000003,0.0200778264,0.0020890224,0.0042360732,0.0172924632,0.0033656472,0.0139848444,0.007833834000000001,0.0059769252,0.007543692000000001,0.0030755052,0.0037138176,0.0035977608,0.0010445112,0.00290142,0.0022631076,0.0023791644,0.0012766248,0.001160568,0.0034817040000000004,0.0012766248,0.0009284544,0.0001740852,0.0012185964,0.0001740852,5.80284e-05,0.07642340280000001
Hebei,,0.4614363936000001,0.4238707384800001,0.14464256184000002,0.26710068168,0.10559794392,0.025733952719999998,0.033128766720000015,0.12541604544,0.07010283672000002,0.10441477367999999,0.050876320319999994,0.019226516400000004,0.07513131024,0.030466633680000008,0.020113894080000003,0.010056947040000002,0.012719080079999999,0.025142367600000003,0.02129706432,0.016860175919999998,0.01567700568,0.0103527396,0.006211643760000001,0.0035495107200000002,0.014198042880000001,0.0017747553600000001,0.007986399120000001,0.00532426608,0.0011831702400000002,0.8430087959999999
Shanxi,0.2655853272,0.05028216588000001,0.10802459376,0.11488803480000001,,0.01178721396,0.01208562444,0.018650655,0.14562431424,0.27319479443999994,0.13637358936000002,0.039837799079999986,0.003730131,0.05804083836000001,0.02432045412,0.0104443668,0.00343172052,0.008504698679999999,0.028796611319999995,0.00939993012,0.01059357204,0.01014595632,0.0058190043599999994,0.0059682096,0.00193966812,0.00686344104,0.00387933624,0.00656503056,0.0058190043599999994,0.00029841047999999996,0.1089198252
Inner Mongolia,0.12022777187999999,0.03281100696000001,0.02900683224,0.00784611036,0.0808387128,0.15081967692000006,0.00245686284,0.00372492108,,0.09328153428,0.01133327052,0.0110955096,0.05539829436000001,0.011016255959999999,0.00562700844,0.017752815360000004,0.031146680519999997,0.0015850728,0.00578551572,0.00174358008,0.00150581916,0.00190208736,0.0015850728,0.0030908919599999998,0.00071328276,0.00174358008,0.0021398482800000004,0.04065711732,0.0022191019200000005,0.00015850728000000005,0.0618178392
Liaoning,0.1358394786,0.042145288200000006,0.0807001056,0.0139344462,0.013165059599999999,,0.0068389919999999995,0.008292277800000001,0.10651730039999999,0.0074374038,0.0396661536,0.0313738758,0.14917551299999998,0.0417178512,0.0071809416,0.0030775464,0.0371015316,0.0027355968,0.0177813792,0.0070954542,0.0075228912,0.0039324204,0.0026501094,0.0040179078000000005,0.002393647200000001,0.0039324204,0.0008548739999999999,0.0007693866,0.0007693866,0.0002564622,0.07428855059999999
Jilin,0.040219837200000004,0.029810721600000003,0.0525383172,0.004988984400000001,0.0035107668,0.2095989372,0.0043730604,0.0050505768,0.04656385440000001,0.0033875820000000005,0.0232203348,0.020571861599999998,,0.035107668,0.004065098400000001,0.0011702556,0.0593750736,0.0019709568,0.0102243384,0.003449174400000001,0.0041882832,0.0022173264,0.0010470708,0.0011086632,0.0015398100000000002,0.0022789188000000003,0.00036955440000000005,0.0004927392,0.00018477720000000002,,0.042252386400000015
Heilongjiang,0.0338921334,0.0252615186,0.050668496999999986,0.005769905399999999,0.0032486022,0.0954216288,0.0023273567999999994,0.002909196,0.032825428199999986,0.0024728166,0.0192976668,0.018667341,0.08344543859999999,0.0221583762,0.004218334199999999,0.0012606515999999998,,0.0011151917999999998,0.010424618999999998,0.0021334104000000002,0.0031031424,0.0017455175999999998,0.0006788124,0.0025213031999999995,0.003878928,0.0023273567999999994,0.00014545979999999994,0.0005333526000000001,9.69732e-05,,0.051347309399999985
Shanghai,0.007518445919999998,0.00326458836,0.0286888068,0.03145876056,0.00504527292,0.0062323959600000004,0.00929913048,0.06044434812000001,0.00108819612,0.005440980600000001,0.47257389683999995,0.01889504172,0.00257209992,0.23257718892,0.00999161892,0.00801308052,0.00207746532,0.00722166516,,0.026710268399999997,0.014542257239999997,0.007518445919999998,0.00514419984,0.00326458836,0.0014839038,0.00356136912,0.00029678076,0.00108819612,0.0011871230399999998,9.892691999999999e-05,0.008804495879999999
Jiangsu,0.044512973280000014,0.01731060072,0.34044181416,0.10688609016000003,0.0247294296,0.020333086559999998,0.02445465816,0.42534618912,0.0065945145600000005,0.0219817152,,0.07940894616000001,0.0065945145600000005,0.6336229406399999,0.02390511528,0.02692760112,0.0032972572800000002,0.022256486640000003,0.70945985808,0.06154880256000001,0.04039140168,0.017035829279999998,0.010716086159999999,0.009342228959999999,0.00494588592,0.01346380056,0.0016486286400000001,0.0038468001600000007,0.00494588592,0.00027477144,0.035995058639999994
Zhejiang,0.013180643999999998,0.0076447735199999985,0.047318511960000004,0.043364318759999985,0.0072493542,0.01357606332,0.043627931639999985,0.11216728044,0.0027679352399999995,0.01028090232,0.32318939088000004,0.07895205756,0.006853934879999999,,0.028601997480000002,0.012389805359999995,0.00237251592,0.042046254359999986,0.2359335276,0.12139373124,0.07947928332000001,0.02201167548,0.01660761144,0.0046132254,0.00289974168,0.017398450080000002,0.0007908386399999999,0.00105445152,0.0017134837199999993,0.00013180644,0.016080385679999996
Anhui,0.024508824480000004,0.02100756384,0.08461379880000001,0.31394637072000003,0.011087325359999999,0.01984047696,0.032094889200000004,,0.00466834752,0.0116708688,2.16611324928,0.17389594512,0.004084804080000001,2.08966905864,0.015755672880000002,0.008169608160000001,0.00116708688,0.0175063032,0.49192711992,0.11262388392000001,0.09395049384,0.00992023848,0.0087531516,0.0204240204,0.004084804080000001,0.016339216320000002,0.00058354344,0.00116708688,0.0029177172000000003,0.00058354344,0.06477332184000001
Fujian,0.009389844,0.00707454,0.024182063999999996,0.022638528,0.0061741439999999995,0.014534963999999997,0.043862148,0.023410296,0.003472956,0.006688655999999999,0.101230236,0.389485584,0.004244723999999999,0.214422876,0.019680084,0.009904356,0.00192942,0.05440964400000001,0.06662930399999999,0.12399739199999997,,0.028555416,0.01672164,0.00385884,0.010676124,0.048106872,0.0006431399999999999,0.002058048,0.002829816,0.000257256,0.0192942
Jiangxi,0.0091438956,0.0065313540000000005,0.0230774508,0.0165460968,0.003047965200000001,0.0052250832,0.17547571080000002,0.06749065800000001,0.002177118,0.0056605068,0.21335756400000006,1.6728974712000002,0.0017416944,1.2035108304000002,0.0209003328,0.0056605068,0.0004354236,0.0422360892,0.15152741279999998,,0.5839030476,0.019594062,0.0178523676,0.021335756400000003,0.0082730484,0.0461549016,,0.0008708472000000001,0.0008708472000000001,,0.021335756400000003
Shandong,0.35765807256000004,0.13085682192,,0.27826470431999994,0.08197947143999999,0.06568702128000001,0.0245679804,0.09516859776,0.03801571704,0.04629124728,0.6193717164,0.07292811024,0.021981877200000003,0.28472996232000003,0.03232629,0.014999398559999998,0.014999398559999998,0.016809670800000003,0.11740908528000002,0.038274327360000006,0.02948157648,0.016292450160000003,0.0103444128,0.0103444128,0.0038791548,0.016292450160000003,0.0031033238399999995,0.00543081672,0.005689427040000001,0.0007758309599999999,0.12749488775999998
Henan,0.15338517695999995,0.043887666239999984,0.3165231686399999,,0.12102356447999997,0.01906231968,0.07004294207999999,0.48232101888,0.012855983039999996,0.06871301279999999,0.8666705807999998,0.5093629142399999,0.00487640736,0.9336103545599996,0.04078449791999999,0.03014506368,0.0017732390399999996,0.027485205119999998,0.21677847263999994,0.08821864223999999,0.10595103263999997,0.018175700159999995,0.014629222079999997,0.06826970303999999,0.007092956159999999,0.025268656319999992,0.0057630268799999974,0.004433097599999999,0.010639434239999995,0.0022165487999999994,0.15560172575999998
Hubei,0.0028320192,0.0021712147199999996,0.00457843104,0.05588517888,0.0016520112,0.0013216089600000002,0.11955841056,0.016614512640000002,0.0004720032,0.01637851104,0.015717706560000003,0.0998286768,0.0004720032,0.023175357120000004,0.0056640384,0.00113280768,0.00028320192,0.0033040224,0.01184728032,0.024968969280000003,0.007127248320000001,0.0018408124800000003,0.045076305600000005,,0.0003304022400000001,0.00443683008,0.00028320192,9.440064e-05,0.0007080048,,0.003540024
Hunan,0.00916457976,0.0052369027200000005,0.01658352528,0.02312965368,0.0052369027200000005,0.00480049416,,0.02705733072,0.0008728171200000001,0.00567331128,0.10473805439999999,2.6878403210400004,0.0017456342400000002,0.45124645103999994,0.02749373928,0.0052369027200000005,0.00043640856,0.21122174304000002,0.03622191048,0.2269324512,0.10648368864,0.0305485992,0.05149621008000001,0.08597248632000001,0.014401482480000002,0.17543624111999995,0.0008728171200000001,0.00043640856,0.0021820428,0.00043640856,0.037094727599999995
Guangdong,0.01220106888,0.00332756424,0.023108085,0.05287129848,0.0064702638,0.010722151440000001,0.3652926076800001,0.021259438199999998,0.0029578348800000003,0.010167557399999999,0.03937617684,,0.00610053444,0.07745830092000001,0.05213183976,0.01090701612,0.0053610757200000005,0.12977500535999997,0.02088970884,0.21019114116,0.13162365216,0.03105726624,0.028099431360000003,0.01589836248,0.05601399804,0.4185336355200001,0.007024857840000001,0.00166378212,0.00332756424,0.00036972936,0.01793187396
Guangxi,0.009290781,0.0007432624799999999,0.005574468599999999,0.01412198712,0.0014865249599999998,0.004459574879999999,0.10925958455999997,0.00631773108,0.0011148937199999998,0.00260141868,0.017838299519999996,3.13545277188,0.0018581562,0.06392057327999999,0.03270354912,0.0029730499199999995,0.0007432624799999999,0.12412483416,0.007060993559999998,0.037163124,0.028987236719999997,0.06838014815999999,0.011892199679999998,0.0037163124,0.011520568439999998,,0.00037163123999999994,0.00037163123999999994,0.00037163123999999994,,0.005946099839999999
Hainan,0.012301994879999998,0.0019771063199999998,0.005648875200000001,0.017260452,0.005083987680000001,0.006496206479999999,0.00906958296,0.00348347304,0.0037659168,0.00608823216,0.00561749256,0.09844734168,0.01073286288,0.01038765384,0.01817054856,0.00442495224,0.01132913304,0.013965274800000002,0.0054291967200000004,0.0111408372,0.0053350488000000005,0.0016005146400000002,0.01073286288,0.0029813508,,0.012866882399999998,0.00053350488,0.0015063667199999998,0.00106700976,0.00018829584,0.015189197759999998
Chongqing,0.008356672800000001,0.0019498903200000004,0.008774506440000001,0.011977897679999999,0.00403905852,0.0022284460800000004,0.07785633492,0.011281508280000005,0.0013927788000000002,0.0160169562,0.04498675524000001,0.20557415088000006,0.0006963894000000001,0.14457043944,0.35153736911999994,0.006267504600000001,0.0005571115200000001,0.21462721308000005,0.028412687520000007,0.02130951564,0.06532132572,0.038858528520000005,,0.07994550312000001,0.00431761428,0.024652184759999998,0.0013927788000000002,0.0005571115200000001,0.0015320566800000005,0.004456892160000001,0.006824616120000001
Sichuan,0.018594528480000004,0.005613442560000001,0.024558811200000003,0.05999366736000001,0.012981085920000005,0.008420163840000001,0.05578358544000001,0.02420797104,0.004210081920000001,0.08560499903999999,0.1438444656,0.5283652809600001,0.0028067212800000005,0.3669788073600001,,0.041749979039999996,0.0014033606400000002,0.4897728633600001,0.05122266336,0.03297897504,0.12384657648,0.36206704512,0.8518399084800001,0.03929409792000002,0.01087604496,0.07893903599999999,0.005613442560000001,0.0014033606400000002,0.01157772528,0.028067212800000005,0.030873934080000005
Guizhou,0.00351221184,0.0013170794399999998,0.0061463707200000006,0.00812198988,0.0021951324,0.0021951324,0.19624483656,0.010975662,0.0006585397199999999,0.0032926986,0.05400025704,0.49851456804,0.00021951324,0.39029454071999997,0.14904948996,0.0021951324,0.00087805296,,0.02678061528,0.06058565424,0.10295170956,0.31478198616,0.14531776487999998,0.00417075156,0.005268317759999999,0.18504966132,0.00043902648,0.00021951324,0.0006585397199999999,0.0006585397199999999,0.015365926799999997
