,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Anhui,Inner Mongolia,Shaanxi,Jiangsu,Guangdong,Jilin,Zhejiang,Sichuan,Gansu,Heilongjiang,Guizhou,Shanghai,Jiangxi,Fujian,Yunnan,Chongqing,Hubei,Hainan,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Yunnan,0.004970723759999999,0.00091565964,0.00732527712,0.00902578788,0.0026161704000000003,0.00183131928,0.04355923716,0.00680204304,0.00091565964,0.006278808959999999,0.035449108919999986,0.15278435136,0.0015697022399999998,0.15383081951999994,0.29261865924,0.00340102152,0.0011772766799999998,0.3833997721199999,0.015566213879999997,0.0137348946,0.02838544884,,0.02315310804,0.00732527712,0.0011772766799999998,0.09771396444,0.00039242556,0.0006540426000000001,0.0005232340799999999,0.0023545533599999995,0.006278808959999999
Tibet,,,0.00025789104,0.00016020504,6.447276e-05,0.00012894552,0.00019341828000000002,6.447276e-05,6.447276e-05,0.00012894552,0.00016020504,0.0005489953200000001,3.125952e-05,9.573228e-05,0.008391227400000001,0.0016508934,3.125952e-05,9.573228e-05,3.125952e-05,6.447276e-05,3.125952e-05,0.0012308436,0.00048452255999999997,3.125952e-05,,,6.447276e-05,3.125952e-05,0.005345377920000001,,0.00012894552
Shaanxi,0.04069626624,0.007330383359999999,0.031470094080000004,0.07633709568,0.208536768,0.0039179635200000005,0.01883150208,0.02186476416,0.10439476992,,0.13498016255999998,0.09896017536,0.0029068761600000003,0.10363645439999998,0.06483597696,0.10527947136,0.0008847014400000002,0.02098006272,0.02451886848,0.0101108736,0.01870511616,0.0139024512,0.01870511616,0.0202217472,0.0036651916799999994,0.0069512256,0.0029068761600000003,0.041201809919999985,0.0113747328,0.0025277184,0.041075424
Gansu,0.00935396748,0.008961493320000001,0.011577987720000002,0.020801130480000003,0.00549463824,0.00137365956,0.005363813520000001,0.007587833759999999,0.025707057480000003,0.12644209188,0.06685143192000001,0.03427607664,0.0007195359600000001,0.04173308568,0.04042483848,,0.00058871124,0.0042518034,0.0255108204,0.0050367517200000005,0.008176545,0.004840514640000001,0.00974644164,0.00497133936,0.0011120101199999998,0.0022894326000000003,0.010727627040000002,0.07803694548000001,0.06724390607999998,0.00320520564,0.02047406868
Qinghai,0.00077039424,0.00038019456,0.00097049664,0.00184094208,0.00126064512,0.00022011264,0.00042021504,0.00064032768,0.0015507936,0.003912001920000001,0.0029114899199999995,0.0025513056,,0.0016508448000000001,0.004882498559999999,0.05656894847999999,9.004607999999999e-05,0.00042021504,0.0008004096000000001,0.0003501792,0.0006103123199999999,0.0004802457599999999,0.00194099328,0.0003501792,0.00029014848,0.00038019456,0.0016808601599999993,0.0023912236800000004,,0.008514357120000001,0.00106054272
Ningxia,0.0026458164,0.001666656,0.0024166511999999998,0.0029374812,0.003270812400000001,0.0004791636000000001,0.0013124916,0.0018958212000000003,0.0527288292,0.0376455924,0.0041458067999999995,0.004458304800000001,0.00014583240000000004,0.0047499696,0.0034583112000000004,0.06393709080000001,2.08332e-05,0.0007083288000000001,0.004458304800000001,0.0007083288000000001,0.0013541580000000005,0.0014166576000000002,0.0007083288000000001,0.0018749880000000004,8.333280000000001e-05,0.0012916584,0.0010624932,,0.0036249768,8.333280000000001e-05,0.0027499824000000003
Xinjiang,0.0010023166800000002,0.0007043306400000001,0.0032056073999999998,0.0034945635600000004,0.00031604580000000004,0.00074045016,0.0016434381600000005,0.0005779123200000001,0.003783519720000001,0.00235679868,0.00229358952,0.01188332208,0.00038828484,0.002519336520000001,0.010330182719999999,0.025166275560000003,0.00015350796000000006,0.00041537448000000007,0.0034584440400000005,0.0003521653200000001,0.0009661971600000002,0.0007765696800000001,0.0024561273600000005,0.0003521653200000001,0.0006772410000000001,0.0004514940000000001,,0.0018420955200000005,0.00229358952,9.02988e-05,0.005408898120000001
Taiwan,,,0.00019402740000000002,3.211488e-05,,3.211488e-05,,3.211488e-05,,,0.0029478783600000004,0.0029478783600000004,6.422976e-05,0.0016846930800000002,,,,,0.00252637056,0.00019402740000000002,0.00178103772,,,,,,,,,,0.00029037203999999995
Hong Kong,6.0691680000000006e-05,9.537263999999997e-05,6.0691680000000006e-05,6.0691680000000006e-05,,0.00016039943999999998,0.00025577207999999993,3.0345840000000003e-05,6.0691680000000006e-05,,0.0004508524799999999,0.034667954639999984,6.0691680000000006e-05,0.00032079888,0.00038582568,,9.537263999999997e-05,,0.0008410132799999999,0.00016039943999999998,0.0016820265599999998,3.0345840000000003e-05,3.0345840000000003e-05,3.0345840000000003e-05,0.00022542623999999994,0.00019074528,,,,,0.00058090608
Macau,6.18192e-05,,3.09096e-05,6.18192e-05,,3.09096e-05,6.18192e-05,3.09096e-05,,,3.09096e-05,0.02802573432,3.09096e-05,6.18192e-05,6.18192e-05,,,3.09096e-05,6.18192e-05,,0.00032145984,9.581976000000001e-05,,3.09096e-05,3.09096e-05,6.18192e-05,,,,,9.581976000000001e-05
