,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Heilongjiang,Anhui,Guangdong,Shaanxi,Hunan,Jiangsu,Jilin,Gansu,Shanghai,Sichuan,Guizhou,Fujian,Chongqing,Hainan,Zhejiang,Jiangxi,Hubei,Guangxi,Yunnan,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.49693735872,0.0626893344,0.052639139519999996,0.0467682336,0.045375137279999984,0.03154368096,0.02477721312,0.0228865824,0.02079693792,0.02059792416,0.02019989664,0.01960285536,0.0164186352,0.01432899072,0.01432899072,0.013731949440000002,0.01233885312,0.0071644953599999985,0.00666696096,0.005572385280000001,0.005472878400000001,0.005373371520000001,0.0050748508800000005,0.0044778096,0.004179288959999999,0.004079782079999999,0.0033832339200000005,0.00238816512,0.0013930963200000002,9.950688e-05,
Tianjin,0.25244987471999997,,0.02787640272,0.007469508959999999,0.010594009440000001,0.01249800192,0.011423954879999998,0.012400361280000001,0.004003266239999999,0.0075671496,0.00419854752,0.0016110705599999998,0.006834844799999999,0.00580961808,0.00478439136,0.00815299344,0.0046379303999999994,0.0016110705599999998,0.0036127036799999995,0.0021969144000000005,0.0013181486400000002,0.00258747696,0.001220508,0.00102522672,0.00063466416,0.0014157892800000002,0.00087876576,0.0011716876800000001,0.0007811251200000001,4.882032000000001e-05,0.08602140384000001
Hebei,,0.40285159488,0.2139997968,0.09116149535999997,0.14726087711999994,0.08439088031999999,0.08294003424,0.01861919136,0.014992076159999998,0.04207453632,0.023213537279999998,0.008705076479999999,0.05489034336,0.01523388384,0.01233219168,0.039656459519999986,0.0278078832,0.00531976896,0.00918869184,0.01063953792,0.00556157664,0.02007003744,0.00628699968,0.0048361536,0.008221461119999999,0.0058033843199999996,0.00459434592,0.00701242272,0.00459434592,0.00024180767999999996,1.0404984470399998
Shanxi,0.13568258808000005,0.043425635760000005,0.03459635712,0.053155861200000015,,0.011982592440000002,0.0734271642,0.0012613255200000005,0.0076580478,0.03171332736,0.14307035184,0.0036037872,0.037749670920000006,0.0022523670000000003,0.0045948286799999995,0.04621857084,0.0175684626,0.0022523670000000003,0.005585870160000001,0.007838237159999999,0.0034235978399999997,0.00973022544,0.00261274572,0.0014415148800000002,0.0027929350800000004,0.00378397656,0.0012613255200000005,0.004054260600000001,0.00216227232,0.0004504734,0.20379416616
Inner Mongolia,0.08393382,0.025658856,0.017233560000000002,0.00446796,0.05616864000000001,0.11929453200000002,,0.042764760000000006,0.0017233560000000005,0.014233644000000004,0.048956076000000015,0.0010212480000000002,0.010276308,0.037275552,0.009638028000000002,0.014169816000000003,0.005106240000000001,0.0005744519999999999,0.0015957000000000002,0.002106324,0.0014042160000000002,0.004531788,0.0012127320000000002,0.001531872,0.0012127320000000002,0.0013403879999999999,0.0012765600000000002,0.022467456000000004,0.0015957000000000002,,0.104422608
Liaoning,0.09646832699999999,0.038742300000000014,0.04377879900000001,0.008135883,0.0089882136,,0.09344642759999999,0.05021002080000001,0.006121283400000001,0.040601930400000014,0.007128583199999999,0.0039517146000000005,0.031613716800000004,0.1000326186,0.0013947228,0.0394396614,0.0093756366,0.0013947228,0.0072835524,0.0037967454,0.0044166222,0.0147995586,0.0028669302,0.0014722073999999998,0.004261653000000001,0.0021695688000000005,0.0006973614,0.0008523306000000001,0.0006198768000000001,7.748460000000001e-05,0.1480730706
Jilin,0.0269311716,0.0199469466,0.0269870454,0.0036876708,0.0029613114,0.16002256319999994,0.041067243,0.08392244759999999,0.0024584472,0.0214555392,0.004190535,0.0042464088,0.0170973828,,0.0008381069999999999,0.025031462400000003,0.005810875199999999,0.0010616022,0.003352428,0.0026819424,0.0030730590000000004,0.0163151496,0.0011174759999999998,0.0014527187999999998,0.0025701948000000003,0.002514321,0.0006146118,0.0005028642,0.000279369,5.58738e-05,0.07537375619999999
Heilongjiang,0.04116451104,0.03399980184,0.046831144680000006,0.00436395924,0.00501529644,0.12127898664,0.047221946999999986,,0.00442909296,0.0322411914,0.003973156919999999,0.0022796802,0.02266653456,0.09235961495999999,0.00201914532,0.029766110039999998,0.0091187208,0.0006513372000000001,0.0035823546,0.0021494127600000003,0.005471232479999999,0.014589953280000003,0.0012375406800000002,0.0008467383599999997,0.0026704825199999997,0.00254021508,0.0006513372000000001,0.00091187208,0.0004559360400000001,,0.11548208556
Shanghai,0.00482517,0.002412585,0.022264713000000002,0.027779193000000004,0.0077892030000000015,0.008616375,0.0022747229999999998,0.007237755000000002,0.07630661700000002,0.021713265,0.005928066000000001,0.007513479000000002,0.2840646510000001,0.0033776190000000005,0.006755238000000001,,0.014820165,0.004756239000000001,0.012683304,0.0050319629999999995,0.0037222740000000007,0.10808380800000003,0.015233751,0.00482517,0.0044115840000000005,0.005790204,0.0025504470000000004,0.0013096890000000002,0.0009650340000000002,0.00027572400000000003,0.008892099
Jiangsu,0.023658609599999998,0.0123436224,0.16540454015999995,0.0534890304,0.016252436159999998,0.01810397952,0.005966084159999999,0.010492079040000001,0.3561135062399999,0.05945511456,0.02180706624,0.011932168319999995,,0.006171811199999999,0.016869617279999995,0.9689743584,0.02612733408,0.00802335456,0.01584098208,0.01152071424,0.004525994879999999,0.11705868575999999,0.01810397952,0.006171811199999999,0.00987489792,0.01069780608,0.004731721919999999,0.00267445152,0.004731721919999999,0.00041145408,0.06315820127999999
