,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Heilongjiang,Anhui,Guangdong,Shaanxi,Hunan,Jiangsu,Jilin,Gansu,Shanghai,Sichuan,Guizhou,Fujian,Chongqing,Hainan,Zhejiang,Jiangxi,Hubei,Guangxi,Yunnan,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.01047992904,0.00552430368,0.02331581112,0.02989623168,0.00584926272,0.00999249048,0.00292463136,0.0069053796,0.06401693087999999,0.06109229951999999,0.01007373024,0.016897870080000002,0.12315947615999999,0.0075552976800000015,0.010236209759999998,0.2554990452,0.02282837256,0.017141589359999997,0.032008465439999995,0.00828645552,0.00316835064,,0.030383670239999997,0.0042244675200000005,0.00950505192,0.01145480616,0.0015435554399999998,0.0010561168800000001,0.00316835064,8.123976e-05,0.02201597496
Anhui,0.0197940024,0.0187522128,0.0419320314,0.2390907132,0.006511185000000001,0.014324607000000003,0.0023440266,0.003646263600000001,,0.12866101560000004,0.014585054400000004,0.015366396599999999,0.8857816073999999,0.0033858162,0.0062507376,0.7641526716,0.015366396599999999,0.005990290200000001,0.041150689200000014,0.007813421999999999,0.0033858162,0.18309452220000005,0.0414111366,0.0158872914,0.0109387908,0.007813421999999999,0.005208948000000001,0.001302237,0.0023440266,0.0005208948000000001,0.0929797218
Fujian,0.008124442559999999,0.006249571200000001,0.01333241856,0.01208250432,0.0053468553600000005,0.00923547744,0.0022915094399999997,0.0034025443200000004,0.016873842240000003,0.20186114976,0.01034651232,0.016943281919999997,0.051940880640000006,0.0052774156800000005,0.00430526016,0.08582744447999999,0.0229150944,0.013471297920000002,,0.01638776448,0.006735648960000001,0.046246826880000015,0.04006669536,0.005902372800000001,0.026942595840000003,0.016179445440000002,0.0014582332800000002,0.0015276729600000002,0.0010415952,,0.02895634656
Jiangxi,0.00645547968,0.004841609760000001,0.01102811112,0.007262414640000002,0.0025552940400000003,0.003631207320000001,0.0013448916000000002,0.0022863157200000003,0.041826128760000005,0.5582645031600001,0.005648544720000001,0.07020334152,0.09414241200000002,0.00080693496,0.00632099052,0.16757349336000002,0.013717894320000005,0.007665882120000001,0.13529609496000006,0.00968321952,0.007665882120000001,0.09454587948,,0.020576841480000004,0.02407355964,0.007934860440000002,0.0013448916000000002,0.00026897832000000003,0.0013448916000000002,0.00013448916000000002,0.03375677916
Shandong,0.20248703999999995,0.09237888,,0.14867712,0.0303264,0.050544,0.01695168,0.02939328,0.03608064,0.06951743999999999,0.02768256,0.01026432,0.27464832,0.013996799999999998,0.007309439999999999,0.16982784,0.02503872,0.00575424,0.01741824,0.00902016,0.00435456,0.03950208,0.012597120000000002,0.00497664,0.00995328,0.0054432,0.00668736,0.0031104,0.00528768,0.0004665599999999999,0.22208256
Henan,0.0982456776,0.030463776,0.15726924359999994,,0.06492592259999999,0.0167550768,0.006663951,0.0057119580000000005,0.2536109352,0.2235279564,0.055786789800000014,0.0264654054,0.19592015940000002,0.005140762199999999,0.015612685199999997,0.2539917324,0.038270118599999986,0.006854349599999999,0.028750188599999997,0.0137086992,0.005140762199999999,0.06054675480000001,0.0154222866,0.06397392959999999,0.014470293600000001,0.0074255454,0.0121855104,0.0030463776,0.0074255454,0.0007615944,0.2117232432
Hubei,0.001862757,0.0006412769999999999,0.002687256,0.054844452,0.0010687949999999998,0.000977184,0.0005802030000000001,0.000396981,0.015482258999999998,0.028674243,0.015634943999999998,0.08577843299999999,0.005466122999999999,0.00091611,0.000946647,0.003511755,0.010352042999999998,0.0014657759999999998,0.002076516,0.045744426000000005,0.000274833,0.003236922,0.015024204,,0.001404702,0.0008550360000000001,0.000458055,0.00030537,0.00012214799999999998,6.107399999999999e-05,0.00366444
Hunan,0.008486493119999999,0.0047147184,0.008486493119999999,0.01390841928,0.00282883104,0.00424324656,0.00165015144,0.00212162328,0.01603004256,1.5266258179199999,0.00801502128,,0.06081986736,0.00141441552,0.00400751064,0.08533640304000001,0.02569521528,0.06506311392000001,0.0424324656,0.0377177472,0.017680194,0.05091895872,0.0683634168,0.08627934672,0.12281841432,0.01720872216,0.00377177472,0.00023573592,0.00094294368,0.00070720776,0.06364869840000001
Guangdong,0.013705200000000002,0.00578664,0.01857816,0.04705452,0.0121824,0.01659852,0.007614,0.0144666,0.02314656,,0.0213192,0.23283611999999995,0.0335016,0.01187784,0.01583712,0.041877,0.07522632000000001,0.07065791999999999,0.08619048,0.031521959999999995,0.05177519999999999,0.0205578,0.08664732,0.017816759999999997,0.30318948,0.0213192,0.00822312,0.0021319200000000003,0.00487296,0.00015228,0.035328959999999986
Guangxi,0.007495765919999999,0.00279503136,0.005971203359999999,0.00851214096,0.0026679844800000002,0.00482778144,0.00101637504,0.00330321888,0.0053359689600000005,0.8815783003200001,0.00330321888,0.0679700808,0.016134953759999997,0.0019057032,0.00279503136,0.01918407888,0.0374788296,0.07444947167999999,0.01549971936,0.009528516,0.01054489104,0.01283173488,0.0107989848,0.00279503136,,0.0387492984,0.00101637504,0.00050818752,0.00050818752,,0.01702428192
Hainan,0.0228402504,0.0044359164,0.0098156448,0.0193009554,0.014629086,0.0112313628,0.007125780600000002,0.028078407000000003,0.0034921044000000004,0.104999085,0.009626882400000002,0.011892031200000002,0.0083527362,0.016186375800000003,0.0057572532,0.014770657800000003,0.0392625792,0.014817848400000003,0.003303342,0.029399743800000006,,0.0098156448,0.007220161800000001,0.0030201984000000005,0.0164223288,0.0015100992000000005,0.005898825000000001,0.0013213368000000005,0.0029730078000000004,0.0001415718,0.0425659212
Chongqing,0.00929689488,0.0021454372800000002,0.00500602032,0.007151457599999998,0.0035757288,0.0032692377600000004,0.0010216367999999999,0.00061298208,0.00633414816,0.16376837904000002,0.007968767040000001,0.03463348752,0.01808297136,0.0015324552,0.0045973656,0.04158061776,0.43051774752,0.09480789504,0.035961615360000004,,0.004801692959999999,0.0189002808,0.006027657120000001,0.05332944096,0.0143029152,0.02319115536,0.003984383520000001,0.00020432736,0.0015324552,0.0022476009600000003,0.01869595344
Sichuan,0.024449477400000003,0.00849297636,0.016471226880000002,0.032427727919999996,0.011323968480000002,0.010037153880000002,0.0038604438,0.0033457179600000003,0.01595650104,0.52141727592,0.07206161759999999,0.037574986319999996,0.08904757031999999,0.00231626628,0.032170365,0.11967375780000003,,0.16883007551999998,0.08518712651999999,0.7275649748399999,0.01261078308,0.06742908504,0.012096057240000001,0.032942453760000004,0.055590390720000014,0.28361393784,0.020074307760000003,0.00231626628,0.012868146,0.024192114480000002,0.06150973788000001
Guizhou,0.003650832000000001,0.0018659807999999998,0.0031640544000000005,0.005760201600000001,0.0006490368,0.0008112960000000001,0.000405648,0.0006490368,0.0047866464000000004,0.1519557408,0.0030017952000000003,0.0649848096,0.016307049599999998,0.0001622592,0.0007301664,0.0124128288,0.118449216,,0.016307049599999998,0.0923254848,0.0021904992000000003,0.0207691776,0.0066526272,0.00405648,0.076261824,0.1791341568,0.0002433888,0.0001622592,0.0003245184,8.11296e-05,0.0214182144
Yunnan,0.00439167744,0.00322513812,0.00596993652,0.007205095800000002,0.00198997884,0.00219583872,0.0011665393199999999,0.0020585988000000003,0.00459753732,0.04858293168,0.00418581756,0.012831932520000002,0.013175032319999998,0.0008920594800000001,0.00144101916,0.012763312560000002,0.2655592452,0.18513665208000002,0.008989214760000001,0.016468790400000002,0.0020585988000000003,0.011116433520000002,0.00329375808,0.00212721876,0.04419125424,,0.0011665393199999999,0.0006175796400000001,0.0008920594800000001,0.0010292994,0.015508110959999998
Tibet,6.407423999999999e-05,3.2037119999999986e-05,0.00012814847999999995,0.00032304096000000004,0.00012814847999999995,0.00012814847999999995,6.407423999999999e-05,,0.00022425984,0.00041915232,0.00019222272,0.00029100384,9.611136e-05,9.611136e-05,0.0019435852800000002,3.2037119999999986e-05,0.01205129664,6.407423999999999e-05,0.00012814847999999995,0.0017486928,6.407423999999999e-05,6.407423999999999e-05,0.00019222272,,6.407423999999999e-05,0.0015217632,9.611136e-05,3.2037119999999986e-05,0.006284615039999999,,0.0001601856
Shaanxi,0.016442141400000002,0.009065396880000002,0.016442141400000002,0.041860803239999994,0.12567128615999998,0.006576856559999999,0.05341474044,0.00213303456,0.01164281364,0.10291891752,,0.01093180212,0.05732530380000001,0.0028440460800000004,0.08656565256000001,0.06781272372000001,0.05990272056,0.00435494556,0.0102207906,0.012176072279999998,0.0031995518400000002,0.021952480680000004,0.00417719268,0.017864164439999997,0.00417719268,0.00604359792,0.00791000316,0.033328665,0.01093180212,0.00097764084,0.07794463788
Gansu,0.008563397759999999,0.0088766928,0.00997322544,0.0080934552,0.00459499392,0.00297630288,0.0107042472,0.0007832376000000001,0.00459499392,0.026525646719999997,0.11555365392000001,0.0033940296000000004,0.026003488320000004,0.0008354534400000001,,0.03232160496,0.033261490080000004,0.00224528112,0.004072835520000001,0.0065791958400000005,0.00140982768,0.0109653264,0.001305396,0.002610792,0.0020886335999999997,0.00224528112,0.0328959792,0.06281565552,0.054774416160000006,0.00120096432,0.0389008008
Qinghai,0.0010641456,0.0004828896000000001,0.0019405008,0.0011625119999999999,0.0006080832000000001,0.0005454864,0.0005097168,0.00018779040000000002,0.0008405855999999999,0.0025843536000000004,0.005240246400000001,0.00018779040000000002,0.0030761856,0.00032192639999999997,0.043021886399999994,0.0014844384000000002,0.005240246400000001,0.0006080832000000001,0.00032192639999999997,0.0016185744,0.0005454864,0.0008674128000000001,0.00022356,0.0010015488000000002,0.00025038720000000004,0.0010015488000000002,0.00268272,0.0015470351999999998,,0.006733627200000001,0.0033623424
Ningxia,0.00249080832,0.003234816,0.00184384512,0.00219967488,0.00265254912,0.0012939263999999998,0.024358164480000003,0.0003234816,0.00126157824,0.00621084672,0.03018083328,0.0004852224,0.00336420864,6.469632e-05,0.049330944,0.00659902464,0.0034612531200000005,0.00051757056,0.00054991872,0.00126157824,0.00012939264,0.00262020096,0.00016174079999999998,0.00359064576,0.00038817791999999987,0.0004852224,0.0014556672000000002,,0.00203793408,0.00012939264,0.00892809216
Xinjiang,0.0012923290800000002,0.0005830055999999999,0.00248749056,0.004887530280000001,0.0005441385600000001,0.00051498828,0.00148666428,0.00019433520000000006,0.0009036586800000002,0.014409955080000002,0.00479036268,0.0012243117599999998,0.0033036984000000004,0.00022348548,0.017227815480000002,0.0057328883999999995,0.01324394388,0.00025263576,0.0007773408000000001,0.0017101497600000002,0.00112714416,0.00158383188,0.00034980336,0.00248749056,0.0006413061599999999,0.00025263576,,0.001457514,0.002915028,,0.01036778292
Taiwan,0.00032175144000000003,0.0007110309599999999,0.00054816912,0.00035352936,,0.00038530727999999995,3.177792e-05,0.00028997352000000005,0.0008421148800000001,0.01043110224,,0.00028997352000000005,0.006347639519999999,0.00012711168,3.177792e-05,0.0065422792799999996,0.00035352936,3.177792e-05,0.00469518768,0.00106853256,0.00035352936,0.0014895899999999998,0.0001588896,,0.00028997352000000005,9.533376e-05,,3.177792e-05,,,0.0012949502400000001
Hong Kong,0.0004152384,0.00022146048,0.0007382016000000001,0.0005444236799999999,0.00015686784000000002,0.00035064576,6.459264000000001e-05,6.459264000000001e-05,0.00022146048,0.06605981568,0.00035064576,0.0010611648,0.00135644544,0.00019377792000000002,6.459264000000001e-05,0.00423543168,0.0010334822400000002,0.00019377792000000002,0.00346032,0.0009688896,0.0007751116800000001,0.0012272601600000002,0.0005167411200000001,,0.0007751116800000001,0.0003229632,,2.768256e-05,,,0.0029804889600000004
Macau,0.0004132134,0.0003413502,0.0005749056,0.0007725293999999999,0.00016169219999999994,0.00032338439999999994,0.00016169219999999994,0.0001257606,0.0005030424,0.15858411659999996,8.9829e-05,0.001976238,0.0015809904000000001,0.0002155896,8.9829e-05,0.0023894514,0.0005749056,0.00032338439999999994,0.0009701532,0.0003413502,0.0004132134,0.0010599822,0.0011857428,,0.0011318454,0.0001257606,,,,,0.0010959137999999998
