,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Guangdong,Jiangsu,Anhui,Heilongjiang,Sichuan,Hubei,Liaoning,Hainan,Shaanxi,Hunan,Shanghai,Zhejiang,Jilin,Gansu,Yunnan,Jiangxi,Chongqing,Fujian,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.06345480383999999,0.014308436159999998,0.37388565791999995,0.14370646752,0.026750554559999997,0.01182001248,0.20405074176,1.15462858752,0.67436281728,0.032971613760000004,0.12939803136,0.19782968256000005,0.024262130880000003,0.028616872319999997,0.062210592,0.21711496608000003,1.3425045753600002,,0.02301791904,0.027372660479999998,0.14121804384,0.47777734656000004,0.11011274784000002,0.2612844864,0.3645540691200001,0.048524261760000006,0.0062210592,0.0062210592,0.0024884236800000003,0.0006221059200000001,0.03794846112
Anhui,0.055141851599999986,0.0200515824,0.4923777456,0.1804642416,0.0211655592,0.0061268723999999995,0.09914393519999999,2.5710584544,,0.0094688028,0.025064478000000005,0.1459309608,0.008354826000000001,0.0128107332,0.0378752112,0.044002083600000005,0.6288399036,0.8638890083999999,0.006683860799999999,0.011139768000000001,0.017823628799999998,0.1386901116,0.021722547600000003,0.0467870256,0.017266640399999998,0.016709652000000002,0.0027849420000000003,0.0033419304,0.0022279535999999997,0.0005569883999999999,0.052913898
Fujian,0.01872447192,0.00802477368,0.07203189707999999,0.03592041552,0.01127289636,0.004585584960000001,0.44499280716000006,0.08636185008,0.047766510000000005,0.0070694434800000015,0.06840164232000001,0.06763737816000001,0.007833707640000001,0.018342339840000003,0.027513509760000002,0.08062986888,0.08922784068,0.27551722968000003,0.0066873114,0.00936223596,0.0439451892,0.24418239911999998,0.05846620824000001,,0.09763474644000003,0.03935960424,0.0030570566400000003,0.0019106604,0.0007642641600000001,0.00019106604,0.02617604748
Jiangxi,0.02317968576,0.006622767359999999,0.05900283647999999,0.03341487168,0.008730011519999999,0.003913453439999999,0.8100848620799999,0.1264346496,0.12372533568,0.0045155232,0.01896519744,0.20801510208,0.005418627839999999,0.017460023039999998,0.015653813759999996,0.43228608768,0.12914396352,0.54878658624,0.00511759296,0.007224837119999998,0.02137347648,,0.02137347648,0.27424277567999994,0.03401694144,0.03793039488,0.00180620928,0.0015051744,0.00180620928,0.0009031046399999998,0.022577616
Shandong,0.82206176832,0.29352383424,0.6928527715199999,,0.11653188768000003,0.052171179840000005,0.10970575199999999,0.9883269302399998,0.23842716768000002,0.11360640095999999,0.09069008832,0.09215283167999999,0.07996330368,0.032667935040000005,0.09702864288000003,0.05363392320000001,0.15992660736,0.20332132704000005,0.06874893792,0.026816961600000005,0.041931976319999995,0.05363392320000001,0.04241955744,0.044369881920000014,0.027792123839999995,0.03608100288,0.013652271360000004,0.011701946880000001,0.008776460160000001,0.0014627433600000002,0.25305460128
Henan,0.35759629224,0.06831549719999999,,0.62143545384,0.33969292056,0.02497049208,0.2379263868,0.48668902488,0.58468642776,0.0141342408,0.06124837680000001,0.4640742396,0.017432230320000002,0.040047015600000006,0.29634791544,0.10317995784,0.17385116184000002,0.26760829248,0.01130739264,0.03627788472,0.035806743360000004,0.06360408360000001,0.03957587424,0.05936381136,0.028739622960000002,0.037220167440000014,0.02073021984,0.0141342408,0.011778533999999998,0.0023557068,0.18280284768
Hubei,0.053087076,0.01274089824,0.41134900032,0.0667380384,0.03518914752,0.01152747936,0.39982152096,0.15653103552,0.16168806576,0.010010705759999999,0.06704139312000001,,0.00788722272,0.02912205312,0.10405066896000002,0.508119156,0.09737686512,0.1713954168,0.007583868,0.02699857008,0.03822269472,0.24753745152000006,0.16563167712,0.0576373968,0.053693785439999996,0.05430049488,0.00940399632,0.0060670944,0.007280513279999999,0.0033369019200000004,0.04428978911999999
Hunan,0.02701791612,0.00814238568,0.07365157956,0.03738095244,0.01073314476,0.004441301279999999,1.5848043400799998,0.07513201331999997,0.043672795919999986,0.00629184348,0.03812116932,0.48373173108,0.00518151816,0.03627062712,0.02701791612,,0.06254832635999999,0.1239863274,0.00592173504,0.009622819439999998,0.0407119284,0.3682578978,0.07254125423999999,0.05181518159999999,0.20022866604,0.25463460672,0.00407119284,0.00148043376,0.0022206506399999994,0.00037010844,0.0333097596
Guangdong,0.05800048416000001,0.022451800319999996,0.28189482624,0.07733397887999999,0.029935733760000003,0.014967866880000001,,0.14157107424,0.08793621792000002,0.03991431168,0.25819570368,0.36733639968000004,0.024322783680000005,0.15653894112,0.08357059007999999,1.0714498041600002,0.12847419072000002,0.18335636928,0.026817428160000004,0.024322783680000005,0.21516308640000004,0.5494454467200001,0.17337779136,0.3492502272,0.33303503808,1.26104278464,0.00997857792,0.006860272320000001,0.0043656278400000005,0.0018709833600000002,0.06985004544000002
Guangxi,0.02393592768,0.0042742728,0.0327694248,0.02564563680000001,0.005699030400000001,0.0022796121600000005,1.9194334387200005,0.027925248960000003,0.01510243056,0.007978642560000002,0.033054376319999995,0.03390923088,0.005699030400000001,0.037043697600000015,0.01681213968,0.21599325216000004,0.024220879200000003,0.03504903696,0.00512912736,0.005414078880000001,0.10058788655999999,0.036188843039999995,0.02821020048,0.02821020048,0.15216411168000002,,0.0014247576000000002,0.0011398060800000005,0.0011398060800000005,0.0002849515200000001,0.016527188159999998
Hainan,0.028882526400000007,0.012695616000000002,0.03895967160000001,0.028723831200000008,0.020630376,0.0094423644,0.1715495112,0.029041221600000007,0.01586952,0.019281466800000004,0.039911842800000014,0.0247564512,0.010711926000000002,,0.0246771036,0.035150986800000006,0.0367379388,0.023962975200000004,0.012298878,0.0052369415999999995,0.0130130064,0.014599958400000003,0.034516206,0.016662996000000003,0.020868418800000003,0.0348335964,0.0046815084,0.005078246400000001,0.0022217328000000004,0.00015869520000000005,0.056257448400000014
Chongqing,0.016690280039999998,0.00741790224,0.0357648858,0.0278171334,0.012716403839999998,0.004238801279999999,0.13193268984,0.046626814079999995,0.01960445592,0.00344402604,1.39668502176,0.19313038332,0.0039738762,0.023313407039999998,0.049011139800000006,0.07921259892000002,0.04159323756,0.04821636456,0.00238432572,0.016160429879999997,0.0702051462,0.017485055279999998,,0.02887683372,0.298040715,0.028611908639999996,0.00741790224,0.00344402604,0.004238801279999999,0.005828351759999999,0.02092908132
Sichuan,0.0297040608,0.01002512052,0.06163592616000001,0.04307088816000001,0.021906744840000002,0.00668341368,0.17265485340000006,0.05903682084,0.02116414332,0.008911218240000001,,0.05458121172,0.00705471444,0.04307088816000001,0.19344769596,0.03935788056,0.04232828664,0.0594081216,0.00594081216,0.07611665579999999,0.4526156264399999,0.017451135719999997,1.8156607163999998,0.03044666232,0.29035719431999996,0.03750137676,0.01633723344,0.0074260152,0.02376324864,0.02821885776,0.030075361560000007
Guizhou,0.009588381480000002,0.0026321047200000003,0.023688942480000003,0.013536538559999998,0.006016239360000001,0.0018800748,0.20906431776,0.03365333892,0.01146845628,0.0026321047200000003,0.25719423264,0.027637099560000003,0.00244409724,0.0197407854,0.015228605880000003,0.19120360715999998,0.018800748000000003,0.08591941836000001,0.00225608976,0.004136164560000001,0.3694346982,0.023876949959999998,0.31792064868000003,0.034217361360000004,,0.17917112844,0.0015040598400000002,0.0007520299200000001,0.0005640224399999999,0.0003760149600000001,0.01071642636
Yunnan,0.020775187800000004,0.007232843159999999,0.034471422720000006,0.02508411564,0.00954119736,0.00507837924,0.11711050308,0.035086983839999995,0.01600458912,0.005232269520000001,0.43920285912,0.02893137264,0.005232269520000001,0.011080100159999998,0.02662301844,0.05032212156,0.03554865468000001,0.04909099932,0.00369336672,0.007694514,,0.01677404052,0.07648346916,0.02123685864,0.33794305488000004,0.11203212384,0.0046167084,0.0026161347600000004,0.0026161347600000004,0.0046167084,0.02431466424
Tibet,0.0021873369600000003,0.00051466752,0.007446595679999999,0.00223558704,0.0015440025599999998,0.00022516704,0.0032970887999999995,0.0028789214399999995,0.0012223353599999998,0.00038600064,0.0599909328,0.0028789214399999995,0.00035383392,0.00038600064,0.00910318176,0.0017048361600000002,0.0018013363200000004,0.0011258351999999998,0.0004503340800000001,0.00841159728,0.00936051552,0.0007398345599999999,0.00958568256,0.0008363347199999999,0.0015440025599999998,0.0006111676799999999,0.0006111676799999999,0.0005790009599999999,0.027277378560000003,,0.0013510022400000001
Shaanxi,0.07104449736,0.015526280879999996,0.27312139548000003,0.07316171747999999,0.33734373912,0.21807367235999994,0.07739615771999997,0.08751176495999999,0.042814895760000006,0.01199758068,0.19007931744,0.09456916535999996,0.009174620520000001,0.02164269456,,0.03081731508,0.0423444024,0.04916655611999999,0.00658690704,0.33122732544,0.0258771348,0.017408254319999997,0.048696062759999985,0.021407447880000003,0.017173007639999998,0.0141148008,0.02423040804,0.11574136656,0.02893534164,0.009174620520000001,0.04163866236
Gansu,0.01689061248,0.0060486652800000006,0.03674849472,0.01757536704,0.01380921696,0.0473621904,0.020542636800000003,0.03161283551999999,0.01004306688,0.0021683894399999997,0.08285530176,0.01415159424,0.0022825152,0.005478036479999999,0.3809517868800001,0.01004306688,0.01574935488,0.01643410944,0.00194013792,,0.005592162239999999,0.004793281920000001,0.01495047456,0.007189922880000001,0.005135659200000001,0.004793281920000001,0.04405254336,0.14528209247999999,0.15361327296000002,0.00365202432,0.0176894928
Qinghai,0.00509273568,0.0009381355200000002,0.015981808679999997,0.006901997040000001,0.0030154356000000005,0.0028814162400000003,0.006700968000000001,0.005695822800000001,0.00395357112,0.00087112584,0.02553068808,0.0057628324800000005,0.0004690677600000001,0.00224482428,0.02693789136,0.0028479114000000004,0.00224482428,0.0044226388799999995,0.00070360164,0.16286702724000002,0.0026133775199999997,0.0009381355200000002,0.00254636784,0.00154122264,0.0009716403599999999,0.00070360164,0.012631324679999998,0.008141676120000002,,0.014474090880000004,0.0040205808
Ningxia,0.0138978342,0.0027795668399999995,0.01939782816,0.00922579632,0.009817193520000001,0.15571488275999998,0.00958063464,0.013188157559999998,0.00567741312,0.00153763272,0.00993547296,0.005854832279999999,0.00218816964,0.0026021476800000003,0.11822030027999998,0.00508601592,0.00549999396,0.007392465,0.00195161076,0.1478493,0.00360752292,0.0017150518799999995,0.006623648639999999,0.0014784929999999998,0.0023655888,0.0029569859999999996,0.005854832279999999,,0.009344075759999999,0.00035483831999999987,0.008870957999999998
Xinjiang,0.015672839039999997,0.00323963712,0.04548625632,0.020532294719999997,0.008580660479999998,0.00661061088,0.011470066559999999,0.014228136,0.006347937599999999,0.00315207936,0.0343664208,0.0074424096,0.00223272288,0.00630415872,0.0468434016,0.007923977280000001,0.007179736319999999,0.007529967359999999,0.0018824918399999997,0.10957853664,0.0041589936,0.0019700496,0.014228136,0.00367742592,0.0019262707199999998,0.0031083004800000003,,0.007529967359999999,0.0216705456,0.0008755776,0.01133872992
Taiwan,0.00012928248000000002,3.22056e-05,3.22056e-05,9.707688e-05,3.22056e-05,6.44112e-05,0.00035610192,9.707688e-05,6.44112e-05,,3.22056e-05,9.707688e-05,0.00016194816,3.22056e-05,9.707688e-05,0.00022635936000000006,0.00051805008,0.0007448695200000001,6.44112e-05,,3.22056e-05,9.707688e-05,3.22056e-05,0.0011336371200000002,,,6.44112e-05,,,,0.00022635936000000006
Hong Kong,,,,6.421680000000001e-05,3.210840000000001e-05,,0.03006630576,6.421680000000001e-05,6.421680000000001e-05,3.210840000000001e-05,6.421680000000001e-05,,,0.000160542,,3.210840000000001e-05,0.0006774872400000001,,,3.210840000000001e-05,,3.210840000000001e-05,,0.000321084,,0.00012843360000000002,,,,,0.00012843360000000002
Macau,0.0017415518400000006,0.0009920232,0.0008377084800000001,0.0015431472,0.0005731689599999999,0.00015431472000000004,0.18213545952000004,0.00498216096,0.0005070340800000001,0.00028658447999999997,0.0015211022400000002,0.00189586656,0.0005731689599999999,0.00182973168,0.00041885424,0.00238085568,0.005356925280000001,0.0032626540800000004,0.00030862944000000013,8.817984000000003e-05,0.00063930384,0.0013226976000000005,0.0005290790400000001,0.0016754169600000002,0.0005290790400000001,0.00180768672,,,2.2044960000000007e-05,,0.0021383611200000005
