,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Guangdong,Jiangsu,Anhui,Heilongjiang,Sichuan,Hubei,Liaoning,Hainan,Shaanxi,Hunan,Shanghai,Zhejiang,Jilin,Gansu,Yunnan,Jiangxi,Chongqing,Fujian,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,1.7322235559999999,0.264249864,0.24454062,0.20037731399999997,0.121540338,0.0912465,0.07664706,0.07482212999999999,0.0729972,0.07117227,0.06971232599999999,0.059492717999999986,0.05620784400000001,0.053287956,0.050733053999999986,0.044528292000000004,0.042338376,0.042338376,0.04014846,0.037958544,0.032118768,0.032118768,0.028833894,0.02737395,0.02189916,0.020804202,0.012409524,0.011679552,0.004744818,0.00364986,
Tianjin,1.08203767056,,0.08052269616,0.18223557552,0.0513025488,0.041488148160000016,0.024089892480000003,0.035242620480000014,0.02587432896,0.042157311839999996,0.019628801280000004,0.01605992832,0.039480657120000005,0.0122680008,0.02052101952,0.010037455200000002,0.01985185584,0.01918269216,0.0256512744,0.014944655519999999,0.00914523696,0.007583855040000001,0.01026050976,0.010706618880000001,0.006022473120000001,0.004907200320000001,0.0033458184,0.004238036640000001,0.0013383273600000001,0.00022305456,0.4061823537600001
Hebei,,1.63901880324,0.44143356348,1.00378513872,0.5408182306799999,0.25094628468,0.08033593932,0.16067187864,0.08447696712000001,0.07950773375999999,0.06294362256,0.07288208927999999,0.16481290644000002,0.033956427959999994,0.12340262844000001,0.043894894680000004,0.0455513058,0.08033593932,0.05714618364,0.02567437236,0.030643605719999998,0.036441044639999996,0.033128222400000004,0.027330783480000002,0.01904872788,0.02401796124,0.011594877840000002,0.018220522319999998,0.00662564448,0.00082820556,3.07015801092
Shanxi,0.4632479197200001,0.06540763932000003,0.34367106708000006,0.11418240816,,0.24207569604,0.03281620392,0.06046273188000001,0.02539884276,0.0069678241200000005,0.034389583560000006,0.026522685360000003,0.008990740799999999,0.019330092719999997,0.46482129936000005,0.015284259360000003,0.026747453880000004,0.028096065000000003,0.0056192130000000005,0.017307176040000004,0.012362268600000002,0.008765972280000001,0.01393564824,0.01393564824,0.0069678241200000005,0.007417361160000002,0.004045833360000001,0.01056412044,0.004944907440000001,0.0004495370400000001,0.15891134364
Inner Mongolia,0.2430444204,0.03882293712,0.035133153839999993,0.04828803336,0.16684237440000002,,0.017005088159999997,0.020855296800000003,0.00930467088,0.13588027992,0.00994637232,0.00770041728,0.14807260728000002,0.00978594696,0.20518403544,0.00513361152,0.01010679768,0.01235275272,0.12063987072,0.04925058552,0.0068982904799999994,0.0048127608,0.00417105936,0.00465233544,0.00288765648,0.00385020864,0.005935738320000001,0.14951643552000002,0.0044919100800000005,0.00016042536,0.12096072144000002
Liaoning,0.20594603808000006,0.05572955520000001,0.05344970976,0.07890798384,0.0202652928,0.19594004975999998,0.029131358399999998,0.039517320960000005,0.026091564480000003,0.10018654128,0.022925112480000003,0.011652543359999998,,0.01557894384,0.013552414560000002,0.00924603984,0.01798544736,0.024571667520000003,0.19556007552000002,0.012285833760000002,0.010259304480000002,0.00747282672,0.0059529297600000005,0.01000598832,0.016592208480000002,0.00734616864,0.004939665120000001,0.0021531873600000003,0.0013932388800000002,0.0008866065600000002,0.06852202128000001
Jilin,0.05450174748000002,0.025629420600000008,0.030964524480000012,0.05387408820000002,0.014645383200000002,0.13222688832000004,0.03284750232000001,0.03274289244000001,0.013599284400000005,0.24196265244000004,0.01213474608,0.010774817640000002,0.17668608732000002,0.019038998160000004,0.015168432600000004,0.011716306560000004,0.02385105264,0.025524810720000003,,0.008054960760000002,0.009310279320000002,0.009728718840000004,0.007218081720000002,0.009205669440000005,0.010774817640000002,0.008368790400000001,0.005753543400000003,0.0030336865200000004,0.002824466760000001,0.0006276592800000001,0.04142551248
Heilongjiang,0.061656166439999986,0.033191020079999994,0.034509868560000004,0.07363570679999999,0.013298388839999998,0.1307858076,0.050116242239999984,0.03604852511999999,0.015386565599999997,,0.01934311104,0.012968676719999996,0.07814177243999998,0.03879612611999999,0.015936085799999996,0.013628100959999995,0.02923447464,0.022860040319999997,0.27014413031999995,0.01033097976,0.0115399242,0.01033097976,0.009561651479999995,0.009451747439999998,0.012529060559999996,0.012419156519999995,0.0038466413999999993,0.0032971211999999997,0.0014287525199999994,0.0006594242399999997,0.061546262399999975
Shanghai,0.036901008000000006,0.0166054536,0.15821307180000005,0.1240796394,0.02583070560000001,0.0106090398,0.1277697402,1.9977283206000005,0.38607679619999996,0.030904594200000007,0.06088666320000001,0.07149570300000001,0.017527978800000003,0.036439745400000015,0.038746058400000005,0.052583936399999996,,1.0037074176000005,0.018450504000000003,0.0202955544,0.041513634000000015,0.0977876712,0.041513634000000015,0.0650380266,0.032288382000000004,0.02583070560000001,0.007380201600000001,0.0050738886000000006,0.0023063130000000004,0.0013837878,0.044742472200000015
Jiangsu,0.11892659436,0.03666158172,0.46318778856000004,0.82622686608,0.06795805392000001,0.01967206824,0.16721258004,,1.8366558256799999,0.04202669124,0.09746615627999998,0.15916491576,0.02861391744,0.031296472199999995,0.09836034119999999,0.09210104676000001,2.8917940312800003,1.29746231892,0.02950810236,0.04649761584,0.08137082772000001,0.13502192292,0.06080457456000001,0.08405338248,0.07958245788,0.033979026960000006,0.008941849200000001,0.01073021904,0.00715347936,0.00178836984,0.07242897852
