,Hebei,Henan,Tianjin,Shandong,Shanxi,Anhui,Jiangsu,Sichuan,Guangdong,Inner Mongolia,Heilongjiang,Hubei,Shanghai,Liaoning,Zhejiang,Shaanxi,Hunan,Hainan,Jiangxi,Jilin,Gansu,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.05127512868,1.357282818,0.02211868296,0.23325156575999997,0.042226576560000006,1.39649321052,1.27081887552,0.29759682528000003,0.2161598562,0.01608631488,0.04624815528,0.50872970808,1.0033838906399999,0.026140261680000002,,0.10355565204,0.4825894464,0.027145656360000003,1.08783704376,0.029156445719999997,0.04725354996,0.27447274764,0.28352129976,0.24028932851999998,0.8264344269600001,0.08445315312000001,0.010053946800000001,0.007037762760000002,0.00402157872,0.00100539468,0.03820499784
Anhui,0.037354491360000006,0.6187852699199999,0.017459164439999997,0.19732916088,0.02882792268,,1.5928442348399998,0.04750516835999999,0.08039336183999997,0.010556704079999998,0.01583505612,0.14129742383999996,0.30736249956,0.009744649919999996,0.47261552111999994,0.04385092464,0.056843791199999986,0.01136875824,0.13520701764,0.008932595759999998,0.01664711028,0.03004600392,0.050753385,0.02354957064,0.03085805808,0.019489299839999998,0.0081205416,0.004466297879999999,0.00284218956,0.00040602708,0.03329422055999999
Fujian,0.017755407359999996,0.19265942016,0.010865249279999996,0.05167618559999999,0.02093548032,0.09116209151999996,0.0980522496,0.13833317375999996,0.3646483660799999,0.0068901580799999975,0.014045322239999995,0.12773293056,0.08162187263999998,0.009275212799999995,0.2737512806399999,0.03392077824,0.13912819199999996,0.01961044992,0.3704784998399999,0.009275212799999995,0.020405468159999995,0.12932296703999996,,0.07923681792000001,0.24592564223999994,0.06572150783999997,0.007950182399999998,0.00371008512,0.0029150668799999995,0.0007950182399999997,0.015635358719999996
Jiangxi,0.02437851816,0.12523866192,0.008365177799999998,0.05712221412,0.015296325119999997,0.15033419531999995,0.11376641807999995,0.04158688391999999,0.41013271728,0.008604182879999998,0.011472243839999995,0.19980824688,0.08341277291999999,0.010755228600000001,0.3152477005199999,0.026051553719999995,0.3231348681599999,0.020793441959999995,,0.010277218439999998,0.02127145212,0.03680678232,0.18857500812,0.03608976708,0.07074550367999999,0.04684499567999999,0.005497116839999999,0.004541096519999999,0.004541096519999999,0.0009560203199999998,0.014340304799999997
Shandong,0.40215827052,0.8871826806,0.14606912736000002,,0.13811023260000002,0.2855838708,0.9784758852,0.13061950812,0.11095635636,0.06320298780000001,0.13951474344,0.11704257,0.13249218924,0.09550673712000002,0.20880394487999998,0.13296035952,0.07584358536000001,0.02294034372,0.0655438392,0.0772480962,0.04634885772,0.055712263320000004,0.0561804336,0.052435071360000016,0.04775336856000001,0.04073081436,0.02013132204,0.01451327868,0.01076791644,0.00093634056,0.11891525112
Henan,0.1328852142,,0.0384959952,0.6081626934000001,0.27169288919999995,0.5411648555999999,0.3209233446,0.0910578348,0.1810052082,0.024059997000000003,0.017767382399999997,0.3771867222,0.10364306399999998,0.0173972286,0.1787842854,0.2250535104,0.10031167979999997,0.027761535,0.0614455308,0.0103643064,0.035164611,0.0477498402,0.052561839599999986,0.0292421502,0.033313842,0.0381258414,0.027021227400000004,0.013695690600000001,0.012955382999999996,0.0025910766,0.0736606062
Hubei,0.0275789934,0.4633270891199999,0.01208222568,0.07827180983999997,0.028629621719999995,0.14682530771999994,0.12843931211999998,0.08982872135999999,0.23429011536,0.00998096904,0.011819568600000002,,0.07039209744,0.009192997799999998,0.11084128775999998,0.08641417931999998,0.3992387616,0.01917396684,0.2127522348,0.00971831196,0.02337648012,0.18202135644,0.06408832751999999,0.039135904919999985,0.05909784299999999,0.05069281643999999,0.012344882759999995,0.006303769919999999,0.00420251328,0.00210125664,0.029680250039999995
Hunan,0.022916824559999997,0.12176288712,0.01187257176,0.052184094480000005,0.01905133608,0.056325689280000014,0.07261596216,0.059915071439999995,0.7178764320000001,0.008559295920000001,0.01187257176,0.40063027032,0.04472922384000001,0.0096637212,0.09498057408,0.03699824688,,0.03120001416,0.2747257884,0.0096637212,0.01573806024,0.09580889304,0.05466905136,0.054392945039999994,0.22309390656,0.20652752736,0.0110442528,0.005246020079999999,0.00496991376,0.003865488480000001,0.02319293088
Guangdong,0.0361578168,0.7452527796000001,0.025109595,0.11952167220000001,0.039170968199999996,0.1647189432,0.1968592248,0.5252927274000001,,0.020087676,0.04720603860000001,0.8567393813999999,0.1687364784,0.027118362600000005,0.2099162142,0.1215304398,1.8561012624,0.17174962980000005,0.863770068,0.0291271302,0.0381665844,0.3635869356000001,0.3756395412,0.3324510378,0.713112498,1.7556628824000002,0.016070140800000004,0.008035070400000002,0.007030686600000002,0.0020087676000000005,0.06528494700000001
Guangxi,0.02096510688,0.07831792800000001,0.00698836896,0.04674977856,0.015422607360000003,0.03180912768,0.04072532256,0.07711303679999999,0.96849154656,0.005542499520000001,0.013494781440000004,0.066269016,0.02819445408,0.00891619488,0.04482195264000001,0.025302715200000003,0.265076064,0.038074561920000013,0.06120847296,0.00867521664,0.011084999040000001,0.054702060480000016,0.04024336608,0.17181748512000003,0.25206323904000005,,0.003373695360000001,0.0036146736,0.0024097823999999998,0.00024097824000000005,0.013494781440000004
Hainan,0.0138551958,0.0572085504,0.012067428600000001,0.02887244028,0.01868216724,0.02002299264,0.026816508,0.0643596192,0.17877672,0.011262933359999998,0.02565445932,0.033073693200000004,0.03235858632,0.010458438119999998,0.0308389842,0.021274429679999998,0.05264974403999999,,0.02422424556,0.014659691039999997,0.007687398959999999,0.038526383160000004,0.01734134184,0.02154259476,0.034235741880000004,0.051040753559999985,0.006257185199999999,0.006525350279999999,0.00241348572,0.00026816508,0.0294981588
Chongqing,0.016578182519999998,0.0569101788,0.0074230668,0.034146107280000004,0.01831023144,0.03142431612,0.052703774280000004,1.13795614044,0.10689216191999999,0.007175631239999998,0.005938453440000001,0.1633074696,0.03909481848,0.0049487112,0.0544358232,0.05394095207999999,0.08264347704,0.030434573880000003,0.02573329824,0.00569101788,0.026475604920000003,,0.03191918724,0.08684988156,0.29494318752,0.035630720639999995,0.01905253812,0.00791793792,0.008907680159999999,0.0049487112,0.01756792476
Sichuan,0.0312513552,0.10556013311999997,0.0156256776,0.05868310031999999,0.031945829759999995,0.0416684736,0.07778115072000001,,0.17535482639999994,0.013195016639999998,0.01076435568,0.08125352351999998,0.059377574879999985,0.009722643840000001,0.07257259151999998,0.18264680928,0.0590303376,0.05139111744,0.03576543984,0.01006988112,0.09479577744,1.1868570230399995,0.0416684736,0.51530012352,0.30140195903999994,0.05069664288,0.03784886352,0.01076435568,0.028126219680000005,0.033682016159999995,0.04132123631999999
Guizhou,0.0058041522,0.0372872808,0.0040453182,0.016533039599999997,0.0049247352000000005,0.013543021799999999,0.0288448776,0.2967152958000001,0.122238963,0.0022864842,0.0031659012,0.0372872808,0.0196989408,0.0015829506,0.05892093900000001,0.0160053894,0.1918887894,0.013015371599999999,0.030076061400000003,0.001758834,0.0045729684,0.28123755660000005,0.0306037116,0.37216927439999997,,0.1509079572,0.0012311838,0.0012311838,0.0007035336,0.0003517668,0.007387102800000001
Yunnan,0.013379226840000001,0.049484811600000005,0.009163854,0.03060727236,0.0109966248,0.021443418359999997,0.03720524724,0.5155584260399999,0.1017187794,0.004398649919999999,0.008614022759999998,0.043803222120000006,0.027674839080000003,0.006048143639999999,0.04930153452,0.029690886960000006,0.07111150704,0.01356250392,0.029874164039999995,0.005681589479999999,0.009896962320000001,0.13434209964000002,0.029690886960000006,,0.42282022356,0.1218792582,0.005498312399999999,0.00256587912,0.0021993249599999995,0.004398649919999999,0.017228045519999995
Tibet,0.00147841848,0.008966512079999999,5.760072e-05,0.0026880336,0.0011904148799999998,0.00232322904,0.0026880336,0.08329064112000001,0.0017088213600000002,0.00024960312,0.000480006,0.00397444968,0.0007104088799999999,0.00049920624,0.00184322304,0.008083301040000001,0.00293763672,9.60012e-05,0.0008640108000000001,0.00044160552,0.00944651808,0.01127054088,0.0009024112799999998,0.01000332504,0.00193922424,0.0007296091199999999,0.0011904148799999998,0.0006720083999999999,0.030029175360000004,,0.00099841248
Shaanxi,0.04403083212,0.31880247300000003,0.013955127119999996,0.08782105859999999,0.31134369816,0.06327928331999999,0.08782105859999999,0.22713172416,0.0625574664,0.21245478012000002,0.015879972239999998,0.11260343951999995,0.03536902908,0.01227088764,0.04523386031999999,,0.03921871931999999,0.014436338399999997,0.02309814144,0.00938361996,0.32289276888,0.05124900132,0.01972966248,0.024060564,0.021654507599999998,0.016601789159999998,0.034406606519999994,0.10490405903999997,0.02959449372,0.006736957920000001,0.034166000879999985
Gansu,0.01142403264,0.064400184,0.00548801568,0.02665607616,0.01377603936,0.01489604256,0.03270409344,0.09385626816000002,0.021728062080000003,0.04804813728,0.0031360089600000005,0.02441606976,0.012544035840000002,0.0025760073600000002,0.017920051200000002,0.30228886368,0.01131203232,0.007840022399999999,0.007280020799999999,0.0036960105600000004,,0.01500804288,0.008848025280000001,0.00918402624,0.00873602496,0.005600016,0.05286415104,0.12723236352,0.14795242272,0.0041440118400000005,0.012768036479999998
Qinghai,0.0035491348799999997,0.032061847679999984,0.0007975584,0.0103682592,0.00426693744,0.00586205424,0.009650456640000001,0.033537330719999994,0.0056626646400000005,0.00287121024,0.00095707008,0.00849399696,0.00275157648,0.0005582908800000001,0.0047853504,0.02763539856,0.00394791408,0.00203377392,0.00123621552,0.0004785350399999999,0.18634952015999998,0.0031104777600000004,0.0023926752,0.0017945064000000003,0.000996948,0.00087731424,0.01060752672,0.01000935792,,0.016828482239999998,0.0037884024
Ningxia,0.005947988760000001,0.02851699284,0.00272384532,0.01172921148,0.00933889824,0.00678181896,0.01311892848,0.01145126808,0.0072265283999999996,0.1381378698,0.0012229509599999998,0.006170343480000001,0.0045582717600000005,0.0015008943599999999,0.00644828688,0.10017080136,0.003057377400000001,0.00211236984,0.0022235472000000003,0.00177883776,0.15759390780000002,0.00539210196,0.00266825664,0.00233472456,0.00144530568,0.0013897170000000002,0.0047806264799999994,,0.00844947936,0.00027794340000000003,0.0063926982
Xinjiang,0.00720896436,0.07658754444000003,0.0027726786000000013,0.024892492320000004,0.01022810328,0.012261400920000002,0.02199658356,0.062046385560000014,0.012754321560000002,0.009488722320000002,0.0032655992400000004,0.012631091399999999,0.00887257152,0.0018484524000000003,0.014849234280000003,0.0597666276,0.012014940600000005,0.008441265960000001,0.0031423690800000013,0.0024029881200000004,0.16358803740000002,0.02076428196000001,0.004990821480000003,0.007578654840000002,0.004189825440000001,0.0024029881200000004,,0.010474563600000002,0.017991603360000004,0.0011706865200000005,0.014602773960000003
Taiwan,6.470604e-05,6.470604e-05,,6.470604e-05,3.2250960000000004e-05,,,3.2250960000000004e-05,9.716112e-05,,,,0.00042109956,6.470604e-05,0.00016186715999999998,3.2250960000000004e-05,,,3.2250960000000004e-05,,,,0.0007450380000000001,3.2250960000000004e-05,,,,,,,3.2250960000000004e-05
Hong Kong,,3.18168e-05,9.704123999999997e-05,3.18168e-05,,,6.36336e-05,3.18168e-05,0.0141902928,,,6.36336e-05,0.00058224744,,3.18168e-05,,3.18168e-05,3.18168e-05,,,3.18168e-05,,0.00035634816000000005,,3.18168e-05,,3.18168e-05,,,,0.00016067483999999998
Macau,0.00015159312,0.0005432086800000001,0.00029055347999999996,0.0003789828,0.00021475692000000004,0.0001263276,0.0017433208800000002,0.0005811069599999999,0.11291160888,2.526552e-05,6.31638e-05,0.0008716604400000001,0.0021981002399999996,6.31638e-05,0.0013264398000000005,0.00015159312,0.00073270008,0.00029055347999999996,0.00041688108,2.526552e-05,,0.0001263276,0.0007074345600000003,0.0001894914,0.0001263276,0.0012632760000000002,,,,,0.0005811069599999999
