,Hebei,Henan,Tianjin,Shandong,Shanxi,Anhui,Jiangsu,Sichuan,Guangdong,Inner Mongolia,Heilongjiang,Hubei,Shanghai,Liaoning,Zhejiang,Shaanxi,Hunan,Hainan,Jiangxi,Jilin,Gansu,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.64361068128,0.37889983656,0.2717331624000001,0.25280343648000003,0.12304321848000002,0.11937940056000003,0.11571558264000002,0.10258690176000002,0.091595448,0.09129012984,0.08304653952000003,0.07663485816,0.07510826736000001,0.07480294920000001,0.06533808624000001,0.06533808624000001,0.054041314320000006,0.05007217824,0.04824026928000001,0.045797724000000005,0.041828587920000014,0.037859451839999995,0.033279679439999994,0.03236372496,0.021066953040000003,0.019845680400000003,0.01618186248,0.00977018112,0.00488509056,0.00122127264,
Tianjin,0.6492562128000001,0.173188692,,0.2323950588,0.06162295320000001,0.06524783280000003,0.057796691399999996,0.0338322096,0.0283948902,0.054977340600000014,0.07048377000000003,0.0394709112,0.0229575708,0.06122018880000001,0.02577692160000001,0.0300059478,0.0177216336,0.015103665,0.0153050472,0.04027644,0.0203396022,0.015707811600000003,0.0177216336,0.0116801676,0.0084580524,0.006444230400000002,0.0044304084,0.0050345550000000005,0.002819350800000001,0.0006041466000000001,0.22172180220000004
Hebei,,0.31022595,0.6085943748,0.471543444,0.10340865,0.08520872759999999,0.08410570199999999,0.047981613599999993,0.0300574476,0.135120636,0.0521179596,0.047154344400000006,0.015166602,0.1246418928,0.0443967804,0.044121024,0.0270241272,0.0090999612,0.0217847556,0.0325392552,0.0237150504,0.02068173,0.015442358400000003,0.0104787432,0.009651473999999998,0.0090999612,0.0008272691999999999,0.004136346,0.0022060511999999997,,0.3620681532
Shanxi,0.13440930048,0.34313143536,0.033440775480000004,0.11260009908,,0.03667176828,0.05654237400000001,0.050726586960000014,0.025363293480000004,0.15880329612,0.00985452804,0.04054895964,0.014377917959999998,0.01389326904,0.02972513376,0.36687923244000004,0.01744736112,0.01324707048,0.01017762732,0.00678508488,0.0145394676,0.020839903559999998,0.017124261840000002,0.009531428759999998,0.007108184159999999,0.007269733800000002,0.00420029064,0.008239031640000002,0.00436184028,0.00032309928000000005,0.04458770063999999
Inner Mongolia,0.12247707384,0.052922192400000005,0.0288666504,0.053884414079999984,0.16124086152,0.014708245680000002,0.023505701040000004,0.014158404719999997,0.01759491072,,0.06900504047999999,0.0109968192,0.01182158064,0.14941928087999998,0.013746024,0.21746209968000002,0.00632317104,0.00907237584,0.003573966239999999,0.08907423552000002,0.061857108,0.0061857108,0.005773330079999999,0.0054984096,0.00219936384,0.00261174456,0.00536094936,0.15587991216,0.003573966239999999,,0.05333457312
Liaoning,0.1229021748,0.0478057464,0.0425358216,0.0816838344,0.0128924946,0.0247498254,0.033595770599999984,0.0180683136,0.025973200800000002,0.15085159739999998,0.06879133979999999,0.013363023600000001,0.0173154672,,0.019856323799999995,0.010728061199999998,0.0100693206,0.0096928974,0.007998993000000001,0.1434172392,0.0041406552,0.0060227712,0.010728061199999998,0.006587406,0.005269924800000001,0.0050817132,0.0025408566,0.0012233753999999998,0.0008469522000000001,,0.0349132518
Jilin,0.02677982472,0.02699933148,0.016902020519999998,0.04455987228,0.010902169080000001,0.016463006999999998,0.0263408112,0.011194844760000001,0.02465792604,0.09629029872,0.12848462351999998,0.010755831240000001,0.014853290759999997,0.15548395499999998,0.016682513759999996,0.011999702879999996,0.0098778042,0.01968243948,0.0062193582,,0.005341331160000001,0.005194993319999999,0.00665837172,0.004463304119999999,0.0027072500399999994,0.00468281088,0.00285358788,0.00168288516,0.00124387164,0.00029267568,0.02019462192
Heilongjiang,0.027868698,0.0227951658,0.0187220484,0.05931030599999999,0.0095039406,0.016078094999999997,0.0307984842,0.013219767,0.0365151402,0.0761744412,,0.011647686599999998,0.0198653796,0.0685284138,0.021080169,0.008360609399999998,0.009289565999999999,0.04523304059999999,0.0055022814000000005,0.14713243380000002,0.0027154116,0.0039302009999999995,0.0091466496,0.0065026962,0.0031441608000000003,0.0047162412,0.0012147894000000001,0.0012862476,0.0004287491999999999,0.0002143746,0.0323705646
Shanghai,0.02217935844,0.33808535568000003,0.02337824268,0.18522761508,0.03057154812,0.554483961,2.4487210602,0.10909846584,0.17743486752,0.01558549512,0.03057154812,0.1108967922,,0.0209804742,1.13654225952,0.05335034868,0.08212357044,0.04256039052,0.14926108787999998,0.019781589960000002,0.03656596932,0.06473974896000001,0.09830850767999998,0.0569470014,0.052750906560000005,0.03416820084,0.012588284519999998,0.00479553696,0.00479553696,0.00059944212,0.06174253836
Jiangsu,0.09093057732000001,1.1647287432,0.04495444272,0.95119514028,0.12362471748,2.17007355312,,0.21557698668,0.20127330036,0.02758568076,0.06334489656,0.25746635376,2.1935724663599996,0.04188936708,1.1923144239599999,0.15938393328,0.1583622414,0.02758568076,0.2247722136,0.0408676752,0.102169188,0.12873317688,0.12055964184000001,0.12668979312,0.18799130592,0.057214745280000014,0.025542297,0.01941214572,0.0153253782,0.006130151279999999,0.05925812904
