,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Anhui,Shaanxi,Guangdong,Heilongjiang,Jiangsu,Gansu,Shanghai,Sichuan,Jilin,Guizhou,Zhejiang,Fujian,Yunnan,Hubei,Chongqing,Jiangxi,Xinjiang,Hainan,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.006905917440000001,0.0028594814399999996,0.01737269856,0.018074080800000003,0.0029673864000000004,0.007175679840000002,0.018883368,0.00231995664,0.040356455039999996,0.00393853104,0.0415434096,0.0038845785600000004,0.06738664752000001,0.00615058272,0.17183864880000002,0.01122211584,0.00534129552,0.007769157120000001,,0.027407859839999996,0.00976539888,0.005934772800000001,0.0055571054400000005,0.026490667680000003,0.00048557232000000006,0.0027515764799999998,0.0066901075199999995,0.0005395248,0.0016725268799999999,0.00021580992000000006,0.014297407199999999
Anhui,0.0174610566,0.0122428098,0.0459607122,0.2332154916,0.0060210540000000005,0.009031581,0.0184645656,0.0072252648,,0.014249827799999996,0.10336142699999999,0.0022077198,0.5083776593999999,0.0052182468,0.5898625902,0.013246318799999999,0.0026091234,0.0042147378,0.1998989928,0.0353235168,0.007024562999999999,0.0166582494,0.0054189486,0.039738956400000004,0.0016056144,0.005017545,0.0086301774,0.0008028072000000001,0.0036126324,0.0002007018,0.0869038794
Fujian,0.007474330080000002,0.004574805479999999,0.017654883120000003,0.01185583392,0.0061856524800000005,0.010502722439999999,0.022422990240000003,0.003286127880000001,0.0106315902,0.003286127880000001,0.2252608444800001,0.0027706568400000004,0.038595894120000016,0.005154710400000001,0.08189546148000003,0.015399697320000003,0.00199745028,0.010760457959999999,0.046650129120000015,,0.018299221919999997,0.00399490056,0.010180553040000002,0.028093171680000004,0.0002577355200000001,0.008118668879999999,0.019781201159999998,0.0010953759600000005,0.00167528088,,0.022229688600000002
Jiangxi,0.005415711839999999,0.0030087288,0.009477495720000001,0.010380114359999998,0.00105305508,0.0031591652399999997,0.08589920723999997,0.00105305508,0.033848198999999995,0.0024069830399999995,0.7234488399600001,0.0006017457599999999,0.04633442352,0.00556614828,0.15163993152000002,0.01098186012,0.0013539279599999998,0.006468766919999999,0.12651704604,0.18308114748,0.013539279599999999,0.02060979228,0.0067696397999999994,,0.0004513093199999999,0.006167894039999997,0.016096699080000002,0.00030087287999999994,0.0009026186399999998,,0.02542375836
Shandong,0.2242589166,0.10201188599999997,,0.16171392419999994,0.039299660999999986,0.0466578954,0.0178938882,0.0254193552,0.0441494064,0.0185628186,0.07742869379999999,0.016221562199999998,0.285967746,0.0095322582,0.17626316039999995,0.0252521226,0.014716468799999997,0.007525466999999999,0.058029712199999986,0.0214057728,0.012876910200000001,0.006522071399999999,0.0098667234,0.014214771000000001,0.0030101868,0.005518675799999999,0.010702886399999998,0.0031774194,0.007525466999999999,0.0006689303999999999,0.22308828839999995
Henan,0.09384969744,0.02300595696,0.17272726415999998,,0.0584278272,0.01040745672,0.036517392,0.008581587120000001,0.2574476136,0.02592734832,0.2620122876,0.0020084565600000004,0.1195944588,0.00949452192,0.24466652640000006,0.030309435360000005,0.0036517392,0.007668652320000001,0.07869497975999999,0.032135304960000007,0.014789543760000003,0.06317508816,0.009677108879999998,0.0191716308,0.004564674,0.0065731305599999994,0.013146261119999999,0.0020084565600000004,0.00839900016,0.0014606956800000002,0.20248893864
Hubei,0.00218645568,0.0007716902399999999,0.00270091584,0.059066457120000006,0.000803844,0.0009003052800000002,0.0903520656,0.00106107408,0.0143084232,0.015562419840000001,0.03225022128,0.00041799888,0.00572336928,0.0007716902399999999,0.00581983056,0.013375964159999998,0.000803844,0.00099676656,0.0032475297600000003,0.0018006105600000004,0.0007073827199999999,,0.044886648960000004,0.016044726239999998,0.00038584512,0.00019292256,0.0016719955199999998,0.00022507632,0.00025723007999999995,,0.00379414368
Hunan,0.00905561856,0.0056597616,0.013583427839999995,0.014715380159999996,0.004244821199999999,0.005376773519999999,,0.00226390464,0.017828249039999997,0.003395856959999999,1.97299289376,0.0008489642399999997,0.03707143848,0.004244821199999999,0.08546240016000001,0.01952617752,0.0014149404,0.06423829416,0.05914450871999999,0.05829554448,0.03282661728,0.09310307832,0.03367558152,0.06395530608,0.0014149404,0.01584733248,0.13781519496,0.0008489642399999997,0.0028298808,0.00028298808,0.06367231799999999
Guangdong,0.010952933400000002,0.0037861992000000006,0.02028321,0.0381324348,0.007301955600000002,0.0129812544,0.38443444020000006,0.0043270847999999995,0.0152800182,0.0100063836,,0.009195055200000002,0.0192014388,0.015415239599999997,0.0329940216,0.0465161616,0.007301955600000002,0.0711264564,0.017037896400000002,0.0654471576,0.0217706454,0.0185253318,0.0224467524,0.0639597222,0.0079780626,0.050708025,0.2613829662,0.0009465498,0.0047327490000000005,0.000676107,0.029613486600000002
Guangxi,0.007811944559999999,0.0017537018399999998,0.00829022688,0.01004392872,0.00271026648,0.0017537018399999998,0.08577196272,0.0015942744,0.00542053296,0.0033479762400000002,1.22743186056,0.00127541952,0.01068163848,0.00127541952,0.014826751919999999,0.031885488000000003,0.00127541952,0.07365547727999999,0.00860908176,0.01084106592,0.03969743256,0.00255083904,0.007971372000000001,0.00829022688,0.00063770976,0.0087685092,,0.00031885488,0.0004782823199999999,,0.012594767760000002
Hainan,0.018421512480000003,0.00242195184,0.01093547952,0.01823803128,0.012513417839999999,0.0102749472,0.014495014799999999,0.00616496832,0.0032292691200000003,0.004953992400000001,0.08256654000000001,0.0188985636,0.006054879600000001,0.0053209548,0.012623506559999999,0.02689834392,0.011926278000000002,0.013907874960000002,0.00950432616,0.0028623067200000004,0.00216507816,0.0023485593600000004,0.01533902832,0.008146565279999999,0.00300909168,,0.008843793840000001,0.0005871398400000001,0.00227516688,0.00014678496000000002,0.031045019040000007
Chongqing,0.0070867548,0.00133860924,0.005669403839999999,0.00582688728,0.0031496688,0.00181105956,0.03763854216,0.0017323178399999998,0.004488278039999999,0.00582688728,0.15606608904000002,0.0008661589199999999,0.01425225132,0.00267721848,0.0311029794,0.26646198048,0.0004724503199999999,0.08433238212000001,0.01212622488,0.021890198159999995,0.02732337684,0.05464675368,,0.00519695352,0.0021260264399999996,0.0035433774,0.0094490064,0.00031496688,0.00125986752,0.00291344364,0.014094767879999998
Sichuan,0.015669984600000002,0.005530582800000001,0.01972574532,0.02654679744,0.010323754560000002,0.009217638000000002,0.029496441600000006,0.00387140796,0.011429871119999999,0.034105260600000006,0.4087100689200001,0.00221223312,0.04977524520000001,0.023044095000000004,0.10268448732000003,,0.00165917484,0.12535987680000002,0.03004949988,0.04977524520000001,0.28132231176,0.024703269840000004,0.41921817623999996,0.00755846316,0.00884893248,0.010323754560000002,0.0350270244,0.0014748220800000005,0.012351634920000002,0.024518917080000004,0.05567453352000002
Guizhou,0.00220694544,0.0009808646400000002,0.0026156390399999997,0.0065390976,0.0004086936,0.0007356484799999999,0.06833356991999999,0.0007356484799999999,0.0037599811200000003,0.0013078195199999999,0.18546515568,0.00024521616000000004,0.01119820464,0.0007356484799999999,0.01700165376,0.1033994808,0.00024521616000000004,,0.015448618080000002,0.01765556352,0.1843208136,0.0022886841600000003,0.08737869168,0.005558232959999999,0.00016347743999999998,0.00212520672,0.07675265808000001,0.00016347743999999998,0.00024521616000000004,0.00024521616000000004,0.017819040959999997
Yunnan,0.004555958399999999,0.0009762768,0.00566240544,0.006118001279999999,0.0022779791999999995,0.0013667875199999998,0.01405838592,0.00110644704,0.00351459648,0.00514172448,0.07543365408,0.00110644704,0.008070554879999999,0.0014318726399999999,0.014579066880000003,0.23489219808000006,0.0009762768,0.17058809951999998,0.007745129279999999,0.01086921504,,0.00208272384,0.01451398176,0.0031240857599999995,0.0009762768,0.00234306432,0.04399754111999999,0.00039051072,0.00110644704,0.00123661728,0.009307172159999998
Tibet,9.6228e-05,3.0618000000000004e-05,0.00029087100000000005,0.000518319,0.000129033,6.342299999999999e-05,0.000323676,3.0618000000000004e-05,6.342299999999999e-05,0.00022526099999999998,0.00045270900000000003,,0.000129033,0.001878633,9.6228e-05,0.008877033000000001,3.0618000000000004e-05,9.6228e-05,3.0618000000000004e-05,,0.0013603139999999998,9.6228e-05,0.001585575,3.0618000000000004e-05,0.00022526099999999998,,,3.0618000000000004e-05,0.005021352,,0.000129033
Shaanxi,0.01291774392,0.0052268328,0.01515781512,0.03427308936,0.12380126832,0.00425613528,0.00948296808,0.0798958728,0.009781644240000002,,0.08355465576000001,0.0011947046400000007,0.0377078652,0.06324467688000003,0.03718518192,0.041217310080000014,0.0011947046400000007,0.0053761708799999995,0.01411244856,0.009781644240000002,0.006720213600000002,0.019563288480000003,0.013216420080000004,0.0035841139200000005,0.003733452,0.0024640783199999998,0.00388279008,0.029419601760000004,0.010752341759999999,0.0017920569600000003,0.061303281840000015
Gansu,0.00613503072,0.005441187960000001,0.009494690400000002,0.007632270359999999,0.0031040334000000005,0.00284840712,0.0036152859600000003,0.01318301244,0.0031770694800000005,0.058684490280000015,0.02059617456,0.0006938427600000001,0.016469636040000003,,0.025160929560000003,0.023481099720000002,0.00047473452,0.00105902316,0.00606199464,0.0036152859600000003,0.00241019064,0.000912951,0.006427175040000001,0.0016433118000000002,0.01066326768,0.00105902316,0.00113205924,0.04933587204,0.051965170920000005,0.0019354561199999998,0.02621995272
Qinghai,0.0010959591599999999,0.00080836704,0.0014845971599999998,0.0025261470000000003,0.0007772760000000001,0.00025650107999999997,0.0006140480400000001,0.0011659139999999999,0.00025650107999999997,0.0024251011199999998,0.0021996910800000003,9.327312e-05,0.0021996910800000003,0.03988203156,0.0016789161600000006,0.0035910151200000007,6.218208000000001e-05,0.00015545520000000002,0.0008705491200000003,0.00015545520000000002,0.00028759212000000004,0.00012436416000000006,0.0012902781600000002,0.00025650107999999997,0.0024872832000000004,0.00025650107999999997,0.0005440932,0.0013213692000000007,,0.005891752080000001,0.00284483016
Ningxia,0.0021699414,0.0009337323599999999,0.00290640636,0.0017491042800000002,0.0022883018399999996,0.00109154628,0.0006707091599999999,0.03183895836,0.00038138364,0.02059471656,0.0039453479999999996,0.00028932552000000004,0.00301161564,0.039940072920000014,0.00423467352,0.0019069182000000001,0.00018411624000000005,0.0005128952400000001,0.0006707091599999999,0.00047344176,0.0007364649600000001,0.00047344176,0.0007364649600000001,0.00011836044,0.0007101626400000001,0.00015781391999999998,0.00011836044,,0.0021041856,5.260464e-05,0.006273103319999999
Xinjiang,0.0011632895999999998,0.0003877632,0.00152285184,0.0026579404799999995,0.00028905983999999994,0.0003877632,0.0008742297599999999,0.00181191168,0.0005781196799999999,0.00210097152,0.0124084224,0.00015510528,0.0021362227199999994,0.014876006399999999,0.00369432576,0.0072546969599999985,0.00012690431999999994,0.00025380863999999994,0.0012267417599999995,0.00064157184,0.00028905983999999994,0.0003877632,0.00252398592,0.00022560768,,0.00015510528,0.00071207424,0.00093768192,0.00272139264,,0.007776414719999999
Taiwan,,6.324480000000001e-05,0.00012807072000000004,0.00012807072000000004,,0.00019289664,0.00012807072000000004,,0.0003225484800000001,,0.00437337792,,0.0029472076799999997,,0.0027527299200000004,0.00048540384000000003,3.1622400000000004e-05,,0.0007447075200000001,0.0018467481600000003,,3.1622400000000004e-05,0.0004205779200000001,,,,,,,,0.00022610016
Hong Kong,0.0003216153600000001,0.00016080768000000005,0.00029146392,9.547956e-05,,0.00012563100000000002,0.00022613580000000006,3.0151440000000003e-05,0.00019095912,,0.0382923288,3.0151440000000003e-05,0.0006432307200000001,9.547956e-05,0.0019095912,0.0003216153600000001,,3.0151440000000003e-05,0.0007437355200000001,0.0014221429200000002,9.547956e-05,3.0151440000000003e-05,0.00038694348,9.547956e-05,3.0151440000000003e-05,0.00029146392,0.0003517668,,,,0.0020050707600000003
Macau,3.1862159999999985e-05,,3.1862159999999985e-05,,,,0.00012744863999999994,,3.1862159999999985e-05,,0.04953503807999999,6.372431999999997e-05,6.372431999999997e-05,9.558647999999998e-05,0.00041951844000000005,9.558647999999998e-05,6.372431999999997e-05,,0.0001593108,0.00038765628,3.1862159999999985e-05,3.1862159999999985e-05,6.372431999999997e-05,9.558647999999998e-05,,3.1862159999999985e-05,0.00048324276,,,,0.00022303512
