,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Hunan,Inner Mongolia,Anhui,Shaanxi,Guangdong,Heilongjiang,Jiangsu,Gansu,Shanghai,Sichuan,Jilin,Guizhou,Zhejiang,Fujian,Yunnan,Hubei,Chongqing,Jiangxi,Xinjiang,Hainan,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.4514934070800001,0.065375019,0.0482422554,0.04481570268,0.03796259724,0.0275025942,0.02407604148,0.021461040719999998,0.02082983364,0.017313108480000002,0.016591728960000003,0.014607935280000003,0.013796383320000005,0.013525866,0.01316517624,0.01145189988,0.01118138256,0.0073039676400000015,0.005410346400000001,0.004959484200000001,0.0040577598000000005,0.003516725160000001,0.003516725160000001,0.003516725160000001,0.003516725160000001,0.0034265527200000004,0.0034265527200000004,0.002254311,0.0009918968400000005,0.00018034488,
Tianjin,0.23048704224,,0.03087800352,0.00802200672,0.00945610848,0.00950092416,0.00143410176,0.009052767359999998,0.0026441251199999997,0.00147891744,0.006767167680000001,0.00466083072,0.0056467756800000005,0.0033611759999999996,0.0056915913600000005,0.00219596832,0.00398859552,0.00058260384,0.0031370976,0.0020167056000000004,0.00116520768,0.0018822585600000003,0.0025096780800000005,0.0009411292800000001,0.0006274195200000001,0.00103076064,0.0006722352,0.0007618665600000001,0.0006722352,8.963136000000001e-05,0.09608481792
Hebei,,0.36188055072,0.27021054384,0.09382977143999999,0.15646294368,0.07391194272000001,0.013918482719999998,0.08999019,0.01631822112,0.02135767176,0.04151547432,0.010078901279999998,0.05063448024,0.00983892744,0.0371959452,0.023997384,0.010558848959999999,0.004319529119999999,0.02015780256,0.00767916288,0.0095989536,0.0035996076,0.00887903208,0.006239319839999999,0.00191979072,0.005039450639999999,0.009358979759999999,0.00647929368,0.005279424479999999,0.00095989536,1.02492827064
Shanxi,0.16844664743999996,0.0410307444,0.0489721788,0.05408999208,,0.008823815999999998,0.007764958079999999,0.10103269319999998,0.006794338319999999,0.12829828463999998,0.028853878319999995,0.00194123952,0.02797149672,0.004323669839999999,0.035295263999999986,0.011647437119999998,0.00105885792,0.00185300136,0.008470863359999999,0.0048530988,0.006441385679999999,0.0017647631999999996,0.005206051439999999,0.00273538296,0.0004411908,0.00229419216,0.00326481192,0.0050295751199999975,0.00326481192,0.00035295263999999995,0.15865221168
Inner Mongolia,0.07791059196000001,0.01998019872,0.01845731772,0.00402040584,0.060671579040000014,0.11994210756000002,0.00194928768,,0.00146196576,0.051899784479999996,0.01206121752,0.033381551520000004,0.0077971507200000015,0.008284472640000002,0.01114748892,0.00499504968,0.034051619160000005,0.0005482371599999999,0.00475138872,0.0017665419600000002,0.00255844008,0.00073098288,0.00188837244,0.0008528133600000003,0.0013401352800000003,0.00127922004,0.0010964743199999999,0.029117484720000007,0.0020711181600000005,6.091524000000001e-05,0.09210384288
Liaoning,0.09075860460000001,0.02491675344,0.052445747159999986,0.0072338961599999994,0.0077027597999999985,,0.0051575000400000005,0.08988785783999999,0.0048895779600000005,0.00288016236,0.03663834444,0.03335629896,0.02692616904,0.0030141234,0.036772305479999996,0.00810464292,0.09116048772,0.00154055196,0.0103819806,0.0080376624,0.00294714288,0.00207639612,0.0036839285999999997,0.0021433766400000003,0.00073678572,0.0040188312,0.0036839285999999997,0.00026792208000000003,0.00093772728,0.0005358441600000001,0.10609714368
Jilin,0.02044466892,0.01552004064,0.02725955856,0.00303436692,0.00283539204,0.17062095959999998,0.00238769856,0.036014453280000004,0.00258667344,0.00119384928,0.018952357319999998,0.06655709736000001,0.013679523,0.00059692464,0.02407596048,0.004377447360000001,,0.0008953869599999999,0.01134156816,0.004078985039999999,0.00283539204,0.0013430804400000002,0.00208923624,0.0017410301999999998,0.00019897488,0.0029348794800000003,0.0017410301999999998,0.00024871860000000003,0.00034820604000000005,0.00014923116,0.056508865920000005
Heilongjiang,0.0215620704,0.0137296944,0.0318823776,0.0025800768,0.0028104408,0.10656638639999998,0.0025800768,0.0332645616,0.0024879312,0.0014743296,0.020824905600000002,,0.014052204,0.0008753831999999999,0.0239117832,0.0037318968,0.07818554159999999,0.0009675288,0.007463793600000002,0.0033633144,0.0011978928,0.0008293103999999999,0.0013361112,0.0011057472,0.0005989464,0.0031790232,0.0020272032,9.21456e-05,0.0001842912,4.60728e-05,0.07698764879999999
Shanghai,0.005459762879999999,0.0025437531599999995,0.02066023908,0.0415686492,0.00483933528,0.0076312594799999986,0.01011296988,0.00210945384,0.058940622000000005,0.00378460836,0.01966755492,0.0057699766799999995,0.24891555312,0.00539772012,,0.01141586784,0.0027298814399999995,0.00316418076,0.10814053068,0.008996200199999999,0.004653207,0.00335030904,0.00415686492,0.014704134119999998,0.0006824703599999999,0.00204741108,0.00421890768,0.0013028979599999998,0.0017371972800000002,0.0003102138,0.00887211468
Jiangsu,0.02488862376,0.01079087184,0.1897104888,0.1026873288,0.02018937312,0.016012261439999998,0.017752724640000002,0.00556948224,0.26576873063999995,0.011487057119999998,0.06596355528,0.00487329696,,0.016882493039999998,0.6951410020799998,0.02227792896,0.005047343279999999,0.00469925064,0.12670572096,0.019667234159999998,0.0095725476,0.007135899119999998,0.007483991759999998,0.019667234159999998,0.00243664848,0.003654972719999999,0.008702316,0.0017404632,0.00469925064,0.00034809264,0.045600135839999986
