,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Shaanxi,Zhejiang,Anhui,Heilongjiang,Hubei,Sichuan,Hainan,Jilin,Hunan,Fujian,Yunnan,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.0755084268,0.026455507200000002,0.17085848399999998,0.3020337072,0.0270066636,0.23203684440000003,1.1982140136,0.012125440800000001,0.031967071199999995,0.983814174,0.0595248912,,0.6498133956000001,0.0253531944,0.1642446072,0.09645237,0.0347228532,0.0225974124,0.1444029768,0.270066636,0.0953500572,0.4100603616,0.08046883440000001,0.0187393176,0.04464366840000001,0.2105417448,0.008267346,0.006062720400000001,0.0033069384000000003,0.0011023128,0.0914919624
Anhui,0.057587034239999994,0.02079531792,0.18235894176,0.46629501336,0.019995498,0.10117721988,1.64722912524,0.005998649399999999,0.0139968486,0.33112544688,0.03639180636,0.53148033684,,0.009997749,0.14076830592,0.02519432748,0.017196128280000004,0.00839810916,0.04718937528,0.04518982548,0.02119522788,0.11877325812,0.01959558804,0.0079981992,0.01879576812,0.01679621832,0.0035991896399999996,0.00319927968,0.00159963984,0.00039990996,0.07118397288
Fujian,0.02622786804,0.011617713359999999,0.04418251596,0.06213716387999999,0.013906050840000005,0.39112968312,0.10139095296,0.004752700920000001,0.013201947,0.07815552624000001,0.02798812764,0.26051842080000004,0.0501673986,0.01091360952,0.06072895620000001,0.048407139,0.01566631044,0.007041038400000001,0.06055293024,,0.03766955544000001,0.21985642404000005,0.04295033424,0.007921168200000002,0.03538121796,0.06724191672,0.004752700920000001,0.0017602596,0.0022883374800000003,0.00035205192000000005,0.04400649000000001
Jiangxi,0.02157031296,0.00606665052,0.03909619224,0.05684676228,0.0089876304,0.51364307736,0.11301945228000003,0.00269628912,0.0076394858400000015,0.08807877792000002,0.01999747764,0.34782129648000004,0.11953548432,0.005617269,0.17413533899999997,0.0213456222,0.020896240680000004,0.0035950521600000007,0.30737695968,0.20986116984,0.0213456222,,0.01999747764,0.0074147950800000015,0.038646810719999994,0.02965918032,0.00134814456,0.0015728353200000005,0.0011234538,0.00044938152,0.03213077868
Shandong,0.76765067604,0.1824398316,,0.66520369368,0.10806051564,0.12724008768000006,0.8864704637999999,0.05145738840000001,0.11133507672000001,0.15577554852000006,0.09964021572,0.20536175915999996,0.22781589228,0.10338257124,0.09823683240000003,0.09823683240000003,0.0397625274,0.07391152152000001,0.06128107164,0.05426415504,0.04865062176,0.05145738840000001,0.042101499600000016,0.023389722,0.031810021920000014,0.03321340524,0.01450162764,0.01029147768,0.006549122160000001,0.00093558888,0.2895647583600001
Henan,0.35925663996,0.06603024096,0.5656011429599999,,0.28584143784000005,0.22068001584,0.38401798032,0.02736779724,0.030408663599999993,0.11468410272,0.2780220672,0.26368655436,0.48827625552000004,0.0173763792,0.43354066104,0.07515284003999999,0.0499570902,0.011729055959999998,0.09904536143999998,0.05603882292,0.043440948,0.059948508240000004,0.0477850428,0.03301512048,0.03953126268,0.031711892039999995,0.021720474,0.012597874919999998,0.009557008559999998,0.0021720474,0.2085165504
Hubei,0.0550613538,0.01562205852,0.07042731299999999,0.37492940448,0.02714652792,0.27377017308,0.14956200288,0.008707376880000001,0.01178056872,0.07068341232000001,0.09296405316,0.12984235524,0.14495221512,0.010756171439999998,,0.05301255924,0.02919532248,0.006658582319999999,0.41744189159999995,0.0537808572,0.03636610344,0.18413541107999998,0.14290342056,0.01895134968,0.04430518236000001,0.04404908303999999,0.00819517824,0.00460978776,0.00409758912,0.00102439728,0.06863461776
Hunan,0.029260602,0.011146896000000002,0.045144928800000005,0.0763562376,0.0114255684,0.9045706104000001,0.08220835800000001,0.0044587584,0.0086388444,0.046816963200000006,0.0289819296,0.101715426,0.0406861704,0.008360171999999999,0.3723063264,0.0365060844,0.0387354636,0.0066881376000000005,,0.056570497199999986,0.050161032000000015,0.3090476916,0.0652093416,0.00696681,0.2014801452,0.17500626719999998,0.003901413600000001,0.0033440688000000002,0.0019507068,0.0008360172000000001,0.0498823596
Guangdong,0.07537119336,0.03327196824,0.11000120112000003,0.24716319264000003,0.03327196824,,0.19827376991999998,0.016296474239999997,0.035988047280000005,0.16703886095999998,0.09166766760000003,0.22543456031999998,0.09777884544,0.042778244879999996,0.34018889975999994,0.20098984895999997,0.17926121664,0.0271607904,1.1502594734400002,0.41895519192,0.1731500388,0.5472899265600001,0.14666826816,0.023086671840000003,1.52915249952,0.24037299504,0.014259414960000001,0.0067901976,0.004753138320000001,0.00203705928,0.15006336696
Guangxi,0.0246046248,0.005695515,0.0321227046,0.0385016814,0.007973721,1.2960713934,0.037362578399999985,0.002278206,0.009112824,0.0225542394,0.0189091098,0.0405520668,0.0168587244,0.008201541599999999,0.0385016814,0.0328061664,0.0412355286,0.0050120532,0.206177643,0.0332618076,0.1068478614,0.0334896282,0.0268828308,0.006151156200000001,,0.14694428699999998,0.002278206,0.0015947442000000002,0.0013669236,0.0002278206,0.028477575
Hainan,0.02947096872,0.013984883280000002,0.03073513896,0.03547577736,0.01975266,0.1564410672,0.035396766720000014,0.007901064000000001,0.023703192,0.032394362399999994,0.023624181360000003,0.02678460696,0.01011336192,0.02322912816,0.023150117520000003,0.03271040496,,0.01493301096,0.033500511360000006,0.016750255680000003,0.016039159919999997,0.016197181199999997,0.022676053680000002,0.005372723520000001,0.04487804352,0.01706629824,0.00529371288,0.00213328728,0.0030814149600000003,0.00015802128000000002,0.06478872479999999
Chongqing,0.01999649916,0.00623546748,0.02623196664,0.03891791772,0.01139585436,0.11137835016,0.048808659239999996,0.00494537076,0.007095531959999998,0.03268245024,0.04751856252,0.05396904611999999,0.01892141856,0.0043003224,0.14470584875999998,0.9989648935200002,0.03698277264,0.0032252418,0.06730004556,0.030747305160000002,0.07590069036000001,0.0172012896,,0.0129009672,0.03053228904,0.24597844128000002,0.00795559644,0.00365527404,0.00236517732,0.00344025792,0.03268245024
Sichuan,0.0312776316,0.009687762,0.0376438752,0.059510538,0.0190987308,0.1541738124,0.053144294399999986,0.0052590708000000005,0.0091341756,0.0417957732,0.1431020844,0.0642160224,0.019929110400000002,0.0085805892,0.0489923964,,0.0423493596,0.0052590708000000005,0.0384742548,0.037090288799999996,0.4201720776,0.018545144399999998,1.049046228,0.059510538,0.0340455636,0.2330598744,0.0105181416,0.0063662436,0.02075949,0.0265721472,0.0556354332
Guizhou,0.014681126880000001,0.00401983236,0.019400060519999998,0.02656584864,0.00506848428,0.17058071232,0.0384505704,0.00139820256,0.0038450570399999997,0.017652307319999998,0.016079329439999998,0.08284350168000001,0.013632474960000002,0.0019225285199999998,0.032508209520000005,0.24346202075999998,0.02079826308,0.0017477532,0.17547442128,0.0367028172,0.3478028868,0.02341989288,0.27055219536,0.00559281024,0.1476851454,,0.00139820256,0.00122342724,0.0008738766,0.0008738766,0.017827082640000002
Yunnan,0.02315510064,0.007148554559999999,0.032013092160000006,0.034188739200000005,0.01118904192,0.12634293168000002,0.049729075200000014,0.0032634705600000005,0.01041202512,0.034188739200000005,0.028438814880000007,0.05003988192,0.01756057968,0.00808097472,0.0318576888,0.3737450808000001,0.01756057968,0.0051283108800000005,0.053147949119999996,0.0303036552,,0.019580823360000003,0.07972192368,0.0063715377600000005,0.10909315872000001,0.33738069456,0.00372968064,0.0021756470400000004,0.0029526638400000004,0.0048175041600000005,0.037763016480000015
Tibet,0.0022894293600000002,0.0005068202400000001,0.00361764792,0.00999659232,0.0014855076,0.0033205464000000003,0.00304092144,0.00064663272,0.0009961639199999998,0.00103111704,0.01142967024,0.00110102328,0.0013456951199999998,0.0009961639199999998,0.0026739136800000003,0.061220389679999994,0.00020971872,0.00027962496,0.00251662464,0.000873828,0.010258740720000001,0.000873828,0.012268545120000002,0.008056694159999999,0.0006990624000000001,0.0021321403200000003,0.00145055448,0.00024467183999999997,0.02546334792,,0.00342540576
Shaanxi,0.07829133408,0.018435574080000003,0.08451633312000001,0.25402784544,0.3045461068800001,0.08212210272,0.0945721008,0.22098746592,0.0167596128,0.03926537856,,0.051715376640000005,0.041659608960000004,0.01221057504,0.10007883072000001,0.19848170016,0.025618265280000004,0.00694326816,0.034955763839999994,0.02418172704,0.02920961088,0.017477881919999997,0.05291249183999999,0.31077110591999996,0.019393266240000002,0.021069227519999997,0.02489999616,0.11276825184,0.02705480352,0.00622499904,0.07853075711999999
Gansu,0.020410218,0.007412131800000001,0.022343817599999996,0.0335157264,0.0116015976,0.0243848394,0.0250293726,0.041464969199999986,0.004511732399999999,0.0136426194,0.33934672979999997,0.017187552000000002,0.010205109,0.0022558662,0.0156836412,0.07702171740000001,0.0071972874,0.001611333,0.0088086204,0.012998086200000002,0.009238309200000001,0.0049414212,0.0125683974,,0.006123065400000001,0.006123065400000001,0.039209103,0.1276175736,0.141260193,0.0031152438,0.0255664836
Qinghai,0.00529289964,0.0014402448,0.006373083240000001,0.01353830112,0.0046447894800000005,0.006985187280000001,0.007597291319999999,0.002700459,0.0008641468799999999,0.0030965263199999996,0.032297489639999996,0.0046447894800000005,0.003600612000000001,0.0009001530000000002,0.00514887516,0.02707660224,0.003348569160000001,0.00039606732000000013,0.0029164957200000013,0.0021603672000000003,0.0030965263199999996,0.00118820196,0.0039606732000000006,0.17167718016000005,0.0015842692800000005,0.0006121040400000001,0.012602142000000002,0.00903753612,,0.0136823256,0.00709320564
Ningxia,0.012599861039999995,0.0024230502,0.012330633239999998,0.0172305792,0.010499884199999998,0.00845375292,0.012330633239999998,0.12664475711999998,0.00204613128,0.004576872599999999,0.11172953699999998,0.006407621639999999,0.004792254839999999,0.0021538224,0.004684563719999999,0.0073229961599999985,0.004038416999999999,0.001346139,0.003984571439999999,0.00199228572,0.00290766024,0.00183074904,0.005653783799999999,0.14080613939999995,0.00263843244,0.00204613128,0.00371534364,,0.006407621639999999,5.384556e-05,0.013946000039999998
Xinjiang,0.014722028639999997,0.00364589424,0.0198447408,0.051504024960000006,0.008214799679999999,0.015645039840000003,0.017352610559999995,0.009091660319999998,0.003784345919999999,0.007153336799999998,0.04864269024,0.01162994112,0.008260950239999999,0.0036920448,0.00955316592,0.035259027839999985,0.006830282879999999,0.0020306246399999996,0.008814756959999998,0.006507228959999999,0.005676518879999999,0.00249213024,0.016244997119999997,0.09359333568,0.00263058192,0.00304593696,,0.0083071008,0.021090805919999997,0.0011537639999999998,0.01439897472
Taiwan,6.456996000000001e-05,3.213756000000001e-05,0.00016186716000000004,0.00022673196000000005,,0.00025916436,9.700235999999999e-05,,6.456996000000001e-05,0.00051832872,,0.00019429956000000006,6.456996000000001e-05,,9.700235999999999e-05,3.213756000000001e-05,,3.213756000000001e-05,,0.0008747902800000001,6.456996000000001e-05,,3.213756000000001e-05,,,,,,,,3.213756000000001e-05
Hong Kong,,,9.668808e-05,3.1479840000000006e-05,3.1479840000000006e-05,0.020832908400000003,,3.1479840000000006e-05,,0.00084096144,,6.295968000000001e-05,,,,3.1479840000000006e-05,,,,0.00012816791999999998,3.1479840000000006e-05,9.668808e-05,,,9.668808e-05,,,,,,0.00016189632
Macau,0.0018119408399999996,0.00075688668,0.0012844137599999999,0.00142202952,0.0011009260799999998,0.19325839895999997,0.0036468176399999997,0.00032110343999999997,0.0011009260799999998,0.0046789358400000005,0.00041284727999999995,0.00357800976,0.00032110343999999997,0.00018348768,0.00192662064,0.0007110147599999999,0.000573399,0.00036697536,0.00222478812,0.00201836448,0.000573399,0.0006422068799999999,0.0005504630399999999,,0.0018348767999999999,0.001146798,,2.293596e-05,,,0.00247708368
