,Hebei,Tianjin,Shandong,Henan,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Shaanxi,Zhejiang,Anhui,Heilongjiang,Hubei,Sichuan,Hainan,Jilin,Hunan,Fujian,Yunnan,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,3.9910744439999997,0.7079225201999999,0.3953136474,0.33157785780000004,0.216246429,0.182102256,0.1737559026,0.16768582740000001,0.14795808300000002,0.125195301,0.10698507539999999,0.1016737596,0.098638722,0.0963624438,0.09332740619999999,0.0827047746,0.0789109776,0.0743584212,0.072082143,0.053871917400000004,0.0500781204,0.0447668046,0.0440080452,0.0364204512,0.030350376,0.026556579,0.0159339474,0.014416428600000001,0.0098638722,0.0015175188,
Tianjin,1.1971858157999995,,0.2124484362,0.0920526282,0.068976765,0.0341121456,0.058943781,0.0479074986,0.05718800879999999,0.026838232200000003,0.0223233894,0.0258349338,0.0316038996,0.0393794622,0.0220725648,0.0220725648,0.014547826799999997,0.0283431798,0.015049476,0.0165544236,0.0140461776,0.0092805102,0.011788756199999995,0.0183101958,0.0110362824,0.0132937038,0.006772264199999999,0.006270614999999999,0.0032607197999999994,0.001254123,0.3752336016
Hebei,,1.1229733533600001,0.852199137,0.40133755583999997,0.4187031231599999,0.08747100576,0.17172616572000002,0.23347040508,0.20967314616,0.04244916456,0.10805241888,0.08875734408,0.08296882164,0.06817593095999999,0.07332128423999999,0.054669378600000006,0.03794698044,0.052096701960000005,0.04566501036,0.028299443039999997,0.03280162716,0.03151528884,0.032158458,0.02058141312,0.023154089759999996,0.0192950748,0.012220214040000002,0.0128633832,0.007074860759999999,0.00064316916,2.04720743628
Shanxi,0.41565477564000003,0.058931446320000004,0.11242949688,0.3437667702,,0.04116842172,0.06499177236,0.1744955946,0.01588223376,0.02256949008,0.38368133136,0.031555490760000006,0.02800288584,0.008568047159999998,0.031555490760000006,0.03615297948,0.0250772112,0.007523163359999999,0.019225861919999997,0.017136094319999996,0.016300187280000003,0.009403954200000002,0.017763024600000003,0.01421041968,0.00898600068,0.008150093640000002,0.00459748872,0.01003088448,0.00438851196,0.0008359070399999999,0.151508151
Inner Mongolia,0.22647011616,0.0372929832,0.056448015479999995,0.034580766240000005,0.16985258711999998,0.02152822212,0.02763071028,,0.19527962112,0.01169643564,0.21240049068,0.0186464916,0.011865949199999998,0.11153992248,0.01118789496,0.00966227292,0.01339157124,0.12238879032,0.00745859664,0.006950055959999999,0.005763461039999999,0.00389881188,0.00525492036,0.05627850192000001,0.0035597847600000003,0.0035597847600000003,0.00525492036,0.16697085659999994,0.004068325439999999,0.00016951356,0.13120349543999998
Liaoning,0.2500404228,0.05920452,0.15827341679999998,0.08683329599999999,0.046376874000000005,0.0556522488,0.07933405679999997,0.2350419444,,0.0363121056,0.027628776,0.046376874000000005,0.037496196,0.17070636600000005,0.023287111200000002,0.0294049116,0.026839382400000004,0.28714192200000005,0.0228924144,0.0223003692,0.026642034,0.016182568799999998,0.0163799172,0.0189454464,0.024471201600000003,0.0317730924,0.013419691200000002,0.0053284068,0.002762877600000001,0.0011840904,0.1111071492
Jilin,0.06295014791999999,0.02224310544,0.05636359727999999,0.023862749039999995,0.01144548144,0.032392872,0.03660394536,0.13162303656,0.2440263024,0.02191917672,0.012957148799999998,0.02828977488,0.014792744879999997,0.22394272176,0.00874607544,0.00993381408,0.019543699440000003,,0.010797624,0.01101357648,0.008098217999999999,0.00550678824,0.005722740719999999,0.00475095456,0.005614764479999999,0.005074883279999999,0.0032392872,0.00172761984,0.00086380992,0.0006478574399999999,0.05334026256
Heilongjiang,0.06222081096,0.026214859440000002,0.07369639200000001,0.02779406784,0.0152656812,0.04632344640000001,0.03558482928,0.10875481848000003,0.11307132144,0.030426081840000008,0.01505512008,0.02674126224,0.015160400640000004,,0.01063333656,0.014212875600000003,0.031057765200000007,0.24730403544,0.01337063112,0.01242310608,0.00936996984,0.007580200320000002,0.006948516960000001,0.005790430800000001,0.009896372640000001,0.00863300592,0.00242145288,0.0016844889600000005,0.00221089176,0.00021056112000000004,0.07116965856
Shanghai,0.04431160404,0.02825667504,0.15541171271999998,0.15733830419999995,0.0288988722,0.1958701338,2.986216794,0.01220174604,0.02697228072,,0.05266016711999998,1.3858614712799997,0.47651029272,0.02825667504,0.09247639103999998,0.0577977444,0.04110061824,0.02440349208,0.06743070179999999,0.10467813707999997,0.051375772800000004,0.11623768596,0.04880698415999999,0.017981520480000002,0.033394252319999984,0.029541069359999995,0.007706365919999999,0.00706416876,0.0032109858000000002,0.00128439432,0.12073306607999995
Jiangsu,0.13899728304,0.04713126264,0.8108174844000001,0.439359228,0.06310796183999999,0.20530058472,,0.01837320408,0.043935922800000006,1.8684749714400002,0.09665903016,1.19825244,1.96193866176,0.035947573200000006,0.159766992,0.07349281632,0.03754524312,0.02875805856,0.09506136024,0.10304970983999999,0.0639067968,0.12381941880000001,0.05272310736000001,0.035148738240000005,0.03914291304,0.06310796183999999,0.011183689440000002,0.00958601952,0.0063906796800000006,0.00159766992,0.13819844808
