,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Guangdong,Shanghai,Zhejiang,Shaanxi,Sichuan,Hubei,Anhui,Heilongjiang,Jilin,Hunan,Chongqing,Fujian,Hainan,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,5.83084106496,1.19369772576,0.6013618977599999,0.43889264208,0.34524716832,0.31365592415999993,0.30237333696,0.23580607247999996,0.23016477888,0.22790826143999995,0.17036706672000002,0.16359751439999998,0.14554537487999994,0.13426278767999994,0.13087801151999998,0.11959542431999998,0.10154328480000001,0.09477373247999997,0.07108029935999999,0.06882378191999998,0.0676955232,0.058669453439999984,0.05302815983999999,0.04061731392,0.03610427904,0.034976020319999995,0.02143691568,0.0169238808,0.011282587199999998,0.00451303488,
Tianjin,1.6495409203199998,,0.28002726432,0.08710447104,0.08744472287999999,0.08710447104,0.07281389376000001,0.040830220800000004,0.03504593952,0.03300442848,0.0357264432,0.02483838432,0.025859139840000003,0.022116369599999998,0.031983672959999994,0.03674719872,0.027560399040000003,0.016672340159999997,0.01735284384,0.019054103040000003,0.014971080959999999,0.010207555200000001,0.00986730336,0.01258931808,0.0051037776000000005,0.006464784960000001,0.0037427702399999998,0.00272201472,0.00136100736,0.00034025184,0.69887727936
Hebei,,1.61250264,1.0600631999999999,0.49124880000000004,0.5610578399999999,0.29647295999999995,0.18357192,0.2757888,0.09307872,0.06119063999999999,0.09824975999999998,0.12582864,0.06291432,0.07584192,0.09221688,0.0560196,0.05084856,0.04653936,0.032749919999999995,0.03102624,0.03533544,0.02930256,0.02844072,0.021546,0.01809864,0.02757888,0.01378944,0.012927600000000001,0.00689472,0.00086184,3.1034858399999994
Shanxi,0.5703014628,0.08242313112,0.15235790904000002,0.43126446384,,0.02719685808,0.09269133264,0.21313456128,0.04329295776000001,0.03691002168,0.045790628400000005,0.5067496209600001,0.049953412800000006,0.03552242688,0.0360774648,0.01026820152,0.00666045504,0.02136895992,0.021646478880000004,0.01720617552,0.0222015168,0.01221083424,0.01498602384,0.02136895992,0.0111007584,0.01054572048,0.01165579632,0.00638293608,0.00444030336,0.00083255688,0.25337481048000005
Inner Mongolia,0.32669089128,0.04802082408,0.06767701632,0.044786260800000005,0.2264194296,0.33266239272,0.03383850816,,0.02214431784,0.0236371932,0.024632443440000002,0.29310119568000004,0.02090025504,0.01343587824,0.01318706568,0.2077584876,0.16919254079999999,0.01716806664,0.00920606472,0.00821081448,0.010947752639999999,0.005722688879999999,0.00821081448,0.07165801727999999,0.005722688879999999,0.00472743864,0.22218961608,0.006220314,0.003981000960000001,0.0004976251200000001,0.24085055808000003
Liaoning,0.3067924053599999,0.08972014247999999,0.15924751631999998,0.05300601767999999,0.026847203759999997,,0.09614511432,0.26870150088000005,0.06241401215999999,0.0734282496,0.061266695759999976,0.0252409608,0.03556680839999999,0.027765056879999996,0.027306130319999997,0.18632418335999995,0.4141812203999999,0.02111062176,0.013997260079999995,0.02225793816,0.027765056879999996,0.011014237439999998,0.014915113199999996,0.0071133616799999985,0.010784774159999995,0.014226723359999997,0.00321248592,0.005966045279999999,0.00206516952,0.0006883898399999999,0.22074367535999995
Jilin,0.06316117235999999,0.032684802480000004,0.061247197439999984,0.0169313166,0.008980959239999997,0.4942472158799999,0.03916287144,0.14708161116,0.033126488999999995,0.03032914104,0.029887454519999995,0.007508670839999999,0.0117783072,0.01133662068,0.01310336676,0.31286128499999993,,0.007508670839999999,0.006772526639999999,0.009717103440000001,0.02017035108,0.0058891536,0.006772526639999999,0.0032390344800000003,0.003975178679999999,0.006183611279999999,0.0008833730399999999,0.0016195172400000001,0.00029445768,0.0005889153599999999,0.08274260807999999
Heilongjiang,0.07387930620000001,0.039040807680000005,0.08635067532000001,0.01911372876,0.00962464356,0.22922918675999998,0.04283644176000001,0.16483896575999998,0.042023091600000013,0.035109615239999996,0.031313981160000004,0.01247136912,0.015589211399999999,0.01342027764,0.0115224606,,0.32005328796000004,0.011386902240000002,0.00637124292,0.008946851760000001,0.035787407040000004,0.0048801009600000006,0.008811293400000001,0.0021689337600000005,0.0036600757200000006,0.00650680128,0.0009489085200000002,0.00162670032,0.0013555835999999998,0.0002711167200000001,0.1145468142
Shanghai,0.06313091400000001,0.04017421799999999,0.201827619,0.232436547,0.04017421799999999,0.074609262,4.478468778,0.022000167,0.241045308,,2.158885953,0.074609262,0.10521819,0.13391405999999995,0.7269620399999999,0.030608927999999997,0.02869587,0.09660942899999997,0.068870088,0.12434877,0.03826116,0.158783814,0.056435210999999985,0.021043637999999996,0.043043805,0.041130747,0.008608761,0.00956529,0.006695703000000001,0.0019130579999999998,0.219045141
Jiangsu,0.16178516208000002,0.06873225840000001,1.0130077468799998,0.49064258303999997,0.07084709712000001,0.07719161328,,0.021148387200000004,0.24532129151999998,2.5684716254400004,1.74051226656,0.12054580704000002,0.1110290328,0.19456516224,2.6562374323200006,0.030665161439999998,0.02220580656,0.10362709728,0.07613419392000001,0.10891419408,0.029607742080000006,0.16812967824000002,0.057100645440000014,0.03489483888,0.05815806480000001,0.04758387120000001,0.00951677424,0.011631612960000004,0.0074019355200000015,0.00211483872,0.24637871088000005
Zhejiang,0.08594517959999999,0.041889247199999986,0.22316857559999995,0.32716946519999995,0.037555876799999985,0.0556115868,1.6849588571999996,0.0202223952,0.2874469032,1.4415678864,,0.07583398200000001,0.13289002560000002,0.19861281,0.917230068,0.026000222400000002,0.021666852,0.16539030359999998,0.08594517959999999,0.34811408879999994,0.0310558212,0.5308378739999999,0.079445124,0.025277993999999998,0.1437234516,0.0476670744,0.0050555988,0.0101111976,0.007222284,0.0007222283999999999,0.15022350719999994
Anhui,0.0731168856,0.02728242,0.2335375152,0.611126208,0.02728242,0.0212802876,2.2311563076,0.011458616399999998,0.1211339448,0.4545251172,0.7977379607999999,0.04965400440000001,0.0403779816,0.1920682368,,0.0087303744,0.0087303744,0.0611126208,0.0294650136,0.0589300272,0.0141868584,0.17733573,0.024554178000000003,0.011458616399999998,0.0196433424,0.0185520456,0.0043651872,0.0043651872,0.0021825936,0.0010912968,0.1102209768
Fujian,0.031147150319999997,0.0196031016,0.050968064159999986,0.07318491263999999,0.016335917999999998,0.02025653832,0.12589547472,0.0087124896,0.45108914904,0.11718298512,0.3681026855999999,0.03005808912,0.061423051679999986,0.07166022695999999,0.06599710871999999,0.007623428399999998,0.0087124896,0.07057116576000001,0.050968064159999986,,0.015246856799999996,0.28032435288,0.03659245632,0.012633109919999998,0.05684899463999999,0.04007745216,0.00500968152,0.00370280808,0.0023959346399999998,0.00043562447999999994,0.0664327332
