,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Jiangsu,Inner Mongolia,Guangdong,Shanghai,Zhejiang,Shaanxi,Sichuan,Hubei,Anhui,Heilongjiang,Jilin,Hunan,Chongqing,Fujian,Hainan,Jiangxi,Yunnan,Gansu,Guizhou,Guangxi,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Jiangxi,0.029586384,0.008284187520000002,0.04497130368,0.06420245328,0.00976350672,0.008875915199999999,0.15000296688,0.0038462299200000003,0.59705322912,0.12958836191999998,0.48580842528000007,0.02011874112,0.036687116160000005,0.24941321711999997,0.19024044912000002,0.005325549119999999,0.0044379576,0.45296753904,0.02633188176,0.2500049448,0.018047694240000002,,0.02426083488,0.007396596,0.03136156704,0.046450622880000014,0.0020710468800000004,0.0014793192,0.00118345536,0.00059172768,0.05236789968
Shandong,1.0031838012,0.2407420764,,0.8059626036,0.134969814,0.1559039076,1.04670468,0.05508972,0.1283590476,0.1911613284,0.24404745960000002,0.1112812344,0.0804309912,0.0997123932,0.25837078680000003,0.07161663600000001,0.049029850800000004,0.0628022808,0.040766392799999995,0.054538822800000004,0.0297484488,0.05178433679999999,0.0336047292,0.0236885796,0.0258921684,0.037461009600000005,0.0115688412,0.0148742244,0.0071616636,0.0016526916,0.42694533
Henan,0.46964758068,0.09829833083999999,0.7415488116,,0.43170787404,0.04483783512,0.49379103036000005,0.03334095432,0.30236796504,0.18624946896000005,0.3822712866,0.36962471772,0.09542411063999999,0.5196590121600001,0.63060391188,0.01667047716,0.01264656888,0.12301662456,0.0488617434,0.07760394540000001,0.04196361492,0.06955612884,0.04368814704,0.043113303,0.0373648626,0.03851455068,0.01667047716,0.028742202,0.01839500928,0.005173596359999999,0.31731391008000004
Hubei,0.05873524812000001,0.0208622466,0.0754250454,0.46603049328,0.027281399400000003,0.02118320424,0.19225362636,0.00738202572,0.34278275952,0.11040942816,0.17781053255999998,0.10976751287999999,0.09243580032,,0.20156139792,0.0064191528,0.006098195160000001,0.5202723344400001,0.17203329504,0.06804301968,0.02278799244,0.24617450988000003,0.035626298040000004,0.01572692436,0.03273767928,0.04300832376,0.0048143646,0.00577723752,0.0032095764,0.0016047882,0.11393996220000001
Hunan,0.03856853232,0.014284641599999998,0.04963912956,0.09677844684,0.016784453879999998,0.01749868596,0.10213518744,0.00857078496,1.06991965584,0.08142245712,0.15284566512000006,0.038211416280000014,0.06820916364,0.48067818984,0.06070972680000001,0.00749943684,0.00642808872,,0.08927901,0.06356665512,0.03428313984,0.44675216604,0.05606721828000001,0.00928501704,0.20641307111999999,0.25498085256,0.0039282764400000005,0.005356740600000001,0.00464250852,0.0017855801999999998,0.07677994860000001
Guangdong,0.08235408672,0.03837860352,0.11673491904000001,0.26065468224,0.03917815776,0.05357013408,0.27264799584000005,0.019988856,,0.24226493472,0.28624041792,0.11353670207999997,0.26465245344,0.38858336064,0.12632956992,0.0319821696,0.026385289920000003,1.40801501664,0.15751218528,0.49892184576,0.22067697024,0.69241397184,0.16150995648,0.027184844160000003,0.21667919904,1.78060729248,0.01039420512,0.01119375936,0.00719598816,0.00319821696,0.22947206688000002
Guangxi,0.02421715968,0.005913492479999999,0.034917765119999986,0.03604414464,0.00901103616,0.010982200320000001,0.04984229376,0.00506870784,1.5822816307199996,0.03829690368,0.0506870784,0.01520612352,0.06223246847999999,0.042239232,0.02365396992,0.007039871999999998,0.00506870784,0.2801869055999999,0.0380153088,0.044210396160000005,0.05547419135999999,0.04026806784,0.11460911615999997,0.006476682239999999,0.18078391296,,0.0016895692799999995,0.0016895692799999995,0.00112637952,0.0008447846399999997,0.04111285248
Hainan,0.021739470120000003,0.01068167736,0.017376531480000002,0.028133431920000004,0.011584354320000002,0.01775264688,0.030841462799999997,0.006995746440000002,0.18865948464,0.03257159363999999,0.031668916680000006,0.01963322388,0.044456840280000014,0.02324393172,0.0116595774,0.014292385200000004,0.008575431120000001,0.034602616800000006,0.02723075496000001,0.015044616000000004,,0.014292385200000004,0.01421716212,0.004889500200000001,0.015796846800000004,0.04957200972,0.0027080308799999997,0.00248236164,0.00218146932,,0.047691432719999996
Chongqing,0.028124577,0.014223923999999999,0.034589997000000004,0.050430275999999996,0.019719531000000002,0.013900653,0.073059246,0.009051588,0.147734847,0.0646542,0.080171208,0.08599008600000001,1.5778857510000002,0.22435007399999998,0.031357287000000005,0.0048490650000000005,0.005495607,0.10473980400000002,,0.043318314,0.032973642000000004,0.022952241,0.091485693,0.022305699,0.314542683,0.040408875,0.005818878,0.008405046,0.006142149,0.006142149,0.06271457400000001
Sichuan,0.05571210456,0.022550137560000003,0.06234449796,0.09196918848,0.034930605239999996,0.03050900964,0.11230852824000001,0.0176863824,0.254241747,0.10656045396,0.11938308119999999,0.29934202212,,0.0950643054,0.039794360400000006,0.01370694636,0.01149614856,0.06367097664,1.59796464984,0.05836506192,0.05571210456,0.03360412656,0.48681767556,0.10788693264,0.32764023396,0.05571210456,0.01370694636,0.02078149932,0.036699243480000004,0.05129050896,0.13574298491999998
Guizhou,0.016854868799999995,0.0048156768,0.021911329440000002,0.03033876384,0.0069827313599999975,0.0067419475199999995,0.05610263472,0.004574892959999999,0.24246932688,0.04117403664,0.14471108783999995,0.02552308704,0.3708071136,0.03997011744,0.02022584256,0.0021670545600000002,0.0033709737599999998,0.23982070464000002,0.3787529803199999,0.057788121599999985,0.01829957184,0.033228169919999995,0.40499841888000004,0.00650116368,,0.18275493456,0.0016854868799999999,0.0016854868799999999,0.0012039192,0.0016854868799999999,0.036117575999999985
Yunnan,0.022112251559999997,0.008733410279999998,0.026014413599999998,0.036420179039999986,0.010963217159999998,0.01375047576,0.048126665159999985,0.004645430999999999,0.15831628847999998,0.05537353752,0.07581343391999999,0.026014413599999998,0.4879560722399999,0.03493364111999999,0.0195108102,0.005946151679999999,0.004645430999999999,0.06392113056,0.10182784752,0.03084566184,0.015608648159999997,0.022112251559999997,,0.0078043240799999984,0.38445586956,0.12747062664,0.0024156241199999994,0.00297307584,0.0031588930800000004,0.006689420639999999,0.04645431
Tibet,0.00206439192,0.0007014923999999999,0.00218464776,0.005431555439999999,0.0008618335199999999,0.0009019188000000001,0.00244520208,0.0004810233599999999,0.00705500928,0.00184392288,0.0017036244,0.008317695600000001,0.07926864119999999,0.00354754728,0.0023249462399999995,0.00044093808,0.00032068224,0.0029462680799999994,0.012887417519999998,0.00112238784,0.00022046904,0.0006614071199999999,0.01266694848,0.00667419912,0.0017036244,0.0013228142399999998,0.0006012792,0.00258550056,0.03248911944,,0.004369295519999999
Shaanxi,0.09856857599999999,0.024950170800000004,0.09795252240000002,0.33205289039999997,0.4518753156000001,0.0240260904,0.13091139000000002,0.2639789676,0.10780938000000002,0.06745786919999999,0.0711541908,,0.2809204416,0.117050184,0.049900341600000016,0.0089327772,0.008316723600000001,0.0391194036,0.0733103784,0.024950170800000004,0.0252581976,0.0243341172,0.032034787200000005,0.3671679456000001,0.022793983200000003,0.01540134,0.1287552024,0.0237180636,0.029262546,0.004620402,0.12844717560000002
Gansu,0.02400835140000001,0.01193142312,0.02298981528000001,0.043069527360000005,0.018188145000000003,0.00596571156,0.037249320960000006,0.060384641400000015,0.035794269360000006,0.021098248200000003,0.02750047524000001,0.4580502436800001,0.12382489115999999,0.01891567080000001,0.0116404128,0.0026190928800000003,0.0021825774000000004,0.01076738184,0.022553299800000003,0.01033086636,0.006984247680000001,0.0074207631600000015,0.01033086636,,0.005529196080000001,0.006402227040000002,0.16660340820000002,0.053400393719999995,0.18129942936000004,0.005238185760000001,0.040595939640000016
Qinghai,0.006151950000000001,0.001968624,0.0071854776,0.016880950800000002,0.0053645004000000005,0.0013780368000000005,0.010138413600000002,0.0035927388,0.008415867600000002,0.0047246976,0.005019991200000001,0.040848947999999996,0.049264815600000005,0.004823128800000001,0.003986463600000001,0.0009350964,0.0006890184000000001,0.0036419544,0.005955087600000001,0.0014764679999999999,0.0021654864000000005,0.0021654864000000005,0.0037896012000000006,0.23795742600000006,0.0013780368000000005,0.0021654864000000005,0.0117133128,0.0166840884,,0.0197846712,0.0112211568
Ningxia,0.016449765119999998,0.0048923870400000005,0.012691844640000002,0.01793875248,0.01141556976,0.0026234539199999998,0.015882531840000002,0.16385951376000002,0.01375540704,0.007870361760000001,0.009430253280000002,0.14769336528,0.014180831999999999,0.007161320159999999,0.004821482880000001,0.00233983728,0.0007799457600000001,0.006097757760000001,0.00701951184,0.004112441279999999,0.0036870163200000004,0.0021271248,0.0034743038400000003,0.18626522832000003,0.00333249552,0.0017726039999999999,,0.005105099520000001,0.00950115744,0.00035452080000000004,0.021200343840000004
Xinjiang,0.01704942756,0.006893631360000001,0.0209270952,0.064627794,0.00849393864,0.0049855726800000005,0.023943058920000003,0.01341796104,0.01951143876,0.016187723640000002,0.01452586608,0.046470461399999996,0.06912096444,0.010217346479999998,0.00849393864,0.0024004609200000003,0.00203115924,0.01514136888,0.02068089408,0.006462779399999999,0.006832081080000001,0.00295441344,0.006462779399999999,0.13042504332000002,0.005293324079999999,0.0033852654000000003,0.01089439956,,0.030405838320000007,0.0011694553199999998,0.0249278634
Taiwan,0.00019420560000000004,9.68112e-05,0.00016154640000000002,0.00012947040000000002,,9.68112e-05,0.000323676,6.473520000000001e-05,0.00029160000000000004,0.0013279464000000001,0.00029160000000000004,3.2075999999999996e-05,6.473520000000001e-05,6.473520000000001e-05,,,,,6.473520000000001e-05,0.001781676,,6.473520000000001e-05,3.2075999999999996e-05,,3.2075999999999996e-05,6.473520000000001e-05,,,3.2075999999999996e-05,,0.00029160000000000004
Hong Kong,,6.386688e-05,0.0001938816,6.386688e-05,,6.386688e-05,3.193344e-05,9.580031999999998e-05,0.020476177919999998,0.0006797260799999999,3.193344e-05,,,0.00012773376,,3.193344e-05,3.193344e-05,3.193344e-05,,0.0001938816,3.193344e-05,3.193344e-05,,6.386688e-05,,9.580031999999998e-05,,,,,0.00012773376
Macau,0.0010532916000000002,0.0005266458000000001,0.0012750372000000002,0.0008869824000000002,0.0006652367999999999,0.0006375186000000001,0.0027995382000000004,0.00022174560000000004,0.24791158080000006,0.003104438400000001,0.002910411000000001,0.0006652367999999999,0.0009701369999999999,0.0014967828000000006,0.0006652367999999999,0.00019402740000000005,0.0002494638,0.002078865,0.00038805480000000015,0.0013581918000000002,0.00033261839999999994,0.0010255734000000002,0.0005266458000000001,8.315459999999998e-05,0.0005266458000000001,0.002078865,2.7718200000000005e-05,,,,0.0019957104
