,Hebei,Henan,Tianjin,Shandong,Heilongjiang,Shanxi,Hunan,Liaoning,Inner Mongolia,Anhui,Gansu,Shaanxi,Jilin,Guangdong,Jiangsu,Shanghai,Sichuan,Guizhou,Zhejiang,Jiangxi,Fujian,Yunnan,Chongqing,Hainan,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.0251187966,0.06374977343999999,0.01247278176,0.044520901560000006,0.01489804488,0.01229954868,0.042095638440000006,0.022693533480000003,0.005370225479999999,0.1186646598,0.014724811800000003,0.02494556352,0.014031879480000004,0.15539007276000005,0.272842101,0.47361924071999995,0.044347668480000005,0.04677293160000001,,0.07154526204,0.07916751756000001,0.028063758960000008,0.0268511274,0.0062363908800000005,0.030315789000000006,0.006409623960000001,0.0020787969600000004,0.00311819544,0.0048505262400000025,0.00034646616000000004,0.05785984872
Anhui,0.050856498,0.3404963628,0.0445599792,0.0741051828,0.0116243424,0.017920861200000002,0.034873027200000004,0.0334199844,0.006780866400000001,,0.0125930376,0.0377791128,0.0106556472,0.2988424692,1.5363505871999998,1.1348264268,0.0353573748,0.0154991232,0.6160901472,0.0886356108,0.11866516199999999,0.0130773852,0.0184052088,0.007265214,0.0305138988,0.0213112944,0.0077495616,0.0053278236,0.0043591284000000004,0.0004843476,0.20633207760000002
Fujian,0.010816130879999998,0.01728229608,0.00952289784,0.01751742936,0.0034094325599999995,0.00552563208,0.0317429928,0.011286397439999998,0.0032918659200000004,0.02374846128,0.00434996568,0.0123444972,0.004820232239999999,0.37045248264,0.08264934791999999,0.13684756896,0.0346821588,0.0364456584,0.10181271024,0.07065755064,,0.02739302712,0.0211619952,0.013402596959999995,0.0405604908,0.00458509896,0.0010580997599999998,0.0015283663199999998,0.0009405331199999999,0.00011756663999999998,0.05419822104
Jiangxi,0.01875883212,0.02292746148,0.01548348048,0.0208431468,0.00267983316,0.007146221759999998,0.13280062103999998,0.00863501796,0.0020843146799999998,0.06610255127999999,0.0119103696,0.016674517439999998,0.003573110879999999,1.2351053275199997,0.17002052603999998,0.27661833396,0.03960197892,0.0342423126,0.32128221995999995,,0.32277101616,0.02858488704,0.024416257679999998,0.016972276679999995,0.0580630518,0.02590505388,0.0008932777199999998,0.0014887962,0.0014887962,,0.08456362415999999
Shandong,0.30492361224000003,0.21644529048,0.21644529048,,0.06650719488000001,0.04988039616000001,0.02434638384,0.11312161272,0.02909689776,0.06888245184,0.016626798720000002,0.06858554472,0.042457718160000005,0.1217319192,0.4397194447200001,0.25741847304000004,0.0430515324,0.011282470559999999,0.11015254152,0.024049476720000004,0.03800411136,0.01217319192,0.015142263120000003,0.009797934959999999,0.0178144272,0.0089072136,0.01068865632,0.00771958512,0.00950102784,0.00118762848,0.6056905248
Henan,0.19260136584,,0.08649042624,0.23584657896,0.01081130328,0.11852391744000002,0.08048414663999999,0.054857353680000005,0.016417164239999997,0.4360558989600001,0.036037677600000005,0.14455112904,0.014815489680000002,0.5677936315200001,0.35156756591999994,0.38560315032,0.08328707712,0.027228467519999997,0.24585704496,0.05525777232000001,0.09089503128,0.02362469976,0.029230560719999996,0.01041088464,0.03323474712,0.08048414663999999,0.027228467519999997,0.0140146524,0.01841925744,0.0012012559199999998,0.52334716248
Hubei,0.004573908000000001,0.0737602848,0.0014925384000000002,0.005825714399999999,0.0012999528000000005,0.0024554664000000005,0.1088590104,0.0020221488,0.0013962456000000002,0.01978817040000001,0.0025036128000000004,0.0231584184,0.004622054400000001,0.05286474720000001,0.013432845600000002,0.008425620000000002,0.0367357032,0.0027443448,0.011073672,0.025132420800000003,0.004959079200000001,0.002407320000000001,0.05960524320000001,0.0004814640000000001,0.0035628336000000007,,0.0009147816,0.00038517120000000014,0.00028887840000000004,,0.005873860799999999
Hunan,0.020556491040000003,0.03217537728,0.01161888624,0.021450251519999998,0.003575041920000001,0.01027824552,,0.0089376048,0.003128161680000001,0.030834736560000006,0.0089376048,0.022344012000000003,0.00402192216,2.6817283202400004,0.11797638335999999,0.13808599416,0.07060707792000001,0.16713320976000004,0.16534568880000006,0.12333894624,0.10188869472,0.09429173063999999,0.07820404200000003,0.03664417968000001,0.26187182064000003,0.11574198215999998,0.00402192216,0.0026812814399999997,0.0022344012,0.0008937604800000002,0.11663574264
Guangdong,0.0190267056,0.08616379535999999,0.008969732639999999,0.029899108799999997,0.029355488639999996,0.02065756608,0.40146348816,0.0258219576,0.009513352799999998,0.038597031359999985,0.01929851568,0.03479169024,0.01712403504,,0.053818395839999984,0.05952640751999999,0.12122729568,0.19515963744,0.04783857408,0.15792165647999998,0.12938159807999994,0.04104332208,0.05952640751999999,0.08752284576,0.5509590321600001,0.032073589439999994,0.0122314536,0.00462077136,0.006251631839999999,0.00027181008,0.06034183776
Guangxi,0.011979712080000005,0.017358358320000003,0.0048896784000000025,0.01026832464,0.0048896784000000025,0.0056231301600000025,0.11515192632000006,0.005867614080000001,0.0022003552800000004,0.00929038896,0.004645194480000001,0.008556937200000002,0.0048896784000000025,1.7417034460800005,0.02224803672000001,0.028849102560000006,0.061365463920000016,0.12101954040000006,0.03765052368000001,0.029827038240000006,0.031049457840000006,0.07310069208000003,0.024203908080000003,0.02200355280000001,,0.0056231301600000025,0.0009779356800000002,0.0007334517600000001,0.0012224196000000006,,0.029093586480000006
Hainan,0.03597714144,0.041026564800000005,0.007731929520000001,0.017751878999999998,0.033689121479999994,0.0244581444,0.030691026360000005,0.01830415968,0.01151899704,0.005286115080000001,0.01033553844,0.016410625919999998,0.025089322320000003,0.14864240016000002,0.015148270080000002,0.021696741,0.06808831812,0.0504942336,0.02240681616,0.015148270080000002,0.008678696400000002,0.00544390956,0.04441914612,,0.030848820840000006,0.00228801996,0.0026825061600000005,0.0027614034,0.00362927304,0.00015779448,0.06398566164
Chongqing,0.018747197280000003,0.023433996600000003,0.005802703920000001,0.015176302560000004,0.0022318092000000005,0.011159046000000002,0.07119471347999999,0.0060258848400000006,0.0026781710400000003,0.01986310188,0.0133908552,0.025665805800000004,0.0020086282800000003,0.38030028768,0.06628473324,0.08213057856000001,0.8007731409600001,0.18613288728,0.07186425624000001,0.024996263040000008,0.1194017922,0.08547829236000001,,0.009819960480000002,0.045305726760000005,0.07900604568000001,0.008257694040000001,0.0033477138000000003,0.004463618400000001,0.004017256560000001,0.038163937320000015
Sichuan,0.043199094960000003,0.08777688444000001,0.01700389908,0.037224752039999996,0.00827216712,0.03125040912,0.08318123604000001,0.016084769399999997,0.00873173196,0.040441705919999994,0.06296038307999999,0.12592076615999998,0.005514778079999999,0.8773092795599999,0.18934071408,0.160847694,,0.3239932122,0.17463463920000002,0.039522576239999996,0.18198767664,0.48300264683999994,1.1558055726,0.020680417800000003,0.13373336844,0.03538649268,0.03308866848,0.0068934726000000005,0.027114325560000003,0.04273953012,0.1309759794
Guizhou,0.00622223856,0.013263192720000002,0.00540352296,0.006713467919999999,0.00130994496,0.00212866056,0.12133365192,0.00196491744,0.0011462018400000002,0.013426935839999998,0.00180117432,0.00966084408,0.0011462018400000002,0.29539258848,0.04371941304,0.02980124784,0.22629299184,,0.09644469767999997,0.03242113776,0.06107618376,0.31422304728,0.15702965208,0.00851464224,0.14998869792000002,0.0057310092000000005,0.0008187156,0.00065497248,0.00065497248,0.00016374312,0.025707669840000003
Yunnan,0.009957498480000002,0.01450598544,0.006269536080000001,0.01057215888,0.00504021528,0.006023671919999999,0.03048715584,0.00528607944,0.00356503032,0.009957498480000002,0.00504021528,0.01069509096,0.00282743784,0.1057215888,0.02360295936,0.021267249840000002,0.40948675848000005,0.30585501504,0.0387236052,0.009342838079999999,0.01807101576,,0.051631473600000005,0.00381089448,0.08248742567999999,0.00405675864,0.0018439812,0.00159811704,0.0018439812,0.003073302,0.02409468768
Tibet,0.00035334792,0.00204029928,0.00015957648,0.00038754288,9.688572e-05,0.00022226724,0.00041603868,0.00029065716,0.00015957648,0.0002564622,0.00485568432,0.0014874807599999998,,0.0010999378799999998,0.000712395,0.00058131432,0.01898390196,0.00022226724,0.0005129244,2.84958e-05,0.00015957648,0.00206879508,0.00223407072,6.269076e-05,0.00029065716,0.00022226724,0.00019377144,6.269076e-05,0.018402587639999995,,0.00035334792
Shaanxi,0.0343980108,0.08507491560000001,0.0189684504,0.035530455600000004,0.0041051124,0.1603824948,0.0278864532,0.009059558399999999,0.0730426896,0.026895564,0.1346193756,,0.0043882235999999995,0.1268338176,0.09555003,0.0707778,0.1115458128,0.0137308932,0.0498275712,0.0097673364,0.016562005199999997,0.011182892400000002,0.024206007600000003,0.0038220012,0.011041336799999999,0.025338452400000003,0.0158542272,0.0472795704,0.023781340800000002,0.0022648895999999997,0.1378751544
Gansu,0.02008395648,0.02026327752,0.0165871962,0.016497535679999998,0.0019725314399999996,0.01040062032,0.008607409920000001,0.00349676028,0.02115988272,0.00905571252,,0.1977014466,0.0013449078,0.032457108240000004,0.035057263320000004,0.030484576800000007,0.07056282924,0.0053796312,0.01820108556,0.00331743924,0.00520031016,0.005469291719999999,0.012642133319999999,0.00233117352,0.00484166808,0.01111790448,0.073969929,0.09907487460000002,0.08759832803999999,0.00286913664,0.06715572948000001
Qinghai,0.00141564024,0.0029687212800000003,0.0007971566400000001,0.00349099632,0.0004810428,0.0015530810399999998,0.0007421803200000001,0.00105829416,0.0013606639199999998,0.0009620856,0.061161155999999994,0.00909858096,0.00038483424,0.00423317664,0.00372464568,0.0013194316800000001,0.01396398528,0.00057725136,0.0016767777599999997,0.00031611384,0.00038483424,0.00100331784,0.00138815208,0.0004123224,0.0005497632000000001,0.00028862568,0.00459052272,0.0027488160000000003,,0.0078341256,0.006762087359999999
Ningxia,0.00325368576,0.00407856384,0.004261870080000001,0.0041014771200000005,0.00011456639999999999,0.0026121139199999995,0.0007332249599999999,0.0013060569599999995,0.03233063808,0.0011914905599999998,0.06798370176,0.04545994752,0.00128314368,0.00646154496,0.0050180083200000005,0.006049105920000001,0.007309336319999998,0.00032078592000000004,0.0031620326399999996,0.0007103116799999999,0.00105401088,0.00105401088,0.0016497561599999998,0.0007103116799999999,0.00096235776,0.0003436992,0.0027495936,,0.00258920064,9.165311999999999e-05,0.01972833408
Xinjiang,0.0019013778,0.005727753,0.0023265306,0.0025154874,0.0004487724,0.0010628820000000002,0.0009684036,0.0010628820000000002,0.0013817466,0.0008030664000000001,0.0289222002,0.007570081800000001,0.00024800580000000004,0.012860872200000002,0.0043341966,0.005668704,0.013144307400000005,0.0008739252000000001,0.0022911012000000003,0.000354294,0.0021375738000000005,0.0006141096,0.0026453952000000005,0.0004487724,0.0009684036,0.0006141096,,0.0017478504,0.0032358852000000005,5.9048999999999997e-05,0.010876825800000005
Taiwan,3.0413880000000012e-05,0.0002911042800000001,0.00061262244,0.00032151816000000003,,3.0413880000000012e-05,0.00032151816000000003,9.558648000000002e-05,3.0413880000000012e-05,0.0012947623199999999,3.0413880000000012e-05,0.00035627687999999994,0.00022593167999999998,0.011313963359999998,0.006678019080000001,0.005995879200000001,0.0008081402400000003,9.558648000000002e-05,0.0012295897200000005,6.0827760000000025e-05,0.0061262244,6.0827760000000025e-05,0.0005822085600000001,0.00022593167999999998,0.0009037267199999999,,,3.0413880000000012e-05,3.0413880000000012e-05,,0.0011644171200000002
Hong Kong,0.00028985040000000005,0.0007391185200000003,0.0007101334800000001,0.00118838664,0.00042028308000000014,8.695511999999999e-05,0.0014782370400000006,0.0005507157600000001,5.797008000000002e-05,0.0007101334800000001,2.898504000000001e-05,0.0007101334800000001,0.00042028308000000014,0.09896941908000004,0.003072414240000001,0.0069564096,0.0019419976800000003,0.0006086858400000001,0.002579668560000001,0.00044926812000000007,0.0049564418400000025,0.0006086858400000001,0.0013912819199999999,0.0012173716800000002,0.0016521472800000007,8.695511999999999e-05,,5.797008000000002e-05,,,0.005594112720000001
Macau,0.00050484708,0.00057448116,0.0008704260000000001,0.00038298744,0.00047003004,0.00050484708,0.0013230475199999998,0.00050484708,8.70426e-05,0.00073115784,5.222556e-05,0.00045262152000000004,0.00041780448,0.14912138232,0.0017408520000000002,0.00301167396,0.00047003004,0.00038298744,0.0016189923600000002,0.0016364008799999994,0.00099228564,0.00024371928000000004,0.0005396641200000001,0.00015667667999999998,0.00128823048,,,,,,0.0016364008799999994
