,Hebei,Henan,Tianjin,Shandong,Heilongjiang,Shanxi,Hunan,Liaoning,Inner Mongolia,Anhui,Gansu,Shaanxi,Jilin,Guangdong,Jiangsu,Shanghai,Sichuan,Guizhou,Zhejiang,Jiangxi,Fujian,Yunnan,Chongqing,Hainan,Guangxi,Hubei,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.5516010511199999,0.082287576,0.07433311032,0.07351023456000001,0.06075566028000001,0.060344222400000015,0.049509691560000006,0.047589648120000015,0.03936089052,0.03922374456,0.03401219808,0.033326468280000014,0.03126927888,0.030172111200000008,0.0260577324,0.0212576238,0.02112047784,0.01248028236,0.01056023892,0.01042309296,0.01014880104,0.007543027800000002,0.006857298,0.00672015204,0.00644586012,0.006308714159999999,0.004937254560000001,0.00356579496,0.00178289748,0.0006857298000000001,
Tianjin,0.31756772520000004,0.014388652079999996,,0.039532458240000005,0.024199096680000004,0.013589282519999999,0.0024707786400000003,0.02027491884,0.01068248412,0.00624961656,0.0050142272399999995,0.0061769466,0.01264457304,0.01155452364,0.01104583392,0.01111850388,0.005668256880000001,0.0023981086800000002,0.004142187719999999,0.00167140908,0.0024707786400000003,0.0021800988,0.0021800988,0.0014533992,0.0015987391199999998,0.0007993695599999999,0.0010900494,0.00101737944,0.00065402964,7.266996e-05,0.19061330508000002
Hebei,,0.13737703680000002,0.63708600816,0.29278480968000004,0.049369872599999996,0.193186458,0.021894465240000004,0.1202049072,0.11891699748,0.03048053004,0.016313523120000003,0.05108708556,0.038637291600000005,0.07126433784000001,0.08457273828,0.06482478924000001,0.052374995279999996,0.012020490720000002,0.04121311104,0.01330840044,0.01760143284,0.015454916640000003,0.018460039320000003,0.005580942120000001,0.01416700692,0.006010245360000001,0.006868851840000001,0.00987397452,0.007727458320000002,,2.1362129222400004
Shanxi,0.17796155543999995,0.07866725832,0.07496861687999999,0.05220774647999999,0.00384089688,,0.01024239168,0.0220495932,0.09417310128,0.01194945696,0.007255027440000001,0.19033777872000002,0.007112772,0.04381467552,0.06202337184,0.0597472848,0.03670190352,0.0049789403999999995,0.024894702,0.00455217408,0.007112772,0.007112772,0.010100136239999998,0.00384089688,0.007112772,0.0042676632,0.0028451088,0.005405706719999999,0.00554796216,0.00056902176,0.3988842537599999
Inner Mongolia,0.15980684076000004,0.01293165972,0.04769291016,0.033456220560000006,0.09989410536,0.08518285944000001,0.005457397679999999,0.20880478080000006,,0.00427100688,0.01637219304,0.07260711696000001,0.08399646864,0.02360917692,0.01886361372,0.01969408728,0.011626629840000001,0.0020168643600000005,0.00972840456,0.0033218942400000005,0.00391508964,0.00367781148,0.004033728720000001,0.0011863908,0.0033218942400000005,0.0026100597600000005,0.0026100597600000005,0.030371604480000005,0.00308461608,0.00035591724000000004,0.20951661528
Liaoning,0.15485437439999994,0.017960279040000002,0.07947777024,0.07537660416,0.12600479232,0.01711176192,0.008909429759999999,,0.15004611072000001,0.00933368832,0.00268697088,0.011737820159999999,0.20703817728,0.050486768639999985,0.045961344,0.04822405632,0.0190916352,0.005091102720000001,0.02559693312,0.00438400512,0.01103072256,0.005091102720000001,0.005091102720000001,0.00579820032,0.0056567807999999995,0.00721239552,0.0012727756800000002,0.00240413184,0.00113135616,0.00014141952,0.30673893888000003
Jilin,0.06154331724000001,0.0058292395200000005,0.05649878303999999,0.052575256439999996,0.17891281296000006,0.0067260456,0.006277642560000001,0.36556057835999994,0.0818335548,0.004596131159999999,0.00100890684,0.0061655418,,0.02802519,0.023316958080000002,0.02488636872,0.00874385928,0.0025783174800000004,0.01950553224,0.0029146197600000002,0.0056050380000000006,0.00425982888,0.0022420152,0.0029146197600000002,0.00381142584,0.00235411596,0.00123310836,0.0006726045599999999,0.00022420152000000003,,0.15783787008
Heilongjiang,0.10619665056,0.010357090920000001,0.09656893224,0.0926303202,,0.0080230986,0.005980855319999999,0.34834835375999995,0.09817355196000001,0.005834980799999999,0.0016046197199999998,0.007147851479999998,0.25688502972,0.04026136752,0.03150889632,0.03471813575999999,0.01137821256,0.00233399232,0.02465279388,0.003646863,0.005397357239999999,0.0037927375199999992,0.00306336492,0.007147851479999998,0.0029174904,0.00247986684,0.00116699616,0.0007293725999999999,0.00043762355999999987,0.00014587452,0.24229757772
Shanghai,0.007562276640000001,0.04815976176,0.0039801456,0.034726770360000006,0.014328524159999996,0.010049867640000001,0.015721575119999998,0.01422902052,0.00517418928,0.11064804768,0.013831005959999998,0.01184093316,0.00766178028,0.03801039048,0.3542329584,,0.02507491728,0.008656816679999998,0.15532518203999998,0.02318434812,0.017413137000000002,0.01014937128,0.00975135672,0.0057712111200000004,0.00975135672,0.00338312376,0.00218908008,0.0027861019200000003,0.0014925546,0.00228858372,0.01810966248
Jiangsu,0.043561877760000006,0.0959011488,0.02795762304,0.23666452991999998,0.01918022976,0.030883420799999995,0.0292579776,0.03543466176000001,0.008452304639999998,0.5220923558399999,0.02470673664,0.04648767552,0.015279166079999996,0.11183049216,,1.3387150195200002,0.0536396256,0.01885514112,0.27014865984,0.04128625728,0.03933572544,0.01983040704,0.020805672959999997,0.007477038719999998,0.01853005248,0.013328634239999998,0.00715195008,0.0065017728000000006,0.00715195008,0.0013003545599999998,0.1284100128
