,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Shaanxi,Jiangsu,Guangdong,Hunan,Zhejiang,Sichuan,Jilin,Heilongjiang,Gansu,Shanghai,Guizhou,Yunnan,Jiangxi,Fujian,Hainan,Guangxi,Chongqing,Xinjiang,Hubei,Qinghai,Ningxia,Tibet,Beijing
Beijing,0.6293222294399999,0.102077172,0.07323213887999999,0.07191501407999999,0.05426554176,0.03674778192,0.03266469504,0.030820720319999995,0.028976745600000006,0.02871332064,0.02818647072,0.0270010584,0.021864271680000002,0.0210739968,0.01725433488,0.01685919744,0.01554207264,0.012117548159999998,0.01066871088,0.009615011040000001,0.00842959872,0.00829788624,0.00816617376,0.005400211679999999,0.00474164928,0.0026342496,0.00237082464,0.00237082464,0.0019756872,0.00039513744,
Tianjin,0.54596516832,,0.028067005439999997,0.08296276607999999,0.029511630719999998,0.02579688,0.02455862976,0.009906001920000001,0.01062831456,0.02156619168,0.013827127680000002,0.004333875839999999,0.01021556448,0.007016751359999999,0.00794543904,0.006294438719999999,0.006500813760000001,0.00608806368,0.00237331296,0.00319881312,0.00299243808,0.00381793824,0.00196056288,0.00227012544,0.0025796879999999997,0.0007223126400000001,0.0007223126400000001,0.00216693792,0.0010318752,0.00030956256000000003,0.16479046944
Hebei,,0.7534228284000001,0.249834618,0.6956179559999999,0.4051239785999999,0.15235012979999998,0.19986769440000002,0.05976435959999999,0.1386337194,0.1626374376,0.0749503854,0.0254733336,0.08670730859999999,0.048497308199999985,0.022044231,0.014696154,0.0279226926,0.029392308,0.019594872,0.029392308,0.02449359,0.020084743799999995,0.008817692399999999,0.022044231,0.0161657694,0.0034291026000000005,0.004898718,0.008817692399999999,0.0156758976,0.0019594872,1.5700391189999996
Shanxi,0.31272867828,0.07095854988,0.19891981296,0.12226099175999999,,0.01434895884,0.22683148632,0.029877284160000003,0.40845392424,0.14172053867999998,0.048157464600000005,0.01926298584,0.06172017912000001,0.03557755548,0.0035380994400000007,0.0019656108000000003,0.01926298584,0.028108234439999998,0.00904180968,0.0167076918,0.00963149292,0.010024615080000002,0.003931221600000001,0.007665882120000002,0.013366153440000002,0.0049140270000000005,0.0027518551200000005,0.008845248600000001,0.00904180968,0.0009828054,0.12206443068000003
Inner Mongolia,0.16864405091999998,0.046309579200000006,0.014407424640000003,0.04283636076,0.15089204556,0.22756012668,,0.00566005968,0.19540069667999999,0.018909744840000003,0.01723745448,0.0038591316,0.015822439560000002,0.007332350039999999,0.08065585044,0.04450865112,0.04270772303999999,0.00861872724,0.0032159429999999998,0.004116407040000001,0.0025727544,0.00373049388,0.00308730528,0.00295866756,0.0023154789600000002,0.0046309579200000004,0.0006431886,0.00540278424,0.08142767676,,0.07872628463999999
Liaoning,0.17117736479999998,0.051594304320000006,0.022180728959999996,0.09571466736,0.02314510848,,0.20336353127999998,0.01313967096,0.01844375832,0.05521072752,0.05207649408,0.00855886824,0.04568747976,0.012778028640000001,0.20842652376,0.05255868384,0.005183539920000001,0.0265204368,0.0066301092,0.00795613104,0.005906824559999999,0.012778028640000001,0.006389014320000001,0.00759448872,0.0066301092,0.00132602184,0.00156711672,0.0022904013600000004,0.00216985392,0.0003616423199999999,0.07618598207999999
Jilin,0.04675077,0.031931657999999995,0.009879408,0.06227555399999999,0.007762392,0.308202246,0.09456004800000001,0.007762392,0.008027019,0.036253899,0.032813748000000004,0.005027912999999999,0.038194497,0.0076741829999999985,,0.08344571399999999,0.002117016,0.018435680999999995,0.0029991059999999996,0.004675077,0.00441045,0.007409555999999999,0.0059100030000000005,0.005821794,0.002117016,0.000441045,0.0006174630000000001,0.000441045,0.0007938809999999999,0.000176418,0.043575246000000005
Heilongjiang,0.04509167291999999,0.040329009,0.008603521920000001,0.06429596291999999,0.005607652679999999,0.19941734735999997,0.0618378138,0.00391767516,0.00668309292,0.0330313788,0.03141821843999999,0.00353358936,0.03502862495999999,0.00699036156,0.11261395655999999,,0.00207406332,0.01935792432,0.0024581491199999997,0.00414812664,0.0030726864,0.005684469839999999,0.004916298239999999,0.003840858,0.00222769764,0.0003840858,0.0006145372799999999,0.0012290745599999999,0.0008449887599999999,0.00015363431999999998,0.05745923568
Shanghai,0.010651616640000002,0.004945393439999999,0.059154513839999985,0.04070439216,0.008939749679999998,0.01027120176,0.00323352648,0.14056329816,0.013504728239999998,0.91622923848,0.04241625912,0.016738254719999998,0.46638864288000004,0.01978157376,0.005896430639999999,0.00323352648,0.011983068719999998,,0.009320164559999998,0.01312431336,0.03556879128,0.02301510024,0.004564978559999999,0.00989078688,0.00912995712,0.0009510372,0.0026629041600000005,0.00228248928,0.0009510372,,0.01122223896
Jiangsu,0.07219316159999999,0.0309399264,0.21554815392,0.5517620207999999,0.049503882239999984,0.02939293008,0.01650129408,1.01895490944,0.08147513952,,0.14026099968,0.04434722784,0.9178844831999999,0.05466053664,0.009797643359999999,0.0077349816,0.041768900640000016,1.5057430848,0.03558091536,0.036096580799999986,0.0876631248,0.06136418736,0.009797643359999999,0.0283615992,0.02217361392,0.0030939926399999994,0.00876631248,0.00825064704,0.0077349816,0.00103133088,0.047441220480000004
