,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Inner Mongolia,Anhui,Shaanxi,Jiangsu,Guangdong,Hunan,Zhejiang,Sichuan,Jilin,Heilongjiang,Gansu,Shanghai,Guizhou,Yunnan,Jiangxi,Fujian,Hainan,Guangxi,Chongqing,Xinjiang,Hubei,Qinghai,Ningxia,Tibet,Beijing
Zhejiang,0.039245177160000005,0.014163672959999998,0.14370226524000002,0.10091616984,0.0236061216,0.02006520336,0.010917831240000002,0.32517432504,0.05458915620000001,0.6919544394,0.19858649796,0.08763772644000001,,0.05635961532000001,0.01062275472,0.006491683440000001,0.0206553564,0.4830402632400001,0.08586726732000001,0.06491683440000001,0.23222522124000006,0.15491517300000002,0.011212907760000002,0.03806487108,0.030392881560000005,0.0014753826,0.005606453880000001,0.007081836479999999,0.00383599476,0.0011803060800000002,0.02124550944
Anhui,0.06304940208,0.046536463439999995,0.4863811017600001,0.16738115075999999,0.033025877280000004,0.022517643599999998,0.01200940992,,0.06455057832000001,2.6465737111200003,0.26871054695999996,0.04578587532,2.3748608116799996,0.03527764164,0.005254116840000001,0.00225176436,0.0150117624,0.6980469516000001,0.029272936680000007,0.029272936680000007,0.14561409528,0.12684939228,0.01275999804,0.027771760439999998,0.017263526759999998,0.00225176436,0.01951529112,0.00600470496,0.005254116840000001,0.00075058812,0.08556704568
Fujian,0.0196155432,0.01373088024,0.05492352096,0.0383394708,0.0151574652,0.0124826184,0.008916156,0.057598367760000005,0.040835994480000005,0.12500450712000002,0.5180286635999999,0.05492352096,0.26195666328,0.04458078,0.004279754879999999,0.0033881392799999994,0.0115910028,0.08648671319999998,0.06401800008,0.05314028976,0.15745931496,,0.017119019519999997,0.05742004464,0.02692679112,0.0008916156,0.004279754879999999,0.00320981616,0.0026748468,0.0005349693599999999,0.01587075768
Jiangxi,0.0169932816,0.0084966408,0.039084547680000005,0.036818776800000015,0.009629526240000002,0.0045315417600000005,0.0033986563200000004,0.10705767408,0.028888578720000006,0.25603210944000004,2.0001092443200004,0.27019317744000004,1.74804223392,0.037951662239999996,0.0016993281600000002,0.00113288544,0.00736375536,0.19938783744,0.07873553807999999,0.054944943839999996,,0.5709742617600001,0.0226577088,0.07023889727999999,0.03172079232000001,0.0005664427200000001,0.020958380640000003,0.0028322136000000003,0.00113288544,0.0005664427200000001,0.02379059424
Shandong,0.57085360416,0.2056338414,0.4559095594800001,,0.11107742544000003,0.06924763548,0.0492115176,0.15747685632000002,0.1072108062,0.7462575133200001,0.11213195795999999,0.035151084000000006,0.23305168692000006,0.04991453928,0.026011802160000003,0.023551226280000004,0.023551226280000004,0.12267728316,0.02249669376,0.028823888880000002,0.0492115176,0.042884322479999994,0.008436260159999999,0.02671482384,0.01722403116,0.0066787059600000006,0.008436260159999999,0.0123028794,0.013005901080000002,0.0021090650399999997,0.17188880076000002
Henan,0.294680268,0.1017252432,,0.6111588024000001,0.28257012000000004,0.035523100800000006,0.0371377872,0.714498732,0.3124418184,1.2820610016,1.0689223968000001,0.1364410008,1.7438613120000004,0.096881184,0.008073432,0.0048440592,0.06055074,0.3697631856,0.044403876000000016,0.054899337600000014,0.17277144480000006,0.17519347440000002,0.024220296,0.0516699648,0.044403876000000016,0.0129174912,0.076697604,0.0266423256,0.017761550400000003,0.005651402400000001,0.1905329952
Hubei,0.0039112308,0.00066635784,0.05730677424,0.00370842624,0.00139065984,0.0012747715200000002,0.0004925253599999999,0.01547109072,0.01691969472,0.0059682484800000005,0.016745862240000003,0.08083210319999999,0.00501216984,0.00286823592,0.00040560912,0.00069532992,0.0012747715200000002,0.00237571056,0.0015644923199999998,0.000724302,0.01862904744,0.00214393392,0.00037663704,0.0022887943200000003,0.04334223168,0.00020280456,,8.691624e-05,0.00031869288000000004,2.897208e-05,0.00223085016
Hunan,0.025567488,0.012073536,0.060367680000000014,0.035510400000000004,0.015624576,0.005681664,0.005681664,0.0532656,0.038351232,0.17187033599999998,4.206561984,,0.829522944,0.053975808,0.002130624,0.000710208,0.011363328,0.061788096,0.265617792,0.115763904,0.33095692800000004,0.20809094400000006,0.03906144,0.33024672000000005,0.073861632,0.001420416,0.086645376,0.00355104,0.002840832,0.001420416,0.040481856000000004
Guangdong,0.022715529840000002,0.007998426,0.11453746032,0.04031206704,0.01567691496,0.01631678904,0.007998426,0.057908604239999995,0.04031206704,0.07806463775999999,,0.5490119606399999,0.12349569743999997,0.11933651592,0.00991804824,0.00927817416,0.01791647424,0.03999213,0.18908279064,0.0927817416,0.30458006207999994,0.21019863528,0.11005834175999998,0.80592140376,0.05406935975999999,0.008318363039999999,0.016636726079999997,0.005118992639999999,0.00287943336,0.0012797481599999998,0.0255949632
Guangxi,0.0129262392,0.0033720624,0.021918405600000003,0.0146122704,0.004496083200000001,0.0050580936,0.0022480416000000003,0.014050260000000002,0.011802218400000002,0.0342826344,4.659066216000001,0.16129698480000002,0.109592028,0.04889490480000001,0.0028100520000000004,0.0016860312,0.0039340728000000005,0.017984332800000002,0.17590925520000006,0.1225182672,0.051142946400000014,0.057325060800000015,0.041588769600000006,,0.019670364,0.0005620104000000001,0.0033720624,0.0011240208000000002,0.0011240208000000002,,0.0067441248
Hainan,0.02098364616,0.00358014816,0.027348354,0.009944856,0.01432059264,0.0114365844,0.01049182308,0.006265259279999999,0.013574728440000001,0.01198355148,0.15334967952,0.01660790952,0.017900740800000002,0.02879035812,0.01083989304,0.01561342392,0.00527077368,0.01054154736,0.01700570376,0.0077569876800000015,0.01178465436,0.006961399199999999,,0.02108309472,0.01432059264,0.00193924692,0.003530423879999999,0.00243648972,0.00343097532,9.944856e-05,0.01675708236
Chongqing,0.02003396328,0.00552661056,0.050084908199999986,0.0224518554,0.0155435922,0.005872023719999999,0.004144957919999999,0.02625140016,0.07184593728,0.11778588755999997,0.6217436879999999,0.21864653028,0.40447881036,0.7509282098399999,0.00138165264,0.0010362394799999998,0.01623441852,0.056647758239999985,0.3651017101199999,0.17236116684,0.08048126627999999,0.20310293808,0.01830689748,0.09878816376,,0.00310871844,0.0621743688,0.006562850039999999,0.0017270658,0.008289915839999999,0.01830689748
Sichuan,0.0418765788,0.0179471052,0.13938918372,0.06281486820000001,0.053841315600000016,0.01316121048,0.01136649996,0.04666247352,0.28595720952000003,0.24408063072,1.0744333646400002,0.10708439436,0.48696478776,,0.00358942104,0.0029911841999999997,0.09272671019999999,0.09272671019999999,0.6167821820400001,0.6873741291600001,0.04606423668,0.18724813092000006,0.037090684080000005,0.2004093414,1.24373439036,0.01136649996,0.01435768416,0.03230478936,0.0089735526,0.05922544716,0.04965365772
Guizhou,0.008495318880000002,0.00399779712,0.0199889856,0.013992289920000005,0.00399779712,0.00199889856,0.00199889856,0.02598568128,0.02098843488,0.12043363824000003,1.22782344048,0.5302078430400001,1.04092642512,0.26635323312000003,0.00049972464,0.00049972464,0.00399779712,0.031482652320000006,,0.5282089444800001,0.18339894288,0.2988353347200001,0.010993942080000004,0.3543047697600001,0.26035653744000004,0.00049972464,0.0099944928,0.00049972464,0.00099944928,0.00049972464,0.0174903624
Yunnan,0.011260538999999998,0.004975586999999999,0.021211712999999997,0.019902348,0.009165555,0.004451841,0.002880603,0.020426094,0.018069237,0.086941836,0.5161516829999999,0.09846424799999998,0.303248934,0.46901454299999995,0.002094984,0.002880603,0.007070571,0.026449173,0.55517076,,0.032995998,0.06887259899999999,0.009689301,0.243280017,0.056826441,0.0013093649999999998,0.003928095,0.0015712379999999998,0.001047492,0.004451841,0.010998666
Tibet,9.626688e-05,,0.0027516283200000003,0.00025671167999999996,0.00038506752,6.417791999999999e-05,0.00012835583999999998,0.00022462272000000006,0.00106695792,0.00028880064,0.0008062351199999997,0.00045325656,0.0004211676,0.01470877704,6.417791999999999e-05,3.2088959999999994e-05,0.0030123511199999994,6.417791999999999e-05,0.00022462272000000006,0.00317279592,0.00012835583999999998,3.2088959999999994e-05,3.2088959999999994e-05,3.2088959999999994e-05,0.00090651312,0.00016044479999999999,9.626688e-05,0.01023637824,6.417791999999999e-05,,0.00016044479999999999
Shaanxi,0.05381610839999999,0.0182179044,0.14113640879999995,0.05528191679999999,0.2891830572,0.009841856399999998,0.211495212,0.043974252,,0.16249533119999998,0.1773628164,0.0276409584,0.14071760639999994,0.14134581,0.003141018,0.0018846108,0.2112858108,0.0416708388,0.039367425599999985,0.029734970399999994,0.015076886399999996,0.0247093416,0.0067008384,0.0182179044,0.038739222,0.0071196407999999985,0.019893114,0.0255469464,0.070149402,0.007329041999999998,0.0569571264
Gansu,0.01605381444,0.0176478102,0.03267691308,0.019924947,0.013890534480000001,0.0033018483600000003,0.055562137920000004,0.012410395559999999,0.3480603598800001,0.07400694599999999,0.042127030800000013,0.006717553559999999,0.04588430652,0.06000255467999999,0.0005692841999999999,0.0005692841999999999,,0.026870214239999995,0.00648983988,0.007514551440000001,0.00876697668,0.00990554508,0.00261870732,0.0045542735999999995,0.013207393440000001,0.02698407108,0.00182170944,0.13514806908,0.11533697892000001,0.00592055568,0.022429797480000003
Qinghai,0.002032452,0.0009963,0.00458298,0.004104755999999999,0.0027099359999999996,0.0005180759999999999,0.0022317120000000003,0.001056078,0.01046115,0.003168234,0.004304016,0.0017136360000000002,0.002670084,0.009684036,0.000119556,5.9778e-05,0.115491096,0.0007372619999999999,0.0013549679999999998,0.001454598,0.001056078,0.0005180759999999999,0.00027896400000000003,0.0010361519999999998,0.0022317120000000003,0.0045232020000000005,0.000318816,,0.00328779,0.013888422,0.00239112
Ningxia,0.00355478544,0.0015530616000000005,0.006902496,0.004693697280000001,0.00562553424,0.0011389118400000002,0.0849007008,0.003106123200000001,0.06826568544,0.007420183199999999,0.00973251936,0.00203623632,0.008386532640000001,0.005176872,0.0005176872,0.00031061232,0.10053485424,0.00372734784,0.00096634944,0.0033131980800000004,0.00179464896,0.00213977376,0.0012769617599999999,0.00210526128,0.0019672113600000003,0.00200172384,0.00062122464,0.00635029632,,0.00027609984000000003,0.00427954752
Xinjiang,0.00311037084,0.00040887504,0.008089884720000001,0.00514014336,0.0014894733600000001,0.0014164599599999998,0.00816289812,0.00128503584,0.0079584606,0.00426398256,0.015610264919999997,0.002190402,0.00359225928,0.011784362759999998,0.00027745091999999995,0.00027745091999999995,0.041865883560000004,0.0038843128799999995,0.00213199128,0.00271609848,0.00048188844,0.00210278592,0.001095201,0.0017377189199999994,0.0019713618,,0.00077394204,0.0037236834,0.00252626364,0.00035046431999999995,0.005373786239999999
Taiwan,9.603360000000001e-05,0.0002249208,0.0003563352,0.0001617408,,6.318e-05,3.03264e-05,0.00038666160000000005,9.603360000000001e-05,0.005441061600000001,0.006446887199999999,0.00012888720000000002,0.0019105632000000002,0.0001617408,,,,0.0034976448,3.03264e-05,3.03264e-05,0.000290628,0.0045337968,6.318e-05,0.0001617408,0.00012888720000000002,,3.03264e-05,,6.318e-05,,0.0004523688
Hong Kong,0.00016000092,6.193583999999999e-05,0.00019096883999999997,3.0967919999999987e-05,6.193583999999999e-05,0.00019096883999999997,3.0967919999999987e-05,0.00016000092,0.000129033,0.0007741979999999999,0.03959248572,0.000258066,0.00057806784,0.00019096883999999997,6.193583999999999e-05,,9.290376e-05,0.00106839324,3.0967919999999987e-05,9.290376e-05,6.193583999999999e-05,0.0011974262399999998,0.00019096883999999997,0.00041806692,0.000129033,,3.0967919999999987e-05,,,,0.0008412951599999997
Macau,0.00015685488000000006,2.80098e-05,0.00019046664,2.80098e-05,0.00015685488000000006,,,0.00029130192,9.523332e-05,0.00051538032,0.048563391239999996,0.00058260384,0.00038653524,6.162156000000001e-05,6.162156000000001e-05,,,0.00031931172,2.80098e-05,2.80098e-05,0.00051538032,0.00048176855999999997,2.80098e-05,0.00029130192,6.162156000000001e-05,,2.80098e-05,,,,0.00042014699999999995
