,Hebei,Tianjin,Shandong,Henan,Shanxi,Inner Mongolia,Jiangsu,Guangdong,Liaoning,Anhui,Shaanxi,Heilongjiang,Hubei,Shanghai,Sichuan,Zhejiang,Hunan,Jilin,Hainan,Jiangxi,Chongqing,Fujian,Gansu,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Beijing,5.7504567168,0.8504476416000001,0.5504065344,0.5106659903999999,0.3348140832,0.2066508288,0.1828065024,0.13412433599999998,0.12816325439999998,0.12617622720000002,0.11624109119999998,0.1102800096,0.1072994688,0.104318928,0.0953773056,0.0834551424,0.0774940608,0.07252649280000001,0.059610816,0.0506691936,0.0457016256,0.0427210848,0.0417275712,0.037753516800000005,0.02483784,0.02483784,0.019870271999999998,0.018876758400000002,0.006954595200000001,0.0009935136,
Tianjin,2.1643949574,,0.42987027564,0.13689657072,0.09815935428,0.057165600959999986,0.0620547642,0.030839337359999993,0.07108091171999999,0.037608948,0.02745453204,0.0451307376,0.0225653688,0.026326263599999997,0.02331754776,0.026702353079999998,0.013539221279999998,0.030839337359999993,0.01391531076,0.01015441596,0.0150435792,0.01391531076,0.015419668679999997,0.01015441596,0.007145700119999998,0.006769610639999999,0.0037608948,0.004513073759999999,0.0011282684399999995,,0.34825885848000004
Hebei,,1.3245612156000002,1.0076248627200002,0.5489912635199999,0.5394078748800001,0.2703884652,0.17181646775999998,0.07735163687999999,0.22520963304000002,0.09857199743999999,0.12321499680000003,0.08145880343999999,0.08693502552000001,0.04654788768,0.06503013719999999,0.07324447032,0.05065505424,0.06571466496,0.03559544352,0.036964499039999994,0.030119221440000007,0.02601205488,0.023958471600000003,0.02875016592,0.02258941608,0.01985130504,0.015059610720000003,0.0136905552,0.007529805360000002,0.0006845277600000001,1.71748014984
Shanxi,0.5139702136800001,0.06606180503999999,0.1311865632,0.43596106092,,0.20427621984,0.06817016052000001,0.03724761348,0.014289964919999999,0.03349942596,0.4291674710400001,0.00679358988,0.035139258,0.023426172,0.04263563304000001,0.028579929839999997,0.01967798448,0.008433421920000002,0.025300265760000003,0.01077603912,0.016866843840000003,0.01218160944,0.018038152440000003,0.01335291804,0.008433421920000002,0.006090804720000001,0.01241587116,0.006090804720000001,0.004685234400000001,0.00070278516,0.10471498884
Inner Mongolia,0.26680153248000005,0.03831198912,0.05865289056,0.04068180288,0.24804050688000004,,0.026265435840000004,0.01994593248,0.18405553536,0.012244037759999998,0.27687324096,0.14870581344000006,0.011256615359999998,0.01441636704,0.013823913600000001,0.014613851519999999,0.006911956800000001,0.15166808063999998,0.0108616464,0.00414717408,0.0078993792,0.005529565440000001,0.06734220767999999,0.00572704992,0.00454214304,0.005529565440000001,0.22217004,0.00572704992,0.0039496896,0.00019748448000000006,0.09420009696000001
Liaoning,0.21825166175999994,0.05395626431999999,0.10377302687999998,0.06194978495999999,0.02654990784,0.19783963584,0.049959504,0.03382972128,,0.032259565439999985,0.0185563872,0.12818181312000002,0.016129782719999996,0.01869912864,0.0256934592,0.026264424959999998,0.01298947104,0.21967907616000001,0.016843489919999996,0.009706417919999998,0.009706417919999998,0.011704798079999995,0.0128467296,0.01156205664,0.012703988159999995,0.017699938559999996,0.0037112774399999993,0.007137071999999999,0.0021411215999999995,0.0011419315199999998,0.0628062336
Jilin,0.0690925788,0.0275395464,0.07165156319999999,0.0374099148,0.0196188804,0.15305163840000002,0.043502734799999984,0.0302203872,0.23396428800000002,0.0177910344,0.0171817524,0.2554110144,0.0123074964,0.0277832592,0.013891629599999998,0.0300985308,0.014013486,,0.0187658856,0.011576358,0.0070676711999999985,0.0104796504,0.008529947999999999,0.007920666,0.0080425224,0.012794922,0.0041431176,0.006214676400000001,0.0025589844,0.0004874256,0.0428934528
Heilongjiang,0.07655059871999999,0.03511727136000001,0.0896879952,0.045475603200000006,0.02033770032,0.14009012208,0.043328144160000005,0.048507310080000005,0.10535181408,0.0195797736,0.017558635680000004,,0.013516359840000002,0.032211885600000004,0.02172723264,0.02501158176,0.01629542448,0.32312942496,0.0334750968,0.01111625856,0.008589836160000001,0.010989937439999998,0.009347762879999999,0.012126827520000001,0.01162154304,0.01528485552,0.00277906464,0.0037896336,0.00113689008,0.00037896336000000004,0.06669755136
Shanghai,0.06228617472,0.03225534048,0.24358343328,0.32144115168000004,0.03781660608,0.014459290559999997,5.336590469759999,0.20576682719999997,0.0222450624,1.1956721039999998,0.07229645280000001,0.03225534048,0.16572571488,,0.07674546528,2.4358343327999994,0.11011305887999998,0.027806328,0.038928859199999985,0.2335731552,0.05672490912000001,0.13569488064000002,0.01890830304,0.04226561856,0.03225534048,0.03225534048,0.0055612656,0.00778577184,0.004449012479999999,,0.09231700896
Jiangsu,0.16179125651999995,0.05622533027999999,1.0464796166399997,0.6999479891999999,0.07917444467999997,0.017211835800000002,,0.20539457388,0.037866038759999984,3.6798904940399986,0.12966249635999996,0.041308405919999985,0.24899789124,2.409657012,0.09982864763999998,1.6374193124399996,0.12163030631999998,0.03098130444,0.033276215879999994,0.18703528235999994,0.06999479891999998,0.11818793915999998,0.037866038759999984,0.06425752032000001,0.035571127319999986,0.06769988747999997,0.008032190040000001,0.011474557199999996,0.0057372785999999995,0.00114745572,0.10441847052
