,Hebei,Tianjin,Shandong,Henan,Shanxi,Inner Mongolia,Jiangsu,Guangdong,Liaoning,Anhui,Shaanxi,Heilongjiang,Hubei,Shanghai,Sichuan,Zhejiang,Hunan,Jilin,Hainan,Jiangxi,Chongqing,Fujian,Gansu,Yunnan,Guangxi,Guizhou,Ningxia,Xinjiang,Qinghai,Tibet,Beijing
Zhejiang,0.08077687416,0.02664804096,0.21151882512,0.45051844248,0.02831354352,0.012491269199999998,1.87868688768,0.270644166,0.03081179736,1.35571908384,0.07744586904,0.02831354352,0.27980443007999994,1.3632138453600002,0.11658517919999994,,0.20985332256,0.020818782,0.034975553759999986,0.8610648235199998,0.09410089464,0.39222585288,0.02248428456,0.09826465103999997,0.04663407168000001,0.23317035839999994,0.006662010239999999,0.008327512799999999,0.00333100512,0.0008327512799999999,0.06662010239999999
Anhui,0.0753219324,0.0221225256,0.2164847148,0.6836913863999999,0.021069072,0.007900902,2.3423540796,0.0979711848,0.0089543556,,0.0484588656,0.010534536,0.1954156428,0.4045261823999999,0.027916520400000002,0.6515610515999999,0.0637339428,0.0073741752,0.01316817,0.1590714936,0.0231759792,0.054779587199999986,0.0100078092,0.018435438000000002,0.0194888916,0.016328530799999998,0.0031603607999999995,0.0036870876,0.0021069072,0.0005267268,0.0510924996
Fujian,0.02373239088,0.01320953832,0.044330315039999985,0.07992890135999997,0.0134334288,0.004701700079999999,0.10343740176,0.48517067016000004,0.00940340016,0.06806270592000001,0.031568557680000005,0.00962729064,0.08306336807999999,0.0906756444,0.05642040096,0.35329917743999995,0.08843673960000001,0.00873172872,0.01880680032,0.38777831136,0.053285934239999985,,0.0100750716,0.04007639592,0.03962861496,0.07298829647999999,0.0017911238399999996,0.0033583572,0.0011194524,0.00022389048,0.03380746248
Jiangxi,0.029831457600000007,0.0073809792,0.0436707936,0.0790379856,0.0116865504,0.004613112000000001,0.13962352320000002,0.6230776607999999,0.008611142400000002,0.18944513280000005,0.0218353968,0.006150816000000001,0.313691616,0.1088694432,0.024603264000000003,0.4536226800000001,0.536658696,0.005228193600000001,0.0218353968,,0.0252183456,0.28262999520000004,0.0070734384000000015,0.0218353968,0.038750140800000006,0.031369161600000015,0.0021527856000000006,0.0021527856000000006,0.0012301632,0.0012301632,0.025525886400000003
Shandong,1.0372647844799998,0.222308388,,0.84634111008,0.14070813264,0.05858479872,0.98652616416,0.11560036176,0.10513879055999996,0.26624698704,0.11612344032,0.11612344032,0.09729261216,0.15326201808,0.09467721936,0.19720061712,0.055446327360000006,0.07480023408,0.0340001064,0.04916938464,0.04236936336000001,0.05335401312,0.026153927999999996,0.0366154992,0.02929239936,0.025630849440000002,0.009938492640000001,0.01621543536,0.00627694272,0.00104615712,0.20609295264000002
Henan,0.43706180232,0.06818360327999999,0.67889285568,,0.36887819904,0.026979123600000002,0.4233269757600001,0.21239928215999998,0.02305488744,0.5842206583199999,0.40125314736,0.015696944640000002,0.5032832875200001,0.14029144272000002,0.07946578224000002,0.23594469911999996,0.12459449808,0.01177270848,0.049543481519999995,0.06720254424000001,0.045619245360000005,0.06327830808,0.036789714,0.04022342064,0.03237494832,0.026979123600000002,0.01177270848,0.02354541696,0.01030111992,0.0034337066400000013,0.15059256264
Hubei,0.0730723356,0.01499905836,0.09191730636,0.6845724072,0.04115126268,0.011153145959999998,0.19306480248,0.32382582407999994,0.011922328439999998,0.23652361260000002,0.13691448144,0.009614781,,0.09114812388,0.08191793412000001,0.15691322591999998,0.7464915968399999,0.007691824799999998,0.031921072919999995,0.3230566416,0.22806260532,0.06691887575999997,0.025383021839999995,0.045766357559999984,0.05999623344,0.06576510204,0.006922642319999999,0.01038396348,0.006153459839999999,0.00269213868,0.04922767872
Hunan,0.0364687596,0.0100475154,0.0457720146,0.1086620184,0.015629468400000002,0.0044655624,0.0829850346,1.0806661007999998,0.007070473799999998,0.053958879,0.0394458012,0.009303255,0.6467622875999999,0.05209822799999999,0.048004795799999986,0.1068013674,,0.006698343599999999,0.039073671000000004,0.5596838207999999,0.09005550839999997,0.0640063944,0.0107917758,0.050237577,0.2653288326,0.22848794279999995,0.0029770416,0.005581953000000001,0.0029770416,0.0007442604,0.0364687596
Guangdong,0.0764563536,0.0350424954,0.1242415746,0.307949202,0.0382281768,0.014866513200000002,0.2240595918,,0.028671132600000006,0.122117787,0.116808318,0.043537645800000004,0.5468753070000001,0.1826457336,0.2516688306,0.2463593616,2.4020037756000003,0.028671132600000006,0.201759822,1.2392300645999998,0.20388360960000002,0.6700549877999998,0.024423557400000004,0.1922027778,2.6218157922,0.323877609,0.0084951504,0.0138046194,0.0042475752,0.0010618938,0.111498849
Guangxi,0.026133192000000003,0.006533298000000001,0.030053170800000008,0.038154460320000014,0.007055961840000001,0.0026133192000000003,0.03893845608,1.4012617550400002,0.007578625679999999,0.02116788552000001,0.020122557840000003,0.00940794912,0.04364243063999999,0.02717851968,0.04338109872,0.03710913264,0.32771022768,0.00470397456,0.041290443360000005,0.041290443360000005,0.03606380496,0.035541141120000015,0.005226638400000001,0.13380194304,,0.19521494424,0.0018293234400000003,0.0013066596000000002,0.00156799152,,0.019077230160000003
Hainan,0.03444545088,0.014173315200000003,0.03281337216,0.043980226560000016,0.020443933440000003,0.007816798080000001,0.03178258560000001,0.1885480416,0.017093877120000003,0.016063090560000003,0.02568376512000001,0.017781068160000003,0.024481180800000002,0.037451911680000005,0.04741618176,0.030580001280000005,0.043636631040000005,0.013657921920000005,,0.016320787200000002,0.030064608000000007,0.017265674879999998,0.00566932608,0.01640668608,0.037881406080000006,0.016664382720000002,0.0037795507200000006,0.00566932608,0.0016320787200000005,8.589888000000003e-05,0.05703685632000001
Chongqing,0.01974362688,0.00944260416,0.0300446496,0.04377934656,0.01330548768,0.00472130208,0.05107590432,0.12361227264,0.00472130208,0.024035719680000005,0.07425320544,0.0042920928,0.23220222048,0.042920928,2.74093046208,0.04978827648,0.09571366944,0.00386288352,0.04549618368,0.01888520832,,0.0343367424,0.020172836159999995,0.0922799952,0.031761486719999996,0.42062509439999995,0.00343367424,0.01115944128,0.00386288352,0.005150511359999999,0.028757021760000005
Sichuan,0.04181086836,0.01465535592,0.05086270584,0.07931133791999999,0.0258623928,0.00689663808,0.06422494212,0.17198491212,0.010775997,0.02931071184,0.28922775948,0.01163807676,0.07586301888,0.048707506439999985,,0.07025950043999997,0.051293745719999985,0.00689663808,0.05862142368,0.02284511364,2.01468039912,0.03836254932,0.09396669384,0.5517310463999999,0.043535027879999987,0.30948663384,0.00689663808,0.015086395799999998,0.021983033880000002,0.02629343268,0.048707506439999985
Guizhou,0.012656476800000005,0.004602355200000001,0.018639538560000002,0.030835779840000008,0.005062590720000001,0.0020710598399999998,0.039810372480000016,0.19951209792,0.0025312953600000005,0.014497418880000003,0.02416236480000001,0.003221648640000001,0.038199548160000006,0.019560009600000004,0.4013253734400001,0.08192192256000001,0.26969801472000005,0.0016108243200000005,0.02071059840000001,0.030145426560000008,0.42824915136,0.04027060800000001,0.004372237440000001,0.4013253734400001,0.18225326592,,0.0011505888000000002,0.0016108243200000005,0.0011505888000000002,0.00023011776000000009,0.015187772160000003
Yunnan,0.024612702120000003,0.009162392760000002,0.031619237760000016,0.043656106680000015,0.010779285600000002,0.00520998804,0.04671023760000001,0.12252454632,0.007904809440000002,0.017067202200000003,0.034853023440000006,0.007904809440000002,0.036290261520000006,0.034134404400000005,0.5048298756000001,0.051021951839999996,0.06054365412000001,0.00467102376,0.013833416520000004,0.019582368840000003,0.10186424892,0.029643035400000007,0.007904809440000002,,0.11515870116000004,0.4087145790000001,0.002874476160000001,0.00323378568,0.0014372380800000005,0.005030333280000001,0.030361654439999997
Tibet,0.002999592,0.0014198068799999998,0.00323955936,0.00783893376,0.00177975792,0.00021997007999999997,0.00331954848,0.00345952944,0.0005799211199999999,0.00195973344,0.01277826192,0.00041994287999999987,0.0030995784,0.0008998776,0.07434988703999999,0.00183974976,0.00231968448,0.00033995376000000004,0.0008598830399999999,0.0007998911999999999,0.0156978648,0.0020397225600000003,0.009198748799999998,0.01091851488,0.0007998911999999999,0.0015397905599999998,0.0004799347199999999,0.0017397633599999995,0.030795811199999995,,0.00195973344
Shaanxi,0.09535075056,0.020565848159999997,0.09535075056,0.41069375568000005,0.4642896024,0.24897140424,0.10095961824,0.08724905279999999,0.011217735359999998,0.05421905424,,0.0109061316,0.13211999423999998,0.04611735648,0.25644989448000005,0.05328424296,0.0420665076,0.00841330152,0.03053716848,0.01963103688,0.07385009112,0.0264863196,0.4755073377599999,0.03178358352,0.01776141432,0.0218122632,0.15299744616,0.028044338399999997,0.032406791039999994,0.012152546640000001,0.04954499784
Gansu,0.0192382452,0.006909510600000001,0.020728531799999998,0.041457063599999996,0.01354806,0.048095613,0.031837941,0.023302663199999997,0.0037934568,0.010161045,0.5054781186,0.0024386508,0.015986710799999998,0.014496424200000003,0.10377813960000001,0.0174769974,0.0090772002,0.002032209,0.006503068799999999,0.004741820999999999,0.0204575706,0.0073159524,,0.0070449912,0.0056901852000000004,0.0073159524,0.16542181260000002,0.0409151412,0.17598929940000002,0.0035224956,0.017612478
Qinghai,0.005352713279999999,0.0009690256799999998,0.00719847648,0.01956508992,0.0036915264,0.0034608059999999994,0.0083059344,0.007429196879999998,0.0007383052799999999,0.00313779744,0.050573911679999986,0.0008305934399999999,0.005952586319999999,0.00332237376,0.03257772048,0.005306569199999999,0.004568263919999999,0.00041529672,0.00249178032,0.0011997460799999995,0.004014534959999999,0.0017534750399999994,0.23819574096,0.00258406848,0.0011997460799999995,0.00050758488,0.011951316719999995,0.013151062799999998,,0.014443097039999997,0.005860298159999999
Ningxia,0.016552907279999998,0.0031125124800000003,0.01294522236,0.02065576464,0.013935567239999998,0.15392788992,0.01634069052,0.008700887159999999,0.00205142868,0.006507980639999999,0.17309813723999998,0.0014855173199999998,0.007286108759999999,0.0056591136,0.012096355320000002,0.007993497959999998,0.00558837468,0.0016269951599999998,0.00403211844,0.0015562562400000001,0.007286108759999999,0.0038199016799999996,0.18526523148,0.004315074119999999,0.00275881788,0.0024758622,,0.00657871956,0.009408276359999999,0.0004951724400000001,0.008630148239999998
Xinjiang,0.02004092928,0.0053755617600000005,0.025625250720000003,0.0566260632,0.007671918240000001,0.00986389488,0.01915370064,0.01576135584,0.0028704456000000003,0.01059455376,0.05876584992,0.0028704456000000003,0.01022922432,0.0093941856,0.03747236256,0.01116864288,0.010072654559999998,0.00219197664,0.006575929920000001,0.0029226355200000003,0.019205890559999998,0.00631498032,0.11059044048,0.0050624222399999995,0.00167007744,0.0032879649600000005,0.009289805759999999,,0.023485463999999998,0.00067846896,0.016126685279999997
Taiwan,0.000129276,3.2319e-05,0.000161595,3.2319e-05,3.2319e-05,6.4638e-05,0.000129276,0.00022666392000000003,0.000129276,6.4638e-05,,3.2319e-05,6.4638e-05,0.0005507157599999999,9.695700000000001e-05,0.000161595,3.2319e-05,,,0.000129276,,0.0017167852800000002,6.4638e-05,3.2319e-05,3.2319e-05,3.2319e-05,,3.2319e-05,,,0.00019434491999999998
Hong Kong,0.00012847248,3.072168e-05,3.072168e-05,,,3.072168e-05,3.072168e-05,0.02562746688,,3.072168e-05,,,,0.0008741714400000001,,0.00016198704,,,,,,0.00035469576000000003,,3.072168e-05,0.00016198704,,,,,,0.00016198704
Macau,0.0014059785599999995,0.00046865952000000005,0.0008368919999999999,0.0007029892799999999,0.00073646496,0.00023432976000000002,0.00421793568,0.30389222304,0.00043518384,0.00030128112,0.00043518384,0.00016737839999999998,0.0016403083199999998,0.00458616816,0.00043518384,0.00311323824,0.00180768672,0.00013390272,0.0006695135999999999,0.0005690865599999999,0.00036823248,0.0020085408,,0.00010042703999999998,0.00214244352,0.00060256224,3.347568e-05,,,,0.00207549216
