,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Shaanxi,Sichuan,Heilongjiang,Zhejiang,Jilin,Shanghai,Hunan,Gansu,Hainan,Yunnan,Jiangxi,Fujian,Chongqing,Guangxi,Guizhou,Xinjiang,Hubei,Ningxia,Qinghai,Tibet,Beijing
Henan,0.39961390824,0.10661077764000003,0.7935795633600001,,0.36854851608000005,0.0423618984,0.04730411988,1.00821318192,0.7279186208400001,0.6883808490000001,0.3311288391600001,0.08966601828000001,0.009884442960000002,1.09293697872,0.007766348040000002,0.27958852944,0.11649522060000002,0.09743236632,0.0211809492,0.038125708560000006,0.14261839127999998,0.15250283424000002,0.031065392160000007,0.050128246439999996,0.034595550360000005,0.038125708560000006,0.0988444296,0.0211809492,0.03388951872,0.00423618984,0.17580187836000002
Hubei,0.0036008647199999994,0.0012561156,0.006448060079999999,0.06569484587999999,0.00142359768,0.0010886335199999995,0.0009630219599999998,0.01331482536,0.05656707251999999,0.020474684279999995,0.020474684279999995,0.0037683468,0.0008792809199999999,0.01938605076,0.0005443167599999999,0.00535942656,0.10526248728,0.0016748208,0.0003768346799999999,0.0014654681999999994,0.02403367848,0.00535942656,0.049407213600000006,0.004187051999999999,0.0016748208,0.00025122312,,0.0014654681999999994,0.00046057572,8.374104e-05,0.0009630219599999998
Hunan,0.02344249512,0.00491536188,0.028735961760000005,0.062009180639999995,0.0113431428,0.005293466640000001,0.004537257120000001,0.08393925672000001,1.89090190476,0.04007910456,0.028735961760000005,0.03478563792,0.0022686285600000003,0.35314984584000003,0.0018905238000000003,0.03932289504,,0.008318304720000001,0.029492171280000007,0.05331277116,0.2779069986,0.09981965663999999,0.0737304282,0.25748934156000003,0.2060670942,0.00680588568,0.11796868512,0.00151241904,0.0026467333200000005,0.0011343142800000002,0.02155197132
Guangdong,0.029657032200000013,0.0095195412,0.04796384220000001,0.14938356960000002,0.014645448000000004,0.017574537600000002,0.005858179200000001,0.08128223640000001,,0.0637076988,0.0435702078,0.12595085279999998,0.011716358400000002,0.13180903200000002,0.007322724000000002,0.046133161200000015,0.7055444573999999,0.015743856599999998,0.1087424514,0.08018382780000001,0.3884705082000001,0.26288579160000003,0.0724949676,0.9054548226,0.16915492440000002,0.0106179498,0.025263397800000004,0.0021968172000000003,0.004027498200000001,0.0003661362000000001,0.0212358996
Guangxi,0.01109213676,0.00239829984,0.014989374,0.02608151076,0.00419702472,0.00539617464,0.0014989373999999998,0.024282785880000005,2.1566711311199995,0.01319064912,0.00869383692,0.02728066068,0.00329766228,0.060257283479999986,0.00269808732,0.014989374,0.1768746132,0.00239829984,0.0254819358,0.12111414192,0.04017152232,0.03477534768,0.018287036280000002,,0.18167121288,0.00059957496,0.007194899519999998,0.00059957496,0.00029978748,,0.00509638716
Hainan,0.013062426120000002,0.0031823474400000003,0.006771739320000001,0.017835947280000004,0.006845747400000002,0.00751182012,0.0038854242000000007,0.006660727200000003,0.12788596224,0.00432947268,0.00917700192,0.01972315332,0.016207769519999998,0.010879187759999999,0.007289795880000002,0.008177892840000001,0.01143424836,0.00399643632,,0.00432947268,0.007622832240000001,0.006697731240000003,0.012063317040000002,0.02227643208,0.012063317040000002,0.004366476720000001,0.0038114161200000006,0.0007400808000000001,0.0005550606000000001,7.400808000000002e-05,0.00973206252
Chongqing,0.02064112632,0.006009441839999999,0.0287408088,0.04154353272,0.016721925119999998,0.00418048128,0.0033966410399999987,0.05591393712,0.32581625975999995,0.02037984624,0.06767154071999999,0.8998485955199998,0.0013064003999999998,0.20536614288,0.00182896056,0.03187616975999999,0.11052147384000001,0.02926336896,0.016199364959999997,0.11261171448,0.04258865303999999,0.12619827864,,0.04755297456,0.28505656727999995,0.013064004,0.06662642039999997,0.00182896056,0.006793282079999997,0.007054562159999999,0.011757603600000001
Sichuan,0.0515593512,0.01620436752,0.1031187024,0.12128723568,0.06187122143999999,0.016695408959999998,0.011784994559999998,0.16302575808,0.6850028087999999,0.034372900799999995,0.33980067647999995,,0.0029462486399999994,0.32065006032,0.00392833152,0.0761114232,0.0638353872,0.16990033823999998,0.04222956384,0.54063662544,0.0319176936,0.16744513103999994,1.1922486163200001,0.1031187024,0.3731914943999999,0.046157895359999986,0.01865957472,0.00932978736,0.03142665216,0.07070996735999999,0.033881859359999995
Guizhou,0.00949776192,0.0019787004,0.021369964320000004,0.025327365120000004,0.00514462104,0.0019787004,0.0015829603200000002,0.10566260136,0.77525481672,0.02255718456,0.01662108336,0.29007747864000005,0.0003957400800000001,0.9165340252799999,0.0007914801600000001,0.034825127040000015,0.32806852632,0.005540361120000001,0.01147646232,0.4638073737600001,0.118722024,0.20380614120000004,0.27820527624,0.29126469888,,0.0007914801600000001,0.008706281760000002,0.00474888096,0.00118722024,0.0007914801600000001,0.004353140880000001
Yunnan,0.013597968959999998,0.0026318649599999995,0.0252220392,0.021712885919999998,0.006579662399999999,0.004167119519999999,0.00153525456,0.07500815136,0.34345837727999995,0.016668478079999997,0.02017763136,0.4550933159999999,0.00175457664,0.27831971951999995,0.00175457664,0.025660683359999995,0.06316475903999999,0.00592169616,0.00592169616,,0.02588000544,0.06338408111999999,0.056585096639999985,0.18488851344,0.46803331872000004,0.00241254288,0.00460576368,0.0013159324799999995,0.0021932208,0.004167119519999999,0.007895594879999999
Tibet,3.001536e-05,3.001536e-05,0.00042021504,0.00090421272,0.00032266512000000004,3.001536e-05,6.378264e-05,0.00032266512000000004,0.0005177649599999999,0.0005177649599999999,0.00097174728,0.015127741439999997,9.3798e-05,0.00012756528,,9.3798e-05,0.00025888248,0.00132817968,,0.00278392464,3.001536e-05,3.001536e-05,0.00139196232,,9.3798e-05,3.001536e-05,0.00019134792,3.001536e-05,0.011630951999999998,,9.3798e-05
Shaanxi,0.06501604968,0.011730724560000001,0.06660665639999999,0.17536439088,0.32150138328,0.00735655608,0.21493073304000002,0.11969315567999997,0.10020822336000001,0.034794522,,0.16363366631999998,0.0037776909600000003,0.07734325176000001,0.0027835617600000004,0.02743796592,0.023063797439999995,0.27219257496,0.005368297679999999,0.01809315144,0.0129236796,0.023063797439999995,0.03320391528,0.01272485376,0.0188884548,0.021473190719999997,0.02405792664,0.0735655608,0.02445557832,0.0039765168,0.026046185040000003
Gansu,0.0211069314,0.009539856,0.018721967400000004,0.029454305400000005,0.0132365502,0.0020272194000000004,0.053303945400000004,0.060220341,0.031004532000000005,0.008347374,0.3480854958,0.0640362834,0.0009539856,0.0335087442,0.0005962410000000001,0.0183642228,0.006439402800000001,,0.0015502266,0.004650679800000001,0.0085858704,0.0082281258,0.0100168488,0.0028619568,0.0051276726,0.1271185812,0.0025042122,0.1278340704,0.1522799514,0.0054854171999999994,0.0151445214
Qinghai,0.0027982713599999987,0.0006382022399999997,0.00321555744,0.0084684528,0.0031664649599999995,0.0007609334399999999,0.004001037119999999,0.00360829728,0.00378012096,0.0015955056,0.014310457919999997,0.013377700799999998,7.363871999999997e-05,0.0023564390399999995,0.00012273120000000002,0.0011536732799999998,0.0011291270399999998,0.14384096639999994,0.00027000864,0.00157095936,0.0017918755199999995,0.0007854796799999999,0.0007118409599999999,0.00027000864,0.0003681936,0.00918029376,0.00022091616,0.005571996479999999,,0.014899567680000001,0.00095730336
Ningxia,0.00498590316,0.00184517676,0.004632571439999999,0.00816588864,0.0060851574,0.00102073608,0.1042328574,0.00659552544,0.006006639240000001,0.0018844358399999997,0.07698705588,0.00369035352,0.0005496271200000001,0.00761626152,0.00015703632,0.0025518401999999997,0.0011777724,0.1299475548,0.00031407264000000003,0.0008636997600000001,0.0037688716799999995,0.00180591768,0.00102073608,0.00102073608,0.0010992542400000002,0.004593312360000001,0.0005496271200000001,,0.00557478936,0.00027481356000000004,0.002944431
Xinjiang,0.0041015808,0.00164063232,0.00527855616,0.01282189824,0.0025501132800000003,0.00119480832,0.01084243968,0.005118059520000001,0.01456952832,0.0021042892800000003,0.01036094976,0.013107225600000001,0.0006063206400000001,0.00540338688,0.00037449216,0.0029067724800000004,0.0029424384,0.05843860992000001,0.0006419865599999999,0.0010521446400000001,0.0005349888000000001,0.0015514675199999998,0.0032277657600000005,0.0016762982399999998,0.0005171558399999999,,0.0006063206400000001,0.0029424384,0.006241536000000001,0.0004458240000000001,0.00424424448
Taiwan,9.68112e-05,,6.415199999999999e-05,0.00012947040000000002,,3.1492800000000004e-05,,0.0019105632,0.0027212112,0.00029160000000000004,3.1492800000000004e-05,3.1492800000000004e-05,,0.0006800112,3.1492800000000004e-05,0.001813752,0.0001936224,3.1492800000000004e-05,,,6.415199999999999e-05,0.0026244000000000003,0.0001936224,3.1492800000000004e-05,6.415199999999999e-05,,9.68112e-05,,,,0.00022628159999999999
Hong Kong,2.820744e-05,6.111612e-05,0.000352593,2.820744e-05,2.820744e-05,9.40248e-05,,0.00029147688,0.0392318478,,9.40248e-05,0.00012693348,6.111612e-05,0.00029147688,,0.00045131904,0.00012693348,2.820744e-05,0.00022565952,9.40248e-05,9.40248e-05,0.0007098872400000001,0.00025856820000000005,0.00029147688,,,,,,,0.00025856820000000005
Macau,0.00018825696,0.00012550464,0.00012550464,0.00032160563999999986,0.0003529818,3.137616e-05,6.275232e-05,0.0007765599599999999,0.06693319331999999,0.00032160563999999986,0.00012550464,0.00025885332000000005,3.137616e-05,0.0007765599599999999,9.412847999999997e-05,0.0007451837999999999,0.0014197712400000001,3.137616e-05,0.00018825696,0.00021963312,0.00100403712,0.0005177066400000001,9.412847999999997e-05,0.0005177066400000001,0.00015688079999999998,,,,,,0.00021963312
