,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Inner Mongolia,Jiangsu,Guangdong,Anhui,Shaanxi,Sichuan,Heilongjiang,Zhejiang,Jilin,Shanghai,Hunan,Gansu,Hainan,Yunnan,Jiangxi,Fujian,Chongqing,Guangxi,Guizhou,Xinjiang,Hubei,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.8653276656000001,0.1224789984,0.08471213279999999,0.0643992768,0.048148992,0.0332528976,0.03009312,0.0288893952,0.0237735648,0.023623099200000004,0.021065184,0.0182063376,0.0177549408,0.0144446976,0.014294232,0.0130905072,0.012940041599999999,0.012037248,0.0091784016,0.0072223487999999985,0.0072223487999999985,0.006169089599999999,0.005567227199999999,0.00376164,0.0036111744,0.0034607088,0.003009312,0.0021065184000000005,0.0013541904,0.0001504656,
Tianjin,0.6902609399999999,,0.11474622,0.03626694,0.02913246,0.032937515999999986,0.02556522,0.023424876,0.009988272,0.012842063999999999,0.009274824000000001,0.00713448,0.014625684,0.008799191999999999,0.011058443999999999,0.005707583999999999,0.003686148,0.00535086,0.001307988,0.00237816,0.0032105159999999996,0.003091608,0.002615976,0.0015458039999999998,0.001307988,0.001902528,0.00118908,0.0022592520000000002,0.001307988,,0.12413995199999997
Hebei,,0.8672982692400001,0.8629399864799999,0.32832396792,0.41209984763999996,0.17239429584000002,0.21694563072000006,0.15205564296,0.06053170500000001,0.06731125596,0.11767363452,0.040193052119999996,0.033413501160000005,0.07409080692,0.02953947204,0.03002372568,0.02857096476,0.02566544292,0.006779550960000001,0.01743313104,0.02372842836,0.01549611648,0.01549611648,0.020822906519999997,0.012106341,0.02275992108,0.00920081916,0.014043355559999998,0.0096850728,0.00145276092,1.14671261952
Shanxi,0.3391966659600001,0.045766124280000015,0.14803363656,0.24917112108000006,,0.01205362944,0.22562887608000004,0.09755906328,0.028439031960000007,0.02599063848,0.4201819887600001,0.035219198520000015,0.0037667592000000007,0.030887425439999998,0.003578421240000001,0.018833796000000003,0.011488615559999998,0.020717175600000002,0.00452011104,0.011300277600000002,0.008098532280000001,0.008286870240000003,0.008098532280000001,0.006780166560000001,0.006215152680000001,0.0064034906400000004,0.0050851249200000006,0.00998191188,0.0065918285999999994,0.00056501388,0.0819270126
Inner Mongolia,0.19100320344,0.03615753816,0.04798602648,0.017742732480000002,0.16909361712,0.21923027784,,0.014920025040000003,0.01115641512,0.00510775632,0.21331603368000002,0.007123975920000001,0.06734173464,0.007527219840000002,0.09476232119999999,0.004973341680000001,0.0036291952800000006,0.04556656296,0.0020162196000000003,0.0030915367200000004,0.0024194635200000003,0.0018818049600000004,0.0018818049600000004,0.0020162196000000003,0.0020162196000000003,0.006317488079999999,0.00120973176,0.104171346,0.0048389270400000005,0.00013441464,0.05282495352
Liaoning,0.2188213542,0.0556347204,0.1199864016,0.02563812,0.019869543,,0.21382192079999998,0.0465331878,0.031406697000000004,0.0130754412,0.014229156599999999,0.010896201,0.094220091,0.026279073,0.2489461452,0.017690302800000002,0.006794101800000001,0.0037175274,0.005127624,0.00640953,0.0056403864,0.0105116292,0.0029483838,0.0074350547999999985,0.0046148616,0.0037175274,0.0019228589999999999,0.0014100966,0.0015382871999999998,0.0002563812,0.0603777726
Jilin,0.05702040360000001,0.03208461516,0.07131805704000001,0.0093615588,0.00646798608,0.27369793728,0.09940273344,0.02485068336,0.02025500904,0.0067233013200000006,0.00621267084,0.0046807794000000005,0.14187016836000002,0.02034011412,,0.012595551840000002,0.0051063048,0.00110636604,0.004085043839999999,0.0031488879600000005,0.00357441336,0.00502119972,0.00204252192,0.00374462352,0.00136168128,0.0019574168399999997,0.00144678636,0.00093615588,0.00076594572,0.00017021016,0.02816978148
Heilongjiang,0.08492031900000001,0.0474842412,0.1201333518,0.0123601302,0.006846978599999999,0.16192659780000002,0.07078175280000001,0.0359244072,0.030233412000000005,0.0074694311999999995,0.009247867199999999,0.0060466824,,0.028810663200000006,0.15712482060000002,0.014938862399999999,0.0032901066000000003,0.0019562795999999998,0.007202665800000002,0.0037347155999999998,0.0024008885999999997,0.006491291400000001,0.0019562795999999998,0.004001481000000001,0.0016895142,0.0020452014,0.0012449052000000002,0.0008002962,0.0005335308,0.00017784360000000005,0.056020734
Shanghai,0.014477120280000004,0.006625122840000001,0.05938073064,0.06944110236000002,0.007851997440000001,0.013495620600000004,0.0024537492000000004,1.2568103402400002,0.04588511004000001,0.20243430900000006,0.014967870119999999,0.021102243120000003,0.004907498400000001,0.5535658195200001,0.0046621234800000005,,0.019629993600000003,0.008342747280000002,0.008097372359999999,0.01055112156,0.04588511004000001,0.03091723992,0.01128724632,0.0071158726799999995,0.008097372359999999,0.0034352488800000014,0.00441674856,0.00073612476,0.00147224952,,0.01079649648
Jiangsu,0.09738755712,0.03188283120000001,0.7953317164800002,0.2915829835200001,0.05449065696,0.032462519040000005,0.015651571680000004,,0.11419850447999999,1.3564695456,0.0840547368,0.05680940832,0.01101406896,1.0109755929600002,0.011593756800000002,1.3784976835200002,0.049853154239999996,0.03188283120000001,0.006956254079999999,0.030143767680000006,0.10434381120000004,0.06028753536000001,0.023187513600000004,0.0202890744,0.02840470416,0.015651571680000004,0.012753132480000002,0.006956254079999999,0.008115629760000001,0.0005796878400000001,0.04521565152000001
Zhejiang,0.0384773004,0.011892983760000002,0.104938092,0.18678980376,0.020987618399999998,0.02168720568,0.00629628552,0.9171589240799999,0.15530837615999998,0.48411439776,0.038827094039999996,0.055617188760000005,0.00944442828,,0.007695460079999999,0.5715628077599999,0.09514387008,0.014691332880000001,0.00909463464,0.05002049052,0.30397067316,0.19973216844,0.03637853856,0.03043204668,0.08115212447999999,0.006646079159999999,0.01014401556,0.00314814276,0.00454731732,0.00034979364000000003,0.014691332880000001
Anhui,0.07568687952000001,0.037843439760000014,0.23306753376000006,0.57606124968,0.033037923600000005,0.018020685600000003,0.00961103232,2.3198629262400003,0.18561306167999997,,0.07148205288000001,0.025829649359999998,0.00480551616,1.4446582956000005,0.00480551616,0.47033989416,0.046253093040000005,0.01621861704,0.01081241136,0.01862137512,0.14897100096000002,0.08830135944,0.013215169440000002,0.02222551224,0.018020685600000003,0.007808963760000002,0.02883309696,0.005406205680000001,0.006006895200000001,0.00120137904,0.05466274632000001
Fujian,0.012706243199999998,0.006758640000000001,0.0264938688,0.044607024,0.0116248608,0.007569676800000001,0.0037848384000000006,0.0832664448,0.37037347200000004,0.043255296000000006,0.0198704016,0.0323062992,0.0052717392,0.2295234144,0.0029738015999999996,0.050284281600000015,0.0477159984,0.007569676800000001,0.015274526399999998,0.033252508800000004,0.1674790992,,0.0286566336,0.031224916800000002,0.0366318288,0.003649665600000001,0.0089214048,0.0017572464000000002,0.0018924192000000003,0.0005406912,0.0113545152
Jiangxi,0.02104456788,0.006680815200000001,0.03741256512000001,0.04609762488,0.008685059759999999,0.00534465216,0.002338285320000001,0.14931621972,0.9289673535600002,0.11758234752000002,0.0233828532,0.0217126494,0.00267232608,1.0184902772400002,0.00100212228,0.10021222800000001,0.26790068952,0.00634677444,0.01436375268,0.0267232608,,0.3801383848800001,0.022380730919999998,0.045763584120000006,0.03307003524,0.00200424456,0.02772538308,0.00066808152,0.00100212228,0.00033404076,0.01536587496
Shandong,0.7334086064399999,0.18109339452000006,,0.6245954388000001,0.127668879,0.08327939184000001,0.05656713408000001,0.8657914132800001,0.08681483772,0.20269889712000005,0.10724185836,0.041246868600000014,0.036140113439999996,0.2101626162,0.025533775800000002,0.11117013156000002,0.039282732000000015,0.02828356704,0.005499582480000003,0.02199832992000001,0.04674645108,0.036532940760000014,0.018070056719999998,0.025533775800000002,0.018462884040000002,0.02199832992000001,0.01296330156,0.012177646920000002,0.01060633764,0.0015713092800000005,0.12806170632000002
