,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Hunan,Inner Mongolia,Shaanxi,Guangdong,Anhui,Heilongjiang,Jiangsu,Shanghai,Sichuan,Gansu,Jilin,Hubei,Guizhou,Zhejiang,Fujian,Hainan,Jiangxi,Yunnan,Chongqing,Xinjiang,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Beijing,0.46634269968000003,0.07137038304,0.044770397760000004,0.044489411999999985,0.039806316,0.0295035048,0.0224788608,0.021916889279999997,0.01957534128,0.019200693599999995,0.01910703168,0.016109850239999998,0.014142949919999996,0.013206330719999998,0.012925344959999998,0.011801401920000001,0.011426754239999998,0.009366192,0.007492953599999999,0.004870419839999999,0.004683096,0.004402110239999999,0.004308448319999999,0.004121124479999999,0.004121124479999999,0.0032781671999999994,0.00318450528,0.002341548,0.0010302811199999998,0.0004683096,
Tianjin,0.26006241024,,0.00756223776,0.03034716192,0.011490672959999998,0.013356679679999999,0.00176779584,0.01036124784,0.00314274816,0.00874076832,0.0031918536000000003,0.01880738352,0.00731671056,0.0064328126400000005,0.00348648624,0.0029463264,0.004566805920000001,0.0004910544,0.0003437380800000001,0.00201332304,0.0019642176,0.00063837072,0.00103121424,0.0008838979199999998,0.00132584688,0.00063837072,0.0004910544,0.00063837072,0.0003437380800000001,,0.08509972751999999
Hebei,,0.365103936,0.0832893354,0.21290123268,0.12345076835999999,0.08465847516000001,0.01118130804,0.07621544664,0.028295555039999996,0.05339645064,0.01323501768,0.01209406788,0.05499378036,0.050201791200000005,0.03126202452,0.010268548200000002,0.0136913976,0.0034228494,0.004791989159999999,0.014375967480000001,0.008899408440000001,0.004791989159999999,0.0063893188800000006,0.01095311808,0.01346320764,0.00387922932,0.00821483856,0.005932938960000001,0.00387922932,0.00022818996,0.9641025809999999
Shanxi,0.12819836304,0.0365893848,0.05294167776000001,0.0388479888,,0.0074985652799999985,0.0058723704,0.06830018496,0.1395817272,0.04300382016,0.008582695199999999,0.00198757152,0.0551099376,0.05989817808,0.01824952032,0.00261998064,0.00280066896,0.0018068832,0.0009034416,0.00921510432,0.005149617119999999,0.0030717014399999996,0.00261998064,0.00605305872,0.0063240912,0.00099378576,0.00243929232,0.00261998064,0.0017165390399999998,0.00036137664,0.18800619696
Inner Mongolia,0.07367384807999999,0.02123113356,0.004234129199999999,0.0184487058,0.05099101308,0.12230584631999998,0.00229852728,,0.05189832648,0.015908228280000002,0.0024195024,0.03695789916,0.0108877608,0.016029203399999997,0.006290706239999999,0.009012646440000001,0.0344779092,0.00096780096,0.0005443880400000001,0.00381071628,0.0013912138799999998,0.0008468258400000001,0.0012097512,0.0015726765599999998,0.00247998996,0.0013912138799999998,0.001512189,0.02219893452,0.00127023876,6.048756e-05,0.08776744956
Liaoning,0.09455413176000001,0.03788275392,0.008630546759999998,0.056213118720000003,0.0103108302,,0.0043534616399999995,0.08943690492,0.0058809920400000005,0.04330548684,0.006721133759999999,0.034445810519999995,0.036584353079999986,0.0526997988,0.011456478,0.00221491908,0.09195733007999997,0.00129840084,0.0014511538800000001,0.0137477736,0.006033745079999999,0.00213854256,0.0034369434,0.0029023077600000002,0.00320781384,0.00091651824,0.00412433208,0.00061101216,0.00122202432,0.00030550608,0.13350615695999998
Jilin,0.029192963760000003,0.020115689040000002,0.0035300512799999995,0.036645294239999994,0.0030257582400000003,0.15705926568,0.0047627676,0.037597847760000004,0.0035860838399999996,0.03059377776,0.00386624664,0.06992863487999999,0.02061998208,0.027848182319999998,0.006667874639999999,0.0005603256,,0.00128874888,0.0006723907199999999,0.014848628400000001,0.0033619536,0.00190510704,0.0017370093600000002,0.0020732047199999997,0.00128874888,0.00044826047999999995,0.00246543264,0.0005603256,0.0003922279200000001,,0.0725621652
Heilongjiang,0.03143783664,0.02318671008,0.00407334096,0.044023415760000004,0.0028200052799999997,0.09170239392,0.0018800035199999998,0.03692118024,0.0030288945600000002,0.02987116704,0.0038122293599999997,,0.0211500396,0.029453388480000002,0.006371123039999999,0.0010444464,0.07081346592,0.0008877794400000002,0.0006788901599999999,0.00945223992,0.0035511177600000008,0.00370778472,0.0008877794400000002,0.00161889192,0.0023500044000000003,0.00047000087999999994,0.001305558,0.00041777856,0.00031333392,,0.094000176
Shanghai,0.0060714359999999995,0.0017607164399999996,0.02440717272,0.01833573672,0.00461429136,0.00837858168,0.00752858064,0.0021857169600000004,0.005646435480000001,0.02173574088,0.06350722056000001,0.0048571488,0.26052531875999996,,0.0118393002,0.00510000624,0.00291428928,0.0036428615999999996,0.005464292400000001,0.08949296663999999,0.00892501092,0.00400714776,0.01232501508,0.00595000728,0.004917863160000001,0.0007892866799999999,0.0034000041600000005,0.0015178589999999999,0.00097142976,0.00018214308,0.009471440159999999
Jiangsu,0.02267346816,0.01255138416,0.0495982116,0.16843147776,0.014170917600000001,0.020446609680000002,0.014170917600000001,0.00485860032,0.02085149304,0.0880621308,0.30892600367999995,0.00627569208,,1.00066922424,0.03097357704,0.016600217759999997,0.00627569208,0.00647813376,0.00647813376,0.08502550560000001,0.021863701439999998,0.00263174184,0.02105393472,0.0080976672,0.012146500800000001,0.00344150856,0.008907433919999999,0.00182197512,0.00668057544,0.00040488336,0.04676402808
