,Hebei,Tianjin,Henan,Shandong,Shanxi,Liaoning,Hunan,Inner Mongolia,Shaanxi,Guangdong,Anhui,Heilongjiang,Jiangsu,Shanghai,Sichuan,Gansu,Jilin,Hubei,Guizhou,Zhejiang,Fujian,Hainan,Jiangxi,Yunnan,Chongqing,Xinjiang,Guangxi,Ningxia,Qinghai,Tibet,Beijing
Zhejiang,0.007482844800000002,0.0033672801600000005,0.02064018024,0.016586972640000003,0.0046767779999999995,0.009790055280000005,0.015339831840000004,0.0023695675200000005,0.008418200400000003,0.06054868584000001,0.045582996240000014,0.00430263576,0.08393257584000001,0.18806883264,0.018208255680000004,0.011037196080000002,0.007233416640000001,0.004988563200000001,0.011536052400000005,,0.025254601200000004,0.0024942816000000003,0.02500517304,0.011536052400000005,0.0059239188000000005,0.0005612133599999999,0.008542914480000002,0.0015589260000000002,0.00367906536,0.00012471408000000006,0.012471408000000002
Anhui,0.01809554256,0.01623276612,0.21661428888,0.04018274892,0.00691888392,0.01410387876,0.01570054428,0.00292722012,0.011176658639999998,0.18201986928,,0.0026611091999999997,0.8331932905199999,0.9220743378,0.01623276612,0.006652773000000001,0.0026611091999999997,0.0159666552,0.0039916638,0.12613657607999998,0.04204552536,0.00452388564,0.046569411000000005,0.005322218399999999,0.00851554944,0.00372555288,0.00957999312,0.0007983327599999999,0.00239499828,0.00053222184,0.07903494324
Fujian,0.01272496716,0.00848331144,0.011844623520000002,0.018007029,0.005362093080000001,0.00936365508,0.022488778440000003,0.002000781,0.008563342679999999,0.27674802792000003,0.01672652916,0.0025609996800000003,0.0588229614,0.09699786288,0.026730434159999997,0.00496193688,0.00424165572,0.003601405800000001,0.01368534204,0.03593402676,,0.008963498880000002,0.03329299584,0.02016787248,0.017366779080000002,0.0006402499200000001,0.02833105896,0.00104040612,0.0023209059600000003,0.00032012496000000004,0.027690809039999997
Jiangxi,0.006621147359999999,0.00470449944,0.007666591679999999,0.01097716536,0.0026136108,0.0031363329600000004,0.08380978632,0.0017424072,0.004356018,0.9618087744,0.03815871768,0.00139392576,0.09740056248,0.18086186735999998,0.0165528684,0.00644690664,0.00139392576,0.02021192352,0.0071438695199999985,0.06673419576,0.1315517436,0.007666591679999999,,0.01097716536,0.01289381328,0.00069696288,0.017946794159999998,0.0005227221599999999,0.0010454443199999998,,0.031363329599999996
Shandong,0.18767509487999998,0.08249454720000003,0.14039937360000002,,0.02839716144,0.0523523088,0.0126914688,0.016657552800000003,0.02490700752000001,0.09280636560000001,0.03997812672,0.020782280160000003,0.29698036992,0.22670136144000005,0.026493441120000003,0.00729759456,0.01570569264,0.006345734400000001,0.003966084,0.037757119680000006,0.01649890944,0.005076587520000001,0.016340266080000002,0.007456237919999998,0.008408098079999999,0.004442014080000001,0.007456237919999998,0.0034901539200000004,0.005869804320000001,0.00015864336000000006,0.18672323472
Henan,0.0920084022,0.0242353134,,0.1503447318,0.0555481962,0.016943272199999998,0.0394628112,0.0055762668,0.041607529200000014,0.378542727,0.26615950380000003,0.0025736616,0.24428338019999998,0.3575244906000001,0.0345299598,0.011795949000000002,0.0040749641999999996,0.0594086886,0.0068630976000000005,0.049114042200000006,0.0341010162,0.0055762668,0.0308839392,0.0075065129999999985,0.011795949000000002,0.007935456600000002,0.0122248926,0.0021447180000000003,0.0068630976000000005,0.0008578872000000001,0.18015631199999999
Hubei,0.0024595876800000004,0.0006984014400000001,0.05295704831999999,0.0028543363199999994,0.0007591319999999999,0.0007287667200000001,0.0874520064,0.0006680361599999999,0.014089489919999997,0.02669108112,0.01369474128,0.0006073056,0.005921229599999999,0.004463696160000001,0.01369474128,0.0005465750399999999,0.0008502278400000003,,0.0010627847999999998,0.00412967808,0.00203447376,0.0001518264,0.015911406719999997,0.0006984014400000001,0.04503171024,0.0003036528,0.0016700904,0.00027328752,0.00012146111999999999,6.0730559999999995e-05,0.00261141408
Hunan,0.01038928032,0.00562752684,0.015583920480000003,0.0129866004,0.0038959801200000007,0.00562752684,,0.00129866004,0.0129866004,3.33366032268,0.02034567396,0.0008657733600000001,0.09004042944,0.14371837776000002,0.03160072764,0.00476175348,0.0017315467200000002,0.09133908947999998,0.064933002,0.059305475159999996,0.05973836184,0.01601680716,0.06969475548,0.033332274360000004,0.043721554680000004,0.00129866004,0.12250693044,0.0004328866800000001,0.0017315467200000002,0.0004328866800000001,0.06017124852000001
Guangdong,0.012323890800000004,0.006003946800000001,0.046135591200000006,0.019591826399999998,0.0113758992,0.0154838628,0.26512165080000005,0.0048979565999999995,0.0186438348,,0.022277802599999997,0.013587879600000002,0.0333377046,0.048031574400000006,0.0685713924,0.0192758292,0.008057928600000002,0.0183278376,0.0731533518,0.0162738558,0.0870572286,0.0538775226,0.084529251,0.022119804,0.0342856962,0.008689923000000002,0.2715995934000001,0.0011059902000000003,0.005213953800000001,0.00015799860000000006,0.0278077536
Guangxi,0.008587474200000002,0.0017174948399999999,0.010495801800000005,0.006297481080000001,0.0026716586400000013,0.003816655200000001,0.07747810056,0.0013358293200000006,0.00400748796,1.4999454936,0.006106648320000002,0.0024808258800000003,0.01793827944,0.02480825880000001,0.04141070892,0.003053324160000001,0.0015266620800000006,0.0026716586400000013,0.07232561604000001,0.01316746044,0.014694122520000004,0.008778306960000001,0.013549125959999998,0.03644905716,0.013549125959999998,0.00019083276000000004,,0.00057249828,0.0007633310400000003,,0.012594962160000002
Hainan,0.023219369280000002,0.00316198728,0.02213391096,0.009438768,0.01387498896,0.008778054240000001,0.015385191839999996,0.0050497408799999996,0.008872441919999998,0.11864531375999998,0.00410586408,0.01670661936,0.0089668296,0.01543238568,0.038510173439999996,0.004436220959999999,0.01307269368,0.0021237228,0.017556108480000002,0.008542085040000001,0.00254846736,,0.010099481759999999,0.00344515032,0.030723189839999995,0.00339795648,0.01727294544,0.00028316304,0.0020765289600000003,9.438768e-05,0.041483385359999986
Chongqing,0.010279143000000001,0.00383754672,0.00849742488,0.005619264839999999,0.00370049148,0.00370049148,0.06277129992000001,0.00123349716,0.00986797728,0.39581553312,0.00945681156,0.00041116572,0.02864454516,0.07524332676,0.37745013096,0.0041116571999999995,0.0005482209599999999,0.05701497984,0.10457314812,0.01658368404,0.06414185232000001,0.0041116571999999995,0.01014208776,0.03028920804,,0.00383754672,0.05523326172,0.00041116572,0.00095938668,0.00123349716,0.018228346920000003
Sichuan,0.0334929816,0.0123192576,0.0573615432,0.0261784224,0.0177089328,0.0130892112,0.0796901976,0.0050046984,0.0735305688,1.1891933352,0.0238685616,0.0023098608,0.12088271520000002,0.2186668224,,0.0300281904,0.0030798144000000003,0.0377277264,0.2421504072,0.07045075440000001,0.1447512768,0.0130892112,0.0180939096,0.2991269736,0.7953620687999999,0.0196338168,0.188638632,0.0011549304,0.0157840488,0.0238685616,0.0650610792
Guizhou,0.00269702784,0.0010113854399999998,0.00522549144,0.00278130996,0.00092710332,0.0007585390799999999,0.06582433572,0.0004214106,0.00219133512,0.20210852376,0.004804080839999999,0.00025284636,0.01491793524,0.020480555159999997,0.11099955204000002,0.00067425696,0.0005056927199999999,0.0024441814799999995,,0.014665088879999996,0.017783527319999996,0.0019384887600000001,0.0076696729200000004,0.17050272875999997,0.08520922331999999,8.428212e-05,0.08563063391999999,0.00025284636,0.00016856424,0.00033712848,0.01753068096
Yunnan,0.005173178400000001,0.0024741288,0.007797254399999998,0.0044234424,0.002249208,0.0023241816,0.016719112799999998,0.001124604,0.005922914400000001,0.0983653632,0.004873284,0.0014994720000000002,0.0125205912,0.017543822399999996,0.26143294319999993,0.0014244984,0.001124604,0.0023241816,0.1802365344,0.011620908000000001,0.0094466736,0.0029989440000000003,0.003523759199999999,,0.0222671592,0.0009746568,0.0520316784,0.0004498415999999999,0.0005997888,0.0014994720000000002,0.013195353600000001
Tibet,0.00016005600000000005,9.60336e-05,0.0009381744,0.0001920672,6.402239999999999e-05,6.402239999999999e-05,0.00016005600000000005,6.402239999999999e-05,0.0005811264,0.000258552,3.20112e-05,6.402239999999999e-05,0.00012804479999999998,3.20112e-05,0.010302681600000002,0.002006856,,,3.20112e-05,3.20112e-05,6.402239999999999e-05,,6.402239999999999e-05,0.001132704,0.0013272336,9.60336e-05,,6.402239999999999e-05,0.0064465632,,0.0001920672
Shaanxi,0.015917472000000002,0.0071628624,0.0434745954,0.015420051,0.1217686608,0.005471630999999999,0.0279550602,0.053224047000000003,,0.16544222460000002,0.016215924599999997,0.001989684,0.08784454859999999,0.08585486460000001,0.060685362,0.06655492980000001,0.0016912314000000002,0.0219860082,0.008953578,0.0171112824,0.0098489358,0.0026860734000000003,0.0042778206,0.007461315,0.021687555600000002,0.006466473,0.005372146800000001,0.031039070400000007,0.008754609600000001,0.0017907156,0.0684451296
Gansu,0.008629934399999999,0.008274584159999999,0.01223420112,0.01106662176,0.0049749033600000004,0.0034012094399999996,0.00599018976,0.0098990424,0.09335558447999999,0.03898699776,0.004213438559999999,0.0006599361599999999,0.0335044512,0.04584018095999999,0.032946043679999995,,0.0007614648,0.0024874516800000002,0.00187827984,0.0083761128,0.00446726016,0.00121834368,0.00172598688,0.0022843944,0.009492927840000002,0.02345311584,0.0020813371199999995,0.05223648528,0.0454340664,0.0015229296,0.03538273104
Qinghai,0.0008394969600000001,0.0006733465200000001,0.0014516301600000002,0.0013204587600000005,0.0006121332,0.0003847694400000001,0.00034979040000000013,0.00034979040000000013,0.005701583520000001,0.005701583520000001,0.0003847694400000001,0.00012242664000000004,0.003139368840000001,0.00216870048,0.00475714944,0.040199661720000016,0.00015740568000000002,0.0003847694400000001,0.00041974848,0.0009706683600000002,0.0005159408400000001,0.00041974848,6.121332000000002e-05,0.0005159408400000001,0.00197631576,0.0031743478800000005,0.00019238472000000006,0.0014516301600000002,,0.006086352959999999,0.0028507917600000005
Ningxia,0.00226593612,0.0016439144400000002,0.0019993554,0.00319896864,0.00213264576,0.00041468112,0.0008737923599999999,0.02514744792,0.023710874040000003,0.006501607559999999,0.00093303252,8.886023999999999e-05,0.004828073039999999,0.007508690279999999,0.0022215060000000003,0.044296829639999986,0.0001481004,0.0008293622400000001,0.0001481004,0.00284352768,0.0005775915600000001,0.0001481004,5.924015999999999e-05,0.00174758472,0.00079974216,0.00109594296,0.00025177068,,0.00183644496,0.00011848031999999999,0.009419185440000002
Xinjiang,0.00122795352,0.0008042230800000003,0.0020667668400000004,0.0017813973600000004,0.0005793865200000001,0.0005793865200000001,0.0005102060400000001,0.00174680712,0.0026893911600000004,0.011570435280000005,0.0005793865200000001,0.00019024632000000006,0.0030439411200000005,0.0057679225200000005,0.010887278040000005,0.0174680712,0.00022483656000000005,0.003657917880000001,0.00031995972000000014,0.0018765205200000003,0.0009685267200000004,0.0004496731200000001,0.00025077924000000004,0.00061397676,0.0027153338400000013,,0.0005447962800000001,0.0013230766800000006,0.0026893911600000004,6.0532920000000026e-05,0.00913182336
Taiwan,9.367164000000001e-05,0.00028916028,0.00048464892,0.00080639064,2.8508760000000005e-05,0.00012625308,0.0005172303599999999,,0.00012625308,0.0132158466,0.00113220504,2.8508760000000005e-05,0.007839909,0.007286024520000001,0.00080639064,,6.10902e-05,6.10902e-05,,0.0008715535200000003,0.0041459882400000005,6.10902e-05,0.0003217417200000001,6.10902e-05,2.8508760000000005e-05,,2.8508760000000005e-05,,,,0.00064755612
Hong Kong,0.00019275732,0.0004130514,0.00015604163999999998,0.0011290071599999998,0.00012850488000000002,0.00015604163999999998,0.0008352817199999999,2.7536759999999994e-05,0.00012850488000000002,0.07146707111999999,0.00032126219999999985,0.00022029407999999995,0.00138601692,0.004047903719999999,0.0005140195200000001,0.00012850488000000002,2.7536759999999994e-05,9.17892e-05,9.17892e-05,0.00093624984,0.0021662251199999994,0.0006425243999999997,0.00012850488000000002,0.0003855146399999999,0.0005140195200000001,,0.0006425243999999997,,,,0.0022671932399999997
Macau,0.00038244636,0.00031715064000000003,0.00057833352,9.327959999999999e-05,0.00022387104,0.00022387104,0.0010633874399999998,,0.00018655919999999997,0.07872798240000001,9.327959999999999e-05,0.00012126348,0.00048505392,0.00216408672,0.0006436292400000001,5.596776e-05,0.00031715064000000003,,0.00018655919999999997,0.00055034964,0.0004197582000000001,0.00012126348,0.0007089249600000001,0.00025185492000000004,0.00018655919999999997,,0.0006063174000000001,,2.798388e-05,,0.0006063174000000001
